index,textnum,dockey,sideline,locus,level,inscobj,fs80,dir,posnum,signnum,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,strict,exclusion_reasons
61,1058,1058,0,18,-8,1,13,1,7,7,400,396,169,99,48,193,342,,,,,,,,1,
62,1059,1059,0,27,-7,1,13,1,4,3,284,99,*009,0,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
63,1060,1060,0,25,-3,1,13,1,7,7,54,28,162,100,65,347,342,,,,,,,,1,
64,1061,1061,0,16,-11,1,13,1,4,4,391,98,336,162,,,,,,,,,,,1,
65,1065,1065,0,18,-4,1,13,1,9,9,87,28,257,99,67,70,336,89,211,,,,,,1,
66,1066,1066,0,20,-4,1,13,1,9,9,210,86,99,389,60,204,108,358,342,,,,,,1,
67,1067,1067,0,16,-10,1,13,1,5,5,397,51,267,402,98,,,,,,,,,,1,
68,1068,1068,0,26,-1,1,13,1,5,5,171,59,336,89,211,,,,,,,,,,1,
69,1069,1069,0,16,-3,1,13,1,3,3,28,180,402,,,,,,,,,,,,1,
70,1070,1070,0,22,-5,1,13,1,3,3,345,28,176,,,,,,,,,,,,1,
71,1071,1071,0,1,0,1,13,1,6,6,261,371,59,97,114,169,,,,,,,,,1,
72,1072,1072,0,25,-2,1,13,1,5,5,215,298,9,342,1,,,,,,,,,,1,
73,1073,1073,0,25,-3,1,13,9,2,1,*104,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
74,1074,1074,0,24,-5,1,13,1,4,4,391,99,289,342,,,,,,,,,,,1,
75,1075,1075,0,24,-7,1,13,1,3,3,72,327,254,,,,,,,,,,,,1,
76,1076,1076,0,24,-4,1,13,1,4,4,391,99,104,162,,,,,,,,,,,1,
77,1077,1077,0,25,-7,1,13,1,9,9,89,381,307,81,99,*067,403,87,342,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
78,1078,1078,0,28,-6,1,13,1,5,5,267,99,124,25,342,,,,,,,,,,1,
79,1079,1079,0,27,-3,1,13,1,7,7,391,99,87,59,67,121,14,,,,,,,,1,
80,1080,1080,0,17,-1,1,13,1,6,6,267,99,387,67,406,162,,,,,,,,,1,
81,1081,1081,0,24,-3,1,11,1,8,8,*087,249,162,343,87,59,127,342,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
82,1082,1082,0,18,-3,1,11,1,7,7,267,99,87,59,296,342,*087,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
83,1083,1083,0,25,-1,1,13,1,3,3,54,54,342,,,,,,,,,,,,1,
84,1084,1084,0,4,-12,1,13,1,4,4,1,1,379,194,,,,,,,,,,,1,
85,1085,1085,0,20,-1,1,13,1,3,2,267,99,0,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
86,1086,1086,0,18,-2,1,13,1,4,4,267,99,124,342,,,,,,,,,,,1,
87,1087,1087,0,24,-6,1,13,1,13,13,87,244,28,162,99,65,67,87,59,51,130,149,342,,1,
88,1088,1088,0,22,-1,1,13,1,6,6,391,99,387,67,59,211,,,,,,,,,1,
89,1089,1089,0,22,-4,1,13,1,5,4,0,*059,192,347,342,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
90,1090,1090,0,20,-2,1,13,1,5,5,197,336,342,205,*060,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
91,1091,1091,0,24,-6,1,17,1,4,4,267,99,102,162,,,,,,,,,,,1,
92,1092,1092,0,17,-3,1,13,1,6,6,28,162,343,106,287,342,,,,,,,,,1,
93,1093,1093,1,1,0,1,11,3,1,1,67,,,,,,,,,,,,,,1,
94,1093,1093,2,1,0,1,11,5,3,3,342,82,342,,,,,,,,,,,,0,direction_not_in_strict_set
95,1093,1093,3,1,0,1,11,1,2,2,347,342,,,,,,,,,,,,,1,
96,1094,1094,0,24,-8,1,13,1,7,7,267,99,171,59,336,89,211,,,,,,,,1,
97,1095,1095,0,25,-1,1,13,1,5,5,150,123,70,389,342,,,,,,,,,,1,
98,1096,1096,0,18,0,1,13,1,5,5,267,99,67,216,254,,,,,,,,,,1,
99,1097,1097,0,17,-2,1,13,1,6,6,*086,267,99,67,348,342,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
100,1098,1098,0,28,-3,1,13,1,5,5,267,99,65,347,342,,,,,,,,,,1,
101,1099,1099,1,20,-2,1,13,1,6,6,*050,403,343,194,8,342,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
102,1099,1099,2,20,-2,1,13,3,1,1,266,,,,,,,,,,,,,,1,
103,1100,1100,0,3,-10,1,13,1,5,5,150,123,293,51,342,,,,,,,,,,1,
104,1101,1101,1,24,-3,1,13,1,4,4,17,51,245,245,,,,,,,,,,,1,
105,1101,1101,2,24,-3,1,13,2,2,2,186,149,,,,,,,,,,,,,1,
106,1102,1102,0,17,0,1,13,1,2,2,133,150,,,,,,,,,,,,,1,
107,1103,1103,0,16,0,1,13,1,4,4,267,402,59,211,,,,,,,,,,,1,
108,1104,1104,0,20,-5,1,13,1,8,8,267,99,387,72,336,89,348,342,,,,,,,1,
109,1105,1105,0,3,-6,1,13,1,8,8,391,99,121,389,59,336,89,211,,,,,,,1,
110,1106,1106,0,17,-3,1,13,1,5,5,150,123,86,343,319,,,,,,,,,,1,
111,1107,1107,0,27,-7,1,13,1,5,5,47,343,72,53,342,,,,,,,,,,1,
112,1108,1108,0,25,-6,1,13,1,6,6,293,402,97,67,349,342,,,,,,,,,1,
113,1109,1109,0,28,-1,1,13,1,6,6,391,97,65,67,342,1,,,,,,,,,1,
114,1110,1110,0,17,-3,1,13,1,8,8,391,216,53,125,59,391,176,176,,,,,,,1,
115,1111,1111,0,4,-6,1,11,1,5,4,0,387,17,261,139,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
116,1112,1112,1,27,0,1,14,1,4,3,0,*059,342,1,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
117,1112,1112,2,27,0,1,14,1,3,2,0,336,*275,,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
118,1113,1113,0,25,-3,1,13,1,6,6,94,123,124,112,197,342,,,,,,,,,1,
119,1114,1114,0,17,-6,1,13,1,6,6,391,99,87,59,296,342,,,,,,,,,1,
120,1115,1115,0,28,-3,1,13,1,6,6,267,99,336,51,342,1,,,,,,,,,1,
121,1116,1116,0,2,-6,1,13,1,5,5,102,17,8,342,176,,,,,,,,,,1,
122,1117,1117,0,20,-7,1,11,1,4,4,173,59,2,12,,,,,,,,,,,1,
123,1118,1118,0,3,-8,1,13,1,4,4,286,25,176,342,,,,,,,,,,,1,
124,1119,1119,0,20,-6,1,13,1,5,5,48,342,65,342,224,,,,,,,,,,1,
125,1120,1120,0,18,0,1,13,1,4,4,87,59,296,342,,,,,,,,,,,1,
126,1121,1121,0,20,-6,1,13,1,5,5,245,53,99,175,12,,,,,,,,,,1,
127,1122,1122,0,26,-5,1,13,1,5,5,242,342,98,292,342,,,,,,,,,,1,
128,1123,1123,0,18,-2,1,13,1,3,3,204,110,342,,,,,,,,,,,,1,
129,1125,1125,0,27,-5,1,13,1,4,4,48,342,375,60,,,,,,,,,,,1,
130,1126,1126,0,17,-7,1,13,1,6,6,391,99,387,87,326,342,,,,,,,,,1,
131,1127,1127,0,17,-2,1,13,1,4,4,267,99,124,12,,,,,,,,,,,1,
132,1128,1128,0,22,-11,1,13,1,3,3,331,162,402,,,,,,,,,,,,1,
133,1129,1129,0,28,-1,1,13,1,4,4,215,287,102,15,,,,,,,,,,,1,
134,1130,1130,0,20,-3,1,13,1,6,6,164,125,59,253,230,342,,,,,,,,,1,
135,1131,1131,0,20,-5,1,13,1,4,4,267,99,106,162,,,,,,,,,,,1,
136,1132,1132,0,26,-4,1,13,1,3,3,252,387,15,,,,,,,,,,,,1,
137,1133,1133,0,24,-4,1,13,1,2,2,104,*162,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
138,1134,1134,0,28,0,1,13,1,5,5,391,123,59,53,342,,,,,,,,,,1,
139,1135,1135,1,18,0,1,13,1,3,3,75,53,176,,,,,,,,,,,,1,
140,1135,1135,2,18,0,1,13,3,1,1,374,,,,,,,,,,,,,,1,
141,1136,1136,0,25,-4,1,13,1,3,3,216,123,139,,,,,,,,,,,,1,
142,1137,1137,0,20,-18,1,351,1,4,3,0,67,8,342,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
143,1138,1138,0,17,-3,1,11,1,3,2,0,*081,176,,,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
144,1139,1139,1,17,-6,1,13,1,7,7,197,400,99,175,230,53,343,,,,,,,,1,
145,1139,1139,2,17,-6,1,13,1,3,3,244,342,282,,,,,,,,,,,,1,
146,1140,1140,0,24,-7,1,11,1,6,6,293,123,343,136,193,342,,,,,,,,,1,
147,1141,1141,0,16,-6,1,13,9,2,1,86,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
148,1142,1142,0,24,-2,1,13,1,8,8,28,336,182,99,387,72,348,342,,,,,,,1,
149,1143,1143,0,18,0,1,11,1,4,4,267,99,104,162,,,,,,,,,,,1,
150,1144,1144,0,18,-6,1,13,1,4,3,0,97,78,267,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
151,1145,1145,0,24,-3,1,351,1,6,6,293,123,344,336,347,342,,,,,,,,,1,
152,1146,1146,0,28,-3,1,13,1,7,7,267,99,112,194,403,87,342,,,,,,,,1,
153,1147,1147,0,25,-3,1,11,1,5,5,387,66,336,89,211,,,,,,,,,,1,
154,1148,1148,0,20,-6,1,13,1,4,4,391,99,62,342,,,,,,,,,,,1,
155,1149,1149,0,18,-2,1,13,1,8,8,150,123,389,72,296,342,124,169,,,,,,,1,
156,1150,1150,0,25,-1,1,13,1,5,5,50,162,99,326,342,,,,,,,,,,1,
157,1151,1151,0,17,-5,1,13,1,7,7,17,395,99,171,59,247,342,,,,,,,,1,
158,1154,1154,0,22,-3,1,13,1,3,3,*059,53,342,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
159,1155,1155,0,24,-3,1,13,1,5,5,127,343,67,59,211,,,,,,,,,,1,
160,1156,1156,0,16,-13,1,13,1,4,4,72,71,121,342,,,,,,,,,,,1,
161,1157,1157,0,20,-4,1,13,1,4,4,267,99,107,162,,,,,,,,,,,1,
162,1158,1158,0,2,-5,1,13,1,5,5,267,99,65,222,254,,,,,,,,,,1,
163,1159,1159,0,28,-5,1,13,1,5,5,245,245,343,104,162,,,,,,,,,,1,
164,1160,1160,0,27,-9,1,13,1,5,5,293,123,343,230,342,,,,,,,,,,1,
165,1161,1161,0,17,-4,1,13,1,5,5,389,182,293,327,342,,,,,,,,,,1,
166,1162,1162,0,17,-3,1,13,1,5,5,267,99,289,347,342,,,,,,,,,,1,
167,1163,1163,0,20,-4,1,13,1,4,4,204,*230,*015,176,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
168,1164,1164,0,16,-5,1,13,1,3,3,*379,162,402,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
169,1165,1165,0,25,-6,1,11,1,5,4,328,32,99,72,0,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
170,1166,1166,0,18,-3,1,13,9,2,1,387,0,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
171,1167,1167,1,17,-4,1,12,3,1,1,*175,,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
172,1167,1167,2,17,-4,1,12,2,2,2,336,342,,,,,,,,,,,,,1,
173,1168,1168,0,17,-6,1,13,1,4,4,86,336,89,211,,,,,,,,,,,1,
174,1169,1169,0,25,-7,1,13,3,1,1,31,,,,,,,,,,,,,,1,
175,1170,1170,0,27,-6,1,13,1,6,6,216,123,70,336,89,211,,,,,,,,,1,
176,1171,1171,0,18,-3,1,13,1,2,2,86,15,,,,,,,,,,,,,1,
177,1172,1172,0,20,-3,1,13,1,5,5,79,343,387,59,211,,,,,,,,,,1,
178,1173,1173,0,18,-4,1,13,1,4,4,387,72,211,176,,,,,,,,,,,1,
179,1174,1174,0,18,-4,1,13,1,6,6,412,123,87,249,162,342,,,,,,,,,1,
180,1175,1175,0,20,-3,1,11,1,5,5,343,245,245,175,180,,,,,,,,,,1,
181,1176,1176,0,28,-2,1,11,1,6,5,0,*171,59,182,293,211,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
182,1177,1177,0,20,-5,1,13,1,2,2,171,60,,,,,,,,,,,,,1,
183,1178,1178,0,28,-4,1,13,1,5,5,*391,99,15,348,342,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
184,1179,1179,0,4,-6,1,13,1,6,6,51,155,343,102,137,342,,,,,,,,,1,
185,1180,1180,0,25,-6,1,13,1,7,7,155,245,245,99,67,222,254,,,,,,,,1,
186,1181,1181,0,4,-10,1,13,1,5,5,267,99,336,51,342,,,,,,,,,,1,
187,1182,1182,0,25,-7,1,13,1,4,4,57,209,343,5,,,,,,,,,,,1,
188,1183,1183,0,18,0,1,13,1,4,4,265,343,326,342,,,,,,,,,,,1,
189,1185,1185,0,27,-3,1,11,1,4,4,*086,178,287,402,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
190,1186,1186,0,28,-3,1,13,1,6,6,293,402,123,230,391,162,,,,,,,,,1,
191,1187,1187,0,27,-6,1,13,1,3,3,86,48,342,,,,,,,,,,,,1,
192,1188,1188,0,17,-3,1,13,1,5,5,53,72,373,287,342,,,,,,,,,,1,
193,1189,1189,0,25,-5,1,13,1,4,4,391,123,86,4,,,,,,,,,,,1,
194,1190,1190,0,25,-3,1,13,1,4,4,86,28,233,59,,,,,,,,,,,1,
195,1191,1191,0,20,-3,1,11,1,6,5,215,17,293,186,89,0,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
196,1192,1192,0,22,-3,1,13,1,4,4,391,123,124,342,,,,,,,,,,,1,
197,1193,1193,0,25,-5,1,13,1,2,2,149,*342,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
198,1194,1194,0,25,-9,1,13,1,3,3,51,49,83,,,,,,,,,,,,1,
199,1195,1195,0,18,0,1,13,1,3,3,48,342,130,,,,,,,,,,,,1,
200,1196,1196,0,25,-2,1,351,9,2,1,0,211,,,,,,,,,,,,,0,direction_not_in_strict_set|lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
201,1197,1197,0,25,-3,1,13,1,2,2,230,*211,,,,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
202,1198,1198,0,27,-6,1,13,1,4,4,67,171,59,211,,,,,,,,,,,1,
203,1199,1199,0,25,-3,1,13,1,3,3,65,53,342,,,,,,,,,,,,1,
204,1200,1200,0,16,-7,1,13,1,4,4,391,99,327,342,,,,,,,,,,,1,
205,1201,1201,0,17,-2,1,13,1,3,3,253,230,342,,,,,,,,,,,,1,
206,1202,1202,0,18,-4,1,13,1,3,3,86,336,75,,,,,,,,,,,,1,
207,1203,1203,0,17,-4,1,11,1,5,5,267,402,97,137,395,,,,,,,,,,1,
208,1204,1204,0,25,-5,1,13,1,3,3,389,389,176,,,,,,,,,,,,1,
209,1205,1205,0,26,-4,1,13,1,4,4,87,403,87,15,,,,,,,,,,,1,
210,1206,1206,0,17,-4,1,13,1,3,3,329,212,328,,,,,,,,,,,,1,
211,1207,1207,0,18,-3,1,13,1,3,3,76,104,169,,,,,,,,,,,,1,
212,1208,1208,0,18,-4,1,11,1,3,3,72,296,342,,,,,,,,,,,,1,
213,1209,1209,1,20,-5,1,13,1,5,5,329,89,171,8,342,,,,,,,,,,1,
214,1209,1209,2,20,-5,1,13,1,2,2,154,303,,,,,,,,,,,,,1,
215,1211,1211,0,17,-2,1,11,1,7,7,400,125,59,123,112,197,342,,,,,,,,1,
216,1212,1212,0,25,-2,1,13,1,5,5,293,123,343,128,342,,,,,,,,,,1,
217,1213,1213,0,18,-4,1,13,1,3,3,65,387,342,,,,,,,,,,,,1,
218,1214,1214,0,18,-6,1,13,1,7,7,319,86,99,59,8,342,1,,,,,,,,1,
219,1215,1215,0,28,-2,1,13,1,6,6,267,233,342,403,87,342,,,,,,,,,1,
220,1217,1217,0,20,-6,1,13,1,2,2,387,342,,,,,,,,,,,,,1,
221,1218,1218,0,18,0,1,13,1,3,3,86,2,12,,,,,,,,,,,,1,
222,1219,1219,0,25,-5,1,13,1,3,3,197,177,81,,,,,,,,,,,,1,
223,1220,1220,0,28,-3,1,13,1,2,2,102,162,,,,,,,,,,,,,1,
224,1221,1221,0,18,-4,1,13,1,4,4,391,97,294,375,,,,,,,,,,,1,
225,1222,1222,0,17,-5,1,13,1,6,6,254,343,87,249,162,342,,,,,,,,,1,
226,1224,1224,0,16,-4,1,13,1,3,3,387,296,342,,,,,,,,,,,,1,
227,1225,1225,0,20,-3,1,13,1,3,3,301,155,211,,,,,,,,,,,,1,
228,1226,1226,0,17,-4,1,13,1,2,2,341,342,,,,,,,,,,,,,1,
229,1227,1227,10,12,-2,1,13,1,5,5,264,109,162,176,176,,,,,,,,,,1,
230,1227,1227,20,12,-2,1,13,1,5,5,403,87,342,1,176,,,,,,,,,,1,
231,1227,1227,39,12,-2,1,513,0,0,0,,,,,,,,,,,,,,,0,no_text|direction_not_in_strict_set
232,1227,1227,49,12,-2,1,513,0,0,0,,,,,,,,,,,,,,,0,no_text|direction_not_in_strict_set
233,1228,1228,0,24,-10,1,13,1,4,4,267,99,76,15,,,,,,,,,,,1,
234,1229,1229,0,28,-5,1,13,1,4,4,267,99,104,162,,,,,,,,,,,1,
235,1231,1231,0,17,-1,1,13,1,2,2,111,342,,,,,,,,,,,,,1,
236,1232,1232,0,30,-3,1,13,1,4,4,267,99,48,342,,,,,,,,,,,1,
237,1233,1233,0,26,-3,1,13,1,5,5,216,123,127,347,342,,,,,,,,,,1,
238,1234,1234,0,13,-5,1,13,1,5,5,293,123,343,173,342,,,,,,,,,,1,
239,1235,1235,0,28,-7,1,13,1,5,5,150,123,65,67,73,,,,,,,,,,1,
240,1236,1236,0,16,-5,1,13,1,2,2,375,342,,,,,,,,,,,,,1,
241,1237,1237,1,17,-2,1,13,1,5,5,186,125,59,51,59,,,,,,,,,,1,
242,1237,1237,2,17,-2,1,13,1,3,3,78,347,342,,,,,,,,,,,,1,
243,1238,1238,0,20,-6,1,13,1,2,2,222,254,,,,,,,,,,,,,1,
244,1239,1239,0,17,-6,1,13,1,3,2,267,99,0,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
245,1240,1240,0,18,-2,1,13,1,3,2,244,336,0,,,,,,,,,,,,0,lost_or_illegible_passage|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
246,1242,1242,0,15,-5,1,13,1,5,4,129,245,125,*059,0,,,,,,,,,,0,lost_or_illegible_passage|doubtful_sign|not_all_undoubted_1_to_417|position_or_legible_count_mismatch
247,1243,1243,0,20,-2,1,13,1,2,2,109,162,,,,,,,,,,,,,1,
248,1244,1244,0,1,0,1,13,1,2,2,327,254,,,,,,,,,,,,,1,
249,1245,1245,0,17,-6,1,13,1,3,3,221,267,342,,,,,,,,,,,,1,
250,1246,1246,0,18,-3,1,13,1,4,4,267,99,104,169,,,,,,,,,,,1,
251,1247,1247,1,16,-3,1,11,1,5,5,*087,336,344,175,230,,,,,,,,,,0,doubtful_sign|not_all_undoubted_1_to_417
252,1247,1247,2,16,-3,1,11,2,2,2,53,342,,,,,,,,,,,,,1,
253,1248,1248,0,1,0,1,13,1,4,4,245,245,330,176,,,,,,,,,,,1,
254,1249,1249,0,25,-2,1,13,1,2,2,109,162,,,,,,,,,,,,,1,
255,1251,1251,0,17,-2,1,13,1,5,5,72,336,89,211,176,,,,,,,,,,1,
256,1252,1252,10,16,-3,1,13,1,2,2,415,342,,,,,,,,,,,,,1,
257,1252,1252,20,16,-3,1,251,1,2,2,415,342,,,,,,,,,,,,,1,
