"corpus","system_class","sequence_id","description","document_type","region","class_or_group","length","duplicate_weight","tokens","source_ids"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00033","Clatt 3","PictishStone","Aberdeenshire","I","2","1","Beast | Horseshoe","Pictish_stones_00045"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00034","Clynekirkton 1","PictishStone","Highland Sutherland","I","3","3","Crescent | V | Rectangle","Pictish_stones_00047|Pictish_stones_00205|Pictish_stones_00209"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00035","Clynekirkton 2","PictishStone","Highland Sutherland","I","4","1","Rectangle | Crescent | V | Mirror","Pictish_stones_00048"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00036","Clynemilton 1","PictishStone","Highland Sutherland","I","4","1","Horseshoe | Mirror | Crescent | V","Pictish_stones_00049"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00037","Clynemilton 2","PictishStone","Highland Sutherland","I","4","1","Notched-Rectangle | Z | Mirror | Comb","Pictish_stones_00050"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00038","Collace, Fairygreen","PictishStone","Perthshire and Kinross","I","4","1","Rectangle | Beast | Comb | Mirror","Pictish_stones_00051"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00039","Congash 2","PictishStone","Highland Badenoch and Strathspey","I","4","1","Double-Disc | Z | Helmet | Arrow","Pictish_stones_00053"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00040","Corrachree","PictishStone","Aberdeenshire","IV","2","1","Triskele | Disc","Pictish_stones_00054"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00041","Cossans, St. Orland's Stone","PictishStone","Angus","II","4","6","Crescent | V | Double-Disc | Z","Pictish_stones_00055|Pictish_stones_00093|Pictish_stones_00128|Pictish_stones_00222|Pictish_stones_00262|Pictish_stones_00263"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00042","Craigmyle, Cothill","PictishStone","Aberdeenshire","I","4","1","Notched-Rectangle | Z | Serpent | Salmon","Pictish_stones_00057"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00043","Craigton 1","PictishStone","Highland Sutherland","I","4","1","Notched-Rectangle | Crescent | V | Flower","Pictish_stones_00058"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00044","Crichie","PictishStone","Aberdeenshire","I","3","3","Beast | Crescent | V","Pictish_stones_00059|Pictish_stones_00170|Pictish_stones_00179"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00045","Crosskirk, Thurso Castle","PictishStone","Highland Caithness","I","3","1","Crescent | V | Horseshoe","Pictish_stones_00060"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00046","Cullaird, Scaniport","PictishStone","Highland Inverness","I","5","1","Divided-Rectangle | Z | Comb | Horseshoe | Mirror","Pictish_stones_00061"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00047","Daviot","PictishStone","Aberdeenshire","I","5","1","Crescent | V | Mirror | Crescent | Comb","Pictish_stones_00062"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00048","Drainie 1","PictishStone","Moray","I","2","10","Crescent | V","Pictish_stones_00064|Pictish_stones_00101|Pictish_stones_00106|Pictish_stones_00160|Pictish_stones_00173|Pictish_stones_00207|Pictish_stones_00208|Pictish_stones_00218|Pictish_stones_00270|Pictish_stones_00277"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00049","Drainie 26, Kineddar Manse, Michael Church","PictishStone","Moray","II","2","2","Mirror | Comb","Pictish_stones_00065|Pictish_stones_00279"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00050","Drimmies, Drummies","PictishStone","Aberdeenshire","I","4","1","Horseshoe | Ogee | Mirror | Comb","Pictish_stones_00066"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00051","Drumbuie 1","PictishStone","Highland Inverness","I","3","1","Serpent | Z | Double-Disc","Pictish_stones_00067"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00052","Drumbuie 2","PictishStone","Highland Inverness","I","4","1","Salmon | Mirror-Case | Comb | Mirror","Pictish_stones_00068"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00053","Drumdurno, Maiden Stone","PictishStone","Aberdeenshire","II","5","1","Rectangle | Z | Beast | Mirror | Comb","Pictish_stones_00069"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00054","Dun Osdale, Tobar na Maor","PictishStone","Highland Skye and Lochalsh","I","3","1","Crescent | V | Disc","Pictish_stones_00070"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00055","Dunnicaer 2","PictishStone","Aberdeenshire","IV","2","1","Triangle | Salmon","Pictish_stones_00076"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00056","Dunnicaer 3","PictishStone","Aberdeenshire","IV","2","1","Crescent | Triangle","Pictish_stones_00077"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00057","Dunnicaer 4","PictishStone","Aberdeenshire","IV","5","1","Double-Disc | Z | Flower | Mirror | Comb","Pictish_stones_00078"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00058","Dunnicaer 6","PictishStone","Aberdeenshire","IV","2","1","Disc | Z","Pictish_stones_00080"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00059","Dinnichen","PictishStone","Angus","I","5","1","Flower | Double-Disc | Z | Comb | Mirror","Pictish_stones_00081"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00060","Dunrobin 1","PictishStone","Highland Sutherland","I","4","1","Salmon | Tuning-Fork | Mirror | Comb","Pictish_stones_00082"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00061","Dunrobin 2, Dairy Park, Princess Stone","PictishStone","Highland Sutherland","I","5","1","Comb | Mirror | Serpent | Z | 2-Crescent","Pictish_stones_00083"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00062","Dyce 1","PictishStone","City of Aberdeen","I","3","1","Beast | Double-Disc | Z","Pictish_stones_00084"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00063","Dyce 2","PictishStone","City of Aberdeen","II","7","1","Crescent | V | Mirror-Case | Triple-Disc | Bar | Double-Disc | Z","Pictish_stones_00085"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00064","Eassie","PictishStone","Angus","II","5","1","Beast | Double-Disc | Z | Horseshoe | Beast","Pictish_stones_00086"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00065","East Wemyss Caves, Dovecot","PictishStone","Fife","IV","3","1","Crescent | V | Animal-Head","Pictish_stones_00089"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00066","Easterton of Roseisle","PictishStone","Moray","I","7","1","Goose | Salmon | Horseshoe | Mirror | Crescent | V | Comb","Pictish_stones_00091"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00067","Edderton, Clach Biroach, Clach Charaidh","PictishStone","Highland Ross and Cromarty","I","3","1","Salmon | Double-Disc | Z","Pictish_stones_00092"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00068","Elgin Cathedral","PictishStone","Moray","II","4","2","Double-Disc | Z | Crescent | V","Pictish_stones_00094|Pictish_stones_00098"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00069","Fetterangus","PictishStone","Aberdeenshire","I","5","1","Triple-Disc | Bar | Mirror-Case | Curved-Line | Scroll","Pictish_stones_00095"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00070","Finlarig","PictishStone","Highland Badenoch and Strathspey","I","4","1","Rectangle | Z | Crescent | V","Pictish_stones_00096"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00071","Firth, Redland","PictishStone","Orkney","I","3","1","Rectangle | Crescent | V","Pictish_stones_00097"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00072","Fowlis Wester","PictishStone","Moray","II","6","1","Double-Disc | Double-Disc | Z | Crescent | V | Eagle","Pictish_stones_00102"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00073","Fyvie 1, St. Peter's Church","PictishStone","Moray","I","4","1","Crescent | V | Beast | Mirror","Pictish_stones_00103"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00074","Fyvie 2, St. Peter's Church","PictishStone","Moray","I","3","1","Double-Disc | Z | Eagle","Pictish_stones_00104"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00075","Gairloch","PictishStone","Moray","I","2","1","Eagle | Salmon","Pictish_stones_00105"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00076","Gask, Bore Stone, Boar Stone","PictishStone","Perthshire and Kinross","II","4","1","Serpent | Z | Dog | Flower","Pictish_stones_00107"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00077","Gellyburn 2","PictishStone","Perthshire and Kinross","II","4","1","Roundel | Crescent | V | Beast","Pictish_stones_00108"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00078","Glamis 1, Hunters Hill","PictishStone","Angus","I/II","5","1","Triple-Disc | Flower | Beast | Serpent | Mirror","Pictish_stones_00109"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00079","Glamis 2","PictishStone","Moray","I/II","7","1","Lion | Deer's-Head | Triple-Disc | Bar | Serpent | Salmon | Mirror","Pictish_stones_00110"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00080","Glenferness, Princess Stone","PictishStone","Moray","II","6","1","Beast | Crescent | V | Double-Disc | Z | Beast","Pictish_stones_00112"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00081","Golspie 2","PictishStone","Moray","I","5","2","Crescent | V | Beast | Mirror | Comb","Pictish_stones_00113|Pictish_stones_00137"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00082","Grantown","PictishStone","Highland Badenoch and Strathspey","I","2","1","Stag | Rectangle","Pictish_stones_00115"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00083","Greens, St. Andrews","PictishStone","Orkney","I","4","1","Mirror-Case | Crescent | V | Mirror","Pictish_stones_00116"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00084","Gurness, Broch of Gurness","PictishStone","Orkney","IV","3","1","Rectangle | Mirror-Case | Divided-Rectangle","Pictish_stones_00117"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00085","Hilton of Cadboll","PictishStone","Highland Ross and Cromarty","II","7","1","Double-Disc | Z | Crescent | V | Double-Disc | Mirror | Comb","Pictish_stones_00118"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00086","Huntly 1","PictishStone","Aberdeenshire","I","2","1","Horseshoe | Double-Disc","Pictish_stones_00119"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00087","Inchbrayock","PictishStone","Angus","III","3","1","Disc | Disc | Horseman","Pictish_stones_00121"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00088","Inchyra","PictishStone","Perthshire and Kinross","I","7","1","Serpent | Salmon | Comb | Mirror | Rectangle | Salmon | Double-Disc","Pictish_stones_00122"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00089","Inverallen","PictishStone","Highland Badenoch and Strathspey","I","4","1","Crescent | V | Notched-Rectangle | Z","Pictish_stones_00123"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00090","Inveraven 1","PictishStone","Moray","I","5","1","Mirror-Case | Eagle | Half-Circle | Mirror | Comb","Pictish_stones_00124"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00091","Inveraven 2","PictishStone","Moray","I","6","1","Crescent | V | Triple-Disc | Bar | Comb | Mirror","Pictish_stones_00125"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00092","Inveraven 4","PictishStone","Moray","I","3","3","Crescent | V | Beast","Pictish_stones_00127|Pictish_stones_00232|Pictish_stones_00250"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00093","Inverurie 1","PictishStone","Aberdeenshire","I","7","1","Crescent | V | Mirror-Case | Serpent | Z | Double-Disc | Z","Pictish_stones_00129"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00094","Inverurie 2","PictishStone","Aberdeenshire","I","2","1","Mirror | Arch","Pictish_stones_00130"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00095","Inverurie 3","PictishStone","Aberdeenshire","I","3","1","Disc | Double-Disc | Z","Pictish_stones_00131"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00096","Keillor","PictishStone","Perthshire and Kinross","I","5","1","Wolf | Double-Disc | Z | Mirror | Comb","Pictish_stones_00134"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00097","Keiss, Birkle Hills","PictishStone","Highland Caithness","I","2","1","Triple-Disc | Triple-Oval","Pictish_stones_00135"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00098","Keith Hall","PictishStone","Aberdeenshire","I","5","1","Double-Disc | Z | Salmon | Comb | Mirror","Pictish_stones_00136"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00099","Kinellar","PictishStone","Aberdeenshire","I","4","1","Triple-Disc | Disc | Crescent | V","Pictish_stones_00138"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00100","Kingoldrum","PictishStone","Angus","II","5","1","Mirror | Crescent | Comb | Step | Sheep","Pictish_stones_00139"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00101","Kintore 1, Churchyard","PictishStone","Aberdeenshire","I","6","1","Salmon | Triple-Disc | Bar | Crescent | V | Beast","Pictish_stones_00142"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00102","Kintore 2, Castle Hill","PictishStone","Aberdeenshire","I","5","1","Beast | Double-Disc | Z | Beast | Mirror","Pictish_stones_00143"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00103","Kintore 3, Castle Hill","PictishStone","Aberdeenshire","I","3","2","Tuning-Fork | Crescent | V","Pictish_stones_00144|Pictish_stones_00219"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00104","Kintore 4","PictishStone","Aberdeenshire","I","4","1","Square | M | Beast | Mirror","Pictish_stones_00145"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00105","Kintradwell 1","PictishStone","Highland Sutherland","I","2","1","Ogee | Mirror-Case","Pictish_stones_00146"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00106","Kintradwell 2","PictishStone","Highland Sutherland","I","3","1","Ogee | Triple-Disc | Bar","Pictish_stones_00147"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00107","Kintradwell 3","PictishStone","Highland Sutherland","I","4","1","Crescent | V | Comb | Mirror","Pictish_stones_00148"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00108","Kirriemuir 1","PictishStone","Angus","II","3","1","Mirror | Step | Comb","Pictish_stones_00150"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00109","Knockando 1","PictishStone","Moray","I","5","1","Disc | Crescent | V | Crescent | V","Pictish_stones_00154"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00110","Knockando 2","PictishStone","Moray","I","4","1","Serpent | Flower | Comb | Mirror","Pictish_stones_00155"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00111","Knocknagael, Boar Stone, Bore Stone","PictishStone","Highland Inverness","I","2","1","Mirror-Case | Boar","Pictish_stones_00156"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00112","Largo, Upper Largo","PictishStone","Fife","II","3","1","Double-Disc | Z | Beast","Pictish_stones_00158"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00113","Latheron 1","PictishStone","Highland Caithness","II","3","1","Double-Rectangle | Eagle | Salmon","Pictish_stones_00159"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00114","Lindores, Abdie, Kaim Hill","PictishStone","Fife","I","5","1","Triple-Disc | Bar | Crescent | V | Mirror","Pictish_stones_00161"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00115","Little Ferry Links 2","PictishStone","Highland Sutherland","I","4","1","Horseshoe | Z-Rod | Crescent | V","Pictish_stones_00164"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00116","Little Ferry Links 4+4a","PictishStone","Highland Sutherland","I","3","1","Crescent | V | Mirror","Pictish_stones_00166"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00117","Logie Elphinstone 1","PictishStone","Aberdeenshire","I","3","1","Crescent | V | Double-Disc","Pictish_stones_00168"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00118","Logie Elphinstone 2","PictishStone","Aberdeenshire","I","6","1","Crescent | V | Double-Disc | Z | Double-Disc | Z","Pictish_stones_00169"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00119","Logierait 1","PictishStone","Perthshire and Kinross","II","2","1","Serpent | Straight-Rod","Pictish_stones_00171"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00120","Mail Figure Stone, Cunningsburgh","PictishStone","Shetland","IV","3","1","Wolf-Man | Axe | Club","Pictish_stones_00174"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00121","Meigle 1","PictishStone","Perthshire and Kinross","II","8","1","Salmon | Beast's-Head | Triquetra | Serpent | Z | Mirror | Comb | Beast","Pictish_stones_00176"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00122","Meigle 2","PictishStone","Perthshire and Kinross","IV","5","1","Horseman | Horseman | Horseman | Horseman | Centaur","Pictish_stones_00177"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00123","Meigle 5","PictishStone","Perthshire and Kinross","II","2","1","Mirror-Case | Beast","Pictish_stones_00180"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00124","Meigle 6","PictishStone","Perthshire and Kinross","II","3","1","Double-Disc | Crescent | Hound","Pictish_stones_00181"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00125","Meigle 7","PictishStone","Perthshire and Kinross","II","4","1","Double-Disc | Z | Mirror | Comb","Pictish_stones_00182"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00126","Meigle 8","PictishStone","Perthshire and Kinross","III","2","1","Disc | 2-Bars","Pictish_stones_00183"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00127","Migvie","PictishStone","Aberdeenshire","II","5","1","Double-Disc | Z | Horseshoe | V | Shears","Pictish_stones_00185"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00128","Mill of Newton, Tillypronie","PictishStone","Aberdeenshire","I","4","1","Notched-Rectangle | Z | Crescent | V","Pictish_stones_00186"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00129","Monifieth 1","PictishStone","Angus","II","5","1","Double-Disc | Comb | Double-Disc | Z | Mirror","Pictish_stones_00187"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00130","Monifieth 2","PictishStone","Angus","II","3","1","Deer's-Head | Crescent | V","Pictish_stones_00188"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00131","Monifieth 3","PictishStone","Angus","IV","6","1","Crescent | Horseman | Stag | Hound | Dog | Fish-Monster","Pictish_stones_00189"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00132","Monymusk","PictishStone","Aberdeenshire","II","3","1","Step | Triple-Disc | Bar","Pictish_stones_00190"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00133","Mortlach 1, Battle Stone","PictishStone","Moray","II","5","1","Fish-Monster | Fish-Monster | Eagle | Serpent | Bull's-Head","Pictish_stones_00191"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00134","Mortlach 2","PictishStone","Moray","I","2","1","Beast | Ogee","Pictish_stones_00192"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00135","Myreton, Picardy Stone, Insch","PictishStone","Aberdeenshire","I","6","1","Double-Disc | Z | Serpent | Z | Mirror | Comb","Pictish_stones_00193"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00136","Nacidale, St. Ninian's Chapel","PictishStone","Highland Sutherland","I","2","1","Triple-Disc | Beast","Pictish_stones_00194"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00137","Newbigging Leslie, Leith Hall","PictishStone","Aberdeenshire","I","4","1","Rectangle | Wolf | Mirror | Comb","Pictish_stones_00196"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00138","Newton House","PictishStone","Aberdeenshire","I","3","1","Double-Disc | Serpent | Z","Pictish_stones_00197"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00139","Newton of Lewesk, Mill of Lewesk","PictishStone","Aberdeenshire","I","4","1","Mirror-Case | 2-Crescent | Rectangle | Z","Pictish_stones_00199"
"Pictish_stones","ambiguous_symbol_system","Pictish_stones_exact_00140","Newton, Collessie Farm","PictishStone","Fife","I","2","1","Horseshoe | Man","Pictish_stones_00200"
