date,path,source_file,width,height,box,sha256,note
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_left_390_region.png,tmp/m315_cisi1/n113_w2000.jpg,115,280,"[1600, 330, 1715, 610]",64b7817a2398ad66422eab10f74889d9fc8f129af111737615c7581dbb87a5b2,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_left_390_region_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,115,280,"[1600, 330, 1715, 610]",61dea71abd286543496a382a3f04f92a6f8737ee9b6f77bbb62f6c0fab3ef83a,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_second_034_region.png,tmp/m315_cisi1/n113_w2000.jpg,150,280,"[1715, 330, 1865, 610]",b0b79199b3987c6d68cc21d1b93569f1ea6336f73d03e6145addb67117dfdae4,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_upper_face_second_034_region_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,150,280,"[1715, 330, 1865, 610]",b0f727d10479ee6b019b7f930837344a77cb543b02f871cec209f6f8e995e84d,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_right_390_region.png,tmp/m315_cisi1/n113_w2000.jpg,120,308,"[2200, 1190, 2320, 1498]",a23719067a24a88fe67b35084373b64609281740c715710d4e067c925c49e1ee,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_right_390_region_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,120,308,"[2200, 1190, 2320, 1498]",75c996432107be302cf1071a1a835f1410da37f613d0b34e6bcda90781efdb77,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_second_034_region.png,tmp/m315_cisi1/n113_w2000.jpg,165,308,"[2040, 1190, 2205, 1498]",16680fa71b0d6c1133dee853f2c92702ca660a9b5c9307da765ed23b34d0983f,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_lower_impression_second_034_region_gray_autocontrast.png,tmp/m315_cisi1/n113_w2000.jpg,165,308,"[2040, 1190, 2205, 1498]",09104ba8764fbac1092829bfc4e390428939d86f752bd09d5f2feab73d7ce356,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_page78_boxes_overlay.png,tmp/m315_cisi1/n113_w2000.jpg,2438,3458,null,fea51ac9aec5a431cacbb73c451a7fce1db56e8bec54bed8e54c0d26e074428f,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_data_page_row_context.png,tmp/m315_cisi1/n403_w2000.jpg,1080,208,"[80, 1680, 1160, 1888]",21784c1a9d7190855901ab3c15f8db941dd0512051a9334678012ca6ca63db54,M-315 source crop or provenance overlay
2026-05-25,tmp/m315_cisi1/derived/m315_data_page_row_context_gray_autocontrast.png,tmp/m315_cisi1/n403_w2000.jpg,1080,208,"[80, 1680, 1160, 1888]",c817cbda801d5881c36dfad86f276a64e73aeb899897b6e59824e9b1a76e69f1,M-315 source crop or provenance overlay
