"control","stratum_kind","stratum_value","model","iterations","observed_value","null_mean","null_sd","null_min","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share"
"duplicate_matched_position_slots","type","SEAL:S","length","5","0.461538","0.461538","0","0.461538","0.461538","0.461538","0.461538","0.461538","0","1"
"duplicate_matched_position_slots","type","SEAL:S","edge_frame","5","0.532225","0.427027","0.006076","0.418919","0.419958","0.424116","0.434927","0.435551","0.105198","0"
"duplicate_matched_position_slots","type","SEAL:S","token_nb","5","0.466736","0.292516","0.017101","0.269231","0.272973","0.288981","0.316632","0.322245","0.17422","0"
"duplicate_matched_position_slots","type","TAB:B","majority","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"duplicate_matched_position_slots","type","TAB:B","length","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"duplicate_matched_position_slots","type","TAB:B","edge_frame","5","0.354839","0.291129","0.01621","0.278226","0.279032","0.282258","0.316129","0.322581","0.06371","0"
"duplicate_matched_position_slots","type","TAB:B","token_nb","5","0.520161","0.275","0.025169","0.254032","0.254839","0.262097","0.31371","0.322581","0.245161","0"
"duplicate_matched_position_slots","type","TAB:I","majority","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"duplicate_matched_position_slots","type","TAB:I","length","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"duplicate_matched_position_slots","type","TAB:I","edge_frame","5","0.557377","0.444262","0.024535","0.42623","0.42623","0.434426","0.481967","0.491803","0.113115","0"
"duplicate_matched_position_slots","type","TAB:I","token_nb","5","0.729508","0.429508","0.035388","0.385246","0.386885","0.434426","0.472131","0.47541","0.3","0"
"duplicate_matched_position_slots","type_site","SEAL:R@Mohenjo-daro","majority","5","0","0","0","0","0","0","0","0","0","1"
"duplicate_matched_position_slots","type_site","SEAL:R@Mohenjo-daro","length","5","0.297872","0.297872","0","0.297872","0.297872","0.297872","0.297872","0.297872","0","1"
"duplicate_matched_position_slots","type_site","SEAL:R@Mohenjo-daro","edge_frame","5","0.340426","0.3","0.020629","0.287234","0.287234","0.287234","0.331915","0.340426","0.040426","0.2"
"duplicate_matched_position_slots","type_site","SEAL:R@Mohenjo-daro","token_nb","5","0.457447","0.240425","0.033371","0.202128","0.206383","0.223404","0.289361","0.297872","0.217022","0"
"duplicate_matched_position_slots","type_site","SEAL:S@Harappa","majority","5","0.21519","0.21519","0","0.21519","0.21519","0.21519","0.21519","0.21519","0","1"
"duplicate_matched_position_slots","type_site","SEAL:S@Harappa","length","5","0.481013","0.481013","0","0.481013","0.481013","0.481013","0.481013","0.481013","0","1"
"duplicate_matched_position_slots","type_site","SEAL:S@Harappa","edge_frame","5","0.487342","0.464557","0.013033","0.449367","0.449367","0.468354","0.479747","0.481013","0.022785","0"
"duplicate_matched_position_slots","type_site","SEAL:S@Harappa","token_nb","5","0.386076","0.303797","0.034666","0.265823","0.267089","0.291139","0.346835","0.348101","0.082279","0"
"duplicate_matched_position_slots","type_site","SEAL:S@Mohenjo-daro","majority","5","0.209985","0.209985","0","0.209985","0.209985","0.209985","0.209985","0.209985","0","1"
"duplicate_matched_position_slots","type_site","SEAL:S@Mohenjo-daro","length","5","0.474302","0.474302","0","0.474302","0.474302","0.474302","0.474302","0.474302","0","1"
"duplicate_matched_position_slots","type_site","SEAL:S@Mohenjo-daro","edge_frame","5","0.518355","0.439647","0.011245","0.424376","0.425257","0.443465","0.452569","0.453744","0.078708","0"
"duplicate_matched_position_slots","type_site","SEAL:S@Mohenjo-daro","token_nb","5","0.456681","0.28605","0.019775","0.265786","0.267842","0.277533","0.316006","0.323054","0.170631","0"
"duplicate_matched_position_slots","type_site","TAB:B@Harappa","majority","5","0.324873","0.324873","0","0.324873","0.324873","0.324873","0.324873","0.324873","0","1"
"duplicate_matched_position_slots","type_site","TAB:B@Harappa","length","5","0.294416","0.294416","0","0.294416","0.294416","0.294416","0.294416","0.294416","0","1"
"duplicate_matched_position_slots","type_site","TAB:B@Harappa","edge_frame","5","0.329949","0.292386","0.009415","0.284264","0.284264","0.28934","0.306599","0.309645","0.037563","0"
"duplicate_matched_position_slots","type_site","TAB:B@Harappa","token_nb","5","0.527919","0.313706","0.019102","0.299492","0.299492","0.304569","0.343147","0.350254","0.214213","0"
"duplicate_matched_position_slots","type_site","TAB:I@Harappa","majority","5","0.432203","0.432203","0","0.432203","0.432203","0.432203","0.432203","0.432203","0","1"
"duplicate_matched_position_slots","type_site","TAB:I@Harappa","length","5","0.423729","0.423729","0","0.423729","0.423729","0.423729","0.423729","0.423729","0","1"
"duplicate_matched_position_slots","type_site","TAB:I@Harappa","edge_frame","5","0.542373","0.425424","0.025367","0.40678","0.40678","0.415254","0.464407","0.474576","0.116949","0"
"duplicate_matched_position_slots","type_site","TAB:I@Harappa","token_nb","5","0.720339","0.416949","0.031436","0.381356","0.384746","0.398305","0.461017","0.466102","0.30339","0"
"administrative_register_code","site","Harappa","majority","5","0.277686","0.277686","0","0.277686","0.277686","0.277686","0.277686","0.277686","0","1"
"administrative_register_code","site","Harappa","length","5","0.393388","0.393388","0","0.393388","0.393388","0.393388","0.393388","0.393388","0","1"
"administrative_register_code","site","Harappa","edge_frame","5","0.461157","0.362644","0.015135","0.335537","0.340826","0.365289","0.379173","0.381818","0.098513","0"
"administrative_register_code","site","Harappa","token_nb","5","0.519008","0.301818","0.013774","0.279339","0.281984","0.309091","0.315041","0.315702","0.21719","0"
"administrative_register_code","site","Mohenjo-daro","majority","5","0.18143","0.18143","0","0.18143","0.18143","0.18143","0.18143","0.18143","0","1"
"administrative_register_code","site","Mohenjo-daro","length","5","0.430096","0.430096","0","0.430096","0.430096","0.430096","0.430096","0.430096","0","1"
"administrative_register_code","site","Mohenjo-daro","edge_frame","5","0.495197","0.404482","0.019516","0.366062","0.3746","0.41302","0.41857","0.419424","0.090715","0"
"administrative_register_code","site","Mohenjo-daro","token_nb","5","0.506937","0.257631","0.007351","0.245464","0.247385","0.259338","0.266382","0.267876","0.249306","0"
"administrative_register_code","type","SEAL:R","majority","5","0.195402","0.195402","0","0.195402","0.195402","0.195402","0.195402","0.195402","0","1"
"administrative_register_code","type","SEAL:R","length","5","0.408046","0.408046","0","0.408046","0.408046","0.408046","0.408046","0.408046","0","1"
"administrative_register_code","type","SEAL:R","edge_frame","5","0.431034","0.383908","0.019026","0.356322","0.35977","0.37931","0.406897","0.408046","0.047126","0"
"administrative_register_code","type","SEAL:R","token_nb","5","0.534483","0.252874","0.038639","0.195402","0.201149","0.258621","0.296552","0.298851","0.281609","0"
"administrative_register_code","type","SEAL:S","majority","5","0.181913","0.181913","0","0.181913","0.181913","0.181913","0.181913","0.181913","0","1"
"administrative_register_code","type","SEAL:S","length","5","0.461538","0.461538","0","0.461538","0.461538","0.461538","0.461538","0.461538","0","1"
"administrative_register_code","type","SEAL:S","edge_frame","5","0.532225","0.429522","0.015012","0.401247","0.406652","0.435551","0.442827","0.443867","0.102703","0"
"administrative_register_code","type","SEAL:S","token_nb","5","0.466736","0.277547","0.013837","0.254678","0.258836","0.276507","0.294594","0.297297","0.189189","0"
"administrative_register_code","type","TAB:B","majority","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"administrative_register_code","type","TAB:B","length","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"administrative_register_code","type","TAB:B","edge_frame","5","0.354839","0.218548","0.029455","0.189516","0.190322","0.209677","0.262097","0.270161","0.136291","0"
"administrative_register_code","type","TAB:B","token_nb","5","0.520161","0.262097","0.01839","0.229839","0.236291","0.262097","0.283064","0.28629","0.258064","0"
"administrative_register_code","type","TAB:I","majority","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"administrative_register_code","type","TAB:I","length","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"administrative_register_code","type","TAB:I","edge_frame","5","0.557377","0.388525","0.06928","0.278689","0.296722","0.385246","0.477049","0.491803","0.168852","0"
"administrative_register_code","type","TAB:I","token_nb","5","0.729508","0.380328","0.057166","0.270492","0.293443","0.401639","0.429508","0.434426","0.34918","0"
"administrative_register_code","type_site","SEAL:R@Mohenjo-daro","majority","5","0","0","0","0","0","0","0","0","0","1"
"administrative_register_code","type_site","SEAL:R@Mohenjo-daro","length","5","0.297872","0.297872","0","0.297872","0.297872","0.297872","0.297872","0.297872","0","1"
"administrative_register_code","type_site","SEAL:R@Mohenjo-daro","edge_frame","5","0.340426","0.321277","0.040593","0.255319","0.268085","0.319149","0.372341","0.382979","0.019149","0.2"
"administrative_register_code","type_site","SEAL:R@Mohenjo-daro","token_nb","5","0.457447","0.253191","0.022717","0.223404","0.225532","0.255319","0.282979","0.287234","0.204256","0"
"administrative_register_code","type_site","SEAL:S@Harappa","majority","5","0.21519","0.21519","0","0.21519","0.21519","0.21519","0.21519","0.21519","0","1"
"administrative_register_code","type_site","SEAL:S@Harappa","length","5","0.481013","0.481013","0","0.481013","0.481013","0.481013","0.481013","0.481013","0","1"
"administrative_register_code","type_site","SEAL:S@Harappa","edge_frame","5","0.487342","0.491139","0.019854","0.455696","0.462025","0.493671","0.511392","0.512658","-0.003797","0.8"
"administrative_register_code","type_site","SEAL:S@Harappa","token_nb","5","0.386076","0.3","0.035034","0.265823","0.265823","0.28481","0.345569","0.348101","0.086076","0"
"administrative_register_code","type_site","SEAL:S@Mohenjo-daro","majority","5","0.209985","0.209985","0","0.209985","0.209985","0.209985","0.209985","0.209985","0","1"
"administrative_register_code","type_site","SEAL:S@Mohenjo-daro","length","5","0.474302","0.474302","0","0.474302","0.474302","0.474302","0.474302","0.474302","0","1"
"administrative_register_code","type_site","SEAL:S@Mohenjo-daro","edge_frame","5","0.518355","0.447283","0.014435","0.43025","0.431718","0.446402","0.468135","0.472834","0.071072","0"
"administrative_register_code","type_site","SEAL:S@Mohenjo-daro","token_nb","5","0.456681","0.268135","0.012652","0.25257","0.254332","0.267254","0.286344","0.290749","0.188546","0"
"administrative_register_code","type_site","TAB:B@Harappa","majority","5","0.324873","0.324873","0","0.324873","0.324873","0.324873","0.324873","0.324873","0","1"
"administrative_register_code","type_site","TAB:B@Harappa","length","5","0.294416","0.294416","0","0.294416","0.294416","0.294416","0.294416","0.294416","0","1"
"administrative_register_code","type_site","TAB:B@Harappa","edge_frame","5","0.329949","0.231472","0.051126","0.172589","0.174619","0.22335","0.298478","0.304569","0.098477","0"
"administrative_register_code","type_site","TAB:B@Harappa","token_nb","5","0.527919","0.281218","0.036689","0.233503","0.236549","0.279188","0.323858","0.324873","0.246701","0"
"administrative_register_code","type_site","TAB:I@Harappa","majority","5","0.432203","0.432203","0","0.432203","0.432203","0.432203","0.432203","0.432203","0","1"
"administrative_register_code","type_site","TAB:I@Harappa","length","5","0.423729","0.423729","0","0.423729","0.423729","0.423729","0.423729","0.423729","0","1"
"administrative_register_code","type_site","TAB:I@Harappa","edge_frame","5","0.542373","0.369492","0.068973","0.262712","0.279661","0.364407","0.459322","0.474576","0.172881","0"
"administrative_register_code","type_site","TAB:I@Harappa","token_nb","5","0.720339","0.388136","0.052075","0.288136","0.31017","0.40678","0.433898","0.440678","0.332203","0"
"emblem_formula_code","site","Harappa","majority","5","0.277686","0.277686","0","0.277686","0.277686","0.277686","0.277686","0.277686","0","1"
"emblem_formula_code","site","Harappa","length","5","0.393388","0.393388","0","0.393388","0.393388","0.393388","0.393388","0.393388","0","1"
"emblem_formula_code","site","Harappa","edge_frame","5","0.461157","0.332562","0.026496","0.292562","0.299174","0.330579","0.367934","0.375207","0.128595","0"
"emblem_formula_code","site","Harappa","token_nb","5","0.519008","0.273058","0.015971","0.242975","0.249587","0.277686","0.288264","0.290909","0.24595","0"
"emblem_formula_code","site","Mohenjo-daro","majority","5","0.18143","0.18143","0","0.18143","0.18143","0.18143","0.18143","0.18143","0","1"
"emblem_formula_code","site","Mohenjo-daro","length","5","0.430096","0.430096","0","0.430096","0.430096","0.430096","0.430096","0.430096","0","1"
"emblem_formula_code","site","Mohenjo-daro","edge_frame","5","0.495197","0.38143","0.017609","0.360726","0.36158","0.381003","0.405336","0.408751","0.113767","0"
"emblem_formula_code","site","Mohenjo-daro","token_nb","5","0.506937","0.254002","0.012931","0.239061","0.240128","0.247599","0.269797","0.270011","0.252935","0"
"emblem_formula_code","type","SEAL:R","majority","5","0.195402","0.195402","0","0.195402","0.195402","0.195402","0.195402","0.195402","0","1"
"emblem_formula_code","type","SEAL:R","length","5","0.408046","0.408046","0","0.408046","0.408046","0.408046","0.408046","0.408046","0","1"
"emblem_formula_code","type","SEAL:R","edge_frame","5","0.431034","0.37931","0.062747","0.293103","0.3","0.37931","0.451724","0.454023","0.051724","0.4"
"emblem_formula_code","type","SEAL:R","token_nb","5","0.534483","0.244828","0.026611","0.206897","0.211495","0.247126","0.28046","0.287356","0.289655","0"
"emblem_formula_code","type","SEAL:S","majority","5","0.181913","0.181913","0","0.181913","0.181913","0.181913","0.181913","0.181913","0","1"
"emblem_formula_code","type","SEAL:S","length","5","0.461538","0.461538","0","0.461538","0.461538","0.461538","0.461538","0.461538","0","1"
"emblem_formula_code","type","SEAL:S","edge_frame","5","0.532225","0.408108","0.010005","0.39501","0.396465","0.405405","0.422037","0.424116","0.124117","0"
"emblem_formula_code","type","SEAL:S","token_nb","5","0.466736","0.259252","0.00796","0.246362","0.248441","0.257796","0.267983","0.268191","0.207484","0"
"emblem_formula_code","type","TAB:B","majority","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"emblem_formula_code","type","TAB:B","length","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"emblem_formula_code","type","TAB:B","edge_frame","5","0.354839","0.247581","0.05614","0.157258","0.175","0.25","0.317742","0.334677","0.107258","0"
"emblem_formula_code","type","TAB:B","token_nb","5","0.520161","0.273387","0.018636","0.237903","0.245161","0.278226","0.289516","0.290323","0.246774","0"
"emblem_formula_code","type","TAB:I","majority","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"emblem_formula_code","type","TAB:I","length","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"emblem_formula_code","type","TAB:I","edge_frame","5","0.557377","0.386885","0.05593","0.295082","0.309836","0.401639","0.454098","0.467213","0.170492","0"
"emblem_formula_code","type","TAB:I","token_nb","5","0.729508","0.352459","0.041147","0.295082","0.3","0.352459","0.4","0.401639","0.377049","0"
"emblem_formula_code","type_site","SEAL:R@Mohenjo-daro","majority","5","0","0","0","0","0","0","0","0","0","1"
"emblem_formula_code","type_site","SEAL:R@Mohenjo-daro","length","5","0.297872","0.297872","0","0.297872","0.297872","0.297872","0.297872","0.297872","0","1"
"emblem_formula_code","type_site","SEAL:R@Mohenjo-daro","edge_frame","5","0.340426","0.353192","0.056051","0.265957","0.280851","0.340426","0.425532","0.43617","-0.012766","0.8"
"emblem_formula_code","type_site","SEAL:R@Mohenjo-daro","token_nb","5","0.457447","0.242553","0.029635","0.191489","0.2","0.244681","0.274468","0.276596","0.214894","0"
"emblem_formula_code","type_site","SEAL:S@Harappa","majority","5","0.21519","0.21519","0","0.21519","0.21519","0.21519","0.21519","0.21519","0","1"
"emblem_formula_code","type_site","SEAL:S@Harappa","length","5","0.481013","0.481013","0","0.481013","0.481013","0.481013","0.481013","0.481013","0","1"
"emblem_formula_code","type_site","SEAL:S@Harappa","edge_frame","5","0.487342","0.44557","0.040939","0.379747","0.388608","0.455696","0.493671","0.5","0.041772","0.2"
"emblem_formula_code","type_site","SEAL:S@Harappa","token_nb","5","0.386076","0.262025","0.029031","0.208861","0.220253","0.265823","0.292405","0.297468","0.124051","0"
"emblem_formula_code","type_site","SEAL:S@Mohenjo-daro","majority","5","0.209985","0.209985","0","0.209985","0.209985","0.209985","0.209985","0.209985","0","1"
"emblem_formula_code","type_site","SEAL:S@Mohenjo-daro","length","5","0.474302","0.474302","0","0.474302","0.474302","0.474302","0.474302","0.474302","0","1"
"emblem_formula_code","type_site","SEAL:S@Mohenjo-daro","edge_frame","5","0.518355","0.411454","0.018327","0.378855","0.384729","0.412628","0.429663","0.43025","0.106901","0"
"emblem_formula_code","type_site","SEAL:S@Mohenjo-daro","token_nb","5","0.456681","0.256094","0.014435","0.234949","0.236711","0.26138","0.271953","0.273128","0.200587","0"
"emblem_formula_code","type_site","TAB:B@Harappa","majority","5","0.324873","0.324873","0","0.324873","0.324873","0.324873","0.324873","0.324873","0","1"
"emblem_formula_code","type_site","TAB:B@Harappa","length","5","0.294416","0.294416","0","0.294416","0.294416","0.294416","0.294416","0.294416","0","1"
"emblem_formula_code","type_site","TAB:B@Harappa","edge_frame","5","0.329949","0.260914","0.053778","0.208122","0.211168","0.243655","0.342132","0.360406","0.069035","0.2"
"emblem_formula_code","type_site","TAB:B@Harappa","token_nb","5","0.527919","0.314721","0.033053","0.274112","0.275127","0.329949","0.354315","0.360406","0.213198","0"
"emblem_formula_code","type_site","TAB:I@Harappa","majority","5","0.432203","0.432203","0","0.432203","0.432203","0.432203","0.432203","0.432203","0","1"
"emblem_formula_code","type_site","TAB:I@Harappa","length","5","0.423729","0.423729","0","0.423729","0.423729","0.423729","0.423729","0.423729","0","1"
"emblem_formula_code","type_site","TAB:I@Harappa","edge_frame","5","0.542373","0.372881","0.03032","0.330508","0.333898","0.381356","0.410169","0.415254","0.169492","0"
"emblem_formula_code","type_site","TAB:I@Harappa","token_nb","5","0.720339","0.345763","0.05606","0.262712","0.271187","0.364407","0.413559","0.423729","0.374576","0"
"mixed_admin_emblem_code","site","Harappa","majority","5","0.277686","0.277686","0","0.277686","0.277686","0.277686","0.277686","0.277686","0","1"
"mixed_admin_emblem_code","site","Harappa","length","5","0.393388","0.393388","0","0.393388","0.393388","0.393388","0.393388","0.393388","0","1"
"mixed_admin_emblem_code","site","Harappa","edge_frame","5","0.461157","0.346446","0.014695","0.328926","0.330248","0.347107","0.367273","0.371901","0.114711","0"
"mixed_admin_emblem_code","site","Harappa","token_nb","5","0.519008","0.296198","0.014538","0.277686","0.28","0.290909","0.317025","0.320661","0.22281","0"
"mixed_admin_emblem_code","site","Mohenjo-daro","majority","5","0.18143","0.18143","0","0.18143","0.18143","0.18143","0.18143","0.18143","0","1"
"mixed_admin_emblem_code","site","Mohenjo-daro","length","5","0.430096","0.430096","0","0.430096","0.430096","0.430096","0.430096","0.430096","0","1"
"mixed_admin_emblem_code","site","Mohenjo-daro","edge_frame","5","0.495197","0.396158","0.011403","0.38207","0.382284","0.401281","0.408752","0.409819","0.099039","0"
"mixed_admin_emblem_code","site","Mohenjo-daro","token_nb","5","0.506937","0.25699","0.016635","0.241195","0.241835","0.255069","0.281751","0.288154","0.249947","0"
"mixed_admin_emblem_code","type","SEAL:R","majority","5","0.195402","0.195402","0","0.195402","0.195402","0.195402","0.195402","0.195402","0","1"
"mixed_admin_emblem_code","type","SEAL:R","length","5","0.408046","0.408046","0","0.408046","0.408046","0.408046","0.408046","0.408046","0","1"
"mixed_admin_emblem_code","type","SEAL:R","edge_frame","5","0.431034","0.367816","0.028389","0.33908","0.34023","0.350575","0.402299","0.402299","0.063218","0"
"mixed_admin_emblem_code","type","SEAL:R","token_nb","5","0.534483","0.228735","0.032794","0.195402","0.196551","0.224138","0.277011","0.287356","0.305748","0"
"mixed_admin_emblem_code","type","SEAL:S","majority","5","0.181913","0.181913","0","0.181913","0.181913","0.181913","0.181913","0.181913","0","1"
"mixed_admin_emblem_code","type","SEAL:S","length","5","0.461538","0.461538","0","0.461538","0.461538","0.461538","0.461538","0.461538","0","1"
"mixed_admin_emblem_code","type","SEAL:S","edge_frame","5","0.532225","0.39896","0.015382","0.373181","0.376507","0.406445","0.413305","0.413721","0.133265","0"
"mixed_admin_emblem_code","type","SEAL:S","token_nb","5","0.466736","0.247609","0.005024","0.242204","0.24262","0.244283","0.254262","0.254678","0.219127","0"
"mixed_admin_emblem_code","type","TAB:B","majority","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"mixed_admin_emblem_code","type","TAB:B","length","5","0.298387","0.298387","0","0.298387","0.298387","0.298387","0.298387","0.298387","0","1"
"mixed_admin_emblem_code","type","TAB:B","edge_frame","5","0.354839","0.269355","0.03583","0.229839","0.232258","0.25","0.31371","0.314516","0.085484","0"
"mixed_admin_emblem_code","type","TAB:B","token_nb","5","0.520161","0.284677","0.032718","0.25","0.254032","0.278226","0.333064","0.346774","0.235484","0"
"mixed_admin_emblem_code","type","TAB:I","majority","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"mixed_admin_emblem_code","type","TAB:I","length","5","0.442623","0.442623","0","0.442623","0.442623","0.442623","0.442623","0.442623","0","1"
"mixed_admin_emblem_code","type","TAB:I","edge_frame","5","0.557377","0.381967","0.058788","0.295082","0.303279","0.401639","0.450819","0.459016","0.17541","0"
"mixed_admin_emblem_code","type","TAB:I","token_nb","5","0.729508","0.419672","0.028109","0.368852","0.377049","0.434426","0.442623","0.442623","0.309836","0"
"mixed_admin_emblem_code","type_site","SEAL:R@Mohenjo-daro","majority","5","0","0","0","0","0","0","0","0","0","1"
"mixed_admin_emblem_code","type_site","SEAL:R@Mohenjo-daro","length","5","0.297872","0.297872","0","0.297872","0.297872","0.297872","0.297872","0.297872","0","1"
"mixed_admin_emblem_code","type_site","SEAL:R@Mohenjo-daro","edge_frame","5","0.340426","0.331915","0.049167","0.255319","0.265957","0.340426","0.393617","0.404255","0.008511","0.6"
"mixed_admin_emblem_code","type_site","SEAL:R@Mohenjo-daro","token_nb","5","0.457447","0.234042","0.026058","0.191489","0.197872","0.234043","0.263829","0.265957","0.223405","0"
"mixed_admin_emblem_code","type_site","SEAL:S@Harappa","majority","5","0.21519","0.21519","0","0.21519","0.21519","0.21519","0.21519","0.21519","0","1"
"mixed_admin_emblem_code","type_site","SEAL:S@Harappa","length","5","0.481013","0.481013","0","0.481013","0.481013","0.481013","0.481013","0.481013","0","1"
"mixed_admin_emblem_code","type_site","SEAL:S@Harappa","edge_frame","5","0.487342","0.459494","0.040546","0.411392","0.411392","0.474684","0.503797","0.506329","0.027848","0.4"
"mixed_admin_emblem_code","type_site","SEAL:S@Harappa","token_nb","5","0.386076","0.289873","0.034758","0.240506","0.244304","0.297468","0.327848","0.329114","0.096203","0"
"mixed_admin_emblem_code","type_site","SEAL:S@Mohenjo-daro","majority","5","0.209985","0.209985","0","0.209985","0.209985","0.209985","0.209985","0.209985","0","1"
"mixed_admin_emblem_code","type_site","SEAL:S@Mohenjo-daro","length","5","0.474302","0.474302","0","0.474302","0.474302","0.474302","0.474302","0.474302","0","1"
"mixed_admin_emblem_code","type_site","SEAL:S@Mohenjo-daro","edge_frame","5","0.518355","0.414097","0.01682","0.39207","0.393832","0.41116","0.434948","0.436123","0.104258","0"
"mixed_admin_emblem_code","type_site","SEAL:S@Mohenjo-daro","token_nb","5","0.456681","0.244053","0.015745","0.227606","0.228781","0.240822","0.267548","0.273128","0.212628","0"
"mixed_admin_emblem_code","type_site","TAB:B@Harappa","majority","5","0.324873","0.324873","0","0.324873","0.324873","0.324873","0.324873","0.324873","0","1"
"mixed_admin_emblem_code","type_site","TAB:B@Harappa","length","5","0.294416","0.294416","0","0.294416","0.294416","0.294416","0.294416","0.294416","0","1"
"mixed_admin_emblem_code","type_site","TAB:B@Harappa","edge_frame","5","0.329949","0.276142","0.032201","0.22335","0.232487","0.269036","0.312691","0.314721","0.053807","0"
"mixed_admin_emblem_code","type_site","TAB:B@Harappa","token_nb","5","0.527919","0.291371","0.047467","0.228426","0.238578","0.284264","0.358376","0.375635","0.236548","0"
"mixed_admin_emblem_code","type_site","TAB:I@Harappa","majority","5","0.432203","0.432203","0","0.432203","0.432203","0.432203","0.432203","0.432203","0","1"
"mixed_admin_emblem_code","type_site","TAB:I@Harappa","length","5","0.423729","0.423729","0","0.423729","0.423729","0.423729","0.423729","0.423729","0","1"
"mixed_admin_emblem_code","type_site","TAB:I@Harappa","edge_frame","5","0.542373","0.364407","0.060639","0.271186","0.281356","0.381356","0.433898","0.440678","0.177966","0"
"mixed_admin_emblem_code","type_site","TAB:I@Harappa","token_nb","5","0.720339","0.411865","0.034983","0.347458","0.359322","0.423729","0.445763","0.449153","0.308474","0"
