head,frame_rows,exact_text_rows,branch_count,repeated_branch_count,terminal_rows,continuing_rows,determinism_score,determinism_p,determinism_method,exact_text_determinism_score,exact_text_determinism_p,exact_text_method,pure_branches,branch_counts,examples
392,1,1,1,0,0,1,,,,,,,,590:1,Lh-1:235-002-392-590-125:C
540,1,1,1,0,1,0,,,,,,,,590:1,L-112:605-002-540-590-<END>:T
269,1,1,1,0,0,1,,,,,,,,892:1,M-1766:240-002-269-892-810 033:C
286,1,1,1,0,0,1,,,,,,,,220:1,M-1688:255-002-286-220-031 012 031 455 033 590:C
093,1,1,1,0,1,0,,,,,,,,033:1,M-1765:705-002-093-033-<END>:T
320,1,1,1,0,0,1,,,,,,,,705:1,M-1668:803-002-320-705-125:C
156,1,1,1,0,1,0,,,,,,,,920:1,M-1810:003-002-156-920-<END>:T
703,1,1,1,0,1,0,,,,,,,,000:1,M-1787:061-002-703-000-<END>:T
416,1,1,1,0,1,0,,,,,,,,000:1,M-1884:016-002-416-000-<END>:T
564,1,1,1,0,0,1,,,,,,,,617:1,M-4:231-002-564-617-033:C
527,1,1,1,0,0,1,,,,,,,,475:1,M-40:391-002-527-475-005:C
300,1,1,1,0,0,1,,,,,,,,350:1,M-49:032-002-300-350-032 190:C
504,1,1,1,0,1,0,,,,,,,,717:1,M-52:803-002-504-717-<END>:T
617,1,1,1,0,1,0,,,,,,,,070:1,M-81:240-002-617-070-<END>:T
207,1,1,1,0,0,1,,,,,,,,550:1,M-82:222-002-207-550-390:C
287,1,1,1,0,1,0,,,,,,,,140:1,M-109:415-002-287-140-<END>:T
295,1,1,1,0,1,0,,,,,,,,502:1,M-181:175-002-295-502-<END>:T
700,1,1,1,0,1,0,,,,,,,,000:1,M-279:415-002-700-000-<END>:T
944,1,1,1,0,0,1,,,,,,,,920:1,M-280:240-002-944-920-140:C
727,1,1,1,0,1,0,,,,,,,,317:1,M-308:220-002-727-317-<END>:T
354,1,1,1,0,1,0,,,,,,,,004:1,M-413:798-002-354-004-<END>:T
520,1,1,1,0,0,1,,,,,,,,000:1,M-451:000-002-520-000-000 000 906 388:C
299,1,1,1,0,0,1,,,,,,,,530:1,M-623:798-002-299-530-820:C
291,1,1,1,0,0,1,,,,,,,,690:1,M-628:233-002-291-690-564:C
002,1,1,1,0,1,0,,,,,,,,817:1,M-658:070-002-002-817-<END>:T
550,1,1,1,0,1,0,,,,,,,,615:1,M-849:350-002-550-615-<END>:T
315,1,1,1,0,1,0,,,,,,,,850:1,M-1002:031-002-315-850-<END>:T
065,1,1,1,0,1,0,,,,,,,,834:1,M-1082:235-002-065-834-<END>:T
400,1,1,1,0,1,0,,,,,,,,703:1,M-1135:061-002-400-703-<END>:T
033,1,1,1,0,1,0,,,,,,,,705:1,M-1155:335-002-033-705-<END>:T
168,1,1,1,0,1,0,,,,,,,,032:1,M-1159:032-002-168-032-<END>:T
270,1,1,1,0,0,1,,,,,,,,633:1,M-1169:072-002-270-633-032:C
244,1,1,1,0,1,0,,,,,,,,632:1,M-1188:240-002-244-632-<END>:T
904,1,1,1,0,1,0,,,,,,,,346:1,M-1319:806-002-904-346-<END>:T
060,1,1,1,0,1,0,,,,,,,,820:1,M-1369:832-002-060-820-<END>:T
790,1,1,1,0,0,1,,,,,,,,290:1,M-1631:<START>-002-790-290-741:C
095,1,1,1,0,1,0,,,,,,,,000:1,TY-106:<START>-002-095-000-<END>:T
004,1,1,1,0,0,1,,,,,,,,328:1,-:3898.1:<START>-002-004-328-001 803 415:C
413,1,1,1,0,0,1,,,,,,,,368:1,M-1894:233-002-413-368-031:C
590,1,1,1,0,1,0,,,,,,,,455:1,M-1909:005-002-590-455-<END>:T
407,1,1,1,0,0,1,,,,,,,,125:1,M-2055:<START>-002-407-125-590 831:C
278,1,1,1,0,1,0,,,,,,,,595:1,-:4173.1:004-002-278-595-<END>:T
226,1,1,1,0,1,0,,,,,,,,231:1,-:4200.1:031-002-226-231-<END>:T
463,1,1,1,0,1,0,,,,,,,,575:1,-:4203.1:017-002-463-575-<END>:T
629,1,1,1,0,1,0,,,,,,,,279:1,-:4209.1:384-002-629-279-<END>:T
001,1,1,1,0,1,0,,,,,,,,250:1,Ns-56:111-002-001-250-<END>:T
