checked_date,head_after_002,cisi,row_id,site,type,symbol,cult,prev_before_002,next_after_head,tail_after_head,text
2026-05-31,920,C-3,91.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,016,317,317,+740-016-002-920-317+
2026-05-31,817,C-4,92.1,Chanhu-daro,SEAL:S,Bull1:L,RAN,803,<END>,<END>,+520-235-803-002-817+
2026-05-31,298,C-5,93.1,Chanhu-daro,SEAL:S,Bull1:I,RBF,717,741,741,+740-140-717-002-298-741+
2026-05-31,031,C-6,94.1,Chanhu-daro,SEAL:S,Bull1:J,RAN,221,500,500,+817-521-521/090-740-221-002-031-500+
2026-05-31,000,C-7,95.1,Chanhu-daro,SEAL:S,Bull,-,798,<END>,<END>,+520-033-705-240-798-002-000[
2026-05-31,817,C-10,98.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,<END>,<END>,+740-231-220-032-002-817+
2026-05-31,817,C-18,106.1,Chanhu-daro,SEAL:S,Bull1,-,031,<END>,<END>,]000-031-002-817+
2026-05-31,892,Dlp-3,125.1,Desalpur,TAG,None,None,032,740,740,+394-032-002-892-740+
2026-05-31,861,-,130.1,Dholavira,SEAL:S,Bull1:W,S??,803,<END>,<END>,+244-165/740-879-220-416-803-002-861+
2026-05-31,861,-,132.1,Dholavira,SEAL:S,Tigr,None,416,<END>,<END>,+740-416-002-861+
2026-05-31,861,-,136.1,Dholavira,SEAL:R,None,None,016,<END>,<END>,+390-016-002-861+
2026-05-31,817,-,143.1,Dholavira,TAB:B,Gavi,None,031,<END>,<END>,+000-400-350-031-002-817+
2026-05-31,861,Dlv-1,145.1,Dholavira,SEAL:S,Bull1:J,HBN,031,<END>,<END>,+151-382-031-002-861+
2026-05-31,817,Dlv-2,146.1,Dholavira,SEAL:R,None,None,000,<END>,<END>,]000-002-817+
2026-05-31,257,-,216.1,Baror,SEAL:S,Bull1:I,SAF,000,550,550,+000-000-002-257-550+
2026-05-31,817,H-1042,223.1,Harappa,SEAL:S,Bull1,RAN,220,<END>,<END>,+740-923-000-220-002-817+
2026-05-31,820,H-1045,246.1,Harappa,SEAL:S,Bull1:U,RAN,005,<END>,<END>,+740-900-005-002-820+
2026-05-31,297,H-1038,256.1,Harappa,SEAL:S,Bull1:I,-,519,000,000,+740-519-002-297-000[
2026-05-31,861,H-1051,259.1,Harappa,SEAL:S,Bull1:I,SAN,798,<END>,<END>,+400-740-575-017-920-320-798-002-861+
2026-05-31,817,-,280.1,Harappa,TAB:B,Bull2,SAN,240,<END>,<END>,+740-904-240-002-817+
2026-05-31,861,H-1030,284.1,Harappa,SEAL:S,Bull1:W,RAF,103,<END>,<END>,+090-740-103-002-861+
2026-05-31,862,H-1033,293.1,Harappa,SEAL:S,Bull1:W,-,520,032,032,+220-500-520-002-862-032+
2026-05-31,000,H-1058,296.1,Harappa,SEAL,-,-,019,<END>,<END>,]740-019-002-000[
2026-05-31,861,H-1043,303.1,Harappa,SEAL:S,Bull1:W,HBF,003,<END>,<END>,+151-760-220-003-002-861+
2026-05-31,861,H-1421,323.1,Harappa,POT:T:g,None,None,<START>,<END>,<END>,]002-861[
2026-05-31,920,H-2016,370.1,Harappa,TAB:B,None,None,176,491,491,+317-740-335-740-176-002-920-491+
2026-05-31,220,H-1874,388.2,Harappa,TAB:B,None,None,<START>,455,455-000,+002-220-455-000+
2026-05-31,817,H-2003,401.1,Harappa,TAB:B,Mult,None,004,<END>,<END>,+390-004-002-817+
2026-05-31,817,H-2015,402.2,Harappa,TAB:B,None,None,832,<END>,<END>,+520-033-705-235-832-002-817+
2026-05-31,861,H-1942,409.2,Harappa,TAB:B,Bult,None,035,<END>,<END>,+405-035-002-861+
2026-05-31,000,H-1865,411.2,Harappa,TAB:B,None,None,061,<END>,<END>,+740-702-061-002-000+
2026-05-31,817,H-2014,412.2,Harappa,TAB:B,None,None,832,<END>,<END>,]000-832-002-817+
2026-05-31,820,H-1967,448.1,Harappa,TAB:B,Mult,None,382,<END>,<END>,+382-760-382-002-820+
2026-05-31,820,H-1882,466.1,Harappa,TAB:B,None,None,<START>,<END>,<END>,+002-820+
2026-05-31,861,H-2094,476.2,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,861,H-2097,488.2,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,820,H-1681,507.1,Harappa,SEAL:S,Bull1,-,032,<END>,<END>,]000-032-002-820+
2026-05-31,455,H-1671,513.1,Harappa,SEAL:S,Bull1:S,RAN,061,420,420-032,+740-061-002-455-420-032+
2026-05-31,861,H-2095,518.2,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,000,H-1723,536.1,Harappa,TAG:L,-,-,880,<END>,<END>,]000-880-002-000[
2026-05-31,861,H-1692,537.1,Harappa,SEAL:S,None,None,590,<END>,<END>,+740-390-590-002-861+
2026-05-31,003,-,543.1,Harappa,POT:T:g,None,None,064,861,861,+000-480-003-064-002-003-861+
2026-05-31,861,H-2022,594.2,Harappa,TAB:B,Phyt,Mult,175,<END>,<END>,+740-752-175-002-861+
2026-05-31,817,H-1864,599.2,Harappa,TAB:B,None,None,062,<END>,<END>,+740-142-062-002-817+
2026-05-31,575,H-2338,604.1,Harappa,POT:T:g,None,None,061,000,000,]740-061-002-575-000[
2026-05-31,575,-,617.1,Harappa,POT:T:g,None,None,000,000,000,]740-000-000-002-575-000[
2026-05-31,861,-,621.1,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,293,H-1706,623.1,Harappa,SEAL:R,None,None,003,360,360,+405-003-002-293-360+
2026-05-31,546,H-1662,626.1,Harappa,SEAL:S,Bull1:W,H,140,<END>,<END>,+033-033/740-142-061-140-002-546+
2026-05-31,820,H-1680,634.1,Harappa,SEAL:S,Bull1:W,SAN,003,<END>,<END>,+390-003-002-820+
2026-05-31,861,H-2096,665.2,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,820,H-1146,682.2,Harappa,TAB:B,None,None,554,<END>,<END>,+526-554-002-820+
2026-05-31,861,H-2010,729.2,Harappa,TAB:B,Bull1,None,240,<END>,<END>,+740-482-240-002-861+
2026-05-31,824,H-1670,731.1,Harappa,SEAL:S,Bull1:J,HAF,240,<END>,<END>,+740-760-033-033-240-002-824+
2026-05-31,390,H-1993,744.2,Harappa,TAB:B,None,None,004,095,095,+740-000-220-004-002-390-095+
2026-05-31,861,H-1930,771.2,Harappa,TAB:B,Gavi,None,920,<END>,<END>,+408-817-920-002-861+
2026-05-31,861,H-1785,789.1,Harappa,TAB:B,Phyt,None,004,<END>,<END>,+407-004-002-861+
2026-05-31,861,H-1788,805.1,Harappa,TAB:B,None,SAN,470,<END>,<END>,+154-806-470-002-861+
2026-05-31,861,H-2011,937.2,Harappa,TAB:B,Bull1,None,240,<END>,<END>,+740-482-240-002-861+
2026-05-31,817,H-1667,943.1,Harappa,SEAL:S,Bull1:W,SAN,540,<END>,<END>,+740-540-002-817+
2026-05-31,817,-,951.1,Dholavira,SEAL:S,Bull1:U,SAN,004,<END>,<END>,+390-004-002-817+
2026-05-31,002,-,960.1,Harappa,POT:T:g,None,None,<START>,<END>,<END>,+002-002+
2026-05-31,000,-,989.1,Harappa,POT:T:g,None,None,<START>,<END>,<END>,+002-000+
2026-05-31,861,H-1966,1004.1,Harappa,TAB:B,Gaur,Trough,049,<END>,<END>,+520-233-049-002-861+
2026-05-31,817,H-1726,1007.1,Harappa,POT:T:s,None,None,491,<END>,<END>,+740-100-692-491-002-817+
2026-05-31,690,H-1657,1020.1,Harappa,SEAL:S,Bull1:W,SAN,032,921,921,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,861,H-1851,1024.2,Harappa,TAB:B,None,None,031,<END>,<END>,+740-803-892-031-002-861+
2026-05-31,817,H-1739,1030.1,Harappa,POT:T:s,None,None,034,<END>,<END>,]034-002-817[
2026-05-31,003,-,1047.1,Harappa,POT:T:g,None,None,<START>,<END>,<END>,+002-003+
2026-05-31,817,H-1050,1060.1,Harappa,SEAL:S,Bull1:W,SAN,235,<END>,<END>,+804-235-002-817+
2026-05-31,611,H-3,1064.1,Harappa,SEAL:S,Bull1:W,SAN,017,615,615-703,+740-585-017-002-611-615-703+
2026-05-31,690,H-8,1069.1,Harappa,SEAL:S,Bull1:W,SAN,706,921,921,+354-001-740-405-590-033-706-002-690-921+
2026-05-31,817,H-12,1073.1,Harappa,SEAL:S,Bull1:W,SAF,235,<END>,<END>,+740-690-435-255-803-220-240-235-002-817+
2026-05-31,817,H-13,1074.1,Harappa,SEAL:S,Bull1:W,SAF,503,<END>,<END>,+740-760-615-503-002-817+
2026-05-31,817,H-15,1076.1,Harappa,SEAL:S,Bull1:W,SAN,000,<END>,<END>,]000-000-002-817+
2026-05-31,820,H-18,1078.1,Harappa,SEAL:S,Bull1:W,-,032,<END>,<END>,]000-220-032-002-820+
2026-05-31,817,H-21,1081.1,Harappa,SEAL:S,Bull1:W,S,806,<END>,<END>,+405-061-527-555-233-235-806-002-817+
2026-05-31,405,H-22,1082.1,Harappa,SEAL:S,Bull1:W,SAN,806,321,321,+740-920-320-233-806-002-405-321+
2026-05-31,365,H-31,1091.1,Harappa,SEAL:S,Bull1:W,SAN,240,374,374-000,+740-100-415-240-002-365-374-000+
2026-05-31,690,H-41,1100.1,Harappa,SEAL:S,Bull1:J,R,000,<END>,<END>,]000-002-690+
2026-05-31,817,H-42,1101.1,Harappa,SEAL:S,Bull1:J,RAN,235,<END>,<END>,+740-380-235-002-817+
2026-05-31,031,H-44,1103.1,Harappa,SEAL:S,Bull1:W,SAN,803,892,892,+520-033-706-235-798-803-002-031-892+
2026-05-31,820,H-45,1104.1,Harappa,SEAL:S,Bull1:W,-,101,<END>,<END>,+090-740-101-002-820+
2026-05-31,861,H-51,1110.1,Harappa,SEAL:S,Bull1:W,HAF,240,<END>,<END>,+740-643-240-002-861+
2026-05-31,861,H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,004,125,125,+390-004-002-861-125+
2026-05-31,820,H-60,1119.1,Harappa,SEAL:S,Bull1:II,H,003,<END>,<END>,+621-740-900-003/002-820+
2026-05-31,390,H-68,1127.1,Harappa,SEAL:S,Bull1:I,RAN,003,072,072,+090-740-220-003-002-390-072+
2026-05-31,610,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,<START>,125,125-032,+002-610-125-032+
2026-05-31,575,H-78,1135.1,Harappa,SEAL:S,Gaur,Trough,806,000,000,]000-806-002-575-000+
2026-05-31,220,H-82,1139.1,Harappa,SEAL:S,Gaur,Trough,017,455,455-741,+390-017-002-220-455-741+
2026-05-31,817,H-85,1141.1,Harappa,SEAL:S,Zebu,-,219,<END>,<END>,+520-219-002-817+
2026-05-31,615,H-92,1148.1,Harappa,SEAL:S,Elep,None,416,<END>,<END>,+156-176-518-220-416-002-615+
2026-05-31,000,H-100,1155.1,Harappa,SEAL:S,None,None,000,<END>,<END>,+520-031-000-002-000+
2026-05-31,861,H-129,1170.1,Harappa,SEAL:R,None,None,031,244,244-165,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,595,H-130,1171.1,Harappa,SEAL:R,None,None,806,812,812-125-717,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,595,H-131,1172.1,Harappa,SEAL:R,None,None,055,575,575-794-000,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,861,H-134,1175.1,Harappa,SEAL:R,None,None,003,<END>,<END>,+740-405-590-220-003-002-861+
2026-05-31,861,H-135,1176.1,Harappa,SEAL:R,None,None,806,<END>,<END>,+740-773-231-806-002-861+
2026-05-31,817,H-137,1178.1,Harappa,SEAL:R,None,None,233,<END>,<END>,+740-443-388-033-705-233-002-817+
2026-05-31,817,H-140,1181.1,Harappa,SEAL:R,None,None,032,<END>,<END>,+740-384-032-002-817+
2026-05-31,233,H-141,1182.1,Harappa,SEAL:R,None,None,070,235,235,+405-032-900-003-070-002-233-235+
2026-05-31,820,H-149,1190.1,Harappa,SEAL:R,None,None,220,<END>,<END>,+405-061-033-706-794-630-220-002-820+
2026-05-31,817,H-164,1204.1,Harappa,SEAL:R,None,None,097,<END>,<END>,+161-097-002-817+
2026-05-31,817,H-177,1211.1,Harappa,TAB:B,Scene,None,031,<END>,<END>,+700-033-151-706-031-002-817+
2026-05-31,820,H-231,1258.1,Harappa,TAB:B,None,None,240,<END>,<END>,+520-220-240-002-820+
2026-05-31,820,H-244,1269.1,Harappa,TAB:B,None,SAN,104,<END>,<END>,+104-002-820+
2026-05-31,405,H-252,1277.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-253,1278.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-254,1279.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-255,1280.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-256,1281.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-257,1282.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-258,1283.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-259,1284.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-260,1285.1,Harappa,TAB:B,Bull1,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-261,1286.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-262,1287.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-263,1288.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-264,1289.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-265,1290.1,Harappa,TAB:B,Bull1,None,240,501,501,+520-240-002-405-501+
2026-05-31,220,H-268,1293.1,Harappa,SEAL:S,Bull1:W,SAN,803,455,455-920,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,305,H-272,1296.1,Harappa,SEAL:S,Bull1,-,240,032,032-904,+740-585-017-240-002-305-032-904+
2026-05-31,820,H-273,1297.1,Harappa,SEAL:S,Bull1,-,240,<END>,<END>,]000-240-002-820+
2026-05-31,405,H-276,1298.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-277,1299.1,Harappa,TAB:B,Bull1,None,240,501,501,+520-240-002-405-501+
2026-05-31,817,H-292,1314.1,Harappa,TAB:I,None,SAN,<START>,<END>,<END>,+002-817+
2026-05-31,817,H-293,1315.1,Harappa,TAB:I,None,SAN,<START>,<END>,<END>,+002-817+
2026-05-31,000,H-375,1394.1,Harappa,POT:T:g,None,None,220,<END>,<END>,]000-220-002-000[
2026-05-31,000,H-383,1398.1,Harappa,SEAL:S,Bull1:Q,SAN,705,<END>,<END>,+740-585-017-033-705-002-000+
2026-05-31,595,H-385,1399.1,Harappa,SEAL:S,Bull1:W,SAF,220,632,632-354-850,+000-220-002-595-632-354-850+
2026-05-31,817,H-388,1401.1,Harappa,SEAL:S,Bull1:W,SAF,806,<END>,<END>,+520-033-706-231-806-002-817+
2026-05-31,031,H-389,1402.1,Harappa,SEAL:S,Bull1:W,SAN,235,480,480-625,+740-405-590-235-002-031-480-625+
2026-05-31,863,H-405,1410.1,Harappa,SEAL:S,Bull1:W,SAN,806,<END>,<END>,+236-806-002-863+
2026-05-31,817,H-407,1412.1,Harappa,SEAL:S,Bull1:W,SAF,003,<END>,<END>,+390-003-002-817+
2026-05-31,702,H-408,1413.1,Harappa,SEAL:S,Bull1:W,SAN,240,503,503,+740-176-240-002-702-503+
2026-05-31,861,H-410,1414.1,Harappa,SEAL:S,Bull1:L,SAN,830,<END>,<END>,+368-840-830-002-861+
2026-05-31,000,H-417,1420.1,Harappa,SEAL:S,Bull1:W,-,706,<END>,<END>,+740-255-706-002-000[
2026-05-31,460,H-426,1426.1,Harappa,SEAL:S,Bull1,-,235,511,511,]000-240-235-002-460-511+
2026-05-31,861,H-444,1434.1,Harappa,SEAL:S,Bull1:W,SAF,032,<END>,<END>,+241-220-032-002-861+
2026-05-31,000,H-445,1435.1,Harappa,SEAL:S,Bull1:W,SAF,803,<END>,<END>,]235-803-002-000+
2026-05-31,861,H-446,1436.1,Harappa,SEAL:S,Bull1:J,SAN,798,216,216,+740-585-798-002-861-216+
2026-05-31,172,H-455,1445.1,Harappa,SEAL:S,Bull1:J,SAN,705,032,032,+520-033-705-002-172-032+
2026-05-31,817,H-456,1446.1,Harappa,SEAL:S,Bull1:I,SAN,706,808,808,+520-033-706-002-817-808+
2026-05-31,416,H-457,1447.1,Harappa,SEAL:S,Bull1:J,SAF,003,<END>,<END>,+740-798-003-002-416+
2026-05-31,817,H-459,1449.1,Harappa,SEAL:S,Bull1:T,SAN,231,<END>,<END>,+527-555-231-002-817+
2026-05-31,452,H-461,1450.1,Harappa,SEAL:S,Bull1:S,SAF,384,000,000,+090-740-384-002-452-000+
2026-05-31,798,H-464,1452.1,Harappa,SEAL:S,Bull1:U,SAF,176,590,590-032,+000-176-002-798-590-032+
2026-05-31,940,H-468,1456.1,Harappa,SEAL:S,Bull1:J,HAF,003,705,705,+740-900-003-002-940-705+
2026-05-31,000,H-476,1463.1,Harappa,SEAL:S,Bull1:W,SAN,717,<END>,<END>,+740-100-717-002-000[
2026-05-31,817,H-478,1466.1,Harappa,SEAL:S,Bull1:W,SAN,235,<END>,<END>,+740-770-235-002-817+
2026-05-31,416,H-480,1468.1,Harappa,SEAL:S,Bull1,SAN,<START>,<END>,<END>,]002-416+
2026-05-31,817,H-484,1472.1,Harappa,SEAL:S,Bull1,-,233,<END>,<END>,]233-002-817+
2026-05-31,000,H-486,1474.1,Harappa,SEAL:S,Bull1,-,<START>,861,861-031,]002-000-861-031+
2026-05-31,817,H-501,1479.1,Harappa,SEAL:S,Bull1,SAN,803,<END>,<END>,+520-233-803-002-817+
2026-05-31,820,H-506,1484.1,Harappa,SEAL:S,Bull1:I,SAN,820,<END>,<END>,+294-350-595-820-002-820+
2026-05-31,820,H-507,1485.1,Harappa,SEAL:S,Bull1,SAN,032,<END>,<END>,]000-032-002-820+
2026-05-31,820,H-514,1491.1,Harappa,SEAL:S,Bull1:W,RAN,016,<END>,<END>,+151-220-016-002-820+
2026-05-31,000,H-561,1515.1,Harappa,SEAL:S,-,-,226,<END>,<END>,+226-002-000[
2026-05-31,630,H-563,1517.1,Harappa,SEAL,-,-,335,<END>,<END>,+740-335-002-630[
2026-05-31,820,H-574,1526.1,Harappa,SEAL,-,-,803,<END>,<END>,]000-803-002-820+
2026-05-31,220,H-593,1537.1,Harappa,SEAL:S,-,-,240,000,000,+740-760-235-240-002-220-000[
2026-05-31,861,H-597,1540.1,Harappa,SEAL:S,Bull1:J,SAN,032,<END>,<END>,+740-390-590-070-032-002-861+
2026-05-31,861,H-597,1540.2,Harappa,SEAL:S,Bull1:J,SAN,032,<END>,<END>,+740-390-590-070-032-002-861+
2026-05-31,435,H-598,1541.2,Harappa,SEAL:S,Bull1:W,SAN,240,255,255-777,+740-639-240-002-435-255-777+
2026-05-31,368,H-600,1543.1,Harappa,SEAL:S,Bull1:I,SAF,<START>,260,260,+002-368-260+
2026-05-31,817,H-609,1549.1,Harappa,SEAL:S,Bull1:W,SAN,231,000,000,]798-233-231-002-817-000+
2026-05-31,125,H-611,1551.1,Harappa,SEAL:S,None,None,550,590,590,+527-550-002-125-590+
2026-05-31,825,H-612,1552.1,Harappa,SEAL:S,Bull1:L,SAN,495,<END>,<END>,+740-615-495-002-825+
2026-05-31,717,H-639,1554.1,Harappa,SEAL:R,None,None,235,747,747,+407-000-000-705-832-904-845-235-002-717-747+
2026-05-31,817,H-640,1555.1,Harappa,SEAL:R,None,None,032,<END>,<END>,]220-032-002-817+
2026-05-31,820,H-649,1564.1,Harappa,SEAL:R,None,None,806,<END>,<END>,+520-033-705-233-240-806-002-820+
2026-05-31,861,H-651,1566.1,Harappa,SEAL:R,None,None,031,<END>,<END>,]031-002-861+
2026-05-31,820,H-653,1568.1,Harappa,SEAL:R,None,None,000,<END>,<END>,+000-000-000-000-002-820+
2026-05-31,817,H-658,1573.1,Harappa,SEAL:R,None,None,900,<END>,<END>,]900-002-817+
2026-05-31,861,H-688,1594.1,Harappa,SEAL,None,None,233,831,831-165,+520-233-002-861-831-165+
2026-05-31,817,H-697,1602.1,Harappa,TAB:B,Bull2,SAN,240,<END>,<END>,+740-904-240-002-817+
2026-05-31,418,H-701,1606.1,Harappa,TAB:B,Goat,Plant,240,<END>,<END>,]240-002-418+
2026-05-31,820,H-702,1607.1,Harappa,TAB:B,Mult,None,137,<END>,<END>,+137-002-820+
2026-05-31,820,H-706,1611.1,Harappa,TAB:B,Gavi,None,137,<END>,<END>,+700-033-137-002-820+
2026-05-31,861,H-719,1622.1,Harappa,TAB:B,Phyt,None,004,<END>,<END>,+405-004-002-861+
2026-05-31,390,H-773,1665.1,Harappa,TAB:B,None,None,803,530,530-741,+740-798-803-002-390-530-741+
2026-05-31,861,H-806,1695.1,Harappa,TAB:B,None,None,240,<END>,<END>,+740-482-240-002-861+
2026-05-31,861,H-807,1696.1,Harappa,TAB:B,None,None,240,<END>,<END>,+740-482-240-002-861+
2026-05-31,861,H-808,1697.1,Harappa,TAB:B,None,None,240,<END>,<END>,+740-482-240-002-861+
2026-05-31,920,H-811,1700.1,Harappa,TAB:B,None,None,176,491,491,+317-740-335-740-176-002-920-491+
2026-05-31,820,H-829,1717.1,Harappa,TAB:B,None,None,139,<END>,<END>,+139-002-820+
2026-05-31,820,H-833,1719.1,Harappa,TAB:B,None,None,554,<END>,<END>,+526-554-002-820+
2026-05-31,817,H-838,1724.1,Harappa,TAB:B,None,None,495,<END>,<END>,+740-615-495-002-817+
2026-05-31,405,H-859,1742.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-860,1743.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-861,1744.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-862,1745.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-863,1746.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-864,1747.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-865,1748.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-866,1749.1,Harappa,TAB:B,Bull1:U,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-867,1750.1,Harappa,TAB:B,Bull1:U,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-868,1751.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-869,1752.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,405,H-870,1753.1,Harappa,TAB:B,Bull1:I,None,240,501,501,+520-240-002-405-501+
2026-05-31,817,H-887,1769.1,Harappa,TAB:I,None,SAN,<START>,<END>,<END>,+002-817+
2026-05-31,820,H-909,1791.1,Harappa,TAB:I,None,None,<START>,000,000,+002-820-000[
2026-05-31,861,H-910,1792.1,Harappa,TAB:I,None,None,<START>,416,416,+002-861-416+
2026-05-31,817,Jk-2,1875.1,Jhukar,SEAL:S,Bull1:J,SAN,233,<END>,<END>,+740-803-233-002-817+
2026-05-31,000,K-2,1878.1,Kalibangan,SEAL:S,Bull1:W,RBF,017,<END>,<END>,+740-585-017-002-000+
2026-05-31,741,K-4,1879.1,Kalibangan,SEAL:S,Bull1:W,SAF,140,060,060-920,+036-269-140-002-741-060-920+
2026-05-31,368,K-10,1885.1,Kalibangan,SEAL:S,Bull1:I,RAN,255,861,861-590-032-368,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,820,K-12,1887.1,Kalibangan,SEAL:S,Bull1:I,RAN,003,<END>,<END>,+000-003-002-820+
2026-05-31,762,K-18,1893.1,Kalibangan,SEAL:S,Bull1:X,RAF,307,463,463-140,+307-002-762-463-140+
2026-05-31,820,K-23,1897.1,Kalibangan,SEAL:S,Bull1:I,RAN,441,033,033,+740-441-002-820-033+
2026-05-31,252,K-24,1898.1,Kalibangan,SEAL:S,Bull1,R,093,575,575,+740-760-093-002-252-575+
2026-05-31,220,K-25,1899.1,Kalibangan,SEAL:S,Bull1,-,231,065,065-132-082,+520-231-002-220-065-132-082+
