scope,block_name,block_key,rows,closure_rows,closure_terminal,closure_rate,branch_rows,branch_terminal,branch_rate,closure_minus_branch,closure_y_counts,branch_y_counts,example_cisi
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:J|031,2,1,1,1/1,1,0,0/1,1.000000,817:1,900:1,M-90;M-937
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:J|235,2,1,1,1/1,1,0,0/1,1.000000,861:1,390:1,M-38;M-47
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:J|240,2,1,1,1/1,1,0,0/1,1.000000,817:1,900:1,M-144;M-958
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:J|803,2,1,1,1/1,1,0,0/1,1.000000,817:1,220:1,M-147;M-819
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:S|032,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:S|220,2,1,1,1/1,1,0,0/1,1.000000,817:1,031:1,M-1709;M-211
all_002_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:T|032,2,1,1,1/1,1,0,0/1,1.000000,820:1,390:1,M-70;M-174
all_002_strict_dedup,site_type_symbol_prev2_prev1,Mohenjo-daro|SEAL:S|Bull1:W|220|032,3,2,2,2/2,1,0,0/1,1.000000,861:1;820:1,300:1,M-1763;M-1728;M-49
all_002_strict_dedup,site_type_symbol_prev2_prev1,Mohenjo-daro|SEAL:S|Bull1:S|220|032,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:W,6,5,4,4/5,1,0,0/1,0.800000,820:3;861:2,300:1,M-1737;M-1677;M-1763;M-1728;M-21;M-49
after_032_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:R|None,2,1,1,1/1,1,0,0/1,1.000000,820:1,900:1,M-375;M-1358
after_032_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:T,2,1,1,1/1,1,0,0/1,1.000000,820:1,390:1,M-70;M-174
after_032_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:W|5,3,2,2,2/2,1,0,0/1,1.000000,820:2,300:1,M-1737;M-1728;M-49
after_032_strict_dedup,site_type_symbol_idx002,Mohenjo-daro|SEAL:S|Bull1:S|5,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:W|032,6,5,4,4/5,1,0,0/1,0.800000,820:3;861:2,300:1,M-1737;M-1677;M-1763;M-1728;M-21;M-49
after_032_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:R|None|032,2,1,1,1/1,1,0,0/1,1.000000,820:1,900:1,M-375;M-1358
after_032_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:S|032,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,site_type_symbol_prev1,Mohenjo-daro|SEAL:S|Bull1:T|032,2,1,1,1/1,1,0,0/1,1.000000,820:1,390:1,M-70;M-174
after_032_strict_dedup,site_type_symbol_prev2_prev1,Mohenjo-daro|SEAL:S|Bull1:W|220|032,3,2,2,2/2,1,0,0/1,1.000000,861:1;820:1,300:1,M-1763;M-1728;M-49
after_032_strict_dedup,site_type_symbol_prev2_prev1,Mohenjo-daro|SEAL:S|Bull1:S|220|032,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,frame_site_type,non240_a_220_032|Mohenjo-daro|SEAL:S,7,6,5,5/6,1,0,0/1,0.833333,861:4;820:2,368:1,M-1763;M-36;M-91;M-174;M-221;M-723;M-1044
after_032_strict_dedup,frame_site_type,outside_032|Mohenjo-daro|SEAL:S,4,3,2,2/3,1,0,0/1,0.666667,820:2;861:1,390:1,M-1737;M-1677;M-21;M-70
after_032_strict_dedup,frame_site_type,target_240_220_032|Mohenjo-daro|SEAL:S,4,3,2,2/3,1,0,0/1,0.666667,820:1;861:1;817:1,300:1,M-1728;M-49;M-240;M-722
after_032_strict_dedup,frame_site_type_symbol,non240_a_220_032|Mohenjo-daro|SEAL:S|Bull1:S,2,1,0,0/1,1,0,0/1,0.000000,861:1,368:1,M-36;M-91
after_032_strict_dedup,frame_site_type_symbol,target_240_220_032|Mohenjo-daro|SEAL:S|Bull1:W,2,1,1,1/1,1,0,0/1,1.000000,820:1,300:1,M-1728;M-49
