"cisi","lipi_id","lipi_site","lipi_type","lipi_dir","length","lipi_sequence"
"M-42","2570.1","Mohenjo-daro","SEAL:S","R/L","5","527 550 240 002 817"
"M-43","2571.1","Mohenjo-daro","SEAL:S","R/L","6","740 798 231 002 055 373"
"M-44","2572.1","Mohenjo-daro","SEAL:S","R/L","8","740 760 033 705 803 002 920 317"
"M-46","2574.1","Mohenjo-daro","SEAL:S","R/L","8","740 798 240 235 002 220 065 215"
"M-47","2575.1","Mohenjo-daro","SEAL:S","R/L","5","740 760 235 002 861"
"M-48","2576.1","Mohenjo-daro","SEAL:S","R/L","6","390 820 463 060 368 920"
"M-51","2579.1","Mohenjo-daro","SEAL:S","R/L","8","740 798 460 350 235 741 390 140"
"M-52","2580.1","Mohenjo-daro","SEAL:S","R/L","10","740 904 032 220 415 235 803 002 504 717"
"M-53","2581.1","Mohenjo-daro","SEAL:S","R/L","9","090 740 220 016 002 297 190 920 140"
"M-54","2582.1","Mohenjo-daro","SEAL:S","R/L","7","236 240 033 705 798 002 820"
"M-56","2584.1","Mohenjo-daro","SEAL:S","R/L","8","740 877 032 235 060 550 611 840"
"M-57","2585.1","Mohenjo-daro","SEAL:S","R/L","6","226 032 231 798 002 693"
"M-58","2586.1","Mohenjo-daro","SEAL:S","R/L","5","740 460 503 002 817"
"M-59","2587.1","Mohenjo-daro","SEAL:S","R/L","5","368 003 742 060 920"
"M-63","2591.1","Mohenjo-daro","SEAL:S","R/L","4","526 555 060 550"
"M-64","2592.1","Mohenjo-daro","SEAL:S","R/L","6","520 033 706 060 220 004"
"M-65","2593.1","Mohenjo-daro","SEAL:S","R/L","6","520 220 031 001 706 575"
"M-66","2594.1","Mohenjo-daro","SEAL:S","BUS","8","740 390 590 235 002 374 309 350"
"M-69","2597.1","Mohenjo-daro","SEAL:S","R/L","5","740 803 231 060 692"
"M-70","2598.1","Mohenjo-daro","SEAL:S","R/L","5","226 032 002 390 692"
"M-71","2599.1","Mohenjo-daro","SEAL:S","R/L","6","151 279 142 002 390 095"
"M-74","2602.1","Mohenjo-daro","SEAL:S","R/L","4","595 575 704 140"
"M-75","2603.1","Mohenjo-daro","SEAL:S","R/L","5","520 220 004 002 817"
"M-77","2604.1","Mohenjo-daro","SEAL:S","R/L","5","832 390 803 002 861"
"M-78","2605.1","Mohenjo-daro","SEAL:S","R/L","4","740 344 032 545"
"M-80","2607.1","Mohenjo-daro","SEAL:S","R/L","5","156 003 060 368 817"
"M-82","2609.1","Mohenjo-daro","SEAL:S","R/L","6","740 222 002 207 550 390"
"M-83","2610.1","Mohenjo-daro","SEAL:S","R/L","3","390 018 796"
"M-84","2611.1","Mohenjo-daro","SEAL:S","R/L","6","740 765 240 001 368 920"
"M-85","2612.1","Mohenjo-daro","SEAL:S","R/L","5","520 233 741 081 272"
"M-86","2613.1","Mohenjo-daro","SEAL:S","R/L","7","520 033 705 231 002 820 700"
"M-87","2614.1","Mohenjo-daro","SEAL:S","R/L","3","400 890 104"
"M-88","2615.1","Mohenjo-daro","SEAL:S","R/L","3","527 388 233"
"M-89","2616.1","Mohenjo-daro","SEAL:S","R/L","5","740 794 734 032 235"
"M-90","2617.1","Mohenjo-daro","SEAL:S","R/L","6","740 840 013 031 002 817"
"M-91","2618.1","Mohenjo-daro","SEAL:S","R/L","9","740 100 798 220 032 002 861 255 416"
"M-92","2619.1","Mohenjo-daro","SEAL:S","R/L","7","740 798 460 350 002 814 084"
"M-93","2620.1","Mohenjo-daro","SEAL:S","R/L","5","156 003 240 741 345"
"M-94","2621.1","Mohenjo-daro","SEAL:S","R/L","5","740 390 590 220 003"
"M-95","2622.1","Mohenjo-daro","SEAL:S","R/L","5","390 003 002 111 165"
"M-96","2623.1","Mohenjo-daro","SEAL:S","R/L","2","156 004"
"M-97","2624.1","Mohenjo-daro","SEAL:S","R/L","3","156 435 255"
"M-99","2626.1","Mohenjo-daro","SEAL:S","R/L","5","740 215 002 368 119"
"M-100","2627.1","Mohenjo-daro","SEAL:S","R/L","6","090 740 255 705 002 861"
"M-101","2628.1","Mohenjo-daro","SEAL:S","R/L","6","390 503 740 168 002 817"
"M-102","2629.1","Mohenjo-daro","SEAL:S","R/L","4","154 003 900 545"
"M-103","2630.1","Mohenjo-daro","SEAL:S","R/L","4","390 004 002 820"
"M-104","2631.1","Mohenjo-daro","SEAL:S","R/L","5","090 740 220 235 853"
"M-107","2634.1","Mohenjo-daro","SEAL:S","R/L","6","740 565 233 002 940 260"
"M-108","2635.1","Mohenjo-daro","SEAL:S","R/L","7","413 820 220 065 798 550 820"
"M-109","2636.1","Mohenjo-daro","SEAL:S","R/L","7","740 879 220 415 002 287 140"
"M-112","2639.1","Mohenjo-daro","SEAL:S","R/L","8","740 760 220 016 382 741 572 684"
"M-113","2640.1","Mohenjo-daro","SEAL:S","R/L","6","740 032 840 741 060 920"
"M-114","2641.1","Mohenjo-daro","SEAL:S","R/L","6","740 760 440 002 297 416"
"M-115","2642.1","Mohenjo-daro","SEAL:S","R/L","8","390 844 140 176 803 002 301 190"
"M-116","2643.1","Mohenjo-daro","SEAL:S","R/L","7","740 100 176 840 013 002 817"
"M-117","2644.1","Mohenjo-daro","SEAL:S","R/L","8","520 033 705 220 803 055 002 820"
"M-118","2645.1","Mohenjo-daro","SEAL:S","R/L","8","740 772 033 705 233 803 002 861"
"M-119","2646.1","Mohenjo-daro","SEAL:S","R/L","10","151 337 484 002 390 125 632 032 900 563"
"M-121","2648.1","Mohenjo-daro","SEAL:S","R/L","5","740 900 790 233 798"
"M-122","2649.1","Mohenjo-daro","SEAL:S","R/L","3","520 033 705"
"M-123","2650.1","Mohenjo-daro","SEAL:S","R/L","4","400 093 368 072"
"M-124","2651.1","Mohenjo-daro","SEAL:S","R/L","4","740 923 220 032"
"M-127","2654.1","Mohenjo-daro","SEAL:S","R/L","5","565 740 220 741 176"
"M-128","2655.1","Mohenjo-daro","SEAL:S","R/L","6","740 923 803 741 500 705"
"M-129","2656.1","Mohenjo-daro","SEAL:S","R/L","6","520 233 240 235 741 360"
"M-130","2657.1","Mohenjo-daro","SEAL:S","R/L","6","740 094 220 032 002 144"
"M-131","2658.1","Mohenjo-daro","SEAL:S","R/L","6","740 390 590 741 390 790"
"M-132","2659.1","Mohenjo-daro","SEAL:S","R/L","3","156 003 545"
"M-133","2660.1","Mohenjo-daro","SEAL:S","R/L","8","527 550 240 220 255 812 906 388"
"M-134","2661.1","Mohenjo-daro","SEAL:S","R/L","3","872 032 692"
"M-135","2662.1","Mohenjo-daro","SEAL:S","R/L","4","520 033 705 031"
"M-136","2663.1","Mohenjo-daro","SEAL:S","R/L","7","090 740 220 016 031 908 545"
"M-137","2664.1","Mohenjo-daro","SEAL:S","NR","1","945"
"M-138","2665.1","Mohenjo-daro","SEAL:S","R/L","3","740 900 005"
"M-139","2666.1","Mohenjo-daro","SEAL:S","R/L","5","033 832 236 741 361"
"M-140","2667.1","Mohenjo-daro","SEAL:S","R/L","7","740 336 002 220 065 440 455"
"M-142","2669.1","Mohenjo-daro","SEAL:S","R/L","4","136 140 002 861"
"M-143","2670.1","Mohenjo-daro","SEAL:S","R/L","6","740 205 032 002 252 840"
"M-144","2671.1","Mohenjo-daro","SEAL:S","R/L","6","740 100 415 240 002 817"
"M-145","2672.1","Mohenjo-daro","SEAL:S","R/L","4","740 400 142 880"
"M-146","2673.1","Mohenjo-daro","SEAL:S","R/L","5","740 255 920 060 692"
"M-147","2674.1","Mohenjo-daro","SEAL:S","R/L","6","226 803 002 220 455 520"
"M-148","2675.1","Mohenjo-daro","SEAL:S","R/L","3","740 817 556"
"M-149","2676.1","Mohenjo-daro","SEAL:S","R/L","5","740 760 440 060 550"
"M-150","2677.1","Mohenjo-daro","SEAL:S","R/L","2","740 832"
"M-151","2678.1","Mohenjo-daro","SEAL:S","R/L","3","220 065 864"
"M-152","2679.1","Mohenjo-daro","SEAL:S","R/L","4","740 772 002 861"
"M-153","2680.1","Mohenjo-daro","SEAL:S","R/L","3","269 130 190"
"M-154","2681.1","Mohenjo-daro","SEAL:S","R/L","7","520 220 621 415 002 257 898"
"M-155","2682.1","Mohenjo-daro","SEAL:S","R/L","3","740 176 031"
"M-157","2683.1","Mohenjo-daro","SEAL:S","R/L","7","740 900 790 233 798 001 820"
"M-158","2684.1","Mohenjo-daro","SEAL:S","R/L","4","390 016 060 550"
"M-159","2685.1","Mohenjo-daro","SEAL:S","R/L","5","740 048 741 250 579"
"M-160","2686.1","Mohenjo-daro","SEAL:S","R/L","6","151 243 031 002 820 741"
"M-163","2689.1","Mohenjo-daro","SEAL:S","R/L","5","520 220 415 060 820"
"M-164","2690.1","Mohenjo-daro","SEAL:S","R/L","5","740 142 061 002 817"
"M-166","2691.1","Mohenjo-daro","SEAL:S","R/L","6","390 844 240 806 002 861"
"M-170","2695.1","Mohenjo-daro","SEAL:S","R/L","8","740 923 406 061 070 032 741 861"
"M-171","2696.1","Mohenjo-daro","SEAL:S","R/L","8","407 061 740 923 233 806 060 692"
"M-172","2697.1","Mohenjo-daro","SEAL:S","R/L","6","405 018 001 220 786 850"
"M-173","2698.1","Mohenjo-daro","SEAL:S","R/L","5","740 388 900 320 806"
"M-174","2699.1","Mohenjo-daro","SEAL:S","R/L","6","740 923 220 032 002 820"
"M-177","2702.1","Mohenjo-daro","SEAL:S","R/L","4","390 003 002 803"
"M-178","2704.1","Mohenjo-daro","SEAL:S","R/L","2","390 016"
"M-179","2705.1","Mohenjo-daro","SEAL:S","R/L","2","390 003"
"M-180","2706.1","Mohenjo-daro","SEAL:S","R/L","2","740 621"
"M-181","2707.1","Mohenjo-daro","SEAL:S","R/L","5","520 175 002 295 502"
"M-183","2708.1","Mohenjo-daro","SEAL:S","R/L","4","520 233 060 297"
"M-184","2709.1","Mohenjo-daro","SEAL:S","R/L","4","090 740 101 853"
"M-182","3845.1","Mohenjo-daro","SEAL:S","R/L","2","740 416"
