"scope","group_kind","group_value","source_rows","duplicate_rows_removed","rows","model","masked_tokens","top1","top1_accuracy","top5","top5_accuracy","mrr"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","214","1068","length_position","5156","854","0.165632","1873","0.363266","0.257308"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","214","1068","bidirectional_bigram","5156","1643","0.318658","2936","0.569434","0.436219"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","21","69","frequency","315","28","0.088889","65","0.206349","0.175064"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","21","69","position","315","36","0.114286","88","0.279365","0.189163"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","21","69","length_position","315","37","0.11746","73","0.231746","0.189509"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","21","69","bidirectional_bigram","315","50","0.15873","114","0.361905","0.26751"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","782","704","frequency","2849","332","0.116532","741","0.260091","0.197054"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","782","704","position","2849","396","0.138996","906","0.318006","0.236257"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","782","704","length_position","2849","442","0.155142","943","0.330993","0.245915"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","782","704","bidirectional_bigram","2849","873","0.306423","1500","0.526501","0.411689"
