"target","role","label","label_families","proxy_kind","proxy_field","top_proxy_value","top_proxy_count","proxy_total_for_label","top_proxy_share"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","area_bin","area_0200_0500","146","302","0.483444"
"thickness_bin","dimension_anchor","th_003_007","317","metadata","aspect_bin","aspect_squareish","181","302","0.599338"
"thickness_bin","dimension_anchor","th_003_007","317","sign","first_sign","740","112","317","0.353312"
"thickness_bin","dimension_anchor","th_003_007","317","sign","last_sign","820","22","317","0.069401"
"thickness_bin","dimension_anchor","th_003_007","317","sign","edge_frame","740...820","11","317","0.0347"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","length","3","39","110","0.354545"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","type","TAB:I","40","110","0.363636"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","site","Harappa","84","110","0.763636"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","region","Inter-Riverine","84","110","0.763636"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","material","Steatite","57","104","0.548077"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","shape","rectangular","60","110","0.545455"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","symbol","Bult","7","41","0.170732"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","cult","SAN","6","12","0.5"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","period","3","81","99","0.818182"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","phase","B/C","46","98","0.469388"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","direction","R/L","98","110","0.890909"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","horizontal_bin","h_000_015","45","106","0.424528"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","vertical_bin","v_000_010","75","107","0.700935"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","area_bin","area_0000_0200","77","106","0.726415"
"thickness_bin","dimension_anchor","th_000_003","110","metadata","aspect_bin","aspect_wide","62","106","0.584906"
"thickness_bin","dimension_anchor","th_000_003","110","sign","first_sign","740","29","110","0.263636"
"thickness_bin","dimension_anchor","th_000_003","110","sign","last_sign","032","5","110","0.045455"
