leave_site,edge,tier,exact_cells,terminal_cells,terminal_share,remaining_sites,remaining_types
Daimabad,002-817,strict,108,105,0.9722222222222222,10,9
Daimabad,002-820,strict,75,70,0.9333333333333333,7,6
Daimabad,002-861,near_leaky,126,102,0.8095238095238095,8,9
Daimabad,060-920,strict,52,51,0.9807692307692307,9,7
Daimabad,060-550,strict,24,23,0.9583333333333334,4,6
Daimabad,060-820,strict,23,23,1,5,4
Daimabad,060-692,near_leaky,33,28,0.8484848484848485,5,4
Derawar Ther,002-817,strict,108,105,0.9722222222222222,10,9
Derawar Ther,002-820,strict,75,70,0.9333333333333333,7,6
Derawar Ther,002-861,near_leaky,126,102,0.8095238095238095,8,9
Derawar Ther,060-920,strict,52,51,0.9807692307692307,9,7
Derawar Ther,060-550,strict,24,23,0.9583333333333334,4,6
Derawar Ther,060-820,strict,23,23,1,5,4
Derawar Ther,060-692,near_leaky,33,28,0.8484848484848485,5,4
Desalpur,002-817,strict,108,105,0.9722222222222222,10,9
Desalpur,002-820,strict,75,70,0.9333333333333333,7,6
Desalpur,002-861,near_leaky,126,102,0.8095238095238095,8,9
Desalpur,060-920,strict,52,51,0.9807692307692307,9,7
Desalpur,060-550,strict,24,23,0.9583333333333334,4,6
Desalpur,060-820,strict,23,23,1,5,4
Desalpur,060-692,near_leaky,33,28,0.8484848484848485,5,4
Dholavira,002-817,strict,105,102,0.9714285714285714,9,9
Dholavira,002-820,strict,75,70,0.9333333333333333,7,6
Dholavira,002-861,near_leaky,120,96,0.8,7,9
Dholavira,060-920,strict,50,49,0.98,8,7
Dholavira,060-550,strict,23,22,0.9565217391304348,3,6
Dholavira,060-820,strict,23,23,1,5,4
Dholavira,060-692,near_leaky,33,28,0.8484848484848485,5,4
Farmana,002-817,strict,108,105,0.9722222222222222,10,9
Farmana,002-820,strict,75,70,0.9333333333333333,7,6
Farmana,002-861,near_leaky,126,102,0.8095238095238095,8,9
Farmana,060-920,strict,52,51,0.9807692307692307,9,7
Farmana,060-550,strict,24,23,0.9583333333333334,4,6
Farmana,060-820,strict,23,23,1,5,4
Farmana,060-692,near_leaky,33,28,0.8484848484848485,5,4
Ganweriwala,002-817,strict,108,105,0.9722222222222222,10,9
Ganweriwala,002-820,strict,75,70,0.9333333333333333,7,6
Ganweriwala,002-861,near_leaky,126,102,0.8095238095238095,8,9
Ganweriwala,060-920,strict,52,51,0.9807692307692307,9,7
Ganweriwala,060-550,strict,24,23,0.9583333333333334,4,6
Ganweriwala,060-820,strict,23,23,1,5,4
Ganweriwala,060-692,near_leaky,33,28,0.8484848484848485,5,4
Gharo Bhiro,002-817,strict,108,105,0.9722222222222222,10,9
Gharo Bhiro,002-820,strict,75,70,0.9333333333333333,7,6
Gharo Bhiro,002-861,near_leaky,126,102,0.8095238095238095,8,9
Gharo Bhiro,060-920,strict,52,51,0.9807692307692307,9,7
Gharo Bhiro,060-550,strict,24,23,0.9583333333333334,4,6
Gharo Bhiro,060-820,strict,23,23,1,5,4
Gharo Bhiro,060-692,near_leaky,33,28,0.8484848484848485,5,4
Gola Dhoro (Bagasra),002-817,strict,108,105,0.9722222222222222,10,9
Gola Dhoro (Bagasra),002-820,strict,75,70,0.9333333333333333,7,6
Gola Dhoro (Bagasra),002-861,near_leaky,126,102,0.8095238095238095,8,9
Gola Dhoro (Bagasra),060-920,strict,52,51,0.9807692307692307,9,7
Gola Dhoro (Bagasra),060-550,strict,24,23,0.9583333333333334,4,6
Gola Dhoro (Bagasra),060-820,strict,23,23,1,5,4
Gola Dhoro (Bagasra),060-692,near_leaky,33,28,0.8484848484848485,5,4
Gonur Depe,002-817,strict,108,105,0.9722222222222222,10,9
Gonur Depe,002-820,strict,75,70,0.9333333333333333,7,6
Gonur Depe,002-861,near_leaky,126,102,0.8095238095238095,8,9
Gonur Depe,060-920,strict,52,51,0.9807692307692307,9,7
Gonur Depe,060-550,strict,24,23,0.9583333333333334,4,6
Gonur Depe,060-820,strict,23,23,1,5,4
Gonur Depe,060-692,near_leaky,33,28,0.8484848484848485,5,4
Gumla,002-817,strict,108,105,0.9722222222222222,10,9
Gumla,002-820,strict,75,70,0.9333333333333333,7,6
Gumla,002-861,near_leaky,126,102,0.8095238095238095,8,9
Gumla,060-920,strict,52,51,0.9807692307692307,9,7
Gumla,060-550,strict,24,23,0.9583333333333334,4,6
Gumla,060-820,strict,23,23,1,5,4
Gumla,060-692,near_leaky,33,28,0.8484848484848485,5,4
Hajar,002-817,strict,108,105,0.9722222222222222,10,9
Hajar,002-820,strict,75,70,0.9333333333333333,7,6
Hajar,002-861,near_leaky,126,102,0.8095238095238095,8,9
Hajar,060-920,strict,52,51,0.9807692307692307,9,7
Hajar,060-550,strict,24,23,0.9583333333333334,4,6
Hajar,060-820,strict,23,23,1,5,4
Hajar,060-692,near_leaky,33,28,0.8484848484848485,5,4
Harappa,002-817,strict,83,81,0.9759036144578314,9,7
Harappa,002-820,strict,58,53,0.9137931034482759,6,6
Harappa,002-861,near_leaky,101,82,0.8118811881188119,7,8
Harappa,060-920,strict,45,44,0.9777777777777777,8,6
Harappa,060-550,strict,15,14,0.9333333333333333,3,4
Harappa,060-820,strict,21,21,1,4,2
Harappa,060-692,near_leaky,21,16,0.7619047619047619,4,2
Hissam-dheri,002-817,strict,108,105,0.9722222222222222,10,9
Hissam-dheri,002-820,strict,75,70,0.9333333333333333,7,6
Hissam-dheri,002-861,near_leaky,126,102,0.8095238095238095,8,9
Hissam-dheri,060-920,strict,52,51,0.9807692307692307,9,7
Hissam-dheri,060-550,strict,24,23,0.9583333333333334,4,6
Hissam-dheri,060-820,strict,23,23,1,5,4
Hissam-dheri,060-692,near_leaky,33,28,0.8484848484848485,5,4
Hulas,002-817,strict,108,105,0.9722222222222222,10,9
Hulas,002-820,strict,75,70,0.9333333333333333,7,6
Hulas,002-861,near_leaky,126,102,0.8095238095238095,8,9
Hulas,060-920,strict,52,51,0.9807692307692307,9,7
Hulas,060-550,strict,24,23,0.9583333333333334,4,6
Hulas,060-820,strict,23,23,1,5,4
Hulas,060-692,near_leaky,33,28,0.8484848484848485,5,4
Janabiyah,002-817,strict,108,105,0.9722222222222222,10,9
Janabiyah,002-820,strict,75,70,0.9333333333333333,7,6
Janabiyah,002-861,near_leaky,126,102,0.8095238095238095,8,9
Janabiyah,060-920,strict,52,51,0.9807692307692307,9,7
Janabiyah,060-550,strict,24,23,0.9583333333333334,4,6
Janabiyah,060-820,strict,23,23,1,5,4
Janabiyah,060-692,near_leaky,33,28,0.8484848484848485,5,4
Jhukar,002-817,strict,107,104,0.9719626168224299,9,9
Jhukar,002-820,strict,75,70,0.9333333333333333,7,6
Jhukar,002-861,near_leaky,126,102,0.8095238095238095,8,9
Jhukar,060-920,strict,52,51,0.9807692307692307,9,7
Jhukar,060-550,strict,24,23,0.9583333333333334,4,6
Jhukar,060-820,strict,23,23,1,5,4
Jhukar,060-692,near_leaky,33,28,0.8484848484848485,5,4
Kalba,002-817,strict,108,105,0.9722222222222222,10,9
Kalba,002-820,strict,75,70,0.9333333333333333,7,6
Kalba,002-861,near_leaky,126,102,0.8095238095238095,8,9
Kalba,060-920,strict,52,51,0.9807692307692307,9,7
Kalba,060-550,strict,24,23,0.9583333333333334,4,6
Kalba,060-820,strict,23,23,1,5,4
Kalba,060-692,near_leaky,33,28,0.8484848484848485,5,4
Kalibangan,002-817,strict,107,104,0.9719626168224299,9,9
Kalibangan,002-820,strict,72,68,0.9444444444444444,6,6
Kalibangan,002-861,near_leaky,122,99,0.8114754098360656,7,8
Kalibangan,060-920,strict,51,50,0.9803921568627451,8,7
Kalibangan,060-550,strict,23,22,0.9565217391304348,3,6
Kalibangan,060-820,strict,22,22,1,4,4
Kalibangan,060-692,near_leaky,33,28,0.8484848484848485,5,4
Kanmer,002-817,strict,108,105,0.9722222222222222,10,9
Kanmer,002-820,strict,75,70,0.9333333333333333,7,6
Kanmer,002-861,near_leaky,126,102,0.8095238095238095,8,9
Kanmer,060-920,strict,52,51,0.9807692307692307,9,7
Kanmer,060-550,strict,24,23,0.9583333333333334,4,6
Kanmer,060-820,strict,23,23,1,5,4
Kanmer,060-692,near_leaky,33,28,0.8484848484848485,5,4
Karanpura,002-817,strict,108,105,0.9722222222222222,10,9
Karanpura,002-820,strict,75,70,0.9333333333333333,7,6
Karanpura,002-861,near_leaky,126,102,0.8095238095238095,8,9
Karanpura,060-920,strict,52,51,0.9807692307692307,9,7
Karanpura,060-550,strict,24,23,0.9583333333333334,4,6
Karanpura,060-820,strict,23,23,1,5,4
Karanpura,060-692,near_leaky,33,28,0.8484848484848485,5,4
Karzakan,002-817,strict,108,105,0.9722222222222222,10,9
Karzakan,002-820,strict,75,70,0.9333333333333333,7,6
Karzakan,002-861,near_leaky,126,102,0.8095238095238095,8,9
Karzakan,060-920,strict,52,51,0.9807692307692307,9,7
Karzakan,060-550,strict,24,23,0.9583333333333334,4,6
Karzakan,060-820,strict,23,23,1,5,4
Karzakan,060-692,near_leaky,33,28,0.8484848484848485,5,4
Khirsara,002-817,strict,108,105,0.9722222222222222,10,9
Khirsara,002-820,strict,75,70,0.9333333333333333,7,6
Khirsara,002-861,near_leaky,126,102,0.8095238095238095,8,9
Khirsara,060-920,strict,52,51,0.9807692307692307,9,7
Khirsara,060-550,strict,24,23,0.9583333333333334,4,6
Khirsara,060-820,strict,23,23,1,5,4
Khirsara,060-692,near_leaky,33,28,0.8484848484848485,5,4
Kish,002-817,strict,108,105,0.9722222222222222,10,9
Kish,002-820,strict,75,70,0.9333333333333333,7,6
Kish,002-861,near_leaky,126,102,0.8095238095238095,8,9
Kish,060-920,strict,52,51,0.9807692307692307,9,7
Kish,060-550,strict,24,23,0.9583333333333334,4,6
Kish,060-820,strict,23,23,1,5,4
Kish,060-692,near_leaky,33,28,0.8484848484848485,5,4
Kot-Diji,002-817,strict,108,105,0.9722222222222222,10,9
Kot-Diji,002-820,strict,75,70,0.9333333333333333,7,6
Kot-Diji,002-861,near_leaky,126,102,0.8095238095238095,8,9
Kot-Diji,060-920,strict,52,51,0.9807692307692307,9,7
Kot-Diji,060-550,strict,24,23,0.9583333333333334,4,6
Kot-Diji,060-820,strict,23,23,1,5,4
Kot-Diji,060-692,near_leaky,33,28,0.8484848484848485,5,4
Lakhanjo-daro,002-817,strict,108,105,0.9722222222222222,10,9
Lakhanjo-daro,002-820,strict,75,70,0.9333333333333333,7,6
Lakhanjo-daro,002-861,near_leaky,126,102,0.8095238095238095,8,9
Lakhanjo-daro,060-920,strict,52,51,0.9807692307692307,9,7
Lakhanjo-daro,060-550,strict,24,23,0.9583333333333334,4,6
Lakhanjo-daro,060-820,strict,23,23,1,5,4
Lakhanjo-daro,060-692,near_leaky,33,28,0.8484848484848485,5,4
Lohumjo-daro,002-817,strict,108,105,0.9722222222222222,10,9
Lohumjo-daro,002-820,strict,75,70,0.9333333333333333,7,6
Lohumjo-daro,002-861,near_leaky,126,102,0.8095238095238095,8,9
Lohumjo-daro,060-920,strict,52,51,0.9807692307692307,9,7
Lohumjo-daro,060-550,strict,24,23,0.9583333333333334,4,6
Lohumjo-daro,060-820,strict,23,23,1,5,4
Lohumjo-daro,060-692,near_leaky,33,28,0.8484848484848485,5,4
Lothal,002-817,strict,103,100,0.970873786407767,9,8
Lothal,002-820,strict,72,67,0.9305555555555556,6,4
Lothal,002-861,near_leaky,120,98,0.8166666666666667,7,8
Lothal,060-920,strict,48,47,0.9791666666666666,8,6
Lothal,060-550,strict,24,23,0.9583333333333334,4,6
Lothal,060-820,strict,21,21,1,4,4
Lothal,060-692,near_leaky,33,28,0.8484848484848485,5,4
Luristan,002-817,strict,108,105,0.9722222222222222,10,9
Luristan,002-820,strict,75,70,0.9333333333333333,7,6
Luristan,002-861,near_leaky,126,102,0.8095238095238095,8,9
Luristan,060-920,strict,52,51,0.9807692307692307,9,7
Luristan,060-550,strict,24,23,0.9583333333333334,4,6
Luristan,060-820,strict,23,23,1,5,4
Luristan,060-692,near_leaky,33,28,0.8484848484848485,5,4
Miri Qalat,002-817,strict,108,105,0.9722222222222222,10,9
Miri Qalat,002-820,strict,75,70,0.9333333333333333,7,6
Miri Qalat,002-861,near_leaky,126,102,0.8095238095238095,8,9
Miri Qalat,060-920,strict,52,51,0.9807692307692307,9,7
Miri Qalat,060-550,strict,24,23,0.9583333333333334,4,6
Miri Qalat,060-820,strict,23,23,1,5,4
Miri Qalat,060-692,near_leaky,33,28,0.8484848484848485,5,4
Mohenjo-daro,002-817,strict,45,44,0.9777777777777777,9,7
Mohenjo-daro,002-820,strict,29,28,0.9655172413793104,6,5
Mohenjo-daro,002-861,near_leaky,46,38,0.8260869565217391,7,8
Mohenjo-daro,060-920,strict,21,20,0.9523809523809523,8,5
Mohenjo-daro,060-550,strict,11,11,1,3,5
Mohenjo-daro,060-820,strict,6,6,1,4,4
Mohenjo-daro,060-692,near_leaky,15,15,1,4,4
Nausharo,002-817,strict,107,104,0.9719626168224299,9,9
Nausharo,002-820,strict,72,67,0.9305555555555556,6,6
Nausharo,002-861,near_leaky,126,102,0.8095238095238095,8,9
Nausharo,060-920,strict,51,50,0.9803921568627451,8,7
Nausharo,060-550,strict,24,23,0.9583333333333334,4,6
Nausharo,060-820,strict,23,23,1,5,4
Nausharo,060-692,near_leaky,32,27,0.84375,4,4
Nindowari-damb,002-817,strict,108,105,0.9722222222222222,10,9
Nindowari-damb,002-820,strict,75,70,0.9333333333333333,7,6
Nindowari-damb,002-861,near_leaky,126,102,0.8095238095238095,8,9
Nindowari-damb,060-920,strict,52,51,0.9807692307692307,9,7
Nindowari-damb,060-550,strict,24,23,0.9583333333333334,4,6
Nindowari-damb,060-820,strict,23,23,1,5,4
Nindowari-damb,060-692,near_leaky,33,28,0.8484848484848485,5,4
Nuhato,002-817,strict,108,105,0.9722222222222222,10,9
Nuhato,002-820,strict,75,70,0.9333333333333333,7,6
Nuhato,002-861,near_leaky,126,102,0.8095238095238095,8,9
Nuhato,060-920,strict,52,51,0.9807692307692307,9,7
Nuhato,060-550,strict,24,23,0.9583333333333334,4,6
Nuhato,060-820,strict,23,23,1,5,4
Nuhato,060-692,near_leaky,33,28,0.8484848484848485,5,4
Qala'at al-Bahrain,002-817,strict,108,105,0.9722222222222222,10,9
Qala'at al-Bahrain,002-820,strict,75,70,0.9333333333333333,7,6
Qala'at al-Bahrain,002-861,near_leaky,126,102,0.8095238095238095,8,9
Qala'at al-Bahrain,060-920,strict,52,51,0.9807692307692307,9,7
Qala'at al-Bahrain,060-550,strict,24,23,0.9583333333333334,4,6
Qala'at al-Bahrain,060-820,strict,23,23,1,5,4
Qala'at al-Bahrain,060-692,near_leaky,33,28,0.8484848484848485,5,4
Ra's al-Junayz,002-817,strict,108,105,0.9722222222222222,10,9
Ra's al-Junayz,002-820,strict,75,70,0.9333333333333333,7,6
Ra's al-Junayz,002-861,near_leaky,126,102,0.8095238095238095,8,9
Ra's al-Junayz,060-920,strict,52,51,0.9807692307692307,9,7
Ra's al-Junayz,060-550,strict,24,23,0.9583333333333334,4,6
Ra's al-Junayz,060-820,strict,23,23,1,5,4
Ra's al-Junayz,060-692,near_leaky,33,28,0.8484848484848485,5,4
Rahman-deri,002-817,strict,108,105,0.9722222222222222,10,9
Rahman-deri,002-820,strict,75,70,0.9333333333333333,7,6
Rahman-deri,002-861,near_leaky,126,102,0.8095238095238095,8,9
Rahman-deri,060-920,strict,52,51,0.9807692307692307,9,7
Rahman-deri,060-550,strict,24,23,0.9583333333333334,4,6
Rahman-deri,060-820,strict,23,23,1,5,4
Rahman-deri,060-692,near_leaky,33,28,0.8484848484848485,5,4
Rajanpur,002-817,strict,108,105,0.9722222222222222,10,9
Rajanpur,002-820,strict,75,70,0.9333333333333333,7,6
Rajanpur,002-861,near_leaky,126,102,0.8095238095238095,8,9
Rajanpur,060-920,strict,52,51,0.9807692307692307,9,7
Rajanpur,060-550,strict,24,23,0.9583333333333334,4,6
Rajanpur,060-820,strict,23,23,1,5,4
Rajanpur,060-692,near_leaky,33,28,0.8484848484848485,5,4
Rakhigarhi,002-817,strict,108,105,0.9722222222222222,10,9
Rakhigarhi,002-820,strict,75,70,0.9333333333333333,7,6
Rakhigarhi,002-861,near_leaky,126,102,0.8095238095238095,8,9
Rakhigarhi,060-920,strict,51,50,0.9803921568627451,8,7
Rakhigarhi,060-550,strict,24,23,0.9583333333333334,4,6
Rakhigarhi,060-820,strict,23,23,1,5,4
Rakhigarhi,060-692,near_leaky,33,28,0.8484848484848485,5,4
Rupar,002-817,strict,108,105,0.9722222222222222,10,9
Rupar,002-820,strict,75,70,0.9333333333333333,7,6
Rupar,002-861,near_leaky,126,102,0.8095238095238095,8,9
Rupar,060-920,strict,52,51,0.9807692307692307,9,7
Rupar,060-550,strict,24,23,0.9583333333333334,4,6
Rupar,060-820,strict,23,23,1,5,4
Rupar,060-692,near_leaky,33,28,0.8484848484848485,5,4
Saar,002-817,strict,108,105,0.9722222222222222,10,9
Saar,002-820,strict,75,70,0.9333333333333333,7,6
Saar,002-861,near_leaky,126,102,0.8095238095238095,8,9
Saar,060-920,strict,52,51,0.9807692307692307,9,7
Saar,060-550,strict,24,23,0.9583333333333334,4,6
Saar,060-820,strict,23,23,1,5,4
Saar,060-692,near_leaky,33,28,0.8484848484848485,5,4
Salut,002-817,strict,108,105,0.9722222222222222,10,9
Salut,002-820,strict,75,70,0.9333333333333333,7,6
Salut,002-861,near_leaky,126,102,0.8095238095238095,8,9
Salut,060-920,strict,52,51,0.9807692307692307,9,7
Salut,060-550,strict,24,23,0.9583333333333334,4,6
Salut,060-820,strict,23,23,1,5,4
Salut,060-692,near_leaky,33,28,0.8484848484848485,5,4
Shikarpur,002-817,strict,108,105,0.9722222222222222,10,9
Shikarpur,002-820,strict,75,70,0.9333333333333333,7,6
Shikarpur,002-861,near_leaky,126,102,0.8095238095238095,8,9
Shikarpur,060-920,strict,52,51,0.9807692307692307,9,7
Shikarpur,060-550,strict,24,23,0.9583333333333334,4,6
Shikarpur,060-820,strict,23,23,1,5,4
Shikarpur,060-692,near_leaky,33,28,0.8484848484848485,5,4
Shortughai,002-817,strict,108,105,0.9722222222222222,10,9
Shortughai,002-820,strict,75,70,0.9333333333333333,7,6
Shortughai,002-861,near_leaky,126,102,0.8095238095238095,8,9
Shortughai,060-920,strict,52,51,0.9807692307692307,9,7
Shortughai,060-550,strict,24,23,0.9583333333333334,4,6
Shortughai,060-820,strict,23,23,1,5,4
Shortughai,060-692,near_leaky,33,28,0.8484848484848485,5,4
Surkotada,002-817,strict,108,105,0.9722222222222222,10,9
Surkotada,002-820,strict,75,70,0.9333333333333333,7,6
Surkotada,002-861,near_leaky,126,102,0.8095238095238095,8,9
Surkotada,060-920,strict,52,51,0.9807692307692307,9,7
Surkotada,060-550,strict,24,23,0.9583333333333334,4,6
Surkotada,060-820,strict,23,23,1,5,4
Surkotada,060-692,near_leaky,33,28,0.8484848484848485,5,4
Susa,002-817,strict,108,105,0.9722222222222222,10,9
Susa,002-820,strict,75,70,0.9333333333333333,7,6
Susa,002-861,near_leaky,126,102,0.8095238095238095,8,9
Susa,060-920,strict,52,51,0.9807692307692307,9,7
Susa,060-550,strict,24,23,0.9583333333333334,4,6
Susa,060-820,strict,23,23,1,5,4
Susa,060-692,near_leaky,33,28,0.8484848484848485,5,4
Tarkhanewala-dera,002-817,strict,108,105,0.9722222222222222,10,9
Tarkhanewala-dera,002-820,strict,75,70,0.9333333333333333,7,6
Tarkhanewala-dera,002-861,near_leaky,126,102,0.8095238095238095,8,9
Tarkhanewala-dera,060-920,strict,52,51,0.9807692307692307,9,7
Tarkhanewala-dera,060-550,strict,24,23,0.9583333333333334,4,6
Tarkhanewala-dera,060-820,strict,23,23,1,5,4
Tarkhanewala-dera,060-692,near_leaky,33,28,0.8484848484848485,5,4
Tell Umma,002-817,strict,108,105,0.9722222222222222,10,9
Tell Umma,002-820,strict,75,70,0.9333333333333333,7,6
Tell Umma,002-861,near_leaky,126,102,0.8095238095238095,8,9
Tell Umma,060-920,strict,52,51,0.9807692307692307,9,7
Tell Umma,060-550,strict,24,23,0.9583333333333334,4,6
Tell Umma,060-820,strict,23,23,1,5,4
Tell Umma,060-692,near_leaky,33,28,0.8484848484848485,5,4
Unknown,002-817,strict,107,104,0.9719626168224299,9,9
Unknown,002-820,strict,73,68,0.9315068493150684,6,6
Unknown,002-861,near_leaky,125,101,0.808,7,9
Unknown,060-920,strict,51,51,1,8,7
Unknown,060-550,strict,24,23,0.9583333333333334,4,6
Unknown,060-820,strict,22,22,1,4,4
Unknown,060-692,near_leaky,33,28,0.8484848484848485,5,4
Ur,002-817,strict,108,105,0.9722222222222222,10,9
Ur,002-820,strict,75,70,0.9333333333333333,7,6
Ur,002-861,near_leaky,126,102,0.8095238095238095,8,9
Ur,060-920,strict,52,51,0.9807692307692307,9,7
Ur,060-550,strict,24,23,0.9583333333333334,4,6
Ur,060-820,strict,23,23,1,5,4
Ur,060-692,near_leaky,33,28,0.8484848484848485,5,4
Wattoowala,002-817,strict,108,105,0.9722222222222222,10,9
Wattoowala,002-820,strict,75,70,0.9333333333333333,7,6
Wattoowala,002-861,near_leaky,126,102,0.8095238095238095,8,9
Wattoowala,060-920,strict,52,51,0.9807692307692307,9,7
Wattoowala,060-550,strict,24,23,0.9583333333333334,4,6
Wattoowala,060-820,strict,23,23,1,5,4
Wattoowala,060-692,near_leaky,33,28,0.8484848484848485,5,4
