"before_pair","count","categories","top_next1","terminal_share","top_sites","example_ids"
"233-220","4","non240_a_220_032:4","<END>:1;002:1;060:1;741:1","0.25","Harappa:2;Lothal:1;Mohenjo-daro:1","1416.1;1544.1;2041.1;2871.1"
"235-220","4","non240_a_220_032:4","002:3;<END>:1","0.25","Mohenjo-daro:2;Harappa:1;Tarkhanewala-dera:1","1020.1;3085.1;3147.1;5456.1"
"240-031","4","outside_a_220_x_032:4","171:4","0","Harappa:4","405.2;1323.2;1787.2;1864.2"
"390-590","4","outside_a_220_x_032:4","<END>:2;060:1;741:1","0.5","Mohenjo-daro:3;Unknown:1","2448.1;3169.1;3335.1;3359.1"
"740-220","4","non240_a_220_032:4","<END>:2;002:1;806:1","0.5","Harappa:2;Mohenjo-daro:2","1480.1;1584.1;2313.1;3427.1"
"740-760","4","outside_a_220_x_032:4","002:2;<END>:1;033:1","0.25","Mohenjo-daro:3;Nausharo:1","3681.1;3681.3;3840.1;5359.1"
"740-904","4","outside_a_220_x_032:4","002:1;060:1;220:1;233:1","0","Harappa:2;Mohenjo-daro:2","1265.1;2580.1;2826.1;3922.1"
"<START>-000","3","outside_a_220_x_032:3","<END>:2;515:1","0.666667","Harappa:2;Dholavira:1","1357.1;4304.2;4599.1"
"<START>-032","3","outside_a_220_x_032:3","700:2;<END>:1","0.333333","Harappa:3","628.1;876.1;964.1"
"<START>-130","3","outside_a_220_x_032:3","820:2;905:1","0","Rakhigarhi:2;Mohenjo-daro:1","3581.1;3868.1;3868.2"
"<START>-590","3","outside_a_220_x_032:3","645:2;220:1","0","Harappa:3","632.1;848.2;1821.1"
"125-632","3","outside_a_220_x_032:3","<END>:2;900:1","0.666667","Mohenjo-daro:3","2226.1;2566.1;2646.1"
"255-220","3","non240_a_220_032:3","002:1;240:1;806:1","0","Mohenjo-daro:2;Harappa:1","1080.1;2490.1;2566.1"
"740-384","3","outside_a_220_x_032:3","000:1;002:1;803:1","0","Chanhu-daro:1;Harappa:1;Mohenjo-daro:1","112.1;1181.1;3295.1"
"904-220","3","non240_a_220_032:3","000:1;002:1;803:1","0","Lothal:2;Mohenjo-daro:1","2032.5;2063.1;2381.1"
"923-220","3","non240_a_220_032:3","002:2;<END>:1","0.333333","Mohenjo-daro:3","2651.1;2699.1;3144.1"
"<START>-220","2","non240_a_220_032:2","<END>:2","1","Farmana:1;Harappa:1","151.1;3950.1"
"<START>-400","2","outside_a_220_x_032:2","000:2","0","Harappa:1;Mohenjo-daro:1","226.2;3637.1"
"<START>-511","2","outside_a_220_x_032:2","<END>:1;142:1","0.5","Harappa:2","765.2;1317.1"
"000-000","2","outside_a_220_x_032:2","803:1;832:1","0","Chanhu-daro:1;Lothal:1","116.1;1993.1"
"000-220","2","non240_a_220_032:2","<END>:1;002:1","0.5","Mohenjo-daro:2","2501.1;3989.1"
"031-999","2","outside_a_220_x_032:2","<END>:2","1","Harappa:1;Nausharo:1","355.1;5381.1"
"032-226","2","outside_a_220_x_032:2","013:1;700:1","0","Chanhu-daro:1;Mohenjo-daro:1","111.1;2336.1"
"061-070","2","outside_a_220_x_032:2","033:1;741:1","0","Mohenjo-daro:2","2539.1;2695.1"
"090-740","2","outside_a_220_x_032:2","840:2","0","Mohenjo-daro:2","2764.1;3559.1"
"176-220","2","non240_a_220_032:2","<END>:2","1","Mohenjo-daro:2","2987.2;2988.2"
"231-220","2","non240_a_220_032:2","002:2","0","Chanhu-daro:1;Kalibangan:1","98.1;5273.1"
"407-071","2","outside_a_220_x_032:2","<END>:2","1","Mohenjo-daro:2","2998.1;2999.1"
"407-790","2","outside_a_220_x_032:2","<END>:2","1","Dholavira:1;Harappa:1","135.1;426.1"
"440-220","2","non240_a_220_032:2","741:1;798:1","0","Mohenjo-daro:2","3169.1;3582.1"
"480-388","2","outside_a_220_x_032:2","<END>:2","1","Harappa:2","814.1;866.2"
"590-070","2","outside_a_220_x_032:2","002:2","0","Harappa:2","1540.1;1540.2"
"610-125","2","outside_a_220_x_032:2","<END>:2","1","Harappa:1;Mohenjo-daro:1","1132.1;2473.1"
"690-590","2","outside_a_220_x_032:2","220:2","0","Harappa:2","902.2;904.2"
"740-205","2","outside_a_220_x_032:2","002:2","0","Mohenjo-daro:1;Unknown:1","2670.1;3335.1"
"904-001","2","outside_a_220_x_032:2","<END>:2","1","Harappa:2","228.1;229.1"
"904-017","2","outside_a_220_x_032:2","820:2","0","Mohenjo-daro:2","2975.3;2976.3"
"<START>-031","1","outside_a_220_x_032:1","171:1","0","Mohenjo-daro:1","2329.1"
"<START>-034","1","outside_a_220_x_032:1","032:1","0","Harappa:1","3934.1"
"<START>-035","1","outside_a_220_x_032:1","001:1","0","Harappa:1","1046.1"
"<START>-116","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1272.2"
"<START>-140","1","outside_a_220_x_032:1","<END>:1","1","Lothal:1","2066.1"
"<START>-151","1","outside_a_220_x_032:1","388:1","0","Dholavira:1","4237.1"
"<START>-154","1","outside_a_220_x_032:1","000:1","0","Harappa:1","482.1"
"<START>-158","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2209.1"
"<START>-394","1","outside_a_220_x_032:1","002:1","0","Desalpur:1","125.1"
"<START>-405","1","outside_a_220_x_032:1","900:1","0","Harappa:1","1182.1"
"<START>-408","1","outside_a_220_x_032:1","520:1","0","Mohenjo-daro:1","3061.2"
"<START>-409","1","outside_a_220_x_032:1","845:1","0","Harappa:1","1171.1"
"<START>-690","1","outside_a_220_x_032:1","025:1","0","Harappa:1","843.1"
"<START>-705","1","outside_a_220_x_032:1","595:1","0","Mohenjo-daro:1","3823.1"
"<START>-717","1","outside_a_220_x_032:1","521:1","0","Mohenjo-daro:1","2532.1"
"<START>-741","1","outside_a_220_x_032:1","031:1","0","Mohenjo-daro:1","2158.1"
"<START>-790","1","outside_a_220_x_032:1","033:1","0","Mohenjo-daro:1","3673.1"
"<START>-840","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3071.1"
"<START>-842","1","outside_a_220_x_032:1","031:1","0","Chanhu-daro:1","64.1"
"<START>-865","1","outside_a_220_x_032:1","226:1","0","Mohenjo-daro:1","2336.1"
"<START>-872","1","outside_a_220_x_032:1","692:1","0","Mohenjo-daro:1","2661.1"
"<START>-876","1","outside_a_220_x_032:1","578:1","0","Harappa:1","672.3"
"<START>-877","1","outside_a_220_x_032:1","480:1","0","Lothal:1","2138.1"
"<START>-904","1","outside_a_220_x_032:1","904:1","0","Mohenjo-daro:1","3798.1"
"000-031","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2694.1"
"000-035","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","4035.1"
"000-061","1","outside_a_220_x_032:1","001:1","0","Unknown:1","5224.1"
"000-132","1","outside_a_220_x_032:1","<END>:1","1","Unknown:1","3888.1"
"000-717","1","outside_a_220_x_032:1","000:1","0","Kalibangan:1","1937.1"
"001-226","1","outside_a_220_x_032:1","002:1","0","Mohenjo-daro:1","2863.1"
"001-390","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3993.1"
"002-168","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3519.1"
"002-172","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1445.1"
"002-305","1","outside_a_220_x_032:1","904:1","0","Harappa:1","1296.1"
"002-817","1","outside_a_220_x_032:1","320:1","0","Mohenjo-daro:1","3685.1"
"002-840","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2290.1"
"002-861","1","outside_a_220_x_032:1","520:1","0","Mohenjo-daro:1","2342.1"
"002-862","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","293.1"
"031-000","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","228.2"
"031-090","1","outside_a_220_x_032:1","001:1","0","Mohenjo-daro:1","3301.1"
"031-850","1","outside_a_220_x_032:1","530:1","0","Chanhu-daro:1","72.1"
"031-905","1","outside_a_220_x_032:1","000:1","0","Dholavira:1","4177.1"
"032-000","1","outside_a_220_x_032:1","740:1","0","Mohenjo-daro:1","2515.1"
"032-832","1","outside_a_220_x_032:1","002:1","0","Lothal:1","1993.1"
"032-999","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","4480.1"
"033-001","1","outside_a_220_x_032:1","091:1","0","Karzakan:1","5228.1"
"034-032","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","3934.1"
"055-220","1","non240_a_220_032:1","798:1","0","Mohenjo-daro:1","2877.1"
"070-220","1","non240_a_220_032:1","240:1","0","Mohenjo-daro:1","2403.1"
"072-921","1","outside_a_220_x_032:1","002:1","0","Mohenjo-daro:1","2229.1"
"090-850","1","outside_a_220_x_032:1","060:1","0","Mohenjo-daro:1","3166.1"
"094-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","2657.1"
"100-220","1","non240_a_220_032:1","741:1","0","Mohenjo-daro:1","3092.1"
"128-702","1","outside_a_220_x_032:1","226:1","0","Chanhu-daro:1","111.1"
"142-384","1","outside_a_220_x_032:1","154:1","0","Mohenjo-daro:1","2867.1"
"151-690","1","outside_a_220_x_032:1","031:1","0","Chanhu-daro:1","88.1"
"151-892","1","outside_a_220_x_032:1","<END>:1","1","Dholavira:1","127.1"
"153-220","1","non240_a_220_032:1","<END>:1","1","Dholavira:1","4286.1"
"156-140","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","264.1"
"171-031","1","outside_a_220_x_032:1","171:1","0","Mohenjo-daro:1","2844.3"
"193-384","1","outside_a_220_x_032:1","920:1","0","Harappa:1","1066.1"
"232-000","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3391.1"
"232-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","3519.1"
"233-226","1","outside_a_220_x_032:1","001:1","0","Lothal:1","2135.1"
"235-168","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3114.1"
"236-220","1","non240_a_220_032:1","803:1","0","Mohenjo-daro:1","3150.1"
"241-220","1","non240_a_220_032:1","002:1","0","Harappa:1","1434.1"
"270-633","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3529.1"
"292-590","1","outside_a_220_x_032:1","901:1","0","Mohenjo-daro:1","3621.1"
"298-460","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3119.1"
"300-350","1","outside_a_220_x_032:1","190:1","0","Mohenjo-daro:1","2577.1"
"302-840","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2573.1"
"335-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","2745.1"
"350-590","1","outside_a_220_x_032:1","900:1","0","Mohenjo-daro:1","2720.1"
"350-761","1","outside_a_220_x_032:1","060:1","0","Mohenjo-daro:1","2390.1"
"362-692","1","outside_a_220_x_032:1","002:1","0","Mohenjo-daro:1","2549.1"
"368-632","1","outside_a_220_x_032:1","<END>:1","1","Gola Dhoro (Bagasra):1","5218.1"
"400-226","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","317.1"
"400-854","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","679.2"
"405-590","1","outside_a_220_x_032:1","900:1","0","Harappa:1","1020.1"
"405-690","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1102.1"
"405-844","1","outside_a_220_x_032:1","840:1","0","Bakkar Buthi:1","18.1"
"415-070","1","outside_a_220_x_032:1","002:1","0","Mohenjo-daro:1","3422.1"
"420-125","1","outside_a_220_x_032:1","820:1","0","Mohenjo-daro:1","2852.1"
"440-390","1","outside_a_220_x_032:1","368:1","0","Chanhu-daro:1","109.1"
"455-220","1","non240_a_220_032:1","<END>:1","1","Harappa:1","1830.1"
"455-420","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","513.1"
"504-632","1","outside_a_220_x_032:1","<END>:1","1","Kalibangan:1","1877.1"
"520-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","3421.1"
"520-382","1","outside_a_220_x_032:1","002:1","0","Mohenjo-daro:1","2236.1"
"585-000","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1767.2"
"590-165","1","outside_a_220_x_032:1","840:1","0","Mohenjo-daro:1","3240.1"
"590-220","1","non240_a_220_032:1","806:1","0","Mohenjo-daro:1","2888.1"
"590-850","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3157.1"
"630-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","2564.1"
"685-226","1","outside_a_220_x_032:1","741:1","0","Lothal:1","2019.1"
"700-790","1","outside_a_220_x_032:1","063:1","0","Lothal:1","2053.1"
"700-840","1","outside_a_220_x_032:1","741:1","0","Harappa:1","829.2"
"705-220","1","non240_a_220_032:1","231:1","0","Mohenjo-daro:1","3529.1"
"740-000","1","outside_a_220_x_032:1","000:1","0","Tigrana:1","5438.1"
"740-176","1","outside_a_220_x_032:1","002:1","0","Chanhu-daro:1","69.1"
"740-240","1","outside_a_220_x_032:1","000:1","0","Kalibangan:1","1965.1"
"740-255","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","643.1"
"740-344","1","outside_a_220_x_032:1","545:1","0","Mohenjo-daro:1","2605.1"
"740-790","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","930.2"
"740-861","1","outside_a_220_x_032:1","233:1","0","Mohenjo-daro:1","3650.1"
"740-927","1","outside_a_220_x_032:1","741:1","0","Mohenjo-daro:1","3296.1"
"741-031","1","outside_a_220_x_032:1","716:1","0","Harappa:1","1667.1"
"741-390","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2212.1"
"741-590","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1492.1"
"742-315","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2795.1"
"742-706","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3297.1"
"773-220","1","non240_a_220_032:1","<END>:1","1","Mohenjo-daro:1","3041.1"
"794-734","1","outside_a_220_x_032:1","235:1","0","Mohenjo-daro:1","2616.1"
"798-220","1","non240_a_220_032:1","002:1","0","Mohenjo-daro:1","2618.1"
"798-590","1","outside_a_220_x_032:1","<END>:1","1","Harappa:1","1452.1"
"803-220","1","non240_a_220_032:1","220:1","0","Mohenjo-daro:1","2292.1"
"820-000","1","outside_a_220_x_032:1","740:1","0","Mohenjo-daro:1","4034.1"
"832-390","1","outside_a_220_x_032:1","000:1","0","Mohenjo-daro:1","2515.1"
"840-634","1","outside_a_220_x_032:1","<END>:1","1","Chanhu-daro:1","112.1"
"861-590","1","outside_a_220_x_032:1","368:1","0","Kalibangan:1","1885.1"
"890-001","1","outside_a_220_x_032:1","776:1","0","Harappa:1","1067.1"
"892-632","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","2405.1"
"923-070","1","outside_a_220_x_032:1","033:1","0","Mohenjo-daro:1","3115.1"
"923-226","1","outside_a_220_x_032:1","<END>:1","1","Mohenjo-daro:1","3719.1"
"923-877","1","outside_a_220_x_032:1","803:1","0","Mohenjo-daro:1","3514.1"
