id,object,site,type,symbol,cult,full_left,left_last1,left_last2,after_002_head,after_002_tail,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,source_status,text
52.1,-,Bhirrana,SEAL:S,Bull1,RAN,236,236,236,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+236-002-820+
61.1,C-66,Chanhu-daro,SEAL:S,Bull1:W,RAN,390 003,003,390 003,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-003-002-817+
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,SAF,000 100 240 220 032,032,220 032,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-100-240-220-032-002-861+
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,SAN,740 176 032,032,176 032,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-176-032-002-861+
71.1,C-53,Chanhu-daro,SEAL:S,Bull1,-,032 031 740 222 235,235,222 235,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+032-031/740-222-235-002-861+
74.1,C-58,Chanhu-daro,SEAL:S,Bull1,-,032 031 740 222 235,235,222 235,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+032-031/740-222-235-002-861+
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,Trough,125,125,125,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+125-002-861+
78.1,C-71,Chanhu-daro,SEAL:S,Bull1,-,000 000 000 000 861,861,000 861,906,906 003,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-000-000/000-861-002-906-003+
81.1,C-78,Chanhu-daro,SEAL:S,None,None,740 636 240,240,636 240,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-636-240/002-817+
82.1,C-57,Chanhu-daro,SEAL:S,Bull1:W,SAF,740 032 840,840,032 840,296,296 530 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-032-840-002-296-530-000+
84.1,C-85,Chanhu-daro,SEAL:R,-,-,000 000,000,000 000,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-000-002-820+
87.1,C-67,Chanhu-daro,SEAL:S,Bull1:S,SAN,520 233 803,803,233 803,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-233-803-002-817+
89.1,C-1,Chanhu-daro,SEAL:S,Bull1,None,031 840 140 740 101,101,740 101,365,365 287 034,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+031-840-140-740-101-002-365-287-034+
91.1,C-3,Chanhu-daro,SEAL:S,Bull1:W,SAN,740 016,016,740 016,920,920 317,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-016-002-920-317+
92.1,C-4,Chanhu-daro,SEAL:S,Bull1:L,RAN,520 235 803,803,235 803,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-235-803-002-817+
93.1,C-5,Chanhu-daro,SEAL:S,Bull1:I,RBF,740 140 717,717,140 717,298,298 741,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-140-717-002-298-741+
94.1,C-6,Chanhu-daro,SEAL:S,Bull1:J,RAN,817 521 521 090 740 221,221,740 221,031,031 500,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+817-521-521/090-740-221-002-031-500+
95.1,C-7,Chanhu-daro,SEAL:S,Bull,-,520 033 705 240 798,798,240 798,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-705-240-798-002-000[
98.1,C-10,Chanhu-daro,SEAL:S,Bull1:W,SAN,740 231 220 032,032,220 032,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-231-220-032-002-817+
106.1,C-18,Chanhu-daro,SEAL:S,Bull1,-,000 031,031,000 031,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-031-002-817+
125.1,Dlp-3,Desalpur,TAG,None,None,394 032,032,394 032,892,892 740,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+394-032-002-892-740+
130.1,-,Dholavira,SEAL:S,Bull1:W,S??,244 165 740 879 220 416 803,803,416 803,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+244-165/740-879-220-416-803-002-861+
132.1,-,Dholavira,SEAL:S,Tigr,None,740 416,416,740 416,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-416-002-861+
136.1,-,Dholavira,SEAL:R,None,None,390 016,016,390 016,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-016-002-861+
143.1,-,Dholavira,TAB:B,Gavi,None,000 400 350 031,031,350 031,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-400-350-031-002-817+
145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,HBN,151 382 031,031,382 031,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+151-382-031-002-861+
146.1,Dlv-2,Dholavira,SEAL:R,None,None,000,000,000,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-002-817+
216.1,-,Baror,SEAL:S,Bull1:I,SAF,000 000,000,000 000,257,257 550,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-000-002-257-550+
223.1,H-1042,Harappa,SEAL:S,Bull1,RAN,740 923 000 220,220,000 220,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-923-000-220-002-817+
246.1,H-1045,Harappa,SEAL:S,Bull1:U,RAN,740 900 005,005,900 005,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-900-005-002-820+
256.1,H-1038,Harappa,SEAL:S,Bull1:I,-,740 519,519,740 519,297,297 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-519-002-297-000[
259.1,H-1051,Harappa,SEAL:S,Bull1:I,SAN,400 740 575 017 920 320 798,798,320 798,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+400-740-575-017-920-320-798-002-861+
280.1,-,Harappa,TAB:B,Bull2,SAN,740 904 240,240,904 240,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-904-240-002-817+
284.1,H-1030,Harappa,SEAL:S,Bull1:W,RAF,090 740 103,103,740 103,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+090-740-103-002-861+
293.1,H-1033,Harappa,SEAL:S,Bull1:W,-,220 500 520,520,500 520,862,862 032,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+220-500-520-002-862-032+
296.1,H-1058,Harappa,SEAL,-,-,740 019,019,740 019,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]740-019-002-000[
303.1,H-1043,Harappa,SEAL:S,Bull1:W,HBF,151 760 220 003,003,220 003,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+151-760-220-003-002-861+
315.1,H-1517,Harappa,ROD,None,None,405 005,005,405 005,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-005-002+
323.1,H-1421,Harappa,POT:T:g,None,None,<START>,<START>,<START>,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]002-861[
341.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
342.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
349.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
350.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
356.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
370.1,H-2016,Harappa,TAB:B,None,None,317 740 335 740 176,176,740 176,920,920 491,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+317-740-335-740-176-002-920-491+
388.2,H-1874,Harappa,TAB:B,None,None,<START>,<START>,<START>,220,220 455 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-220-455-000+
401.1,H-2003,Harappa,TAB:B,Mult,None,390 004,004,390 004,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-004-002-817+
402.2,H-2015,Harappa,TAB:B,None,None,520 033 705 235 832,832,235 832,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-705-235-832-002-817+
409.2,H-1942,Harappa,TAB:B,Bult,None,405 035,035,405 035,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-035-002-861+
411.2,H-1865,Harappa,TAB:B,None,None,740 702 061,061,702 061,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-702-061-002-000+
412.2,H-2014,Harappa,TAB:B,None,None,000 832,832,000 832,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-832-002-817+
448.1,H-1967,Harappa,TAB:B,Mult,None,382 760 382,382,760 382,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+382-760-382-002-820+
466.1,H-1882,Harappa,TAB:B,None,None,<START>,<START>,<START>,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-820+
476.2,H-2094,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
488.2,H-2097,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
507.1,H-1681,Harappa,SEAL:S,Bull1,-,000 032,032,000 032,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-032-002-820+
513.1,H-1671,Harappa,SEAL:S,Bull1:S,RAN,740 061,061,740 061,455,455 420 032,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-061-002-455-420-032+
518.2,H-2095,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
529.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
536.1,H-1723,Harappa,TAG:L,-,-,000 880,880,000 880,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-880-002-000[
537.1,H-1692,Harappa,SEAL:S,None,None,740 390 590,590,390 590,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-390-590-002-861+
543.1,-,Harappa,POT:T:g,None,None,000 480 003 064,064,003 064,003,003 861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+000-480-003-064-002-003-861+
594.2,H-2022,Harappa,TAB:B,Phyt,Mult,740 752 175,175,752 175,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-752-175-002-861+
599.2,H-1864,Harappa,TAB:B,None,None,740 142 062,062,142 062,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-142-062-002-817+
604.1,H-2338,Harappa,POT:T:g,None,None,740 061,061,740 061,575,575 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]740-061-002-575-000[
617.1,-,Harappa,POT:T:g,None,None,740 000 000,000,000 000,575,575 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]740-000-000-002-575-000[
621.1,-,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
623.1,H-1706,Harappa,SEAL:R,None,None,405 003,003,405 003,293,293 360,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-003-002-293-360+
626.1,H-1662,Harappa,SEAL:S,Bull1:W,H,033 033 740 142 061 140,140,061 140,546,546,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+033-033/740-142-061-140-002-546+
634.1,H-1680,Harappa,SEAL:S,Bull1:W,SAN,390 003,003,390 003,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-003-002-820+
665.2,H-2096,Harappa,TAB:I,None,None,<START>,<START>,<START>,861,861 416,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-861-416+
682.2,H-1146,Harappa,TAB:B,None,None,526 554,554,526 554,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+526-554-002-820+
729.2,H-2010,Harappa,TAB:B,Bull1,None,740 482 240,240,482 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-482-240-002-861+
731.1,H-1670,Harappa,SEAL:S,Bull1:J,HAF,740 760 033 033 240,240,033 240,824,824,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-760-033-033-240-002-824+
744.2,H-1993,Harappa,TAB:B,None,None,740 000 220 004,004,220 004,390,390 095,095,<END>,yes,yes,source_route_triaged_supplement_only_no_image,+740-000-220-004-002-390-095+
771.2,H-1930,Harappa,TAB:B,Gavi,None,408 817 920,920,817 920,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+408-817-920-002-861+
789.1,H-1785,Harappa,TAB:B,Phyt,None,407 004,004,407 004,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+407-004-002-861+
805.1,H-1788,Harappa,TAB:B,None,SAN,154 806 470,470,806 470,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+154-806-470-002-861+
937.2,H-2011,Harappa,TAB:B,Bull1,None,740 482 240,240,482 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-482-240-002-861+
943.1,H-1667,Harappa,SEAL:S,Bull1:W,SAN,740 540,540,740 540,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-540-002-817+
951.1,-,Dholavira,SEAL:S,Bull1:U,SAN,390 004,004,390 004,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-004-002-817+
955.1,H-2583,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
960.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,002,002,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-002+
960.1,-,Harappa,POT:T:g,None,None,002,002,002,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-002+
967.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
974.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
975.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
989.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-000+
996.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,<END>,<END>,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002+
1004.1,H-1966,Harappa,TAB:B,Gaur,Trough,520 233 049,049,233 049,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-233-049-002-861+
1007.1,H-1726,Harappa,POT:T:s,None,None,740 100 692 491,491,692 491,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-100-692-491-002-817+
1020.1,H-1657,Harappa,SEAL:S,Bull1:W,SAN,740 405 590 032 900 003 806 235 220 032,032,220 032,690,690 921,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-405-590-032-900-003-806-235-220-032-002-690-921+
1024.2,H-1851,Harappa,TAB:B,None,None,740 803 892 031,031,892 031,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-803-892-031-002-861+
1030.1,H-1739,Harappa,POT:T:s,None,None,034,034,034,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]034-002-817[
1047.1,-,Harappa,POT:T:g,None,None,<START>,<START>,<START>,003,003,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-003+
1060.1,H-1050,Harappa,SEAL:S,Bull1:W,SAN,804 235,235,804 235,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+804-235-002-817+
1064.1,H-3,Harappa,SEAL:S,Bull1:W,SAN,740 585 017,017,585 017,611,611 615 703,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-585-017-002-611-615-703+
1069.1,H-8,Harappa,SEAL:S,Bull1:W,SAN,354 001 740 405 590 033 706,706,033 706,690,690 921,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+354-001-740-405-590-033-706-002-690-921+
1073.1,H-12,Harappa,SEAL:S,Bull1:W,SAF,740 690 435 255 803 220 240 235,235,240 235,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-690-435-255-803-220-240-235-002-817+
1074.1,H-13,Harappa,SEAL:S,Bull1:W,SAF,740 760 615 503,503,615 503,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-760-615-503-002-817+
1076.1,H-15,Harappa,SEAL:S,Bull1:W,SAN,000 000,000,000 000,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-000-002-817+
1078.1,H-18,Harappa,SEAL:S,Bull1:W,-,000 220 032,032,220 032,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-220-032-002-820+
1081.1,H-21,Harappa,SEAL:S,Bull1:W,S,405 061 527 555 233 235 806,806,235 806,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+405-061-527-555-233-235-806-002-817+
1082.1,H-22,Harappa,SEAL:S,Bull1:W,SAN,740 920 320 233 806,806,233 806,405,405 321,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-920-320-233-806-002-405-321+
1091.1,H-31,Harappa,SEAL:S,Bull1:W,SAN,740 100 415 240,240,415 240,365,365 374 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-100-415-240-002-365-374-000+
1100.1,H-41,Harappa,SEAL:S,Bull1:J,R,000,000,000,690,690,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-002-690+
1101.1,H-42,Harappa,SEAL:S,Bull1:J,RAN,740 380 235,235,380 235,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-380-235-002-817+
1103.1,H-44,Harappa,SEAL:S,Bull1:W,SAN,520 033 706 235 798 803,803,798 803,031,031 892,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-033-706-235-798-803-002-031-892+
1104.1,H-45,Harappa,SEAL:S,Bull1:W,-,090 740 101,101,740 101,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+090-740-101-002-820+
1110.1,H-51,Harappa,SEAL:S,Bull1:W,HAF,740 643 240,240,643 240,861,861,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+740-643-240-002-861+
1114.1,H-55,Harappa,SEAL:S,Bull1:X,SAF,390 004,004,390 004,861,861 125,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-004-002-861-125+
1119.1,H-60,Harappa,SEAL:S,Bull1:II,H,621 740 900 003,003,900 003,820,820,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+621-740-900-003/002-820+
1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,090 740 220 003,003,220 003,390,390 072,072,<END>,yes,yes,metadata_only_unbound,+090-740-220-003-002-390-072+
1132.1,H-74,Harappa,SEAL:S,Bull1:J,RAN,<START>,<START>,<START>,610,610 125 032,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+002-610-125-032+
1135.1,H-78,Harappa,SEAL:S,Gaur,Trough,000 806,806,000 806,575,575 000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,]000-806-002-575-000+
1139.1,H-82,Harappa,SEAL:S,Gaur,Trough,390 017,017,390 017,220,220 455 741,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+390-017-002-220-455-741+
1141.1,H-85,Harappa,SEAL:S,Zebu,-,520 219,219,520 219,817,817,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-219-002-817+
1148.1,H-92,Harappa,SEAL:S,Elep,None,156 176 518 220 416,416,220 416,615,615,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+156-176-518-220-416-002-615+
1155.1,H-100,Harappa,SEAL:S,None,None,520 031 000,000,031 000,000,000,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+520-031-000-002-000+
1170.1,H-129,Harappa,SEAL:R,None,None,409 061 740 235 220 031,031,220 031,861,861 244 165,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+409-061-740-235-220-031-002-861-244-165+
1171.1,H-130,Harappa,SEAL:R,None,None,409 032 845 033 705 231 806,806,231 806,595,595 812 125 717,<NOT_002390>,<NOT_002390>,<NOT_002390>,no,not_in_002390_frame_or_metadata_only,+409-032-845-033-705-231-806-002-595-812-125-717+
