policy,cisi,length,sequence
raw_lipi_numeric,M-163,5,L520 L220 L415 L060 L820
raw_lipi_numeric,M-164,5,L740 L142 L061 L002 L817
raw_lipi_numeric,M-166,6,L390 L844 L240 L806 L002 L861
raw_lipi_numeric,M-170,8,L740 L923 L406 L061 L070 L032 L741 L861
raw_lipi_numeric,M-171,8,L407 L061 L740 L923 L233 L806 L060 L692
raw_lipi_numeric,M-172,6,L405 L018 L001 L220 L786 L850
raw_lipi_numeric,M-173,5,L740 L388 L900 L320 L806
raw_lipi_numeric,M-174,6,L740 L923 L220 L032 L002 L820
raw_lipi_numeric,M-177,4,L390 L003 L002 L803
raw_lipi_numeric,M-178,2,L390 L016
raw_lipi_numeric,M-179,2,L390 L003
raw_lipi_numeric,M-180,2,L740 L621
raw_lipi_numeric,M-181,5,L520 L175 L002 L295 L502
raw_lipi_numeric,M-183,4,L520 L233 L060 L297
raw_lipi_numeric,M-184,4,L090 L740 L101 L853
raw_lipi_numeric,M-182,2,L740 L416
p385_merge_only,M-1,5,L001 L368 P385 L255 L371
p385_merge_only,M-3,3,L717 L032 L521
p385_merge_only,M-5,6,L740 L773 L240 L235 L060 L692
p385_merge_only,M-6,4,L820 L880 L065 L244
p385_merge_only,M-8,3,L706 L140 L632
p385_merge_only,M-9,3,L031 L311 L745
p385_merge_only,M-12,9,L740 L390 L590 L233 L002 L368 L202 L892 L371
p385_merge_only,M-13,3,L368 L304 L125
p385_merge_only,M-14,5,L740 L776 L503 L002 P385
p385_merge_only,M-15,5,L090 L740 L176 L002 P385
p385_merge_only,M-16,4,L820 L130 L035 L171
p385_merge_only,M-17,5,L390 L016 L002 L814 L560
p385_merge_only,M-18,3,L932 L740 L055
p385_merge_only,M-21,8,L350 L001 L740 L362 L692 L032 L002 P385
p385_merge_only,M-24,7,L090 L740 L240 L235 L002 L906 L140
p385_merge_only,M-26,5,L090 L740 L531 L060 L692
p385_merge_only,M-29,9,L740 L055 L240 L235 L806 L002 L220 L455 L503
p385_merge_only,M-30,7,L740 L752 L017 L503 L240 L235 L806
p385_merge_only,M-31,6,L740 L269 L511 L233 L060 L820
p385_merge_only,M-32,4,L390 L003 L002 P385
p385_merge_only,M-33,7,L740 L032 L923 L382 L233 L002 L112
p385_merge_only,M-34,7,L740 L336 L176 L002 L405 L372 L374
p385_merge_only,M-35,7,L740 L390 L590 L233 L231 L002 L107
p385_merge_only,M-36,9,L740 L794 L630 L220 L032 L002 L368 L906 L329
p385_merge_only,M-37,3,L520 L220 L415
p385_merge_only,M-38,13,L740 L690 L435 L255 L220 L032 L240 L235 L002 L390 L125 L632 L032
p385_merge_only,M-40,5,L391 L002 L527 L475 L005
p385_merge_only,M-42,5,L527 L550 L240 L002 P385
p385_merge_only,M-43,6,L740 L798 L231 L002 L055 L373
p385_merge_only,M-44,8,L740 L760 L033 L705 L803 L002 L920 L317
p385_merge_only,M-46,8,L740 L798 L240 L235 L002 L220 L065 L215
p385_merge_only,M-47,5,L740 L760 L235 L002 P385
p385_merge_only,M-48,6,L390 L820 L463 L060 L368 L920
p385_merge_only,M-51,8,L740 L798 L460 L350 L235 L741 L390 L140
p385_merge_only,M-52,10,L740 L904 L032 L220 L415 L235 L803 L002 L504 L717
p385_merge_only,M-53,9,L090 L740 L220 L016 L002 L297 L190 L920 L140
p385_merge_only,M-54,7,L236 L240 L033 L705 L798 L002 L820
p385_merge_only,M-56,8,L740 L877 L032 L235 L060 L550 L611 L840
p385_merge_only,M-57,6,L226 L032 L231 L798 L002 L693
p385_merge_only,M-58,5,L740 L460 L503 L002 P385
p385_merge_only,M-59,5,L368 L003 L742 L060 L920
p385_merge_only,M-63,4,L526 L555 L060 L550
p385_merge_only,M-64,6,L520 L033 L706 L060 L220 L004
p385_merge_only,M-65,6,L520 L220 L031 L001 L706 L575
p385_merge_only,M-69,5,L740 L803 L231 L060 L692
p385_merge_only,M-70,5,L226 L032 L002 L390 L692
p385_merge_only,M-71,6,L151 L279 L142 L002 L390 L095
p385_merge_only,M-74,4,L595 L575 L704 L140
p385_merge_only,M-75,5,L520 L220 L004 L002 P385
p385_merge_only,M-77,5,L832 L390 L803 L002 P385
p385_merge_only,M-78,4,L740 L344 L032 L545
p385_merge_only,M-80,5,L156 L003 L060 L368 P385
p385_merge_only,M-82,6,L740 L222 L002 L207 L550 L390
p385_merge_only,M-83,3,L390 L018 L796
p385_merge_only,M-84,6,L740 L765 L240 L001 L368 L920
p385_merge_only,M-85,5,L520 L233 L741 L081 L272
p385_merge_only,M-86,7,L520 L033 L705 L231 L002 L820 L700
p385_merge_only,M-87,3,L400 L890 L104
p385_merge_only,M-88,3,L527 L388 L233
p385_merge_only,M-89,5,L740 L794 L734 L032 L235
p385_merge_only,M-90,6,L740 L840 L013 L031 L002 P385
p385_merge_only,M-91,9,L740 L100 L798 L220 L032 L002 P385 L255 L416
p385_merge_only,M-92,7,L740 L798 L460 L350 L002 L814 L084
p385_merge_only,M-93,5,L156 L003 L240 L741 L345
p385_merge_only,M-94,5,L740 L390 L590 L220 L003
p385_merge_only,M-95,5,L390 L003 L002 L111 L165
p385_merge_only,M-96,2,L156 L004
p385_merge_only,M-97,3,L156 L435 L255
p385_merge_only,M-99,5,L740 L215 L002 L368 L119
p385_merge_only,M-100,6,L090 L740 L255 L705 L002 P385
p385_merge_only,M-101,6,L390 L503 L740 L168 L002 P385
p385_merge_only,M-102,4,L154 L003 L900 L545
p385_merge_only,M-103,4,L390 L004 L002 L820
p385_merge_only,M-104,5,L090 L740 L220 L235 L853
p385_merge_only,M-107,6,L740 L565 L233 L002 L940 L260
p385_merge_only,M-108,7,L413 L820 L220 L065 L798 L550 L820
p385_merge_only,M-109,7,L740 L879 L220 L415 L002 L287 L140
p385_merge_only,M-112,8,L740 L760 L220 L016 L382 L741 L572 L684
p385_merge_only,M-113,6,L740 L032 L840 L741 L060 L920
p385_merge_only,M-114,6,L740 L760 L440 L002 L297 L416
p385_merge_only,M-115,8,L390 L844 L140 L176 L803 L002 L301 L190
p385_merge_only,M-116,7,L740 L100 L176 L840 L013 L002 P385
p385_merge_only,M-117,8,L520 L033 L705 L220 L803 L055 L002 L820
p385_merge_only,M-118,8,L740 L772 L033 L705 L233 L803 L002 P385
p385_merge_only,M-119,10,L151 L337 L484 L002 L390 L125 L632 L032 L900 L563
p385_merge_only,M-121,5,L740 L900 L790 L233 L798
p385_merge_only,M-122,3,L520 L033 L705
p385_merge_only,M-123,4,L400 L093 L368 L072
p385_merge_only,M-124,4,L740 L923 L220 L032
p385_merge_only,M-127,5,L565 L740 L220 L741 L176
p385_merge_only,M-128,6,L740 L923 L803 L741 L500 L705
p385_merge_only,M-129,6,L520 L233 L240 L235 L741 L360
p385_merge_only,M-130,6,L740 L094 L220 L032 L002 L144
p385_merge_only,M-131,6,L740 L390 L590 L741 L390 L790
p385_merge_only,M-132,3,L156 L003 L545
p385_merge_only,M-133,8,L527 L550 L240 L220 L255 L812 L906 L388
p385_merge_only,M-134,3,L872 L032 L692
p385_merge_only,M-135,4,L520 L033 L705 L031
p385_merge_only,M-136,7,L090 L740 L220 L016 L031 L908 L545
p385_merge_only,M-138,3,L740 L900 L005
p385_merge_only,M-139,5,L033 L832 L236 L741 L361
p385_merge_only,M-140,7,L740 L336 L002 L220 L065 L440 L455
p385_merge_only,M-142,4,L136 L140 L002 P385
p385_merge_only,M-143,6,L740 L205 L032 L002 L252 L840
p385_merge_only,M-144,6,L740 L100 L415 L240 L002 P385
p385_merge_only,M-145,4,L740 L400 L142 L880
p385_merge_only,M-146,5,L740 L255 L920 L060 L692
p385_merge_only,M-147,6,L226 L803 L002 L220 L455 L520
p385_merge_only,M-148,3,L740 P385 L556
p385_merge_only,M-149,5,L740 L760 L440 L060 L550
p385_merge_only,M-150,2,L740 L832
p385_merge_only,M-151,3,L220 L065 L864
p385_merge_only,M-152,4,L740 L772 L002 P385
p385_merge_only,M-153,3,L269 L130 L190
p385_merge_only,M-154,7,L520 L220 L621 L415 L002 L257 L898
p385_merge_only,M-155,3,L740 L176 L031
p385_merge_only,M-157,7,L740 L900 L790 L233 L798 L001 L820
p385_merge_only,M-158,4,L390 L016 L060 L550
p385_merge_only,M-159,5,L740 L048 L741 L250 L579
p385_merge_only,M-160,6,L151 L243 L031 L002 L820 L741
p385_merge_only,M-163,5,L520 L220 L415 L060 L820
p385_merge_only,M-164,5,L740 L142 L061 L002 P385
p385_merge_only,M-166,6,L390 L844 L240 L806 L002 P385
p385_merge_only,M-170,8,L740 L923 L406 L061 L070 L032 L741 P385
p385_merge_only,M-171,8,L407 L061 L740 L923 L233 L806 L060 L692
p385_merge_only,M-172,6,L405 L018 L001 L220 L786 L850
p385_merge_only,M-173,5,L740 L388 L900 L320 L806
p385_merge_only,M-174,6,L740 L923 L220 L032 L002 L820
p385_merge_only,M-177,4,L390 L003 L002 L803
p385_merge_only,M-178,2,L390 L016
p385_merge_only,M-179,2,L390 L003
p385_merge_only,M-180,2,L740 L621
p385_merge_only,M-181,5,L520 L175 L002 L295 L502
p385_merge_only,M-183,4,L520 L233 L060 L297
p385_merge_only,M-184,4,L090 L740 L101 L853
p385_merge_only,M-182,2,L740 L416
provisional_high_map,M-1,5,L001 P202 P385 L255 L371
provisional_high_map,M-3,3,L717 P145 L521
provisional_high_map,M-5,6,P324 L773 P062 P060 P120 L692
provisional_high_map,M-6,4,P378 L880 L065 L244
provisional_high_map,M-8,3,L706 L140 L632
provisional_high_map,M-9,3,L031 L311 L745
provisional_high_map,M-12,9,P324 P086 L590 P058 P122 P202 L202 L892 L371
provisional_high_map,M-13,3,P202 L304 L125
provisional_high_map,M-14,5,P324 L776 L503 P122 P385
provisional_high_map,M-15,5,L090 P324 L176 P122 P385
provisional_high_map,M-16,4,P378 L130 L035 L171
provisional_high_map,M-17,5,P086 L016 P122 L814 L560
provisional_high_map,M-18,3,L932 P324 L055
provisional_high_map,M-21,8,L350 L001 P324 L362 L692 P145 P122 P385
provisional_high_map,M-24,7,L090 P324 P062 P060 P122 L906 L140
provisional_high_map,M-26,5,L090 P324 L531 P120 L692
provisional_high_map,M-29,9,P324 L055 P062 P060 L806 P122 L220 L455 L503
provisional_high_map,M-30,7,P324 L752 L017 L503 P062 P060 L806
provisional_high_map,M-31,6,P324 L269 L511 P058 P120 P378
provisional_high_map,M-32,4,P086 P123 P122 P385
provisional_high_map,M-33,7,P324 P145 L923 L382 P058 P122 L112
provisional_high_map,M-34,7,P324 L336 L176 P122 L405 L372 L374
provisional_high_map,M-35,7,P324 P086 L590 P058 L231 P122 L107
provisional_high_map,M-36,9,P324 L794 L630 L220 P145 P122 P202 L906 L329
provisional_high_map,M-37,3,P217 L220 L415
provisional_high_map,M-38,13,P324 L690 L435 L255 L220 P145 P062 P060 P122 P086 L125 L632 P145
provisional_high_map,M-40,5,L391 P122 L527 L475 L005
provisional_high_map,M-42,5,L527 L550 P062 P122 P385
provisional_high_map,M-43,6,P324 L798 L231 P122 L055 L373
provisional_high_map,M-44,8,P324 L760 L033 L705 L803 P122 L920 L317
provisional_high_map,M-46,8,P324 L798 P062 P060 P122 L220 L065 L215
provisional_high_map,M-47,5,P324 L760 P060 P122 P385
provisional_high_map,M-48,6,P086 P378 L463 P120 P202 L920
provisional_high_map,M-51,8,P324 L798 L460 L350 P060 L741 P086 L140
provisional_high_map,M-52,10,P324 L904 P145 L220 L415 P060 L803 P122 L504 L717
provisional_high_map,M-53,9,L090 P324 L220 L016 P122 L297 L190 L920 L140
provisional_high_map,M-54,7,L236 P062 L033 L705 L798 P122 P378
provisional_high_map,M-56,8,P324 L877 P145 P060 P120 L550 L611 L840
provisional_high_map,M-57,6,L226 P145 L231 L798 P122 L693
provisional_high_map,M-58,5,P324 L460 L503 P122 P385
provisional_high_map,M-59,5,P202 P123 L742 P120 L920
provisional_high_map,M-63,4,L526 L555 P120 L550
provisional_high_map,M-64,6,P217 L033 L706 P120 L220 L004
provisional_high_map,M-65,6,P217 L220 L031 L001 L706 L575
provisional_high_map,M-69,5,P324 L803 L231 P120 L692
provisional_high_map,M-70,5,L226 P145 P122 P086 L692
provisional_high_map,M-71,6,L151 L279 L142 P122 P086 L095
provisional_high_map,M-74,4,L595 L575 L704 L140
provisional_high_map,M-75,5,P217 L220 L004 P122 P385
provisional_high_map,M-77,5,L832 P086 L803 P122 P385
provisional_high_map,M-78,4,P324 L344 P145 L545
provisional_high_map,M-80,5,L156 P123 P120 P202 P385
provisional_high_map,M-82,6,P324 L222 P122 L207 L550 P086
provisional_high_map,M-83,3,P086 L018 L796
provisional_high_map,M-84,6,P324 L765 P062 L001 P202 L920
provisional_high_map,M-85,5,P217 P058 L741 L081 L272
provisional_high_map,M-86,7,P217 L033 L705 L231 P122 P378 L700
provisional_high_map,M-87,3,L400 L890 L104
provisional_high_map,M-88,3,L527 L388 P058
provisional_high_map,M-89,5,P324 L794 L734 P145 P060
provisional_high_map,M-90,6,P324 L840 L013 L031 P122 P385
provisional_high_map,M-91,9,P324 L100 L798 L220 P145 P122 P385 L255 L416
provisional_high_map,M-92,7,P324 L798 L460 L350 P122 L814 L084
provisional_high_map,M-93,5,L156 P123 P062 L741 L345
provisional_high_map,M-94,5,P324 P086 L590 L220 P123
provisional_high_map,M-95,5,P086 P123 P122 L111 L165
provisional_high_map,M-96,2,L156 L004
provisional_high_map,M-97,3,L156 L435 L255
provisional_high_map,M-99,5,P324 L215 P122 P202 L119
provisional_high_map,M-100,6,L090 P324 L255 L705 P122 P385
provisional_high_map,M-101,6,P086 L503 P324 L168 P122 P385
provisional_high_map,M-102,4,L154 P123 L900 L545
provisional_high_map,M-103,4,P086 L004 P122 P378
provisional_high_map,M-104,5,L090 P324 L220 P060 L853
provisional_high_map,M-107,6,P324 L565 P058 P122 L940 L260
provisional_high_map,M-108,7,L413 P378 L220 L065 L798 L550 P378
provisional_high_map,M-109,7,P324 L879 L220 L415 P122 L287 L140
provisional_high_map,M-112,8,P324 L760 L220 L016 L382 L741 L572 L684
provisional_high_map,M-113,6,P324 P145 L840 L741 P120 L920
provisional_high_map,M-114,6,P324 L760 L440 P122 L297 L416
provisional_high_map,M-115,8,P086 L844 L140 L176 L803 P122 L301 L190
provisional_high_map,M-116,7,P324 L100 L176 L840 L013 P122 P385
provisional_high_map,M-117,8,P217 L033 L705 L220 L803 L055 P122 P378
provisional_high_map,M-118,8,P324 L772 L033 L705 P058 L803 P122 P385
provisional_high_map,M-119,10,L151 L337 L484 P122 P086 L125 L632 P145 L900 L563
provisional_high_map,M-121,5,P324 L900 L790 P058 L798
provisional_high_map,M-122,3,P217 L033 L705
provisional_high_map,M-123,4,L400 L093 P202 L072
provisional_high_map,M-124,4,P324 L923 L220 P145
provisional_high_map,M-127,5,L565 P324 L220 L741 L176
provisional_high_map,M-128,6,P324 L923 L803 L741 L500 L705
provisional_high_map,M-129,6,P217 P058 P062 P060 L741 L360
provisional_high_map,M-130,6,P324 L094 L220 P145 P122 L144
provisional_high_map,M-131,6,P324 P086 L590 L741 P086 L790
provisional_high_map,M-132,3,L156 P123 L545
provisional_high_map,M-133,8,L527 L550 P062 L220 L255 L812 L906 L388
provisional_high_map,M-134,3,L872 P145 L692
provisional_high_map,M-135,4,P217 L033 L705 L031
provisional_high_map,M-136,7,L090 P324 L220 L016 L031 L908 L545
provisional_high_map,M-138,3,P324 L900 L005
provisional_high_map,M-139,5,L033 L832 L236 L741 L361
provisional_high_map,M-140,7,P324 L336 P122 L220 L065 L440 L455
provisional_high_map,M-142,4,L136 L140 P122 P385
provisional_high_map,M-143,6,P324 L205 P145 P122 L252 L840
provisional_high_map,M-144,6,P324 L100 L415 P062 P122 P385
provisional_high_map,M-145,4,P324 L400 L142 L880
provisional_high_map,M-146,5,P324 L255 L920 P120 L692
provisional_high_map,M-147,6,L226 L803 P122 L220 L455 P217
provisional_high_map,M-148,3,P324 P385 L556
provisional_high_map,M-149,5,P324 L760 L440 P120 L550
provisional_high_map,M-150,2,P324 L832
provisional_high_map,M-151,3,L220 L065 L864
provisional_high_map,M-152,4,P324 L772 P122 P385
provisional_high_map,M-153,3,L269 L130 L190
provisional_high_map,M-154,7,P217 L220 L621 L415 P122 L257 L898
provisional_high_map,M-155,3,P324 L176 L031
provisional_high_map,M-157,7,P324 L900 L790 P058 L798 L001 P378
provisional_high_map,M-158,4,P086 L016 P120 L550
provisional_high_map,M-159,5,P324 L048 L741 L250 L579
provisional_high_map,M-160,6,L151 L243 L031 P122 P378 L741
provisional_high_map,M-163,5,P217 L220 L415 P120 P378
provisional_high_map,M-164,5,P324 L142 L061 P122 P385
provisional_high_map,M-166,6,P086 L844 P062 L806 P122 P385
provisional_high_map,M-170,8,P324 L923 L406 L061 L070 P145 L741 P385
provisional_high_map,M-171,8,L407 L061 P324 L923 P058 L806 P120 L692
provisional_high_map,M-172,6,L405 L018 L001 L220 L786 L850
provisional_high_map,M-173,5,P324 L388 L900 L320 L806
provisional_high_map,M-174,6,P324 L923 L220 P145 P122 P378
provisional_high_map,M-177,4,P086 P123 P122 L803
provisional_high_map,M-178,2,P086 L016
provisional_high_map,M-179,2,P086 P123
provisional_high_map,M-180,2,P324 L621
provisional_high_map,M-181,5,P217 L175 P122 L295 L502
provisional_high_map,M-183,4,P217 P058 P120 L297
provisional_high_map,M-184,4,L090 P324 L101 L853
provisional_high_map,M-182,2,P324 L416
provisional_high_medium_map,M-1,5,P121 P202 P385 P073 L371
provisional_high_medium_map,M-3,3,L717 P145 L521
provisional_high_medium_map,M-5,6,P324 L773 P062 P060 P120 P256
provisional_high_medium_map,M-6,4,P378 L880 P201 L244
provisional_high_medium_map,M-8,3,L706 P011 L632
provisional_high_medium_map,M-9,3,P144 L311 L745
provisional_high_medium_map,M-12,9,P324 P086 L590 P058 P122 P202 L202 L892 L371
provisional_high_medium_map,M-13,3,P202 L304 L125
provisional_high_medium_map,M-14,5,P324 L776 P210 P122 P385
provisional_high_medium_map,M-15,5,P013 P324 P194 P122 P385
provisional_high_medium_map,M-16,4,P378 L130 L035 L171
provisional_high_medium_map,M-17,5,P086 P126 P122 L814 L560
provisional_high_medium_map,M-18,3,L932 P324 L055
provisional_high_medium_map,M-21,8,L350 P121 P324 L362 P256 P145 P122 P385
provisional_high_medium_map,M-24,7,P013 P324 P062 P060 P122 L906 P011
provisional_high_medium_map,M-26,5,P013 P324 L531 P120 P256
provisional_high_medium_map,M-29,9,P324 L055 P062 P060 P364 P122 P050 L455 P210
provisional_high_medium_map,M-30,7,P324 L752 L017 P210 P062 P060 P364
provisional_high_medium_map,M-31,6,P324 L269 L511 P058 P120 P378
provisional_high_medium_map,M-32,4,P086 P123 P122 P385
provisional_high_medium_map,M-33,7,P324 P145 P175 L382 P058 P122 L112
provisional_high_medium_map,M-34,7,P324 L336 P194 P122 L405 L372 L374
provisional_high_medium_map,M-35,7,P324 P086 L590 P058 P056 P122 L107
provisional_high_medium_map,M-36,9,P324 L794 L630 P050 P145 P122 P202 L906 L329
provisional_high_medium_map,M-37,3,P217 P050 L415
provisional_high_medium_map,M-38,13,P324 L690 L435 P073 P050 P145 P062 P060 P122 P086 L125 L632 P145
provisional_high_medium_map,M-40,5,L391 P122 L527 L475 L005
provisional_high_medium_map,M-42,5,L527 P230 P062 P122 P385
provisional_high_medium_map,M-43,6,P324 L798 P056 P122 L055 L373
provisional_high_medium_map,M-44,8,P324 P332 P147 P316 P364 P122 L920 L317
provisional_high_medium_map,M-46,8,P324 L798 P062 P060 P122 P050 P201 L215
provisional_high_medium_map,M-47,5,P324 P332 P060 P122 P385
provisional_high_medium_map,M-48,6,P086 P378 L463 P120 P202 L920
provisional_high_medium_map,M-51,8,P324 L798 L460 L350 P060 L741 P086 P011
