checked_date,set_name,pair,gated_rows,gated_open_rate,ungated_rows,ungated_open_rate,open_rate_delta,gated_objects,ungated_objects_sample,decision
2026-05-31,collapse_scope_pair_tail_gate,900-003,2,2/2,13,11/13,0.153846,M-958;M-979,H-1657;H-25;H-60;H-141;H-450;H-468;H-667;M-374;M-384;M-1003;M-1287;M-1597,no_shift
2026-05-31,collapse_scope_pair_tail_gate,920-491,2,0/2,1,0/1,0.000000,H-2016;H-811,H-1915,no_shift
2026-05-31,collapse_pair_tail_gate,000-000,1,0/1,135,134/135,-0.992593,K-44,Ad-7;Blk-3;B-25;B-25;-;Ch-4;C-71;C-71;C-71;C-85;C-29;C-34,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,000-031,1,0/1,9,8/9,-0.888889,M-2005,B-25;C-18;H-1947;K-14;M-169;M-422;M-1575;M-1878;K-404,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,000-090,2,1/2,5,4/5,-0.300000,M-902;-,-;H-2341;M-737;H-1031;-,weak_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,000-317,1,1/1,1,1/1,0.000000,-,-,no_shift
2026-05-31,collapse_pair_tail_gate,000-350,1,0/1,2,1/2,-0.500000,M-106,K-31;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,000-861,1,1/1,4,3/4,0.250000,H-486,C-71;H-2005;H-234;M-952,weak_opening_shift
2026-05-31,collapse_pair_tail_gate,002-817,1,0/1,7,6/7,-0.857143,M-658,B-5;H-456;H-609;M-1662;M-644;M-855;M-1391,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,003-861,1,0/1,1,1/1,-1.000000,-,H-305,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,031-000,1,0/1,8,7/8,-0.875000,M-141,-;H-100;L-147;M-422;M-474;M-1581;M-1878;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,031-480,2,1/2,3,3/3,-0.500000,H-389;M-1386,H-2133;H-718;M-1765,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,031-575,1,0/1,1,0/1,0.000000,M-318,M-318,no_shift
2026-05-31,collapse_pair_tail_gate,031-820,1,0/1,2,1/2,-0.500000,K-429,H-1198;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,031-892,1,0/1,1,0/1,0.000000,H-44,K-59,no_shift
2026-05-31,collapse_pair_tail_gate,033-705,1,0/1,59,58/59,-0.983051,M-1155,Ad-3;C-64;C-7;H-2015;H-2015;H-1815;H-1813;H-24;H-25;H-103;H-130;H-137,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,055-031,1,1/1,1,1/1,0.000000,-,M-1745,no_shift
2026-05-31,collapse_pair_tail_gate,060-820,1,0/1,1,0/1,0.000000,M-1369,H-2090,no_shift
2026-05-31,collapse_pair_tail_gate,095-000,1,0/1,1,0/1,0.000000,TY-106,H-225,no_shift
2026-05-31,collapse_pair_tail_gate,125-590,1,0/1,1,1/1,-1.000000,H-611,M-2055,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,130-035,2,1/2,1,1/1,-0.500000,L-12;M-699,M-16,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,168-032,1,0/1,1,0/1,0.000000,M-1159,M-675,no_shift
2026-05-31,collapse_pair_tail_gate,190-125,1,1/1,1,1/1,0.000000,M-1692,M-624,no_shift
2026-05-31,collapse_pair_tail_gate,220-000,1,0/1,11,10/11,-0.909091,H-593,-;Ch-1;C-33;H-1685;H-1892;H-1775;H-1838;Kd-7;-;-;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,220-065,3,3/3,5,5/5,0.000000,K-25;M-46;M-140,M-1730;M-108;M-151;M-856;M-881,no_shift
2026-05-31,collapse_pair_tail_gate,220-455,5,5/5,6,6/6,0.000000,H-1874;H-82;H-268;M-29;M-147,K-7;M-1749;M-61;M-1329;-;-,no_shift
2026-05-31,collapse_pair_tail_gate,233-235,1,0/1,14,13/14,-0.928571,H-141,H-21;H-768;H-769;M-1917;M-1906;-;M-41;M-573;M-675;M-703;M-757;M-1081,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,297-000,1,0/1,1,0/1,0.000000,H-1038,M-1919,no_shift
2026-05-31,collapse_pair_tail_gate,297-190,1,1/1,1,0/1,1.000000,M-53,M-1087,strong_opening_shift
2026-05-31,collapse_pair_tail_gate,315-850,1,0/1,2,1/2,-0.500000,M-1002,H-80;M-1164,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,368-260,1,0/1,1,0/1,0.000000,H-600,M-1673,no_shift
2026-05-31,collapse_pair_tail_gate,368-590,1,1/1,1,0/1,1.000000,?-3,H-951,strong_opening_shift
2026-05-31,collapse_pair_tail_gate,368-634,1,0/1,1,0/1,0.000000,Blk-2,Blk-4,no_shift
2026-05-31,collapse_pair_tail_gate,368-840,1,1/1,1,1/1,0.000000,L-213,H-410,no_shift
2026-05-31,collapse_pair_tail_gate,368-861,1,1/1,7,6/7,0.142857,K-10,H-139;H-458;K-6;L-29;M-1;M-210;H-1022,no_shift
2026-05-31,collapse_pair_tail_gate,388-031,1,0/1,2,1/2,-0.500000,M-948,H-1834;H-999,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,390-095,1,0/1,1,1/1,-1.000000,H-1993,C-40,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,390-125,4,4/4,3,2/3,0.333333,M-38;M-119;M-735;Sktd-1,Ad-2;H-467;M-314,weak_opening_shift
2026-05-31,collapse_pair_tail_gate,390-140,1,0/1,1,0/1,0.000000,M-708,M-51,no_shift
2026-05-31,collapse_pair_tail_gate,390-590,1,1/1,47,46/47,0.021277,-,Ad-1;C-12;H-1776;H-1692;H-1801;H-733;H-39;H-52;H-180;H-449;H-454;H-466,no_shift
2026-05-31,collapse_pair_tail_gate,400-703,1,0/1,1,1/1,-1.000000,M-1135,M-1794,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,435-000,1,0/1,2,1/2,-0.500000,M-1027,M-1018;H-1035,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,435-255,1,1/1,28,27/28,0.035714,H-598,-;H-1179;H-1797;H-12;H-20;H-61;H-579;K-10;L-11;M-682;M-1688;M-1772,no_shift
2026-05-31,collapse_pair_tail_gate,520-000,1,1/1,8,7/8,0.125000,M-451,H-1112;-;M-1842;M-1157;-;-;-;-,no_shift
2026-05-31,collapse_pair_tail_gate,575-000,1,0/1,1,0/1,0.000000,H-2338,H-1173,no_shift
2026-05-31,collapse_pair_tail_gate,575-031,1,0/1,1,1/1,-1.000000,L-4,-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,595-575,1,1/1,3,3/3,0.000000,H-131,H-1;M-74;M-1052,no_shift
2026-05-31,collapse_pair_tail_gate,595-632,1,1/1,2,1/2,0.500000,H-385,H-645;H-809,strong_opening_shift
2026-05-31,collapse_pair_tail_gate,700-000,1,0/1,2,1/2,-0.500000,M-279,B-35;H-1353,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,705-590,1,0/1,1,0/1,0.000000,M-248,-,no_shift
2026-05-31,collapse_pair_tail_gate,717-747,1,0/1,1,0/1,0.000000,H-639,M-521,no_shift
2026-05-31,collapse_pair_tail_gate,741-060,1,1/1,1,1/1,0.000000,K-4,C-16,no_shift
2026-05-31,collapse_pair_tail_gate,741-455,1,1/1,1,1/1,0.000000,M-761,M-1129,no_shift
2026-05-31,collapse_pair_tail_gate,817-000,1,0/1,3,2/3,-0.666667,H-609,-;H-1121;M-1713,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,820-000,1,0/1,4,3/4,-0.750000,H-909,M-1126;M-2087;-;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,820-033,1,0/1,2,1/2,-0.500000,K-23,H-992;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,840-032,1,0/1,3,2/3,-0.666667,M-1791,H-2211;H-340;M-45,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,861-000,1,0/1,2,1/2,-0.500000,Ad-8,H-2116;-,strong_terminalizing_shift
2026-05-31,collapse_pair_tail_gate,861-031,1,0/1,1,0/1,0.000000,M-706,H-305,no_shift
2026-05-31,collapse_pair_tail_gate,861-032,1,1/1,1,1/1,0.000000,M-1661,M-1346,no_shift
2026-05-31,collapse_pair_tail_gate,861-125,1,0/1,1,0/1,0.000000,H-55,M-1903,no_shift
2026-05-31,collapse_pair_tail_gate,861-216,1,0/1,1,0/1,0.000000,H-446,H-155,no_shift
2026-05-31,collapse_pair_tail_gate,861-255,1,1/1,1,1/1,0.000000,M-91,M-1,no_shift
2026-05-31,collapse_pair_tail_gate,861-416,1,0/1,1,0/1,0.000000,H-2094,H-2098,no_shift
2026-05-31,collapse_pair_tail_gate,892-000,1,1/1,1,0/1,1.000000,Ns-66,H-813,strong_opening_shift
2026-05-31,collapse_pair_tail_gate,900-003,1,1/1,12,11/12,0.083333,M-958,H-1657;H-25;H-60;H-141;H-450;H-468;H-667;M-374;M-384;M-1003;M-1287;M-1597,no_shift
2026-05-31,collapse_pair_tail_gate,920-491,1,0/1,1,0/1,0.000000,H-2016,H-1915,no_shift
2026-05-31,collapse_pair_gate,000-000,1,0/1,1,1/1,-1.000000,K-44,Ad-7,strong_terminalizing_shift
2026-05-31,collapse_pair_gate,000-031,1,0/1,1,1/1,-1.000000,M-2005,B-25,strong_terminalizing_shift
2026-05-31,collapse_pair_gate,000-090,1,0/1,1,0/1,0.000000,M-902,-,no_shift
2026-05-31,collapse_pair_gate,000-317,1,1/1,1,1/1,0.000000,-,-,no_shift
