object,site,region,type,material,shape,symbol,condition,complete,seal_r_context,boundary_next,next,prev,has_154_158_806_46x_motif,text
M-1985,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,742,415,false,+100-904-717-220-415-806-742+
M-1524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,<END>,235,false,+407-585-033-705-233-235-806+
M-10,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,true,002,235,false,+405-061-070-032-033-706-235-806-002-267-455+
M-29,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,002,235,false,+740-055-240-235-806-002-220-455-503+
M-30,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,<END>,235,false,+740-752-017-503-240-235-806+
M-166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,false,true,002,240,false,+390-844-240-806-002-861+
M-171,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,false,060,233,false,+407-061-740-923-233-806-060-692+
M-173,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,false,true,<END>,320,false,+740-388-900-320-806+
M-357,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,472,100,false,+740-100-806-472-240-806-001-820+
M-358,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,true,002,240,false,+003-001-520-240-806-002-502-031+
M-369,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,742,415,false,+740-690-435-255-240-220-415-806-742-060-920+
M-370,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,true,<END>,798,false,+832-904-740-444-388-233-798-806+
M-371,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,467,154,true,+617-142-384-032-154-806-467+
M-392,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,true,<END>,032,false,+740-405-590-220-032-806+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,true,002,240,false,+679-740-575-017-240-806-002-540+
M-405,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,true,<END>,235,false,+740-923-240-235-806+
M-409,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,true,true,<END>,740,false,+045-740-806+
H-2584,Harappa,Inter-Riverine,TAG:R,Clay,NA,NA,Poor,?,false,false,468,<START>,false,]806-468-520-095-033-705[
M-470,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,NA,Fair,Y,false,false,473,158,true,+400-158-806-473+
M-1449,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,false,true,<END>,233,false,+740-176-233-806+
M-1550,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,<END>,233,false,+740-384-233-806+
-:4294.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,NA,Fair,?,false,true,<END>,<START>,false,]806[
M-603,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,<END>,845,false,+740-900-850-407-845-806+
M-678,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,002,236,false,+740-752-006-503-236-806-002-031-502+
M-686,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,false,true,<END>,235,false,+520-235-806+
M-753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,<END>,706,false,+520-033-706-806+
M-759,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Fair,Y,false,true,<END>,240,false,+520-240-806+
M-916,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,false,805,400,false,+400-806-805+
M-1052,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,true,false,001,032,false,+679-740-220-032-806-001-595-575-001-095+
M-1265,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,true,<END>,032,false,+740-055-240-220-032-806+
M-1284,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,true,true,002,240,false,+416-001-520-240-806-002-502-031+
M-1287,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,231,003,false,]000-900-003-806-231-235[
M-1297,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,true,002,<START>,false,]806-002-824+
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,true,002,590,false,+740-405-590-806-002-820+
M-1319,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,true,002,798,false,]798-806-002-904-346+
M-1323,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Fair,Y,true,true,<END>,706,false,+740-798-405-590-033-706-806+
M-1324,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,N,true,false,000,155,false,+155-806-000[
M-1334,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,N,true,false,468,154,true,+154-806-468-001-000[
M-1419,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,NA,Good,Y,false,false,467,158,true,+400-158-806-467+
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,false,true,<END>,231,false,+740-176-231-806+
M-1962,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,468,155,false,+155-806-468+
-:4194.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,Y,true,false,472,154,true,+154-806-472-013-220-455-806+
-:4247.1,Dholavira,Gujarat/Kutch,SEAL:C,Steatite,circular,Gaur,Poor,N,false,false,091,<START>,false,+806-091-001-368-255-000+
-:4270.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,?,true,true,002,<START>,false,]806-002-808+
