"prev","total_occurrences","known_next_count","end_after_220_count","damaged_or_open_count","clean_closed_count","clean_known_next_count","exact_triplet_count","exact_triplet_formulas","source_hint_occurrence_count","source_hint_cisi_count","source_hint_cisis","dominant_next","dominant_next_count","dominant_next_share","top_site","top_site_count","top_site_share","top_type","top_type_count","top_type_share","site_counts","type_counts","examples"
"235","8","6","2","2","6","5","1","740-235-220:1","0","0","","032","5","0.833333","Harappa","3","0.375","SEAL:S","5","0.625","Harappa:3;Mohenjo-daro:3;Dholavira:1;Tarkhanewala-dera:1","SEAL:S:5;SEAL:R:1;TAB:B:1;TAG:1","1019.2;1020.1;1170.1;3085.1;3147.1;3847.1;4224.1;5456.1"
"705","7","6","1","1","6","5","0","","0","0","","415","3","0.5","Mohenjo-daro","5","0.714286","SEAL:S","3","0.428571","Mohenjo-daro:5;Harappa:2","SEAL:S:3;SEAL:R:2;TAB:B:2","653.1;947.2;2178.1;2422.1;2644.1;2861.1;3529.1"
"001","6","5","1","2","4","4","0","","0","0","","455","2","0.4","Mohenjo-daro","4","0.666667","SEAL:S","3","0.5","Mohenjo-daro:4;Kalibangan:1;Unknown:1","SEAL:S:3;SEAL:1;SEAL:C:1;SEAL:R:1","1882.1;2377.1;2697.1;3405.1;3634.1;5224.1"
"760","5","5","0","0","5","5","0","","0","0","","416","2","0.4","Harappa","3","0.6","SEAL:S","3","0.6","Harappa:3;Mohenjo-daro:2","SEAL:S:3;TAB:I:2","303.1;1793.1;2639.1;3157.1;4056.1"
"845","6","5","1","2","4","4","0","","0","0","","415","5","1","Mohenjo-daro","6","1","TAB:C","4","0.666667","Mohenjo-daro:6","TAB:C:4;SEAL:R:2","2983.1;2984.1;3600.1;3635.1;3733.1;3734.1"
"904","5","5","0","2","3","3","0","","0","0","","032","4","0.8","Lothal","2","0.4","SEAL:S","3","0.6","Lothal:2;Mohenjo-daro:2;Harappa:1","SEAL:S:3;SEAL:1;SEAL:R:1","1407.1;2032.5;2063.1;2381.1;2430.1"
"231","4","4","0","0","4","4","0","","0","0","","032","2","0.5","Mohenjo-daro","2","0.5","SEAL:S","4","1","Mohenjo-daro:2;Chanhu-daro:1;Kalibangan:1","SEAL:S:4","98.1;2589.1;3278.1;5273.1"
"255","4","4","0","0","4","4","0","","0","0","","032","3","0.75","Mohenjo-daro","3","0.75","SEAL:S","4","1","Mohenjo-daro:3;Harappa:1","SEAL:S:4","1080.1;2475.1;2490.1;2566.1"
"440","9","4","5","2","7","3","1","440-220-413:1","0","0","","032","2","0.5","Mohenjo-daro","6","0.666667","SEAL:S","5","0.555556","Mohenjo-daro:6;Harappa:3","SEAL:S:5;TAB:B:2;BNGL:1;SEAL:R:1","220.1;741.1;1653.2;3078.1;3169.1;3360.1;3431.1;3582.1;3826.1"
"717","4","4","0","0","4","4","0","","0","0","","415","3","0.75","Mohenjo-daro","3","0.75","SEAL:S","3","0.75","Mohenjo-daro:3;Harappa:1","SEAL:S:3;SEAL:R:1","1169.1;2401.1;2480.1;3095.1"
"798","5","4","1","0","5","4","0","","0","0","","032","1","0.25","Mohenjo-daro","4","0.8","SEAL:S","4","0.8","Mohenjo-daro:4;Harappa:1","SEAL:S:4;TAB:B:1","1095.1;2427.1;2432.2;2618.1;3100.1"
"140","3","3","0","0","3","3","0","","0","0","","001","1","0.333333","Mohenjo-daro","2","0.666667","SEAL:S","2","0.666667","Mohenjo-daro:2;Harappa:1","SEAL:S:2;SEAL:R:1","1548.1;2332.1;2908.1"
"803","4","3","1","0","4","3","0","","0","0","","032","1","0.333333","Mohenjo-daro","2","0.5","SEAL:S","3","0.75","Mohenjo-daro:2;Chanhu-daro:1;Harappa:1","SEAL:S:3;TAB:B:1","116.1;1073.1;2292.1;2798.1"
"923","3","3","0","0","3","3","0","","0","0","","032","3","1","Mohenjo-daro","3","1","SEAL:S","3","1","Mohenjo-daro:3","SEAL:S:3","2651.1;2699.1;3144.1"
"032","7","2","5","1","6","2","2","590-032-220:1;700-032-220:1","0","0","","002","1","0.5","Harappa","5","0.714286","TAB:B","3","0.428571","Harappa:5;Mohenjo-daro:2","TAB:B:3;SEAL:S:2;TAB:I:2","485.1;586.1;632.1;902.2;904.2;2292.1;2580.1"
"055","2","2","0","0","2","2","0","","0","0","","032","1","0.5","Harappa","1","0.5","SEAL:R","1","0.5","Harappa:1;Mohenjo-daro:1","SEAL:R:1;SEAL:S:1","1294.1;2877.1"
"060","2","2","0","0","2","2","0","","0","0","","004","1","0.5","Mohenjo-daro","2","1","SEAL:S","2","1","Mohenjo-daro:2","SEAL:S:2","2592.1;3268.1"
"070","2","2","0","1","1","1","0","","0","0","","032","2","1","Mohenjo-daro","2","1","SEAL:R","1","0.5","Mohenjo-daro:2","SEAL:R:1;SEAL:S:1","2403.1;3661.1"
"100","4","2","2","0","4","2","2","151-100-220:1;740-100-220:1","0","0","","002","1","0.5","Mohenjo-daro","3","0.75","SEAL:S","3","0.75","Mohenjo-daro:3;Lothal:1","SEAL:S:3;TAB:B:1","2011.1;2735.1;2958.1;3092.1"
"236","5","2","3","0","5","2","3","400-236-220:3","0","0","","032","1","0.5","Harappa","3","0.6","TAB:B","3","0.6","Harappa:3;Lothal:1;Mohenjo-daro:1","TAB:B:3;SEAL:S:2","751.2;927.2;2016.1;3150.1;3969.1"
"241","2","2","0","0","2","2","0","","0","0","","032","1","0.5","Harappa","1","0.5","POT:T:g","1","0.5","Harappa:1;Mohenjo-daro:1","POT:T:g:1;SEAL:S:1","1434.1;3800.1"
"320","3","2","1","2","1","1","0","","0","0","","415","2","1","Mohenjo-daro","3","1","SEAL:S","2","0.666667","Mohenjo-daro:3","SEAL:S:2;SEAL:1","3186.1;3311.1;3434.1"
"335","2","2","0","0","2","2","0","","0","0","","032","1","0.5","Mohenjo-daro","1","0.5","SEAL:S","2","1","Mohenjo-daro:1;Shikarpur:1","SEAL:S:2","2745.1;5451.1"
"388","3","2","1","2","1","1","0","","0","0","","004","1","0.5","Harappa","1","0.333333","POT:T:g","1","0.333333","Harappa:1;Lothal:1;Mohenjo-daro:1","POT:T:g:1;SEAL:S:1;TAG:1","185.1;2085.1;2279.1"
"416","2","2","0","2","0","0","0","","0","0","","415","2","1","Khirsara","1","0.5","SEAL:R","1","0.5","Khirsara:1;Pabumath:1","SEAL:R:1;SEAL:S:1","3861.1;4895.1"
"585","3","2","1","1","2","1","1","000-585-220:1","0","0","","000","1","0.5","Mohenjo-daro","2","0.666667","SEAL:S","3","1","Mohenjo-daro:2;Harappa:1","SEAL:S:3","1531.1;3483.1;3492.1"
"630","2","2","0","0","2","2","0","","0","0","","002","1","0.5","Harappa","1","0.5","SEAL:R","1","0.5","Harappa:1;Mohenjo-daro:1","SEAL:R:1;SEAL:S:1","1190.1;2564.1"
"706","3","2","1","1","2","2","0","","0","0","","415","2","1","Mohenjo-daro","2","0.666667","SEAL:R","1","0.333333","Mohenjo-daro:2;Rakhigarhi:1","SEAL:R:1;SEAL:S:1;Unknown:1","2360.1;3113.1;5559.1"
"820","2","2","0","0","2","2","0","","0","0","","063","1","0.5","Mohenjo-daro","2","1","SEAL:S","2","1","Mohenjo-daro:2","SEAL:S:2","2635.1;3995.1"
"840","3","2","1","1","2","1","0","","0","0","","000","1","0.5","Mohenjo-daro","2","0.666667","TAB:B","2","0.666667","Mohenjo-daro:2;Dholavira:1","TAB:B:2;TAG:PC:1","2432.1;2938.1;4335.2"
"879","2","2","0","0","2","2","0","","0","0","","415","1","0.5","Dholavira","1","0.5","SEAL:S","2","1","Dholavira:1;Mohenjo-daro:1","SEAL:S:2","130.1;2636.1"
"892","2","2","0","0","2","2","0","","0","0","","920","2","1","Harappa","2","1","TAB:B","2","1","Harappa:2","TAB:B:2","1216.1;1217.1"
"013","1","1","0","0","1","1","0","","0","0","","455","1","1","Dholavira","1","1","SEAL:R","1","1","Dholavira:1","SEAL:R:1","4194.1"
"016","1","1","0","0","1","1","1","016-220-382:1","0","0","","382","1","1","Harappa","1","1","POT:T:s","1","1","Harappa:1","POT:T:s:1","715.1"
"017","3","1","2","0","3","1","0","","0","0","","415","1","1","Mohenjo-daro","2","0.666667","TAB:C","2","0.666667","Mohenjo-daro:2;Harappa:1","TAB:C:2;SEAL:S:1","1536.1;2284.2;3061.2"
"029","1","1","0","1","0","0","0","","0","0","","000","1","1","Ra's al-Junayz","1","1","POT:T:g","1","1","Ra's al-Junayz:1","POT:T:g:1","3864.1"
"031","1","1","0","0","1","1","0","","0","0","","000","1","1","Kot-Diji","1","1","POT:T:g","1","1","Kot-Diji:1","POT:T:g:1","1972.1"
"033","1","1","0","1","0","0","0","","0","0","","520","1","1","Kalibangan","1","1","POT:T:g","1","1","Kalibangan:1","POT:T:g:1","1950.1"
"036","1","1","0","0","1","1","0","","0","0","","415","1","1","Mohenjo-daro","1","1","TAB:B","1","1","Mohenjo-daro:1","TAB:B:1","3711.1"
"074","1","1","0","0","1","1","1","074-220-415:1","0","0","","415","1","1","Harappa","1","1","TAB:I","1","1","Harappa:1","TAB:I:1","827.2"
"091","1","1","0","0","1","1","0","","0","0","","055","1","1","Saar","1","1","SEAL:C","1","1","Saar:1","SEAL:C:1","5229.1"
"094","1","1","0","0","1","1","0","","0","0","","032","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2657.1"
"125","1","1","0","0","1","1","0","","0","0","","235","1","1","Gonur Depe","1","1","SEAL:S","1","1","Gonur Depe:1","SEAL:S:1","4155.1"
"151","2","1","1","0","2","1","0","","0","0","","016","1","1","Harappa","1","0.5","SEAL:S","2","1","Harappa:1;Mohenjo-daro:1","SEAL:S:2","1491.1;3155.1"
"153","1","1","0","0","1","1","1","153-220-032:1","0","0","","032","1","1","Dholavira","1","1","TAB:I","1","1","Dholavira:1","TAB:I:1","4286.1"
"175","1","1","0","0","1","1","0","","0","0","","255","1","1","Dholavira","1","1","SEAL:S","1","1","Dholavira:1","SEAL:S:1","4236.1"
"222","1","1","0","0","1","1","0","","0","0","","235","1","1","Mohenjo-daro","1","1","TAB:C","1","1","Mohenjo-daro:1","TAB:C:1","3773.1"
"227","1","1","0","1","0","0","0","","0","0","","000","1","1","Mohenjo-daro","1","1","SEAL:R","1","1","Mohenjo-daro:1","SEAL:R:1","4017.1"
"232","1","1","0","0","1","1","0","","0","0","","032","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","3519.1"
"234","1","1","0","1","0","0","0","","0","0","","002","1","1","Lothal","1","1","TAG","1","1","Lothal:1","TAG:1","2127.2"
"260","1","1","0","0","1","1","0","","0","0","","255","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2475.1"
"286","1","1","0","0","1","1","0","","0","0","","031","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2231.1"
"368","1","1","0","1","0","0","0","","0","0","","031","1","1","Banawali","1","1","SEAL:S","1","1","Banawali:1","SEAL:S:1","5567.1"
"371","1","1","0","0","1","1","0","","0","0","","415","1","1","Mohenjo-daro","1","1","SEAL:R","1","1","Mohenjo-daro:1","SEAL:R:1","3651.1"
"400","1","1","0","0","1","1","1","400-220-428:1","0","0","","428","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2742.1"
"455","1","1","0","0","1","1","0","","0","0","","032","1","1","Harappa","1","1","TAB:I","1","1","Harappa:1","TAB:I:1","1830.1"
"510","1","1","0","0","1","1","0","","0","0","","065","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2507.1"
"518","1","1","0","0","1","1","0","","0","0","","416","1","1","Harappa","1","1","SEAL:S","1","1","Harappa:1","SEAL:S:1","1148.1"
"554","1","1","0","0","1","1","0","","0","0","","415","1","1","Harappa","1","1","SEAL:R","1","1","Harappa:1","SEAL:R:1","1174.1"
"626","1","1","0","1","0","0","0","","0","0","","016","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2760.1"
"679","1","1","0","1","0","0","0","","0","0","","240","1","1","Harappa","1","1","SEAL:S","1","1","Harappa:1","SEAL:S:1","1094.1"
"700","1","1","0","0","1","1","1","700-220-004:1","0","0","","004","1","1","Harappa","1","1","TAB:I","1","1","Harappa:1","TAB:I:1","311.2"
"767","1","1","0","0","1","1","0","","0","0","","416","1","1","Harappa","1","1","TAB:I","1","1","Harappa:1","TAB:I:1","311.1"
"773","1","1","0","0","1","1","0","","0","0","","032","1","1","Mohenjo-daro","1","1","TAB:C","1","1","Mohenjo-daro:1","TAB:C:1","3041.1"
"776","1","1","0","0","1","1","0","","0","0","","016","1","1","Chanhu-daro","1","1","IMPL","1","1","Chanhu-daro:1","IMPL:1","121.1"
"785","1","1","0","0","1","1","0","","0","0","","335","1","1","Kalibangan","1","1","SEAL:S","1","1","Kalibangan:1","SEAL:S:1","1890.1"
"790","1","1","0","0","1","1","0","","0","0","","415","1","1","Mohenjo-daro","1","1","SEAL:R","1","1","Mohenjo-daro:1","SEAL:R:1","2234.1"
"804","1","1","0","0","1","1","0","","0","0","","060","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2779.1"
"817","1","1","0","0","1","1","0","","0","0","","632","1","1","Nindowari-damb","1","1","SEAL:S","1","1","Nindowari-damb:1","SEAL:S:1","3858.1"
"832","1","1","0","0","1","1","0","","0","0","","003","1","1","Unknown","1","1","SEAL:S","1","1","Unknown:1","SEAL:S:1","3118.1"
"924","1","1","0","0","1","1","0","","0","0","","528","1","1","Ur","1","1","SEAL:C","1","1","Ur:1","SEAL:C:1","3897.1"
"927","1","1","0","1","0","0","0","","0","0","","235","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2459.1"
"958","1","1","0","0","1","1","0","","0","0","","278","1","1","Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2403.1"
"081","1","0","1","0","1","0","0","","0","0","","","0",,"Mohenjo-daro","1","1","SEAL:S","1","1","Mohenjo-daro:1","SEAL:S:1","2728.1"
"142","2","0","2","0","2","0","0","","0","0","","","0",,"Harappa","2","1","TAB:I","2","1","Harappa:2","TAB:I:2","491.1;589.1"
"407","1","0","1","1","0","0","0","","0","0","","","0",,"Mohenjo-daro","1","1","SEAL:R","1","1","Mohenjo-daro:1","SEAL:R:1","3649.1"
"495","1","0","1","1","0","0","0","","0","0","","","0",,"Harappa","1","1","POT:T:g","1","1","Harappa:1","POT:T:g:1","707.1"
"550","3","0","3","0","3","0","3","526-550-220:2;525-550-220:1","0","0","","","0",,"Harappa","3","1","TAB:I","2","0.666667","Harappa:3","TAB:I:2;TAB:B:1","313.1;1364.1;1378.1"
"794","1","0","1","1","0","0","0","","0","0","","","0",,"Dholavira","1","1","TAG","1","1","Dholavira:1","TAG:1","4291.1"
