"control","iteration","stratum_kind","stratum_value","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall"
"duplicate_matched_position_slots","1","type","SEAL:S","token_nb","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.288981","0.175629","0.200915"
"duplicate_matched_position_slots","1","type","TAB:B","majority","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.076605","0.166667"
"duplicate_matched_position_slots","1","type","TAB:B","length","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.205291","0.321242"
"duplicate_matched_position_slots","1","type","TAB:B","edge_frame","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.322581","0.297853","0.351315"
"duplicate_matched_position_slots","1","type","TAB:B","token_nb","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.258065","0.15777","0.16502"
"duplicate_matched_position_slots","1","type","TAB:I","majority","122","3","MT;SC;SS","SC","0.442623","0.442623","0.204545","0.333333"
"duplicate_matched_position_slots","1","type","TAB:I","length","122","3","MT;SC;SS","SC","0.442623","0.442623","0.327075","0.35264"
"duplicate_matched_position_slots","1","type","TAB:I","edge_frame","122","3","MT;SC;SS","SC","0.442623","0.442623","0.331556","0.35264"
"duplicate_matched_position_slots","1","type","TAB:I","token_nb","122","3","MT;SC;SS","SC","0.442623","0.47541","0.392313","0.400409"
"duplicate_matched_position_slots","1","type_site","SEAL:R@Mohenjo-daro","majority","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0","0","0"
"duplicate_matched_position_slots","1","type_site","SEAL:R@Mohenjo-daro","length","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.297872","0.269172","0.277317"
"duplicate_matched_position_slots","1","type_site","SEAL:R@Mohenjo-daro","edge_frame","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.287234","0.26631","0.268058"
"duplicate_matched_position_slots","1","type_site","SEAL:R@Mohenjo-daro","token_nb","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.223404","0.170071","0.201117"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Harappa","majority","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.21519","0.059028","0.166667"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Harappa","length","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.481013","0.365044","0.416579"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Harappa","edge_frame","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.474684","0.361413","0.407765"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Harappa","token_nb","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.291139","0.21105","0.238461"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Mohenjo-daro","majority","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.209985","0.038565","0.111111"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Mohenjo-daro","length","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.474302","0.296337","0.326411"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Mohenjo-daro","edge_frame","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.428781","0.279238","0.298042"
"duplicate_matched_position_slots","1","type_site","SEAL:S@Mohenjo-daro","token_nb","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.276065","0.157452","0.181956"
"duplicate_matched_position_slots","1","type_site","TAB:B@Harappa","majority","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.324873","0.098084","0.2"
"duplicate_matched_position_slots","1","type_site","TAB:B@Harappa","length","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.294416","0.226614","0.309311"
"duplicate_matched_position_slots","1","type_site","TAB:B@Harappa","edge_frame","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.284264","0.268131","0.306705"
"duplicate_matched_position_slots","1","type_site","TAB:B@Harappa","token_nb","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.304569","0.193476","0.208011"
"duplicate_matched_position_slots","1","type_site","TAB:I@Harappa","majority","118","3","MT;SC;SS","SC","0.432203","0.432203","0.201183","0.333333"
"duplicate_matched_position_slots","1","type_site","TAB:I@Harappa","length","118","3","MT;SC;SS","SC","0.432203","0.423729","0.315102","0.341006"
"duplicate_matched_position_slots","1","type_site","TAB:I@Harappa","edge_frame","118","3","MT;SC;SS","SC","0.432203","0.423729","0.319582","0.341006"
"duplicate_matched_position_slots","1","type_site","TAB:I@Harappa","token_nb","118","3","MT;SC;SS","SC","0.432203","0.466102","0.402767","0.404539"
"duplicate_matched_position_slots","2","site","Harappa","majority","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.277686","0.043467","0.1"
"duplicate_matched_position_slots","2","site","Harappa","length","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.393388","0.201493","0.264066"
"duplicate_matched_position_slots","2","site","Harappa","edge_frame","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.361983","0.201459","0.235371"
"duplicate_matched_position_slots","2","site","Harappa","token_nb","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.309091","0.13547","0.149265"
"duplicate_matched_position_slots","2","site","Mohenjo-daro","majority","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.18143","0.034126","0.111111"
"duplicate_matched_position_slots","2","site","Mohenjo-daro","length","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.430096","0.308802","0.337802"
"duplicate_matched_position_slots","2","site","Mohenjo-daro","edge_frame","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.392743","0.295243","0.310336"
"duplicate_matched_position_slots","2","site","Mohenjo-daro","token_nb","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.294557","0.18814","0.217766"
"duplicate_matched_position_slots","2","type","SEAL:R","majority","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.195402","0.046703","0.142857"
"duplicate_matched_position_slots","2","type","SEAL:R","length","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.408046","0.275975","0.332357"
"duplicate_matched_position_slots","2","type","SEAL:R","edge_frame","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.373563","0.260218","0.304067"
"duplicate_matched_position_slots","2","type","SEAL:R","token_nb","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.247126","0.167985","0.203068"
"duplicate_matched_position_slots","2","type","SEAL:S","majority","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.181913","0.034203","0.111111"
"duplicate_matched_position_slots","2","type","SEAL:S","length","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.461538","0.289766","0.321252"
"duplicate_matched_position_slots","2","type","SEAL:S","edge_frame","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.424116","0.300476","0.311792"
"duplicate_matched_position_slots","2","type","SEAL:S","token_nb","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.322245","0.192626","0.221684"
"duplicate_matched_position_slots","2","type","TAB:B","majority","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.076605","0.166667"
"duplicate_matched_position_slots","2","type","TAB:B","length","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.205291","0.321242"
"duplicate_matched_position_slots","2","type","TAB:B","edge_frame","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.278226","0.202181","0.287592"
"duplicate_matched_position_slots","2","type","TAB:B","token_nb","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.278226","0.149349","0.166887"
"duplicate_matched_position_slots","2","type","TAB:I","majority","122","3","MT;SC;SS","SC","0.442623","0.442623","0.204545","0.333333"
"duplicate_matched_position_slots","2","type","TAB:I","length","122","3","MT;SC;SS","SC","0.442623","0.442623","0.327075","0.35264"
"duplicate_matched_position_slots","2","type","TAB:I","edge_frame","122","3","MT;SC;SS","SC","0.442623","0.42623","0.319125","0.339375"
"duplicate_matched_position_slots","2","type","TAB:I","token_nb","122","3","MT;SC;SS","SC","0.442623","0.459016","0.345938","0.367744"
"duplicate_matched_position_slots","2","type_site","SEAL:R@Mohenjo-daro","majority","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0","0","0"
"duplicate_matched_position_slots","2","type_site","SEAL:R@Mohenjo-daro","length","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.297872","0.269172","0.277317"
"duplicate_matched_position_slots","2","type_site","SEAL:R@Mohenjo-daro","edge_frame","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.287234","0.2615","0.267513"
"duplicate_matched_position_slots","2","type_site","SEAL:R@Mohenjo-daro","token_nb","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0.255319","0.224146","0.239102"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Harappa","majority","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.21519","0.059028","0.166667"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Harappa","length","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.481013","0.365044","0.416579"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Harappa","edge_frame","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.481013","0.366281","0.414175"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Harappa","token_nb","158","6","IT;LP;MT;SC;SP;SS","LP","0.21519","0.272152","0.196027","0.223898"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Mohenjo-daro","majority","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.209985","0.038565","0.111111"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Mohenjo-daro","length","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.474302","0.296337","0.326411"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Mohenjo-daro","edge_frame","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.447871","0.308889","0.320901"
"duplicate_matched_position_slots","2","type_site","SEAL:S@Mohenjo-daro","token_nb","681","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.209985","0.323054","0.18651","0.214457"
"duplicate_matched_position_slots","2","type_site","TAB:B@Harappa","majority","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.324873","0.098084","0.2"
"duplicate_matched_position_slots","2","type_site","TAB:B@Harappa","length","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.294416","0.226614","0.309311"
"duplicate_matched_position_slots","2","type_site","TAB:B@Harappa","edge_frame","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.284264","0.231238","0.295111"
"duplicate_matched_position_slots","2","type_site","TAB:B@Harappa","token_nb","197","5","IT;MT;SC;SP;SS","SC","0.324873","0.299492","0.214491","0.220507"
"duplicate_matched_position_slots","2","type_site","TAB:I@Harappa","majority","118","3","MT;SC;SS","SC","0.432203","0.432203","0.201183","0.333333"
"duplicate_matched_position_slots","2","type_site","TAB:I@Harappa","length","118","3","MT;SC;SS","SC","0.432203","0.423729","0.315102","0.341006"
"duplicate_matched_position_slots","2","type_site","TAB:I@Harappa","edge_frame","118","3","MT;SC;SS","SC","0.432203","0.40678","0.306705","0.327224"
"duplicate_matched_position_slots","2","type_site","TAB:I@Harappa","token_nb","118","3","MT;SC;SS","SC","0.432203","0.398305","0.303252","0.323529"
"duplicate_matched_position_slots","3","site","Harappa","majority","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.277686","0.043467","0.1"
"duplicate_matched_position_slots","3","site","Harappa","length","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.393388","0.201493","0.264066"
"duplicate_matched_position_slots","3","site","Harappa","edge_frame","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.378512","0.22748","0.263478"
"duplicate_matched_position_slots","3","site","Harappa","token_nb","605","10","IM;IT;LC;LP;MS;MT;SC;SP;SS;VX","SC","0.277686","0.302479","0.145504","0.154234"
"duplicate_matched_position_slots","3","site","Mohenjo-daro","majority","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.18143","0.034126","0.111111"
"duplicate_matched_position_slots","3","site","Mohenjo-daro","length","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.430096","0.308802","0.337802"
"duplicate_matched_position_slots","3","site","Mohenjo-daro","edge_frame","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.392743","0.304411","0.313161"
"duplicate_matched_position_slots","3","site","Mohenjo-daro","token_nb","937","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.18143","0.29349","0.195205","0.216469"
"duplicate_matched_position_slots","3","type","SEAL:R","majority","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.195402","0.046703","0.142857"
"duplicate_matched_position_slots","3","type","SEAL:R","length","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.408046","0.275975","0.332357"
"duplicate_matched_position_slots","3","type","SEAL:R","edge_frame","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.402299","0.290741","0.336558"
"duplicate_matched_position_slots","3","type","SEAL:R","token_nb","174","7","IT;LC;LP;MS;MT;SC;SS","SC","0.195402","0.241379","0.197651","0.210198"
"duplicate_matched_position_slots","3","type","SEAL:S","majority","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.181913","0.034203","0.111111"
"duplicate_matched_position_slots","3","type","SEAL:S","length","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.461538","0.289766","0.321252"
"duplicate_matched_position_slots","3","type","SEAL:S","edge_frame","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.435551","0.310222","0.318956"
"duplicate_matched_position_slots","3","type","SEAL:S","token_nb","962","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.181913","0.294179","0.181262","0.204072"
"duplicate_matched_position_slots","3","type","TAB:B","majority","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.076605","0.166667"
"duplicate_matched_position_slots","3","type","TAB:B","length","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.298387","0.205291","0.321242"
"duplicate_matched_position_slots","3","type","TAB:B","edge_frame","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.282258","0.230212","0.305931"
"duplicate_matched_position_slots","3","type","TAB:B","token_nb","248","6","IT;LC;MT;SC;SP;SS","SS","0.298387","0.322581","0.213177","0.218625"
"duplicate_matched_position_slots","3","type","TAB:I","majority","122","3","MT;SC;SS","SC","0.442623","0.442623","0.204545","0.333333"
"duplicate_matched_position_slots","3","type","TAB:I","length","122","3","MT;SC;SS","SC","0.442623","0.442623","0.327075","0.35264"
"duplicate_matched_position_slots","3","type","TAB:I","edge_frame","122","3","MT;SC;SS","SC","0.442623","0.491803","0.364397","0.393354"
"duplicate_matched_position_slots","3","type","TAB:I","token_nb","122","3","MT;SC;SS","SC","0.442623","0.393443","0.389245","0.373804"
"duplicate_matched_position_slots","3","type_site","SEAL:R@Mohenjo-daro","majority","94","6","IT;LC;LP;MT;SC;SS","LP","0.191489","0","0","0"
