scope,y_after_002,y_class,rows,terminal_rows,continuing_rows,terminal_rate,distinct_full_tails,repeated_full_tails,top_next1,top_full_tails,frame_counts,site_counts,type_counts,symbol_counts,example_cisi
all_002_strict_dedup,595,other,4,0,4,0/4,4,0,812:1;504:1;906:1;342:1,812 125 717:1;504 803:1;906:1;342 632:1,,Mohenjo-daro:3;Harappa:1,SEAL:R:2;SEAL:S:2,None:2;Bull1:S:1;Bull1:1,H-130;M-1676;M-809;M-1341
all_002_strict_dedup,900,branch_head,4,0,4,0/4,4,0,615:1;003:1;285:1;630:1,615:1;003 590:1;285:1;630:1,,Mohenjo-daro:3;Dholavira:1,SEAL:S:2;SEAL:R:1;TAB:B:1,Bull1:J:2;None:1;Scene:1,M-937;M-958;M-1358;-
all_002_strict_dedup,298,other,3,0,3,0/3,2,1,741:2;460:1,741:2;460 032:1,,Chanhu-daro:1;Mohenjo-daro:1;Unknown:1,SEAL:S:3,Bull1:I:1;Bull1:1;Bull:i:J:1,C-5;M-683;-
all_002_strict_dedup,365,other,3,0,3,0/3,3,0,287:1;460:1;550:1,287 034:1;460 495:1;550:1,,Chanhu-daro:1;Mohenjo-daro:1;Dholavira:1,SEAL:S:2;TAB:C:1,Bull1:1;Othr:1;Bull1:J:1,C-1;M-1532;-
all_002_strict_dedup,374,other,3,0,3,0/3,3,0,309:1;228:1;840:1,309 350:1;228 741:1;840:1,,Mohenjo-daro:3,SEAL:S:3,Bull1:J:1;None:1;Gaur:1,M-66;M-315;M-1089
all_002_strict_dedup,705,other,3,0,3,0/3,3,0,590:1;127:1;530:1,590:1;127:1;530 904:1,,Mohenjo-daro:1;Tell Umma:1;Dholavira:1,SEAL:S:2;TAG:L:1,Bull1:2;Gaur:1,M-248;-;-
all_002_strict_dedup,880,other,3,3,0,3/3,0,0,,,,Mohenjo-daro:2;Nausharo:1,SEAL:S:2;SEAL:R:1,Bull1:S:1;None:1;Bull1:J:1,M-225;M-1318;Ns-55
all_002_strict_dedup,920,other,3,0,3,0/3,2,1,317:2;491:1,317:2;491:1,,Chanhu-daro:1;Harappa:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:1,Bull1:W:2;None:1,C-3;H-2016;M-44
all_002_strict_dedup,003,other,2,2,0,2/2,0,0,,,,Harappa:1;Dholavira:1,POT:T:g:1;SEAL:R:1,None:2,-;-
all_002_strict_dedup,055,other,2,0,2,0/2,2,0,373:1;031:1,373:1;031 319 001 924:1,,Mohenjo-daro:1;Susa:1,SEAL:S:1;SEAL:CY:1,Bull1:W:1;Gaur:1,M-43;-
all_002_strict_dedup,112,other,2,2,0,2/2,0,0,,,,Mohenjo-daro:2,SEAL:S:2,Bull1:W:1;Gaur:1,M-33;M-239
all_002_strict_dedup,125,other,2,0,2,0/2,2,0,590:1;350:1,590:1;350:1,,Harappa:1;Mohenjo-daro:1,SEAL:S:2,None:1;Gaur:1,H-611;M-251
all_002_strict_dedup,190,other,2,0,2,0/2,2,0,125:1;751:1,125 632 032:1;751:1,,Mohenjo-daro:2,SEAL:S:2,Bull1:L:1;Bull1:1,M-1692;M-639
all_002_strict_dedup,252,other,2,0,2,0/2,2,0,575:1;840:1,575:1;840:1,,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,Bull1:1;Bull1:J:1,K-24;M-143
all_002_strict_dedup,285,other,2,1,1,1/2,1,0,491:1,491:1,,Kalibangan:1;Gonur Depe:1,SEAL:S:2,Gaur:1;Elep:1,K-28;-
all_002_strict_dedup,301,other,2,0,2,0/2,2,0,190:1;350:1,190:1;350:1,,Mohenjo-daro:2,SEAL:S:2,Bull1:1;Gaur:1,M-115;M-242
all_002_strict_dedup,388,other,2,0,2,0/2,2,0,385:1;031:1,385 705 632:1;031:1,,Mohenjo-daro:2,SEAL:R:1;SEAL:S:1,None:1;Bull1:1,M-359;M-948
all_002_strict_dedup,455,other,2,0,2,0/2,2,0,420:1;511:1,420 032:1;511:1,,Harappa:1;Mohenjo-daro:1,SEAL:S:2,Bull1:S:1;Rhin:1,H-1671;M-1907
all_002_strict_dedup,502,other,2,0,2,0/2,1,1,031:2,031:2,,Mohenjo-daro:2,SEAL:R:2,None:2,M-358;M-1284
all_002_strict_dedup,540,other,2,1,1,1/2,1,0,590:1,590:1,,Lothal:1;Mohenjo-daro:1,SEAL:R:2,None:2,L-112;M-393
all_002_strict_dedup,550,other,2,1,1,1/2,1,0,615:1,615:1,,Lothal:1;Mohenjo-daro:1,TAG:1;SEAL:S:1,Bull1:1;Bull1:J:1,L-145;M-849
all_002_strict_dedup,610,other,2,0,2,0/2,1,1,125:2,125 032:2,,Harappa:1;Mohenjo-daro:1,SEAL:S:2,Bull1:J:1;Bull1:W:1,H-74;M-1665
all_002_strict_dedup,617,other,2,1,1,1/2,1,0,070:1,070:1,,Lothal:1;Mohenjo-daro:1,TAG:1;SEAL:S:1,-:1;Bull1:S:1,L-134;M-81
all_002_strict_dedup,690,other,2,0,2,0/2,1,1,921:2,921:2,,Harappa:2,SEAL:S:2,Bull1:W:2,H-1657;H-8
all_002_strict_dedup,741,other,2,0,2,0/2,1,1,060:2,060 920:2,,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,Bull1:W:1;Zebu:1,K-4;M-1114
all_002_strict_dedup,798,other,2,0,2,0/2,2,0,055:1;435:1,055:1;435 255 705:1,,Lothal:1;Mohenjo-daro:1,SEAL:S:2,Bull1:1;Bull1:I:1,L-47;M-1772
all_002_strict_dedup,812,other,2,0,2,0/2,2,0,095:1;031:1,095:1;031:1,,Lothal:1;Mohenjo-daro:1,SEAL:S:2,Bull1:W:2,L-1;M-756
all_002_strict_dedup,814,other,2,0,2,0/2,2,0,560:1;084:1,560:1;084:1,,Mohenjo-daro:2,SEAL:S:2,Bull1:W:1;Bull1:S:1,M-17;M-92
all_002_strict_dedup,840,other,2,0,2,0/2,2,0,032:1;016:1,032:1;016:1,,Mohenjo-daro:2,SEAL:S:1;TAB:B:1,Bull1:J:1;Scene:1,M-1791;M-490
all_002_strict_dedup,850,other,2,0,2,0/2,2,0,493:1;491:1,493:1;491:1,,Mohenjo-daro:2,SEAL:S:2,Bull1:L:2,M-325;M-325
all_002_strict_dedup,906,other,2,0,2,0/2,2,0,140:1;125:1,140:1;125:1,,Mohenjo-daro:2,SEAL:S:1;SEAL:R:1,Bull1:W:1;None:1,M-24;M-354
all_002_strict_dedup,940,other,2,0,2,0/2,2,0,705:1;260:1,705:1;260:1,,Harappa:1;Mohenjo-daro:1,SEAL:S:2,Bull1:J:1;Bull1:S:1,H-468;M-107
all_002_strict_dedup,001,other,1,0,1,0/1,1,0,250:1,250:1,,Nausharo:1,SEAL:S:1,Bull1:I:1,Ns-56
all_002_strict_dedup,002,other,1,1,0,1/1,0,0,,,,Harappa:1,POT:T:g:1,None:1,-
all_002_strict_dedup,004,other,1,0,1,0/1,1,0,328:1,328 001 803 415:1,,Ur:1,SEAL:C:1,Gaur:1,-
all_002_strict_dedup,033,other,1,0,1,0/1,1,0,705:1,705:1,,Mohenjo-daro:1,SEAL:S:1,Elep:1,M-1155
all_002_strict_dedup,056,other,1,0,1,0/1,1,0,091:1,091:1,,Kalibangan:1,TAG:1,Bull1:1,K-69
all_002_strict_dedup,069,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Gaur:1,M-1883
all_002_strict_dedup,093,other,1,0,1,0/1,1,0,033:1,033:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1765
all_002_strict_dedup,107,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-35
all_002_strict_dedup,111,other,1,0,1,0/1,1,0,165:1,165:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-95
all_002_strict_dedup,130,other,1,0,1,0/1,1,0,035:1,035 171:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-699
all_002_strict_dedup,142,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1686
all_002_strict_dedup,144,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-130
all_002_strict_dedup,156,other,1,0,1,0/1,1,0,920:1,920:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-1810
all_002_strict_dedup,168,other,1,0,1,0/1,1,0,032:1,032:1,,Mohenjo-daro:1,SEAL:S:1,Elep:1,M-1159
all_002_strict_dedup,172,other,1,0,1,0/1,1,0,032:1,032:1,,Harappa:1,SEAL:S:1,Bull1:J:1,H-455
all_002_strict_dedup,207,other,1,0,1,0/1,1,0,550:1,550 390:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:I:1,M-82
all_002_strict_dedup,221,other,1,1,0,1/1,0,0,,,,Lothal:1,SEAL:R:1,None:1,L-82
all_002_strict_dedup,233,other,1,0,1,0/1,1,0,235:1,235:1,,Harappa:1,SEAL:R:1,None:1,H-141
all_002_strict_dedup,257,other,1,0,1,0/1,1,0,898:1,898:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-154
all_002_strict_dedup,267,other,1,0,1,0/1,1,0,455:1,455:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-10
all_002_strict_dedup,269,other,1,0,1,0/1,1,0,892:1,892 810 033:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1766
all_002_strict_dedup,278,other,1,0,1,0/1,1,0,595:1,595:1,,Salut:1,SEAL:S:1,Gaur:1,-
all_002_strict_dedup,281,other,1,1,0,1/1,0,0,,,,Lakhanjo-daro:1,SEAL:S:1,Bull1:S:1,-
all_002_strict_dedup,286,other,1,0,1,0/1,1,0,220:1,220 031 012 031 455 033 590:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-1688
all_002_strict_dedup,287,other,1,0,1,0/1,1,0,140:1,140:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-109
all_002_strict_dedup,291,other,1,0,1,0/1,1,0,690:1,690 564:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-628
all_002_strict_dedup,293,other,1,0,1,0/1,1,0,360:1,360:1,,Harappa:1,SEAL:R:1,None:1,H-1706
all_002_strict_dedup,295,other,1,0,1,0/1,1,0,502:1,502:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-181
all_002_strict_dedup,299,other,1,0,1,0/1,1,0,530:1,530 820:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-623
all_002_strict_dedup,300,branch_head,1,0,1,0/1,1,0,350:1,350 032 190:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-49
all_002_strict_dedup,305,other,1,0,1,0/1,1,0,032:1,032 904:1,,Harappa:1,SEAL:S:1,Bull1:1,H-272
all_002_strict_dedup,308,other,1,0,1,0/1,1,0,072:1,072:1,,Banawali:1,SEAL:S:1,Htgr:1,B-17
all_002_strict_dedup,315,other,1,0,1,0/1,1,0,850:1,850:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:1,M-1002
all_002_strict_dedup,320,other,1,0,1,0/1,1,0,705:1,705 125:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-1668
all_002_strict_dedup,326,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,TAB:C:1,None:1,M-509
all_002_strict_dedup,360,other,1,0,1,0/1,1,0,832:1,832:1,,Kalibangan:1,TAG:L:1,Bull1:1,K-89
all_002_strict_dedup,370,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,POT:T:s:1,None:1,M-1371
all_002_strict_dedup,392,other,1,0,1,0/1,1,0,590:1,590 125:1,,Lohumjo-daro:1,SEAL:S:1,Bull1:S:1,Lh-1
all_002_strict_dedup,400,other,1,0,1,0/1,1,0,703:1,703:1,,Mohenjo-daro:1,SEAL:S:1,Rhin:1,M-1135
all_002_strict_dedup,407,other,1,0,1,0/1,1,0,125:1,125 590 831:1,,Mohenjo-daro:1,TAB:C:1,None:1,M-2055
all_002_strict_dedup,413,other,1,0,1,0/1,1,0,368:1,368 031:1,,Mohenjo-daro:1,SEAL:S:1,Zebu:1,M-1894
all_002_strict_dedup,416,other,1,1,0,1/1,0,0,,,,Harappa:1,SEAL:S:1,Bull1:J:1,H-457
all_002_strict_dedup,435,other,1,0,1,0/1,1,0,255:1,255 777:1,,Harappa:1,SEAL:S:1,Bull1:W:1,H-598
all_002_strict_dedup,456,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Elep:1,M-1150
all_002_strict_dedup,457,other,1,1,0,1/1,0,0,,,,Dholavira:1,MISC:1,-:1,-
all_002_strict_dedup,504,other,1,0,1,0/1,1,0,717:1,717:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-52
all_002_strict_dedup,518,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Tigr:1,M-1916
all_002_strict_dedup,527,other,1,0,1,0/1,1,0,475:1,475 005:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-40
all_002_strict_dedup,564,other,1,0,1,0/1,1,0,617:1,617 033:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-4
all_002_strict_dedup,570,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,TAB:B:1,Bull1:1,M-2012
all_002_strict_dedup,575,other,1,0,1,0/1,1,0,031:1,031:1,,Lothal:1,SEAL:S:1,Bull1:1,L-4
all_002_strict_dedup,577,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:1,M-957
all_002_strict_dedup,590,other,1,0,1,0/1,1,0,455:1,455:1,,Mohenjo-daro:1,SEAL:S:1,Rhin:1,M-1909
all_002_strict_dedup,611,other,1,0,1,0/1,1,0,615:1,615 703:1,,Harappa:1,SEAL:S:1,Bull1:W:1,H-3
all_002_strict_dedup,615,other,1,1,0,1/1,0,0,,,,Harappa:1,SEAL:S:1,Elep:1,H-92
all_002_strict_dedup,629,other,1,0,1,0/1,1,0,279:1,279:1,,Dholavira:1,SEAL:S:1,Gaur:1,-
all_002_strict_dedup,679,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Buff:1,M-267
all_002_strict_dedup,693,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-57
all_002_strict_dedup,702,other,1,0,1,0/1,1,0,503:1,503:1,,Harappa:1,SEAL:S:1,Bull1:W:1,H-408
all_002_strict_dedup,717,other,1,0,1,0/1,1,0,820:1,820:1,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1667
all_002_strict_dedup,727,other,1,0,1,0/1,1,0,317:1,317:1,,Mohenjo-daro:1,SEAL:S:1,T-M-T:1,M-308
all_002_strict_dedup,762,other,1,0,1,0/1,1,0,463:1,463 140:1,,Kalibangan:1,SEAL:S:1,Bull1:X:1,K-18
all_002_strict_dedup,764,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:1,M-713
all_002_strict_dedup,768,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-1759
all_002_strict_dedup,790,other,1,0,1,0/1,1,0,290:1,290 741:1,,Mohenjo-daro:1,BNGL:1,None:1,M-1631
all_002_strict_dedup,803,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-177
all_002_strict_dedup,808,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-833
all_002_strict_dedup,818,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,SEAL:S:1,Goat:6:1,M-272
all_002_strict_dedup,825,other,1,1,0,1/1,0,0,,,,Harappa:1,SEAL:S:1,Bull1:L:1,H-612
all_002_strict_dedup,862,other,1,0,1,0/1,1,0,032:1,032:1,,Harappa:1,SEAL:S:1,Bull1:W:1,H-1033
all_002_strict_dedup,863,other,1,1,0,1/1,0,0,,,,Harappa:1,SEAL:S:1,Bull1:W:1,H-405
all_002_strict_dedup,892,other,1,0,1,0/1,1,0,740:1,740:1,,Desalpur:1,TAG:1,None:1,Dlp-3
all_002_strict_dedup,905,other,1,1,0,1/1,0,0,,,,Mohenjo-daro:1,IMPL:1,None:1,M-2128
all_002_strict_dedup,933,other,1,1,0,1/1,0,0,,,,Harappa:1,SEAL:S:1,Bull1:W:1,H-1049
all_002_strict_dedup,944,other,1,0,1,0/1,1,0,920:1,920 140:1,,Mohenjo-daro:1,SEAL:S:1,Elep:1,M-280
after_032_strict_dedup,861,leaky_closure,9,7,2,7/9,2,0,255:1;603:1,255 416:1;603:1,non240_a_220_032:5;outside_032:3;target_240_220_032:1,Mohenjo-daro:6;Harappa:2;Chanhu-daro:1,SEAL:S:9,Bull1:W:4;Bull1:J:1;Bull1:S:1;Gaur:1;Bull1:1;Bull:1,C-60;H-444;H-597;M-1763;M-21;M-91;M-240;M-723;M-1044
after_032_strict_dedup,820,leaky_closure,7,6,1,6/7,1,0,001:1,001 440 012:1,non240_a_220_032:4;outside_032:2;target_240_220_032:1,Mohenjo-daro:6;Kalibangan:1,SEAL:S:6;SEAL:R:1,Bull1:W:3;Bull1:T:1;Bull1:I:1;None:1;Bull1:J:1,M-1737;M-1677;M-1728;M-174;M-221;M-375;K-145
after_032_strict_dedup,817,hard_closure,4,4,0,4/4,0,0,,,outside_032:2;non240_a_220_032:1;target_240_220_032:1,Mohenjo-daro:2;Chanhu-daro:1;Harappa:1,SEAL:S:2;SEAL:R:1;TAG:P:1,Bull1:2;Bull1:W:1;None:1,C-10;H-140;M-722;M-1385
after_032_strict_dedup,390,branch_head,2,0,2,0/2,2,0,692:1;590:1,692:1;590 032:1,outside_032:2,Mohenjo-daro:1;Unknown:1,SEAL:S:2,Bull1:T:1;Bull1:J:1,M-70;-
after_032_strict_dedup,142,other,1,1,0,1/1,0,0,,,non240_a_220_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1686
after_032_strict_dedup,144,other,1,1,0,1/1,0,0,,,non240_a_220_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-130
after_032_strict_dedup,168,other,1,0,1,0/1,1,0,032:1,032:1,non240_a_220_032:1,Mohenjo-daro:1,SEAL:S:1,Elep:1,M-1159
after_032_strict_dedup,252,other,1,0,1,0/1,1,0,840:1,840:1,outside_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,M-143
after_032_strict_dedup,300,branch_head,1,0,1,0/1,1,0,350:1,350 032 190:1,target_240_220_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-49
after_032_strict_dedup,368,branch_head,1,0,1,0/1,1,0,906:1,906 329:1,non240_a_220_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,M-36
after_032_strict_dedup,690,other,1,0,1,0/1,1,0,921:1,921:1,non240_a_220_032:1,Harappa:1,SEAL:S:1,Bull1:W:1,H-1657
after_032_strict_dedup,717,other,1,0,1,0/1,1,0,820:1,820:1,non240_a_220_032:1,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,M-1667
after_032_strict_dedup,892,other,1,0,1,0/1,1,0,740:1,740:1,outside_032:1,Desalpur:1,TAG:1,None:1,Dlp-3
after_032_strict_dedup,900,branch_head,1,0,1,0/1,1,0,285:1,285:1,outside_032:1,Mohenjo-daro:1,SEAL:R:1,None:1,M-1358
