"control","iteration","source_rows","source_tokens","unique_sequences","exact_duplicate_groups","exact_duplicate_rows","exact_duplicate_row_share","top_sequence_count","collapsed_rows","collapsed_tokens","unique_signs","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed","frequency_top1_accuracy","frequency_top5_accuracy","position_top1_accuracy","position_top5_accuracy","length_position_top1_accuracy","length_position_top5_accuracy","bidirectional_top1_accuracy","bidirectional_top5_accuracy"
"administrative_register_code","3","2883","11645","1798","266","1351","0.468609","117","1798","8212","282","1798","1784","10","4","0.992214","13.206086","12.540066","0.07282","0.280078","0.16963","0.43266","0.239162","0.532392","0.469557","0.690575"
"administrative_register_code","4","2883","11645","1798","266","1351","0.468609","117","1798","8212","288","1798","1783","12","3","0.991657","13.141798","12.581814","0.073307","0.279713","0.172796","0.44228","0.238553","0.534462","0.480516","0.684608"
"administrative_register_code","5","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1781","12","5","0.990545","13.021524","12.260561","0.075743","0.282026","0.176084","0.448855","0.244764","0.538115","0.478568","0.693741"
"administrative_register_code","6","2883","11645","1798","266","1351","0.468609","117","1798","8212","285","1798","1776","16","6","0.987764","13.132347","12.48431","0.071724","0.275451","0.169264","0.443741","0.237214","0.535923","0.471383","0.692036"
"administrative_register_code","7","2883","11645","1798","266","1351","0.468609","117","1798","8212","295","1798","1780","15","3","0.989989","13.100545","12.553273","0.073916","0.284949","0.174501","0.434851","0.241719","0.534949","0.463955","0.684243"
"administrative_register_code","8","2883","11645","1798","266","1351","0.468609","117","1798","8212","293","1798","1780","15","3","0.989989","13.228194","12.528699","0.074038","0.277034","0.171578","0.44642","0.239649","0.53227","0.484778","0.693497"
"administrative_register_code","9","2883","11645","1798","266","1351","0.468609","117","1798","8212","288","1798","1785","7","6","0.99277","13.093478","12.470734","0.070994","0.264369","0.166829","0.420604","0.229055","0.506576","0.481247","0.690331"
"administrative_register_code","10","2883","11645","1798","266","1351","0.468609","117","1798","8212","297","1798","1778","15","5","0.988877","13.190834","12.573753","0.075865","0.274111","0.177058","0.433755","0.249878","0.520945","0.474549","0.693497"
"administrative_register_code","11","2883","11645","1798","266","1351","0.468609","117","1798","8212","283","1798","1787","9","2","0.993882","13.217257","12.547383","0.071846","0.284462","0.181442","0.441184","0.249756","0.531052","0.477837","0.692767"
"administrative_register_code","12","2883","11645","1798","266","1351","0.468609","117","1798","8212","292","1798","1779","16","3","0.989433","13.02223","12.526764","0.075377","0.270945","0.16208","0.426571","0.226741","0.529226","0.482099","0.688139"
"administrative_register_code","13","2883","11645","1798","266","1351","0.468609","117","1798","8212","279","1798","1780","15","3","0.989989","12.779379","11.858258","0.074038","0.281296","0.174623","0.441305","0.245738","0.526547","0.461033","0.68473"
"administrative_register_code","14","2883","11645","1798","266","1351","0.468609","117","1798","8212","293","1798","1780","13","5","0.989989","12.998014","12.568213","0.07623","0.290185","0.180711","0.435217","0.254384","0.51717","0.468339","0.69301"
"administrative_register_code","15","2883","11645","1798","266","1351","0.468609","117","1798","8212","292","1798","1782","15","1","0.991101","12.980256","12.283149","0.075134","0.278008","0.167681","0.424866","0.23904","0.521797","0.472358","0.690697"
"administrative_register_code","16","2883","11645","1798","266","1351","0.468609","117","1798","8212","299","1798","1789","8","1","0.994994","13.215588","12.627096","0.078787","0.288237","0.177789","0.432172","0.254749","0.515343","0.477228","0.692888"
"administrative_register_code","17","2883","11645","1798","266","1351","0.468609","117","1798","8212","277","1798","1778","13","7","0.988877","12.612431","11.793243","0.072455","0.280078","0.169873","0.419873","0.237457","0.510716","0.461885","0.690818"
"administrative_register_code","18","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1774","18","6","0.986652","12.991622","12.650451","0.075986","0.285192","0.168534","0.433634","0.240502","0.528617","0.4698","0.690088"
"administrative_register_code","19","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1786","8","4","0.993326","13.107326","12.496082","0.073551","0.277277","0.174257","0.432416","0.238432","0.535558","0.472845","0.686556"
"administrative_register_code","20","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1784","10","4","0.992214","13.151618","12.630716","0.077813","0.287506","0.180955","0.433147","0.254749","0.518753","0.470409","0.688261"
"emblem_formula_code","1","2883","11645","1798","266","1351","0.468609","117","1798","8212","283","1798","1777","19","2","0.98832","12.619193","12.215563","0.101072","0.323551","0.214199","0.502557","0.254871","0.535558","0.437043","0.693741"
"emblem_formula_code","2","2883","11645","1798","266","1351","0.468609","117","1798","8212","280","1798","1773","21","4","0.986096","12.347336","12.061178","0.096079","0.319167","0.208475","0.488919","0.243181","0.514004","0.44508","0.689722"
"emblem_formula_code","3","2883","11645","1798","266","1351","0.468609","117","1798","8212","295","1798","1773","23","2","0.986096","12.145042","11.709446","0.09206","0.297004","0.19642","0.461642","0.232586","0.520823","0.438018","0.689601"
"emblem_formula_code","4","2883","11645","1798","266","1351","0.468609","117","1798","8212","293","1798","1775","21","2","0.987208","12.059136","11.785232","0.105334","0.326595","0.210058","0.488432","0.254262","0.529834","0.432051","0.696542"
"emblem_formula_code","5","2883","11645","1798","266","1351","0.468609","117","1798","8212","290","1798","1776","17","5","0.987764","12.442068","11.951051","0.099732","0.327569","0.216512","0.488553","0.258281","0.537384","0.444715","0.689357"
"emblem_formula_code","6","2883","11645","1798","266","1351","0.468609","117","1798","8212","288","1798","1775","21","2","0.987208","12.37891","12.181595","0.096201","0.307355","0.205188","0.489893","0.238797","0.53227","0.455188","0.687774"
"emblem_formula_code","7","2883","11645","1798","266","1351","0.468609","117","1798","8212","286","1798","1781","15","2","0.990545","12.748384","12.272537","0.109961","0.326717","0.222966","0.513517","0.258402","0.5481","0.44228","0.693132"
"emblem_formula_code","8","2883","11645","1798","266","1351","0.468609","117","1798","8212","288","1798","1776","18","4","0.987764","12.708097","12.553903","0.101193","0.327691","0.216512","0.502679","0.263151","0.525207","0.453848","0.694472"
"emblem_formula_code","9","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1780","15","3","0.989989","12.736912","12.580704","0.102046","0.332684","0.222601","0.510229","0.255845","0.533609","0.452996","0.697394"
"emblem_formula_code","10","2883","11645","1798","266","1351","0.468609","117","1798","8212","283","1798","1770","26","2","0.984427","12.510918","12.222436","0.106673","0.33171","0.225767","0.493059","0.273746","0.529713","0.448368","0.695324"
"emblem_formula_code","11","2883","11645","1798","266","1351","0.468609","117","1798","8212","293","1798","1770","23","5","0.984427","12.074121","11.844687","0.100828","0.317219","0.215904","0.494033","0.256332","0.529104","0.443254","0.692645"
"emblem_formula_code","12","2883","11645","1798","266","1351","0.468609","117","1798","8212","282","1798","1779","18","1","0.989433","12.913249","12.499414","0.107282","0.321846","0.222236","0.485022","0.26096","0.527155","0.443741","0.688748"
"emblem_formula_code","13","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1776","18","4","0.987764","12.48729","11.77529","0.104116","0.324038","0.217121","0.492694","0.256454","0.532879","0.436556","0.687652"
"emblem_formula_code","14","2883","11645","1798","266","1351","0.468609","117","1798","8212","287","1798","1773","22","3","0.986096","12.508214","11.926835","0.102168","0.324282","0.218948","0.504384","0.256454","0.53227","0.444106","0.695446"
"emblem_formula_code","15","2883","11645","1798","266","1351","0.468609","117","1798","8212","284","1798","1776","18","4","0.987764","12.274927","11.950122","0.103385","0.329031","0.220409","0.489528","0.262056","0.524233","0.434851","0.688748"
"emblem_formula_code","16","2883","11645","1798","266","1351","0.468609","117","1798","8212","285","1798","1775","20","3","0.987208","12.531043","12.389442","0.100341","0.313687","0.208962","0.493424","0.241963","0.525938","0.440088","0.697272"
"emblem_formula_code","17","2883","11645","1798","266","1351","0.468609","117","1798","8212","289","1798","1773","23","2","0.986096","12.030375","11.771371","0.094009","0.310765","0.203239","0.479786","0.247808","0.520093","0.433999","0.686922"
"emblem_formula_code","18","2883","11645","1798","266","1351","0.468609","117","1798","8212","291","1798","1775","21","2","0.987208","12.632481","12.150124","0.098393","0.321968","0.217243","0.494886","0.264613","0.535558","0.453117","0.69301"
"emblem_formula_code","19","2883","11645","1798","266","1351","0.468609","117","1798","8212","279","1798","1773","22","3","0.986096","12.589959","12.271552","0.089503","0.303337","0.190818","0.485022","0.226863","0.534096","0.437652","0.695202"
"emblem_formula_code","20","2883","11645","1798","266","1351","0.468609","117","1798","8212","288","1798","1775","18","5","0.987208","12.683726","12.37869","0.094496","0.313078","0.212737","0.500609","0.25755","0.549683","0.450073","0.69435"
"mixed_admin_emblem_code","1","2883","11645","1798","266","1351","0.468609","117","1798","8212","279","1798","1759","36","3","0.978309","11.72006","11.200404","0.085119","0.276547","0.183147","0.447394","0.207258","0.491476","0.417803","0.664272"
"mixed_admin_emblem_code","2","2883","11645","1798","266","1351","0.468609","117","1798","8212","262","1798","1770","24","4","0.984427","12.115414","11.820644","0.092304","0.278982","0.19094","0.447394","0.215416","0.489528","0.420726","0.667194"
"mixed_admin_emblem_code","3","2883","11645","1798","266","1351","0.468609","117","1798","8212","281","1798","1770","27","1","0.984427","11.682381","11.274196","0.081588","0.273137","0.184364","0.4368","0.20811","0.476132","0.415002","0.66001"
"mixed_admin_emblem_code","4","2883","11645","1798","266","1351","0.468609","117","1798","8212","271","1798","1773","23","2","0.986096","11.980064","11.897187","0.086581","0.277155","0.191914","0.421822","0.224671","0.483926","0.418047","0.664637"
"mixed_admin_emblem_code","5","2883","11645","1798","266","1351","0.468609","117","1798","8212","262","1798","1777","20","1","0.98832","11.701966","11.356973","0.081344","0.246347","0.178641","0.428763","0.20056","0.464686","0.413663","0.662932"
"mixed_admin_emblem_code","6","2883","11645","1798","266","1351","0.468609","117","1798","8212","266","1798","1764","30","4","0.98109","11.854722","11.296012","0.079883","0.244277","0.17925","0.435095","0.197516","0.491232","0.42377","0.669995"
"mixed_admin_emblem_code","7","2883","11645","1798","266","1351","0.468609","117","1798","8212","273","1798","1768","27","3","0.983315","12.193063","11.491511","0.085485","0.248782","0.189235","0.449586","0.212616","0.497565","0.424379","0.668777"
"mixed_admin_emblem_code","8","2883","11645","1798","266","1351","0.468609","117","1798","8212","278","1798","1761","33","4","0.979422","11.593556","11.119483","0.080736","0.257185","0.179737","0.428397","0.204457","0.489284","0.42511","0.66415"
"mixed_admin_emblem_code","9","2883","11645","1798","266","1351","0.468609","117","1798","8212","270","1798","1767","25","6","0.982759","12.035553","11.434867","0.080736","0.263151","0.181198","0.42036","0.210667","0.468217","0.412689","0.664394"
"mixed_admin_emblem_code","10","2883","11645","1798","266","1351","0.468609","117","1798","8212","281","1798","1749","43","6","0.972747","11.893854","11.516868","0.090477","0.283122","0.200925","0.444228","0.231247","0.510229","0.422918","0.663663"
"mixed_admin_emblem_code","11","2883","11645","1798","266","1351","0.468609","117","1798","8212","274","1798","1759","37","2","0.978309","11.648842","11.286828","0.082562","0.275207","0.18887","0.422065","0.216512","0.466878","0.426693","0.664272"
"mixed_admin_emblem_code","12","2883","11645","1798","266","1351","0.468609","117","1798","8212","278","1798","1758","36","4","0.977753","11.377997","11.087666","0.090477","0.281417","0.191062","0.428032","0.215051","0.483074","0.413663","0.658914"
"mixed_admin_emblem_code","13","2883","11645","1798","266","1351","0.468609","117","1798","8212","269","1798","1765","28","5","0.981646","11.474401","10.958263","0.076352","0.226254","0.170117","0.423039","0.194715","0.466756","0.407453","0.661593"
"mixed_admin_emblem_code","14","2883","11645","1798","266","1351","0.468609","117","1798","8212","270","1798","1769","23","6","0.983871","11.697436","11.154981","0.08037","0.270945","0.177545","0.432172","0.207623","0.477107","0.403434","0.655991"
"mixed_admin_emblem_code","15","2883","11645","1798","266","1351","0.468609","117","1798","8212","262","1798","1770","23","5","0.984427","12.086442","11.865894","0.08451","0.271189","0.183512","0.43473","0.208475","0.4849","0.409888","0.663176"
"mixed_admin_emblem_code","16","2883","11645","1798","266","1351","0.468609","117","1798","8212","274","1798","1768","27","3","0.983315","11.228628","10.530396","0.080614","0.264491","0.18132","0.411471","0.2019","0.465782","0.406113","0.64905"
"mixed_admin_emblem_code","17","2883","11645","1798","266","1351","0.468609","117","1798","8212","279","1798","1765","29","4","0.981646","11.537394","11.3853","0.081953","0.271554","0.180833","0.436922","0.209815","0.47321","0.418047","0.659888"
"mixed_admin_emblem_code","18","2883","11645","1798","266","1351","0.468609","117","1798","8212","276","1798","1775","21","2","0.987208","11.437132","11.272432","0.078665","0.258524","0.178397","0.415368","0.198855","0.459328","0.405261","0.666585"
"mixed_admin_emblem_code","19","2883","11645","1798","266","1351","0.468609","117","1798","8212","282","1798","1772","23","3","0.985539","11.519282","11.05485","0.084876","0.276059","0.186313","0.417681","0.21018","0.474184","0.405869","0.657696"
"mixed_admin_emblem_code","20","2883","11645","1798","266","1351","0.468609","117","1798","8212","287","1798","1763","27","8","0.980534","11.898903","11.695333","0.084876","0.279104","0.191914","0.437652","0.222114","0.496347","0.410862","0.665855"
