source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
mayig_parpola,P332,lipi_numeric,760,uncertain,low_consistency_positional_candidate,6,5,0.833333,752,1,2,medial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-30;M-44;M-47;M-112;M-114;M-149,needs_image_or_authoritative_sign_list_validation,very_low,752:1
mayig_parpola,P349,lipi_numeric,840,uncertain,low_consistency_positional_candidate,6,5,0.833333,844,1,2,medial:4;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-56;M-90;M-113;M-116;M-143;M-166,needs_image_or_authoritative_sign_list_validation,very_low,844:1
mayig_parpola,P201,lipi_numeric,065,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:5,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-6;M-46;M-108;M-140;M-151,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P210,lipi_numeric,503,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:4;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-14;M-29;M-30;M-58;M-101,needs_image_or_authoritative_sign_list_validation,low,
mayig_parpola,P301,lipi_numeric,527,uncertain,low_consistency_positional_candidate,5,4,0.800000,526,1,2,initial:4;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-40;M-42;M-63;M-88;M-133,needs_image_or_authoritative_sign_list_validation,very_low,526:1
mayig_parpola,P051,lipi_numeric,226,uncertain,low_consistency_positional_candidate,4,3,0.750000,236,1,2,initial:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-54;M-57;M-70;M-147,needs_image_or_authoritative_sign_list_validation,very_low,236:1
mayig_parpola,P075,lipi_numeric,798,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:3;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-92;M-108;M-121;M-157,needs_image_or_authoritative_sign_list_validation,very_low,
mayig_parpola,P108,lipi_numeric,371,uncertain,conflicted_positional_candidate,4,2,0.500000,279,1,3,medial:2;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-12;M-34;M-71,needs_image_or_authoritative_sign_list_validation,very_low,279:1;372:1
mayig_parpola,P124,lipi_numeric,004,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:2;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-64;M-75;M-96;M-103,needs_image_or_authoritative_sign_list_validation,very_low,
mayig_parpola,P142,lipi_numeric,055,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:3;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-18;M-29;M-43;M-117,needs_image_or_authoritative_sign_list_validation,very_low,
mayig_parpola,P215,lipi_numeric,460,uncertain,low_consistency_positional_candidate,4,3,0.750000,463,1,2,medial:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-48;M-51;M-58;M-92,needs_image_or_authoritative_sign_list_validation,very_low,463:1
mayig_parpola,P226,lipi_numeric,545,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,terminal:4,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-78;M-102;M-132;M-136,needs_image_or_authoritative_sign_list_validation,very_low,
