object,site,type,symbol,condition,complete,has_405,has_806,text
H-143,Harappa,SEAL:R,NA,Good,Y,false,true,+154-806-469-001-740-877-032+
H-145,Harappa,SEAL:R,NA,Poor,?,false,true,]233-798-806-001-922+
H-146,Harappa,SEAL:R,NA,Poor,Y,false,true,+154-806-467-031+
H-149,Harappa,SEAL:R,NA,Poor,Y,true,false,+405-061-033-706-794-630-220-002-820+
M-1986,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+154-806-468+
H-154,Harappa,SEAL:R,NA,Good,Y,false,true,+154-806-467-013-817+
H-158,Harappa,SEAL:R,NA,Fair,Y,true,true,+154-806-472-001-740-405-590+
H-160,Harappa,SEAL:R,NA,Good,Y,false,true,+400-154-806-468+
H-189,Harappa,TAB:B,Othr,Good,Y,false,true,+400-158-806-470+
H-1105,Harappa,TAB:B,Phyt,Fair,Y,false,true,+158-806-465+
H-755,Harappa,TAB:B,NA,Poor,?,true,false,+400-740-405-590[
H-775,Harappa,TAB:B,NA,Good,Y,false,true,+400-158-806-472+
H-1155,Harappa,TAB:B,Bull1:I,Fair,Y,true,false,+520-240-002-405-501+
H-537,Harappa,SEAL:S,Bull1,Poor,N,true,false,+740-405-000[
H-641,Harappa,SEAL:R,NA,Poor,N,true,false,+405-061-740-100-503-705-000[
H-649,Harappa,SEAL:R,NA,Poor,Y,false,true,+520-033-705-233-240-806-002-820+
H-654,Harappa,SEAL:R,NA,Poor,Y,true,true,+405-061-740-806+
H-663,Harappa,SEAL:R,NA,Poor,?,true,false,]405-002[
H-667,Harappa,SEAL:R,NA,Poor,N,false,true,]000-235-806-900-003-140+
H-679,Harappa,SEAL:R,NA,Fair,Y,false,true,+565-806+
H-695,Harappa,TAB:B,Bull1:S,Fair,Y,false,true,+740-390-590-235-368-806+
H-719,Harappa,TAB:B,Phyt,Fair,Y,true,false,+405-004-002-861+
H-725,Harappa,TAB:B,Phyt,Poor,N,false,true,+000-158-806-000+
H-727,Harappa,TAB:B,Phyt,Poor,N,false,true,+158-806-000+
L-36,Lothal,SEAL:S,Bull1,Fair,Y,true,false,+422-003-001-060-065-405-720+
L-82,Lothal,SEAL:R,NA,Poor,Y,false,true,+806-231-002-221+
L-83,Lothal,SEAL:L,NA,Poor,Y,false,true,+740-806-240-002-820+
L-88,Lothal,SEAL:R,NA,Fine,Y,true,false,+405-005-001-063-615-262+
M-1953,Mohenjo-daro,SEAL:R,NA,Fair,Y,false,true,+407-845-233-806+
-:2217.1,Mohenjo-daro,SEAL:R,NA,Fair,N,false,true,]000-033-706-806[
M-1956,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+740-900-790-220-415-798-806+
-:2247.1,Mohenjo-daro,SEAL:R,NA,Good,N,true,false,+740-798-405-000[
M-2050,Mohenjo-daro,TAB:C,Anth,Fair,Y,false,true,+740-900-850-407-061-845-806+
M-1922,Mohenjo-daro,SEAL:S,NA,Good,Y,true,false,+740-405-590+
M-2091,Mohenjo-daro,ROD,NA,Poor,N,false,true,]000-806-467+
M-1957,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+154-806-474-013-820+
M-1978,Mohenjo-daro,SEAL:R,NA,Fair,Y,true,false,+405-061-033-705-236+
M-1985,Mohenjo-daro,SEAL:R,NA,Fair,Y,false,true,+100-904-717-220-415-806-742+
M-1524,Mohenjo-daro,TAB:C,NA,Poor,Y,false,true,+407-585-033-705-233-235-806+
M-166,Mohenjo-daro,SEAL:S,Bull1:I,Poor,Y,false,true,+390-844-240-806-002-861+
M-357,Mohenjo-daro,SEAL:R,NA,Fine,Y,false,true,+740-100-806-472-240-806-001-820+
M-358,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+003-001-520-240-806-002-502-031+
M-359,Mohenjo-daro,SEAL:R,NA,Fair,Y,true,false,+740-405-590-220-235-803-002-388-385-705-632+
M-369,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+740-690-435-255-240-220-415-806-742-060-920+
M-370,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+832-904-740-444-388-233-798-806+
M-371,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+617-142-384-032-154-806-467+
M-386,Mohenjo-daro,SEAL:R,NA,Good,Y,true,false,+405-004-001-139+
M-391,Mohenjo-daro,SEAL:R,NA,Good,Y,true,false,+405-845-686-740-793-003-233-805-002-861-533-717+
M-392,Mohenjo-daro,SEAL:R,NA,Good,Y,true,true,+740-405-590-220-032-806+
M-393,Mohenjo-daro,SEAL:R,NA,Good,Y,false,true,+679-740-575-017-240-806-002-540+
