object,region,site,type,material,shape,symbol,condition,complete,register_context,text
M-368,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,+527-555-407-844-055-000+
M-378,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,+407-005-001-746-740-590+
M-385,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,+407-004-002-820+
M-403,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,+407-063-520-095+
M-408,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid,NA,Good,Y,true,+407-061-002-817+
M-1457,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,Loop,Fair,Y,true,+407-845-220-415+
M-515,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,NA,Poor,Y,true,+407-585-233+
M-524,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Gaur,Poor,Y,true,+407-071-032+
M-1547,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,true,+407-321-407-845-033-705-235+
-:5587.1,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Buff,Fair,Y,true,+407-032-520-095-585-017-231+
M-1517,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Tigr,Fair,Y,true,+407-061-845-240-798+
M-577,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Othr,Poor,Y,true,+617-142-597-032-905/407-004-002-365-460-495+
M-603,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Poor,Y,true,+740-900-850-407-845-806+
M-981,Lower Indus,Mohenjo-daro,SEAL:S,NA,square,Bull1:W,Poor,Y,false,+617-142-001-407-371+
M-1262,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Good,Y,true,+407-004-001-745-561-586+
M-1295,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,+407-845-220-415-798-000[
M-1296,Lower Indus,Mohenjo-daro,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,+407-370[
M-1301,Lower Indus,Mohenjo-daro,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,+740-407-590-000[
M-1308,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Good,Y,true,+740-032-055-001-407-004+
M-1310,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,+407-004-001-740-407-590-235+
M-1314,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Good,Y,true,+407-016-001-740-923+
M-1325,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Good,N,true,+407-063-444-388-231-000[
M-1330,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,+407-845-220[
M-1337,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,NA,Good,?,true,+407-063-740[
M-1344,Lower Indus,Mohenjo-daro,SEAL:R,Steatite,rectangular,NA,Good,?,true,+740-407-220[
M-1458,Lower Indus,Mohenjo-daro,TAB:C,Copper,square,NA,Poor,Y,true,+407-004-001-617-142+
M-1532,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Othr,Poor,Y,true,+407-004-002-365-460-495+
-:3881.1,Iranian Plateau,Susa,SEAL:C,NA,circular,Gaur,Poor,N,false,+700-604-407-090-365-000+
M-2048,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,Gaur,Poor,N,true,+407-061-845-000-000+
M-2055,Lower Indus,Mohenjo-daro,TAB:C,Copper,rectangular,NA,Good,Y,true,+002-407-125-590-831+
H-1444,Inter-Riverine,Harappa,POT:T:g,Clay,NA,NA,Fair,N,false,]000-407[
-:4284.1,Gujarat/Kutch,Dholavira,SEAL:R,NA,rectangular,NA,Fair,Y,true,+590-407-790-001-746+
Ns-60,Lower Indus,Nausharo,SEAL:R,Steatite,rectangular,NA,Fine,Y,true,+407-063-740-176-236-798-002-297-350-125-413+
