checked_date,x,polarity,x_count,x_terminal_rate,global_terminal_rate,terminal_delta,nonterminal_count,nonterminal_next1,nonterminal_tail_entropy,unique_heads,heads,sites,types,sample_objects
2026-05-31,861,open_operator,3,0.333,0.636,-0.303,2,031:1;590:1,1.000,3,000:1;003:1;368:1,Harappa:2;Kalibangan:1,SEAL:S:2;POT:T:g:1,-:543.1;H-486;K-10
2026-05-31,065,open_operator,3,0.000,0.067,-0.067,3,132:1;215:1;440:1,1.585,1,220:3,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,K-25;M-46;M-140
2026-05-31,035,open_operator,3,0.333,0.324,0.009,2,171:2,0.000,1,130:3,Mohenjo-daro:2;Lothal:1,SEAL:S:3,L-12;M-699;M-1112
2026-05-31,906,open_operator,3,0.333,0.313,0.021,2,000:1;329:1,1.000,3,368:1;595:1;820:1,Mohenjo-daro:3,SEAL:S:3,M-36;M-809;M-1178
2026-05-31,460,open_operator,3,0.000,0.077,-0.077,3,495:2;032:1,0.918,2,365:2;298:1,Mohenjo-daro:3,TAB:C:2;SEAL:S:1,M-577;M-683;M-1532
2026-05-31,090,open_operator,3,0.333,0.133,0.200,2,370:1;725:1,1.000,2,000:2;817:1,Mohenjo-daro:2;Unknown:1,SEAL:S:2;SEAL:C:1,M-644;M-902;-:5226.1
2026-05-31,000,terminal_booster,27,0.889,0.437,0.452,3,000:1;002:1;033:1,1.585,18,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,SEAL:S:15;POT:T:g:4;TAG:2;MISC:1;POT:T:p:1;POT:T:s:1;SEAL:1;TAB:B:1;TAB:I:1,Ad-8;H-1038;H-2338;-:617.1;H-78;H-461;H-593;H-609;H-909;K-44;M-1787;M-1884
2026-05-31,031,terminal_booster,8,0.875,0.364,0.511,1,319:1,0.000,7,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,SEAL:S:4;SEAL:R:2;POT:T:g:1;SEAL:CY:1,L-4;M-2005;M-358;M-706;M-756;M-948;M-1284;-:3882.1
2026-05-31,416,terminal_booster,7,1.000,0.614,0.386,0,,0.000,2,861:6;297:1,Harappa:6;Mohenjo-daro:1,TAB:I:6;SEAL:S:1,H-2094;H-2097;H-2095;-:621.1;H-2096;H-910;M-114
2026-05-31,575,terminal_booster,6,0.833,0.321,0.512,1,794:1,0.000,5,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,SEAL:S:4;SEAL:R:2,H-131;K-24;M-318;M-665;-:4203.1;-:5579.1
2026-05-31,317,terminal_booster,5,0.800,0.308,0.492,1,688:1,0.000,3,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,SEAL:S:3;SEAL:CY:1;TAG:1,C-3;L-190;M-44;M-308;-:5468.1
2026-05-31,705,terminal_booster,5,0.800,0.269,0.531,1,125:1,0.000,4,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,SEAL:S:5,H-468;M-1668;M-1155;M-1825;-:4237.1
2026-05-31,741,terminal_booster,4,1.000,0.116,0.884,0,,0.000,2,298:2;820:2,Mohenjo-daro:2;Chanhu-daro:1;Unknown:1,SEAL:S:4,C-5;M-160;M-1119;-:5572.1
2026-05-31,491,terminal_booster,4,1.000,0.778,0.222,0,,0.000,3,920:2;285:1;850:1,Harappa:2;Kalibangan:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:2,H-2016;H-811;K-28;M-325
2026-05-31,095,terminal_booster,3,1.000,0.267,0.733,0,,0.000,2,390:2;812:1,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:1,H-1993;L-1;M-71
2026-05-31,260,terminal_booster,3,1.000,0.625,0.375,0,,0.000,2,368:2;940:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,H-600;M-1789;M-107
2026-05-31,820,terminal_booster,3,1.000,0.758,0.242,0,,0.000,3,031:1;060:1;717:1,Mohenjo-daro:2;Kalibangan:1,POT:T:g:1;SEAL:C:1;SEAL:S:1,M-1667;M-1369;K-429
2026-05-31,140,terminal_booster,3,1.000,0.418,0.582,0,,0.000,3,287:1;390:1;906:1,Mohenjo-daro:3,SEAL:S:3,M-24;M-109;M-708
2026-05-31,165,terminal_booster,3,1.000,0.194,0.806,0,,0.000,3,031:1;111:1;368:1,Mohenjo-daro:3,SEAL:S:3,M-95;M-211;M-311
2026-05-31,603,terminal_booster,3,1.000,0.429,0.571,0,,0.000,1,861:3,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,M-240;M-714;M-1273
