scope,y_after_002,y_class,tail_next1,rows
all_002_strict_dedup,207,other,550,1
all_002_strict_dedup,233,other,235,1
all_002_strict_dedup,257,other,898,1
all_002_strict_dedup,267,other,455,1
all_002_strict_dedup,269,other,892,1
all_002_strict_dedup,278,other,595,1
all_002_strict_dedup,285,other,491,1
all_002_strict_dedup,286,other,220,1
all_002_strict_dedup,287,other,140,1
all_002_strict_dedup,291,other,690,1
all_002_strict_dedup,293,other,360,1
all_002_strict_dedup,295,other,502,1
all_002_strict_dedup,299,other,530,1
all_002_strict_dedup,300,branch_head,350,1
all_002_strict_dedup,305,other,032,1
all_002_strict_dedup,308,other,072,1
all_002_strict_dedup,315,other,850,1
all_002_strict_dedup,320,other,705,1
all_002_strict_dedup,360,other,832,1
all_002_strict_dedup,392,other,590,1
all_002_strict_dedup,400,other,703,1
all_002_strict_dedup,407,other,125,1
all_002_strict_dedup,413,other,368,1
all_002_strict_dedup,435,other,255,1
all_002_strict_dedup,504,other,717,1
all_002_strict_dedup,527,other,475,1
all_002_strict_dedup,540,other,590,1
all_002_strict_dedup,550,other,615,1
all_002_strict_dedup,564,other,617,1
all_002_strict_dedup,575,other,031,1
all_002_strict_dedup,590,other,455,1
all_002_strict_dedup,611,other,615,1
all_002_strict_dedup,617,other,070,1
all_002_strict_dedup,629,other,279,1
all_002_strict_dedup,702,other,503,1
all_002_strict_dedup,717,other,820,1
all_002_strict_dedup,727,other,317,1
all_002_strict_dedup,762,other,463,1
all_002_strict_dedup,790,other,290,1
all_002_strict_dedup,862,other,032,1
all_002_strict_dedup,892,other,740,1
all_002_strict_dedup,944,other,920,1
after_032_strict_dedup,390,branch_head,692,1
after_032_strict_dedup,390,branch_head,590,1
after_032_strict_dedup,861,leaky_closure,255,1
after_032_strict_dedup,861,leaky_closure,603,1
after_032_strict_dedup,168,other,032,1
after_032_strict_dedup,252,other,840,1
after_032_strict_dedup,300,branch_head,350,1
after_032_strict_dedup,368,branch_head,906,1
after_032_strict_dedup,690,other,921,1
after_032_strict_dedup,717,other,820,1
after_032_strict_dedup,820,leaky_closure,001,1
after_032_strict_dedup,892,other,740,1
after_032_strict_dedup,900,branch_head,285,1
