id,cisi,site,region,type,material,shape,symbol,cult,condition,complete,dir,class,text,token_index_032,prev3_frame,prev2,prev1,y_after_002,next_after_y,y_terminal,frame_kind,strict_complete_closed,text_dedup_key
2549.1,M-21,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Good,Y,R/L,LP,+350-001-740-362-692-032-002-861+,5,740-362-692,362,692,861,<END>,true,outside_032,true,350 001 740 362 692 032 002 861
2564.1,M-36,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,SAN,Good,Y,R/L,LP,+740-794-630-220-032-002-368-906-329+,4,794-630-220,630,220,368,906,false,non240_a_220_032,true,740 794 630 220 032 002 368 906 329
2577.1,M-49,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,Y,R/L,LP,+527-550-240-220-032-002-300-350-032-190+,4,550-240-220,240,220,300,350,false,target_240_220_032,true,527 550 240 220 032 002 300 350 032 190
2598.1,M-70,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,SAF,Poor,Y,R/L,IM,+226-032-002-390-692+,1,226,<START>,226,390,692,false,outside_032,true,226 032 002 390 692
2618.1,M-91,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,SAN,Good,Y,R/L,LP,+740-100-798-220-032-002-861-255-416+,4,100-798-220,798,220,861,255,false,non240_a_220_032,true,740 100 798 220 032 002 861 255 416
2657.1,M-130,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,SAN,Good,Y,R/L,SP,+740-094-220-032-002-144+,3,740-094-220,094,220,144,<END>,true,non240_a_220_032,true,740 094 220 032 002 144
2670.1,M-143,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,RAF,Good,Y,R/L,IT,+740-205-032-002-252-840+,2,740-205,740,205,252,840,false,outside_032,true,740 205 032 002 252 840
2699.1,M-174,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:T,SAN,Poor,Y,R/L,SP,+740-923-220-032-002-820+,3,740-923-220,923,220,820,<END>,true,non240_a_220_032,true,740 923 220 032 002 820
2745.1,M-221,Mohenjo-daro,Lower Indus,SEAL:S,-,square,Bull1:I,SAN,Poor,Y,R/L,LP,+740-760-335-220-032-002-820+,4,760-335-220,335,220,820,<END>,true,non240_a_220_032,true,740 760 335 220 032 002 820
2763.1,M-240,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Trough,Good,Y,R/L,LP,+520-240-220-032-002-861-603+,3,520-240-220,240,220,861,603,false,target_240_220_032,true,520 240 220 032 002 861 603
2863.1,M-367,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,None,None,Poor,N,R/L,??,+001-226-032-002-454+,2,001-226,001,226,454,<END>,true,outside_032,false,001 226 032 002 454
2871.1,M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,None,None,Good,Y,R/L,LP,+740-100-233-220-032-002-820+,4,100-233-220,233,220,820,<END>,true,non240_a_220_032,true,740 100 233 220 032 002 820
3085.1,M-636,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,SAN,Poor,N,R/L,??,+527-555-235-220-032-002-000-216+,4,555-235-220,235,220,000,216,false,non240_a_220_032,false,527 555 235 220 032 002 000 216
3144.1,M-720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,N,R/L,??,+000-740-923-220-032-002-817+,4,740-923-220,923,220,817,<END>,true,non240_a_220_032,false,000 740 923 220 032 002 817
3146.1,M-722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Poor,Y,R/L,LP,+740-585-240-220-032-002-817+,4,585-240-220,240,220,817,<END>,true,target_240_220_032,true,740 585 240 220 032 002 817
3147.1,M-723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,-,Fair,Y,R/L,LP,+740-460-510-235-220-032-002-861+,5,510-235-220,235,220,861,<END>,true,non240_a_220_032,true,740 460 510 235 220 032 002 861
3335.1,-,Unknown,Other,SEAL:S,-,square,Bull1:J,RAF,Good,Y,R/L,MS,+740-205-032-002-390-590-032+,2,740-205,740,205,390,590,false,outside_032,true,740 205 032 002 390 590 032
3421.1,M-1044,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,-,Poor,Y,R/L,SP,+520-220-032-002-861+,2,520-220,520,220,861,<END>,true,non240_a_220_032,true,520 220 032 002 861
3422.1,M-1045,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,-,-,Poor,N,R/L,??,+740-100-415-070-032-002-820-000+,4,100-415-070,415,070,820,000,false,outside_032,false,740 100 415 070 032 002 820 000
3519.1,M-1159,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,None,Good,Y,R/L,SP,+232-220-032-002-168-032+,2,232-220,232,220,168,032,false,non240_a_220_032,true,232 220 032 002 168 032
3657.1,M-1358,Mohenjo-daro,Lower Indus,SEAL:R,-,cuboid,None,None,Poor,Y,R/L,SC,+032-002-900-285+,0,,<START>,<START>,900,285,false,outside_032,true,032 002 900 285
3681.1,M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,-,Poor,Y,R/L,SP,+740-760-032-002-817+,2,740-760,740,760,817,<END>,true,outside_032,true,740 760 032 002 817
3681.2,M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,-,Poor,?,R/L,UC,+740-760-032-002-817[,2,740-760,740,760,817,<END>,true,outside_032,false,740 760 032 002 817
3681.3,M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,-,Poor,Y,R/L,SP,+740-760-032-002-817+,2,740-760,740,760,817,<END>,true,outside_032,true,740 760 032 002 817
3922.1,H-1037,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,SAN,Fair,N,R/L,??,+740-904-032-002-000+,2,740-904,740,904,000,<END>,true,outside_032,false,740 904 032 002 000
3989.1,M-1788,Mohenjo-daro,Lower Indus,SEAL:S,-,square,Bull1:I,RAN,Fair,N,R/L,??,+000-220-032-002-817+,2,000-220,000,220,817,<END>,true,non240_a_220_032,false,000 220 032 002 817
5273.1,K-145,Kalibangan,Inter-Riverine,SEAL:S,-,square,Bull1:J,SAF,Good,Y,R/L,LP,+740-585-231-220-032-002-820+,4,585-231-220,231,220,820,<END>,true,non240_a_220_032,true,740 585 231 220 032 002 820
