checked_date,object,row_id,site,type,shape,material,sign,left_2,left_1,right_1,terminal,tail_after_sign,in_002_xslot,text
2026-05-31,H-1832,415.2,Harappa,TAB:B,rectangular,Faience,590,352,892,740,false,740 176,false,+400-297-352-892-590-740-176+
2026-05-31,H-237,1263.1,Harappa,TAB:B,fish,-,692,240,060,<END>,true,<END>,false,+740-642-240-060-692+
2026-05-31,H-1725,431.1,Harappa,TAG:P,circular,Clay,590,<START>,000,832,false,832 741 003,false,]000-590-832-741-003+
2026-05-31,H-2128,589.1,Harappa,TAB:I,rectangular,Steatite,590,<START>,455,142,false,142 220,false,+455-590-142-220+
2026-05-31,H-1114,3960.1,Harappa,TAB:B,rectangular,-,590,740,405,235,false,235 806,false,+400-740-405-590-235-806+
2026-05-31,H-1692,537.1,Harappa,SEAL:S,square,Steatite,590,740,390,002,false,002 861,false,+740-390-590-002-861+
2026-05-31,H-1834,559.2,Harappa,TAB:B,rectangular,Faience,590,350,892,<END>,true,<END>,false,+298-350-892-590+
2026-05-31,H-1803,562.2,Harappa,TAB:B,-,Faience,590,<START>,<START>,000,false,000,false,]590-000[
2026-05-31,H-898,1780.1,Harappa,TAB:I,rectangular,Steatite,590,<START>,<START>,<END>,true,<END>,false,]590+
2026-05-31,H-2193,632.1,Harappa,TAB:I,triangular,Steatite,590,<START>,<START>,032,false,032 220,false,+590-032-220+
2026-05-31,H-1801,629.1,Harappa,TAB:B,rectangular,Faience,590,740,390,741,false,741,false,+740-390-590-741[
2026-05-31,H-2007,661.2,Harappa,TAB:B,twisted rectangular,Clay,590,000,705,<END>,true,<END>,false,+000-705-590+
2026-05-31,H-1975,664.1,Harappa,TAB:B,rectangular,Clay,692,061,060,<END>,true,<END>,false,+740-760-061-060-692+
2026-05-31,H-2129,674.2,Harappa,TAB:I,rectangular,Steatite,590,<START>,000,231,false,231,false,]000-590-231+
2026-05-31,H-2150,770.1,Harappa,TAB:I,rectangular,Steatite,590,<START>,<START>,032,false,032 000,false,+590-032-000[
2026-05-31,H-2065,799.2,Harappa,TAB:I,rectangular,Steatite,590,<START>,240,<END>,true,<END>,false,]240-590+
2026-05-31,M-1854,2340.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,892,<END>,true,<END>,false,+892-590+
2026-05-31,H-941,1821.1,Harappa,TAB:I,rectangular,Steatite,590,<START>,<START>,032,false,032 645 003,false,+590-032-645-003+
2026-05-31,H-2067,872.2,Harappa,TAB:I,rectangular,Steatite,590,<START>,706,<END>,true,<END>,false,]706-590+
2026-05-31,H-2135,894.1,Harappa,TAB:I,rectangular,Steatite,692,318,700,<END>,true,<END>,false,+740-920-318-700-692+
2026-05-31,H-2019,904.2,Harappa,TAB:B,prism,Clay,590,<START>,690,032,false,032 220,false,+690-590-032-220+
2026-05-31,H-1705,939.1,Harappa,SEAL:R,rectangular,Steatite,692,798,060,<END>,true,<END>,false,+740-904-231-240-798-060-692+
2026-05-31,H-1726,1007.1,Harappa,POT:T:s,rectangular,Clay,692,740,100,491,false,491 002 817,false,+740-100-692-491-002-817+
2026-05-31,H-1657,1020.1,Harappa,SEAL:S,square,Steatite,590,740,405,032,false,032 900 003 806 235 220 032 002 690 921,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,H-734,1633.1,Harappa,TAB:B,cylindrical,-,590,740,390,240,false,240,false,+740-390-590-240+
2026-05-31,H-1,1062.1,Harappa,SEAL:S,square,Steatite,692,595,575,<END>,true,<END>,false,+820-595-575-692+
2026-05-31,H-7,1068.1,Harappa,SEAL:S,square,Steatite,692,920,440,001,false,001 542 250,false,+920-440-692-001-542-250+
2026-05-31,H-8,1069.1,Harappa,SEAL:S,square,Steatite,590,740,405,033,false,033 706 002 690 921,false,+354-001-740-405-590-033-706-002-690-921+
2026-05-31,H-39,1098.1,Harappa,SEAL:S,square,Steatite,590,740,390,231,false,231 240 235 745 060 920,false,+740-390-590-231-240-235-745-060-920+
2026-05-31,H-50,1109.1,Harappa,SEAL:S,square,Steatite,590,740,406,741,false,741 406 125,false,+740-406-590-741-406-125+
2026-05-31,H-52,1111.1,Harappa,SEAL:S,square,Steatite,590,740,390,125,false,125 741 000 000,false,+740-390-590-125-741-000-000+
2026-05-31,H-56,1115.1,Harappa,SEAL:S,square,Steatite,692,176,060,<END>,true,<END>,false,+740-176-060-692+
2026-05-31,H-816,1705.1,Harappa,TAB:B,hexagonal,Faience,590,740,390,<END>,true,<END>,false,+400-740-390-590+
2026-05-31,H-83,1140.1,Harappa,SEAL:S,square,Steatite,692,000,000,<END>,true,<END>,false,]000-000-692+
2026-05-31,H-91,1147.1,Harappa,SEAL:S,square,Steatite,692,253,060,<END>,true,<END>,false,+520-070-253-060-692+
2026-05-31,H-133,1174.1,Harappa,SEAL:R,cuboid-convex,Steatite,692,798,060,<END>,true,<END>,false,+740-554-220-415-798-060-692+
2026-05-31,H-134,1175.1,Harappa,SEAL:R,cuboid-convex,Steatite,590,740,405,220,false,220 003 002 861,false,+740-405-590-220-003-002-861+
2026-05-31,H-142,1183.1,Harappa,SEAL:R,cuboid-convex,Steatite,692,832,060,<END>,true,<END>,false,+740-267-811-832-060-692+
2026-05-31,H-158,1199.1,Harappa,SEAL:R,cuboid-convex,Steatite,590,740,405,<END>,true,<END>,false,+154-806-472-001-740-405-590+
2026-05-31,H-180,1214.2,Harappa,TAB:B,rectangular,Clay,590,151,390,741,false,741 330 368,false,+151-390-590-741-330-368+
2026-05-31,H-196,1227.1,Harappa,TAB:B,cylindrical,Faience,590,<START>,407,740,false,740 072,false,+407-590-740-072+
2026-05-31,H-755,1648.1,Harappa,TAB:B,rectangular,-,590,740,405,<END>,true,<END>,false,+400-740-405-590[
2026-05-31,H-267,1292.1,Harappa,SEAL:S,square,Steatite,692,000,368,<END>,true,<END>,false,]000-368-692+
2026-05-31,H-823,1712.2,Harappa,TAB:B,rectangular,-,692,240,060,<END>,true,<END>,false,+740-636-240-060-692+
2026-05-31,H-363,1382.3,Harappa,TAB:I,rectangular,-,692,<START>,<START>,892,false,892,false,+692-892+
2026-05-31,H-365,1384.1,Harappa,TAB:I,rectangular,Steatite,590,740,000,031,false,031,false,+740-000-740-000-590-031+
2026-05-31,H-389,1402.1,Harappa,SEAL:S,square,-,590,740,405,235,false,235 002 031 480 625,false,+740-405-590-235-002-031-480-625+
2026-05-31,H-449,1439.1,Harappa,SEAL:S,square,Steatite,590,740,390,240,false,240 741 390 728,false,+740-390-590-240-741-390-728+
2026-05-31,H-454,1444.1,Harappa,SEAL:S,square,Steatite,590,740,390,742,false,742 700,false,+740-390-590-742-700+
2026-05-31,H-464,1452.1,Harappa,SEAL:S,square,Steatite,590,002,798,032,false,032,true,+000-176-002-798-590-032+
2026-05-31,H-466,1454.1,Harappa,SEAL:S,square,Steatite,590,740,390,233,false,233 231 741 000,false,+740-390-590-233-231-741-000+
2026-05-31,H-479,1467.1,Harappa,SEAL:S,square,Steatite,590,740,405,790,false,790,false,+740-405-590-790+
2026-05-31,H-510,1487.1,Harappa,SEAL:S,square,Steatite,590,740,390,060,false,060 795,false,+740-390-590-060-795+
2026-05-31,H-515,1492.1,Harappa,SEAL:S,square,Steatite,590,350,741,032,false,032,false,+740-798-463-350-741-590-032+
2026-05-31,H-595,1538.1,Harappa,SEAL:S,square,Steatite,590,717,741,000,false,000,false,+151-717-741-590-000[
2026-05-31,H-597,1540.2,Harappa,SEAL:S,square,Steatite,590,740,390,070,false,070 032 002 861,false,+740-390-590-070-032-002-861+
2026-05-31,H-611,1551.1,Harappa,SEAL:S,square,Steatite,590,002,125,<END>,true,<END>,true,+527-550-002-125-590+
2026-05-31,H-612,1552.2,Harappa,SEAL:S,square,Steatite,590,740,892,893,false,893 001 615,false,+740-892-590-893-001-615+
2026-05-31,H-646,1561.1,Harappa,SEAL:R,rectangular,-,692,033,060,<END>,true,<END>,false,+000-033-033-060-692+
2026-05-31,-:1576.1,1576.1,Dholavira,SEAL:S,square,Steatite,590,<START>,740,017,false,017,false,+740-590-017+
2026-05-31,H-665,1580.1,Harappa,SEAL:R,rectangular,-,692,004,060,<END>,true,<END>,false,+407-004-060-692+
2026-05-31,H-682,1589.1,Harappa,SEAL:R,cuboid-convex,-,590,<START>,706,892,false,892 317 625,false,]706-590-892-317-625+
2026-05-31,H-695,1600.1,Harappa,TAB:B,square,-,590,740,390,235,false,235 368 806,false,+740-390-590-235-368-806+
2026-05-31,H-800,1691.1,Harappa,TAB:B,plano-convex,Faience,692,740,337,490,false,490,false,+740-337-692-490+
2026-05-31,H-822,1711.2,Harappa,TAB:B,fish,-,692,240,001,<END>,true,<END>,false,+740-642-240-001-692+
2026-05-31,H-824,1714.1,Harappa,TAB:B,oval,-,692,240,060,<END>,true,<END>,false,]240-060-692+
2026-05-31,H-1107,3967.1,Harappa,TAB:B,cylindrical,-,590,740,390,235,false,235,false,+740-390-590-235+
2026-05-31,H-878,1761.1,Harappa,TAB:B,cylindrical,Clay,692,<START>,705,<END>,true,<END>,false,]705-692[
2026-05-31,H-891,1773.2,Harappa,TAB:I,rectangular,Steatite,590,400,740,017,false,017 000,false,+400-740-590-017-000+
2026-05-31,H-918,1798.1,Harappa,TAB:I,rectangular,Steatite,692,<START>,<START>,687,false,687,false,+692-687+
2026-05-31,H-951,1831.1,Harappa,TAB:I,rectangular,Steatite,590,134,368,<END>,true,<END>,false,+388-134-368-590+
2026-05-31,M-1452,3730.2,Mohenjo-daro,TAB:C,square,Copper,590,740,407,<END>,true,<END>,false,+740-407-590+
2026-05-31,K-10,1885.1,Kalibangan,SEAL:S,square,Steatite,590,368,861,032,false,032 368,false,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,K-39,1907.1,Kalibangan,SEAL:S,square,Terracotta,590,<START>,<START>,390,false,390,false,+590-390+
2026-05-31,K-98,1952.1,Kalibangan,POT:T:g,-,-,590,740,411,<END>,true,<END>,false,+400-740-411-590[
2026-05-31,-:1971.1,1971.1,Kish,SEAL:S,square,-,590,740,390,220,false,220 003 060 840 416,false,+740-390-590-220-003-060-840-416+
2026-05-31,Lh-1,1981.1,Lohumjo-daro,SEAL:S,square,-,590,002,392,125,false,125,true,+740-760-615-104-717-235-002-392-590-125+
2026-05-31,L-5,1987.1,Lothal,SEAL:S,square,Steatite,692,002,455,416,false,416,true,+740-760-552/000-002-455-692-416+
2026-05-31,L-11,1990.1,Lothal,SEAL:S,square,Steatite,590,<START>,<START>,705,false,705 435 255 778 002 817,false,+590-705-435-255-778-002-817+
2026-05-31,L-28,2005.1,Lothal,SEAL:S,square,Steatite,590,740,406,741,false,741 060 920,false,+740-406-590-741-060-920+
2026-05-31,L-43,2015.1,Lothal,SEAL:S,square,Steatite,590,<START>,151,390,false,390,false,+151-590-390+
2026-05-31,L-96,2050.1,Lothal,SEAL:R,rectangular,Clay,692,400,000,<END>,true,<END>,false,+400-000-692+
2026-05-31,L-112,2061.1,Lothal,SEAL:R,rectangular,Clay,590,002,540,<END>,true,<END>,true,+740-760-605-002-540-590+
2026-05-31,L-114,2063.1,Lothal,SEAL:R,rectangular,Steatite,590,740,407,904,false,904 220 032 803 060 920,false,+740-407-590-904-220-032-803-060-920+
2026-05-31,L-139,2081.1,Lothal,TAG,-,Clay,590,<START>,390,032,false,032 002 880,false,]390-590-032-002-880[
2026-05-31,L-142,2084.1,Lothal,TAG:P,square,Clay,692,001,031,<END>,true,<END>,false,+140-015-001-031-692+
2026-05-31,L-196,2116.1,Lothal,TAG,-,Clay,590,<START>,390,032,false,032 002 000,false,]390-590-032-002-000[
2026-05-31,L-198,2118.2,Lothal,TAG,-,Clay,590,740,390,032,false,032 002 000,false,+740-390-590-032-002-000[
2026-05-31,L-202,2122.1,Lothal,TAG,-,Clay,590,000,390,220,false,220,false,]000-390-590-220[
2026-05-31,L-218,2134.1,Lothal,TAG:P,-,Clay,590,<START>,317,111,false,111,false,+317-590-111+
2026-05-31,-:2172.1,2172.1,Mohenjo-daro,BNGL,-,Stoneware,590,<START>,<START>,252,false,252,false,+590-252+
2026-05-31,M-682,2214.1,Mohenjo-daro,SEAL:S,square,Steatite,692,803,060,740,false,740 690 435 255 060 692,false,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-682,2214.1,Mohenjo-daro,SEAL:S,square,Steatite,692,255,060,<END>,true,<END>,false,+000-000-000-000-000-000/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-1683,2218.1,Mohenjo-daro,SEAL:S,square,Steatite,692,467,001,<END>,true,<END>,false,+155-806-467-001-692+
2026-05-31,M-1688,2231.1,Mohenjo-daro,SEAL:S,square,Steatite,590,455,033,<END>,true,<END>,false,+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,M-1761,2304.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,820,<END>,true,<END>,false,+820-590+
2026-05-31,M-1900,2312.1,Mohenjo-daro,SEAL:S,square,Steatite,590,240,741,575,false,575,false,+520-240-741-590-575+
2026-05-31,M-1922,2327.1,Mohenjo-daro,SEAL:S,square,Faience,590,740,405,<END>,true,<END>,false,+740-405-590+
2026-05-31,-:2334.1,2334.1,Mohenjo-daro,BNGL,-,Stoneware,590,<START>,<START>,906,false,906,false,+590-906+
2026-05-31,M-1902,2344.1,Mohenjo-daro,SEAL:S,square,Steatite,590,151,390,741,false,741 060 920,false,+151-390-590-741-060-920+
2026-05-31,M-1416,3704.1,Mohenjo-daro,TAB:B,rectangular,Faience,590,240,235,645,false,645 104,false,+090-740-240-235-590-645-104+
2026-05-31,M-1715,2385.1,Mohenjo-daro,SEAL:S,square,Steatite,692,705,060,<END>,true,<END>,false,+740-923-033-705-060-692+
2026-05-31,M-1901,2402.1,Mohenjo-daro,SEAL:S,square,Steatite,692,002,252,<END>,true,<END>,true,+151-061/156-002-252-692+
2026-05-31,M-433,2927.1,Mohenjo-daro,TAB:B,circular,-,590,740,390,033,false,033 705 000,false,+740-390-590-033-705-000+
2026-05-31,M-1954,2422.1,Mohenjo-daro,SEAL:R,rectangular,Steatite,590,740,407,031,false,031 752 033 705 220 415 798 002 861,false,+740-407-590-031-752-033-705-220-415-798-002-861+
2026-05-31,M-1738,2428.1,Mohenjo-daro,SEAL:S,square,Steatite,692,235,060,<END>,true,<END>,false,+226-240-235-060-692+
2026-05-31,M-1739,2448.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,032,false,032 060 201,false,+740-390-590-032-060-201+
2026-05-31,M-1747,2455.1,Mohenjo-daro,SEAL:S,square,Steatite,692,031,060,<END>,true,<END>,false,+165-741-031-060-692+
2026-05-31,-:2489.1,2489.1,Dholavira,SEAL:S,square,Steatite,590,740,390,002,false,002 817,false,+740-390-590-002-817+
2026-05-31,M-5,2534.1,Mohenjo-daro,SEAL:S,square,Steatite,692,235,060,<END>,true,<END>,false,+740-773-240-235-060-692+
2026-05-31,M-12,2540.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,233,false,233 002 368 202 892 371,false,+740-390-590-233-002-368-202-892-371+
2026-05-31,M-21,2549.1,Mohenjo-daro,SEAL:S,square,Steatite,692,740,362,032,false,032 002 861,false,+350-001-740-362-692-032-002-861+
2026-05-31,M-23,2551.1,Mohenjo-daro,SEAL:S,square,Steatite,692,482,060,520,false,520 220 235 001 920,false,+842-871-192-368/740-482-060-692-520-220-235-001-920+
2026-05-31,M-26,2554.1,Mohenjo-daro,SEAL:S,square,Steatite,692,531,060,<END>,true,<END>,false,+090-740-531-060-692+
2026-05-31,M-35,2563.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,233,false,233 231 002 107,false,+740-390-590-233-231-002-107+
2026-05-31,M-55,2583.1,Mohenjo-daro,SEAL:S,square,Steatite,692,510,001,<END>,true,<END>,false,+000-760-463-510-001-692+
2026-05-31,M-66,2594.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,235,false,235 002 374 309 350,false,+740-390-590-235-002-374-309-350+
2026-05-31,M-69,2597.1,Mohenjo-daro,SEAL:S,square,Steatite,692,231,060,<END>,true,<END>,false,+740-803-231-060-692+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,Steatite,692,002,390,<END>,true,<END>,true,+226-032-002-390-692+
2026-05-31,M-94,2621.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,220,false,220 003,false,+740-390-590-220-003+
2026-05-31,M-126,2653.1,Mohenjo-daro,SEAL:S,square,Steatite,692,552,060,<END>,true,<END>,false,+520-552-060-692+
2026-05-31,M-131,2658.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,741,false,741 390 790,false,+740-390-590-741-390-790+
2026-05-31,M-134,2661.1,Mohenjo-daro,SEAL:S,square,Steatite,692,872,032,<END>,true,<END>,false,+872-032-692+
2026-05-31,M-146,2673.1,Mohenjo-daro,SEAL:S,square,Steatite,692,920,060,<END>,true,<END>,false,+740-255-920-060-692+
2026-05-31,M-171,2696.1,Mohenjo-daro,SEAL:S,square,Steatite,692,806,060,<END>,true,<END>,false,+407-061-740-923-233-806-060-692+
2026-05-31,M-195,2720.1,Mohenjo-daro,SEAL:S,square,Steatite,590,298,350,032,false,032 900 853,false,+298-350-590-032-900-853+
2026-05-31,M-203,2728.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,741,false,741 081 220,false,+740-390-590-741-081-220+
2026-05-31,M-220,2744.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,000,165,false,165 741 545,false,+000-590-165-741-545+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,Steatite,707,002,390,<END>,true,<END>,true,+236-002-390-707+
2026-05-31,M-234,2757.1,Mohenjo-daro,SEAL:S,square,Steatite,692,482,060,520,false,520 220 235 001 920,false,+842-535-099-004/740-482-060-692-520-220-235-001-920+
2026-05-31,M-243,2766.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,892,894,false,894 140 545,false,+892-590-894-140-545+
2026-05-31,M-248,2771.1,Mohenjo-daro,SEAL:S,square,Steatite,590,002,705,<END>,true,<END>,true,+740-100-415-002-705-590+
2026-05-31,M-291,2811.1,Mohenjo-daro,SEAL:S,square,Steatite,692,740,890,<END>,true,<END>,false,+740-890-692+
2026-05-31,M-300,2819.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,001,false,001 060 820,false,+740-390-590-001/060-820+
2026-05-31,M-1331,3636.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,590,<START>,000,233,false,233,false,]000-590-233+
2026-05-31,M-317,2835.1,Mohenjo-daro,SEAL:S,square,Steatite,692,255,060,401,false,401 920,false,+255-060-692-401-920+
2026-05-31,M-359,2855.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,590,740,405,220,false,220 235 803 002 388 385 705 632,false,+740-405-590-220-235-803-002-388-385-705-632+
2026-05-31,M-378,2874.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,590,746,740,<END>,true,<END>,false,+407-005-001-746-740-590+
2026-05-31,M-392,2888.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,590,740,405,220,false,220 032 806,false,+740-405-590-220-032-806+
2026-05-31,M-421,2915.1,Mohenjo-daro,POT:T:s,oval,Clay,590,000,000,705,false,705,false,+000-000-590-705+
2026-05-31,M-422,2916.1,Mohenjo-daro,POT:T:s,-,Clay,692,<START>,<START>,904,false,904 000 031 000,false,+692-904-000-031-000+
2026-05-31,M-423,2917.1,Mohenjo-daro,POT:T:s,-,Clay,692,000,904,000,false,000,false,+000-000-904-692-000+
2026-05-31,M-432,2926.1,Mohenjo-daro,TAB:B,circular,Paste,590,740,390,033,false,033 705,false,+740-390-590-033-705+
2026-05-31,M-437,2929.1,Mohenjo-daro,TAG:P,square,Clay,590,740,390,002,false,002 820,false,+740-390-590-002-820+
2026-05-31,M-500,2977.1,Mohenjo-daro,SEAL:C,circular,Steatite,692,003,900,003,false,003 700,false,+400-592-140-003-900-692-003-700+
2026-05-31,M-605,3066.2,Mohenjo-daro,TAB:C,rectangular,Copper,590,740,405,220,false,220 003,false,+740-405-590-220-003+
2026-05-31,M-626,3077.1,Mohenjo-daro,SEAL:S,square,Steatite,692,803,060,740,false,740 690 435 255 060 692,false,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-626,3077.1,Mohenjo-daro,SEAL:S,square,Steatite,692,255,060,<END>,true,<END>,false,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-638,3087.1,Mohenjo-daro,SEAL:S,square,Steatite,590,745,740,<END>,true,<END>,false,+740-482-055-240-235-745-740-590+
2026-05-31,M-666,3105.1,Mohenjo-daro,SEAL:S,square,Steatite,692,231,060,<END>,true,<END>,false,+740-440-231-060-692+
2026-05-31,M-672,3111.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,405,235,false,235,false,+740-405-590-235+
2026-05-31,M-681,3117.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,405,<END>,true,<END>,false,]405-590+
2026-05-31,M-733,3157.1,Mohenjo-daro,SEAL:S,square,Steatite,590,220,892,850,false,850 032,false,+151-740-760-220/892-590-850-032+
2026-05-31,M-734,3158.1,Mohenjo-daro,SEAL:S,square,Steatite,590,368,390,<END>,true,<END>,false,+033-033-368-390-590+
2026-05-31,M-739,3163.1,Mohenjo-daro,SEAL:S,square,-,692,350,550,<END>,true,<END>,false,+090-740-100-415-002-031-350-550-692+
2026-05-31,M-746,3169.1,Mohenjo-daro,SEAL:S,square,Steatite,590,741,390,032,false,032,false,+740-440-220-032-741-390-590-032+
2026-05-31,M-751,3174.1,Mohenjo-daro,SEAL:S,square,Steatite,692,<START>,<START>,451,false,451,false,+692-451+
2026-05-31,M-813,3226.1,Mohenjo-daro,SEAL:S,square,-,590,161,390,002,false,002 861,false,+161-390-590-002-861+
2026-05-31,M-828,3240.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,<START>,165,false,165 032 840,false,+590-165-032-840+
2026-05-31,M-834,3246.1,Mohenjo-daro,SEAL:S,square,Faience,590,151,390,900,false,900 002 861,false,+151-390-590-900-002-861+
2026-05-31,M-851,3263.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,002,false,002 817,false,+621-740-390-590-002-817+
2026-05-31,M-852,3264.1,Mohenjo-daro,SEAL:S,square,Steatite,590,<START>,892,794,false,794 732 033 853,false,+892-590-794-732-033-853+
2026-05-31,M-855,3267.1,Mohenjo-daro,SEAL:S,square,Steatite,590,832,390,002,false,002 817 690 544,false,+861-260-832-390-590-002-817-690-544+
2026-05-31,M-882,3290.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,000,false,000 798 000,false,+621/740-390-590-000-798-000+
2026-05-31,M-894,3299.1,Mohenjo-daro,SEAL:S,square,Steatite,590,892,070,495,false,495 520 231 368 861,false,+892-070-590-495-520-231-368-861+
2026-05-31,M-900,3305.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,233,false,233 220 415 798 838 002 820,false,+740-390-590-233-220-415-798-838-002-820+
2026-05-31,M-933,3328.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,741,false,741 821,false,+740-390-590-741-821+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,-,590,002,390,032,false,032,true,+740-205-032-002-390-590-032+
2026-05-31,M-958,3353.1,Mohenjo-daro,SEAL:S,square,Steatite,590,900,003,<END>,true,<END>,false,+740-772-240-002-900-003-590+
2026-05-31,M-960,3355.1,Mohenjo-daro,SEAL:S,square,Steatite,590,240,740,575,false,575,false,+520-240-740-590-575+
2026-05-31,M-965,3359.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,032,false,032 741 527,false,+740-390-590-032-741-527+
2026-05-31,M-968,3361.1,Mohenjo-daro,SEAL:S,square,Steatite,590,741,390,<END>,true,<END>,false,+740-923-741-390-590+
2026-05-31,M-979,3372.1,Mohenjo-daro,SEAL:S,square,Faience,590,900,003,<END>,true,<END>,false,+740-773-240/002-900-003-590+
2026-05-31,M-997,3389.1,Mohenjo-daro,SEAL:S,square,-,590,<START>,<START>,705,false,705 575 920 140,false,+590-705-575-920-140+
2026-05-31,M-998,3390.1,Mohenjo-daro,SEAL:S,square,Steatite,590,820,390,<END>,true,<END>,false,+820-390-590+
2026-05-31,M-1017,3402.1,Mohenjo-daro,SEAL:S,square,Steatite,590,740,390,000,false,000,false,+740-390-590-000[
2026-05-31,M-1029,3411.1,Mohenjo-daro,SEAL:S,square,Steatite,590,368,374,000,false,000,false,+368-374-590-000[
