checked_date,object,site,type,shape,material,head,x,x_polarity,terminal,tail,text
2026-05-31,H-263,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-264,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-265,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-268,Harappa,SEAL:S,square,Steatite,220,455,open_operator,false,920,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,H-276,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-277,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-389,Harappa,SEAL:S,square,-,031,480,other,false,625,+740-405-590-235-002-031-480-625+
2026-05-31,H-446,Harappa,SEAL:S,square,Steatite,861,216,other,true,<END>,+740-585-798-002-861-216+
2026-05-31,H-486,Harappa,SEAL:S,square,Steatite,000,861,open_operator,false,031,]002-000-861-031+
2026-05-31,H-593,Harappa,SEAL:S,square,Steatite,220,000,terminal_booster,true,<END>,+740-760-235-240-002-220-000[
2026-05-31,H-600,Harappa,SEAL:S,square,Steatite,368,260,terminal_booster,true,<END>,+002-368-260+
2026-05-31,H-688,Harappa,SEAL,-,-,861,831,other,false,165,+520-233-002-861-831-165+
2026-05-31,H-773,Harappa,TAB:B,plano-convex,Faience,390,530,open_operator,false,741,+740-798-803-002-390-530-741+
2026-05-31,H-811,Harappa,TAB:B,twisted rectangular,Faience,920,491,terminal_booster,true,<END>,+317-740-335-740-176-002-920-491+
2026-05-31,H-859,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-860,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-861,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-862,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-863,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-864,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-865,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-866,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-867,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-868,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-869,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-870,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-909,Harappa,TAB:I,rectangular,-,820,000,terminal_booster,true,<END>,+002-820-000[
2026-05-31,H-910,Harappa,TAB:I,rectangular,Steatite,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,K-10,Kalibangan,SEAL:S,square,Steatite,368,861,open_operator,false,590 032 368,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,K-23,Kalibangan,SEAL:S,square,Steatite,820,033,other,true,<END>,+740-441-002-820-033+
2026-05-31,K-25,Kalibangan,SEAL:S,square,Steatite,220,065,open_operator,false,132 082,+520-231-002-220-065-132-082+
2026-05-31,K-40,Kalibangan,SEAL:S,square,Steatite,861,791,other,false,440 717,+760-031-002-861-791-440-717+
2026-05-31,K-44,Kalibangan,SEAL:S,square,Steatite,000,000,terminal_booster,true,<END>,+740-337-176-002-000-000[
2026-05-31,K-69,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-70,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-71,Kalibangan,TAG,-,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-72,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-73,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-74,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-75,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,L-39,Lothal,SEAL:S,square,Steatite,861,626,other,true,<END>,+520-315-002-861-626+
2026-05-31,L-46,Lothal,SEAL:S,square,Steatite,861,392,other,true,<END>,+527-388-233-740-176-002-861-392+
2026-05-31,L-190,Lothal,TAG,-,Clay,920,317,terminal_booster,true,<END>,+000-000-000-002-920-317[
2026-05-31,L-213,Lothal,TAG,-,Clay,368,840,other,false,900,]220-002-368-840-900+
2026-05-31,M-2005,Mohenjo-daro,POT:T:g,-,Clay,000,031,terminal_booster,true,<END>,+808-033-002-000-031+
2026-05-31,M-2090,Mohenjo-daro,ROD,-,Ivory,861,096,other,true,<END>,+002-861-096[
2026-05-31,M-1677,Mohenjo-daro,SEAL:S,square,Steatite,820,001,other,false,440 012,+520-382-032-002-820-001-440-012+
2026-05-31,M-1674,Mohenjo-daro,SEAL:S,square,Steatite,861,683,other,true,<END>,+090-740-222-231-002-861-683+
2026-05-31,M-1783,Mohenjo-daro,SEAL:S,square,Steatite,000,215,other,true,<END>,+520-442/425-003-002-000-215+
2026-05-31,M-2089,Mohenjo-daro,ROD,-,Ivory,861,096,other,true,<END>,+002-861-096+
2026-05-31,M-1661,Mohenjo-daro,SEAL:S,square,Steatite,861,032,other,false,520 919 140,+520-070-219-002-861-032-520-919-140+
2026-05-31,M-1789,Mohenjo-daro,SEAL:S,square,Faience,368,260,terminal_booster,true,<END>,+740-455-002-368-260+
2026-05-31,M-1681,Mohenjo-daro,SEAL:S,square,Steatite,861,832,other,true,<END>,+520-072-233-740-798-002-861-832+
2026-05-31,M-1745,Mohenjo-daro,SEAL:S,square,Steatite,031,892,other,true,<END>,+368-821-055-031-002-031-892+
2026-05-31,M-12,Mohenjo-daro,SEAL:S,square,Steatite,368,202,other,false,892 371,+740-390-590-233-002-368-202-892-371+
2026-05-31,M-20,Mohenjo-daro,SEAL:S,square,Steatite,861,036,other,false,460 513,+390-005-002-861-036-460-513+
2026-05-31,M-29,Mohenjo-daro,SEAL:S,square,Steatite,220,455,open_operator,false,503,+740-055-240-235-806-002-220-455-503+
2026-05-31,M-34,Mohenjo-daro,SEAL:S,square,Steatite,405,372,other,false,374,+740-336-176-002-405-372-374+
2026-05-31,M-36,Mohenjo-daro,SEAL:S,square,Steatite,368,906,open_operator,false,329,+740-794-630-220-032-002-368-906-329+
2026-05-31,M-38,Mohenjo-daro,SEAL:S,square,Steatite,390,125,open_operator,false,632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,Mohenjo-daro,SEAL:S,square,Steatite,405,125,open_operator,false,820,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-44,Mohenjo-daro,SEAL:S,square,Steatite,920,317,terminal_booster,true,<END>,+740-760-033-705-803-002-920-317+
2026-05-31,M-46,Mohenjo-daro,SEAL:S,square,Steatite,220,065,open_operator,false,215,+740-798-240-235-002-220-065-215+
2026-05-31,M-70,Mohenjo-daro,SEAL:S,square,Steatite,390,692,global_edge,true,<END>,+226-032-002-390-692+
2026-05-31,M-71,Mohenjo-daro,SEAL:S,square,Steatite,390,095,terminal_booster,true,<END>,+151-279-142-002-390-095+
2026-05-31,M-86,Mohenjo-daro,SEAL:S,square,Steatite,820,700,other,true,<END>,+520-033-705-231-002-820-700+
2026-05-31,M-91,Mohenjo-daro,SEAL:S,square,Steatite,861,255,other,false,416,+740-100-798-220-032-002-861-255-416+
2026-05-31,M-99,Mohenjo-daro,SEAL:S,square,Steatite,368,119,other,true,<END>,+740-215-002-368-119+
2026-05-31,M-106,Mohenjo-daro,SEAL:S,square,Steatite,000,350,other,true,<END>,+740-760-000-002-000-350+
2026-05-31,M-119,Mohenjo-daro,SEAL:S,square,Steatite,390,125,open_operator,false,632 032 900 563,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-140,Mohenjo-daro,SEAL:S,square,Faience,220,065,open_operator,false,440 455,+740-336-002-220-065-440-455+
2026-05-31,M-141,Mohenjo-daro,SEAL:S,square,Steatite,031,000,terminal_booster,true,<END>,+817-255-636/000-000-000-240-002-031-000+
2026-05-31,M-147,Mohenjo-daro,SEAL:S,square,Steatite,220,455,open_operator,false,520,+226-803-002-220-455-520+
2026-05-31,M-160,Mohenjo-daro,SEAL:S,square,Steatite,820,741,terminal_booster,true,<END>,+151-243-031-002-820-741+
2026-05-31,M-211,Mohenjo-daro,SEAL:S,square,Steatite,031,165,terminal_booster,true,<END>,+090-740-100-220-002-031-165+
2026-05-31,M-213,Mohenjo-daro,SEAL:S,square,Steatite,390,346,other,true,<END>,+740-384-002-390-346+
2026-05-31,M-232,Mohenjo-daro,SEAL:S,square,Steatite,390,707,other,true,<END>,+236-002-390-707+
2026-05-31,M-240,Mohenjo-daro,SEAL:S,square,Steatite,861,603,terminal_booster,true,<END>,+520-240-220-032-002-861-603+
2026-05-31,M-253,Mohenjo-daro,SEAL:S,square,Steatite,368,518,other,true,<END>,+527-550-803-002-368-518+
2026-05-31,M-311,Mohenjo-daro,SEAL:S,square,Steatite,368,165,terminal_booster,true,<END>,+401-002-368-165+
2026-05-31,M-318,Mohenjo-daro,SEAL:S,square,Steatite,031,575,terminal_booster,true,<END>,+390-003-002-031-575+
2026-05-31,M-329,Mohenjo-daro,SEAL:S,square,Steatite,861,698,other,true,<END>,+002-861-698+
2026-05-31,M-330,Mohenjo-daro,SEAL:S,square,Steatite,861,698,other,true,<END>,+002-861-698+
2026-05-31,M-355,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,861,360,other,false,520 919 140,+740-877-032-033-705-231-235-002-861-360-520-919-140+
2026-05-31,M-376,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,861,533,other,false,717,+740-100-176-002-861-533-717+
2026-05-31,M-391,Mohenjo-daro,SEAL:R,cuboid-convex,-,861,533,other,false,717,+405-845-686-740-793-003-233-805-002-861-533-717+
2026-05-31,M-636,Mohenjo-daro,SEAL:S,square,Steatite,000,216,other,true,<END>,+527-555-235-220-032-002-000-216+
2026-05-31,M-655,Mohenjo-daro,SEAL:S,square,Steatite,220,880,other,false,689,+740-717-233-002-220-880-689+
2026-05-31,M-677,Mohenjo-daro,SEAL:S,square,-,861,901,other,true,<END>,+740-923-070-032-033-706-231-242-002-861-901+
2026-05-31,M-678,Mohenjo-daro,SEAL:S,square,Steatite,031,502,other,true,<END>,+740-752-006-503-236-806-002-031-502+
2026-05-31,M-706,Mohenjo-daro,SEAL:S,square,Steatite,861,031,terminal_booster,true,<END>,+740-773-240-002-861-031+
2026-05-31,M-708,Mohenjo-daro,SEAL:S,square,Steatite,390,140,terminal_booster,true,<END>,+740-061-002-390-140+
2026-05-31,M-714,Mohenjo-daro,SEAL:S,square,Steatite,861,603,terminal_booster,true,<END>,+740-585-017-033-705-233-798-803-002-861-603+
2026-05-31,M-735,Mohenjo-daro,SEAL:S,square,Steatite,390,125,open_operator,false,195,+740-760-235-002-390-125-195+
2026-05-31,M-739,Mohenjo-daro,SEAL:S,square,-,031,350,other,false,550 692,+090-740-100-415-002-031-350-550-692+
2026-05-31,M-902,Mohenjo-daro,SEAL:S,square,-,000,090,open_operator,true,<END>,+740-798-002-000-090+
2026-05-31,-:3335.1,Unknown,SEAL:S,square,-,390,590,other,false,032,+740-205-032-002-390-590-032+
2026-05-31,M-1045,Mohenjo-daro,SEAL:S,square,Steatite,820,000,terminal_booster,true,<END>,+740-100-415-070-032-002-820-000+
2026-05-31,M-1119,Mohenjo-daro,SEAL:S,square,Steatite,820,741,terminal_booster,true,<END>,+740-803-002-820-741+
2026-05-31,M-1178,Mohenjo-daro,SEAL:S,square,Faience,820,906,open_operator,false,000,+002-820-906-000[
2026-05-31,M-1273,Mohenjo-daro,SEAL:R,rectangular,Steatite,861,603,terminal_booster,true,<END>,+740-055-002-861-603+
2026-05-31,M-1386,Mohenjo-daro,TAB:B,-,Clay,031,480,other,true,<END>,]000-000-335-235-002-031-480[
2026-05-31,M-1427,Mohenjo-daro,TAG:O,-,Clay,220,627,other,false,615 906 388,+484-140-002-220-627-615-906-388+
2026-05-31,Sktd-1,Surkotada,SEAL:S,square,-,390,125,open_operator,false,820,+390-004-002-390-125-820+
2026-05-31,?-3,Unknown,SEAL:S,square,-,368,590,other,false,900,+002-368-590-900+
2026-05-31,M-1698,Mohenjo-daro,SEAL:S,square,-,861,803,other,true,<END>,+740-482-033-705-002-861-803+
2026-05-31,M-1823,Mohenjo-daro,SEAL:S,square,-,031,376,other,true,<END>,+390-004-002-031-376+
2026-05-31,M-1825,Mohenjo-daro,SEAL:S,square,-,390,705,terminal_booster,true,<END>,+157-031-002-390-705+
2026-05-31,M-1995,Mohenjo-daro,SEAL,-,metal,000,000,terminal_booster,true,<END>,]000-220-832-002-000-000[
2026-05-31,-:4164.1,Dholavira,SEAL:R,rectangular,Steatite,031,104,other,true,<END>,+423-003-001-423-002-031-104+
2026-05-31,-:4237.1,Dholavira,SEAL:S,square,-,390,705,terminal_booster,true,<END>,+151-032-388-002-390-705+
2026-05-31,-:4344.1,Dholavira,TAG,-,Clay,031,000,terminal_booster,true,<END>,]240-002-031-000[
2026-05-31,-:4348.1,Dholavira,TAG,-,Clay,861,390,other,true,<END>,]740-142-000-002-861-390[
2026-05-31,H-1155,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,-:5226.1,Unknown,SEAL:C,circular,-,000,090,open_operator,false,725 000,+002/000-090-725-000+
2026-05-31,K-156,Kalibangan,TAG,rectangular,Terracotta,056,091,global_edge,true,<END>,+892-890-417-002-056-091+
2026-05-31,K-429,Kalibangan,POT:T:g,-,Clay,031,820,terminal_booster,true,<END>,]002-031-820[
2026-05-31,Ns-67,Nausharo,POT:T:g,-,Clay,000,000,terminal_booster,true,<END>,+000-151-390-000-002-000-000[
2026-05-31,-:5468.1,Rakhigarhi,SEAL:CY,cylindrical,-,000,317,terminal_booster,false,688,+361-002-000-317-688+
2026-05-31,-:5541.1,Shikarpur,POT:T:p,-,Clay,861,000,terminal_booster,true,<END>,+002-861-000[
2026-05-31,-:5579.1,Dholavira,SEAL:R,cuboid-convex,Steatite,031,575,terminal_booster,true,<END>,]231-226-002-031-575+
