key,x,site,type,head,tail_after_x,all_terminal,any_terminal,rows,examples
590|Unknown,590,Unknown:2,SEAL:S:2,390,032,false,false,2,-:3335.1;?-3
003|Mohenjo-daro,003,Mohenjo-daro:2,SEAL:S:2,900,590,false,false,2,M-958;M-979
850|Mohenjo-daro,850,Mohenjo-daro:1,SEAL:S:1,315,<END>,true,true,1,M-1002
834|Mohenjo-daro,834,Mohenjo-daro:1,SEAL:S:1,065,<END>,true,true,1,M-1082
060|Mohenjo-daro,060,Mohenjo-daro:1,SEAL:S:1,741,920,false,false,1,M-1114
703|Mohenjo-daro,703,Mohenjo-daro:1,SEAL:S:1,400,<END>,true,true,1,M-1135
633|Mohenjo-daro,633,Mohenjo-daro:1,SEAL:S:1,270,032,false,false,1,M-1169
342|Mohenjo-daro,342,Mohenjo-daro:1,SEAL:R:1,595,632,false,false,1,M-1341
285|Mohenjo-daro,285,Mohenjo-daro:1,SEAL:R:1,900,<END>,true,true,1,M-1358
480|Mohenjo-daro,480,Mohenjo-daro:1,TAB:B:1,031,<END>,true,true,1,M-1386
627|Mohenjo-daro,627,Mohenjo-daro:1,TAG:O:1,220,615 906 388,false,false,1,M-1427
290|Mohenjo-daro,290,Mohenjo-daro:1,BNGL:1,790,741,false,false,1,M-1631
310|Nausharo,310,Nausharo:1,SEAL:S:1,374,350 495 834,false,false,1,Ns-9
125|Surkotada,125,Surkotada:1,SEAL:S:1,390,820,false,false,1,Sktd-1
031|Susa,031,Susa:1,SEAL:CY:1,055,319 001 924,false,false,1,-:3882.1
127|Tell Umma,127,Tell Umma:1,TAG:L:1,705,<END>,true,true,1,-:3884.1
000|Tepe Yahya,000,Tepe Yahya:1,POT:T:s:1,095,<END>,true,true,1,TY-106
328|Ur,328,Ur:1,SEAL:C:1,004,001 803 415,false,false,1,-:3898.1
803|Mohenjo-daro,803,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-1698
376|Mohenjo-daro,376,Mohenjo-daro:1,SEAL:S:1,031,<END>,true,true,1,M-1823
368|Mohenjo-daro,368,Mohenjo-daro:1,SEAL:S:1,413,031,false,false,1,M-1894
000|Rakhigarhi,000,Rakhigarhi:1,SEAL:S:1,267,033,false,false,1,-:4148.1
104|Dholavira,104,Dholavira:1,SEAL:R:1,031,<END>,true,true,1,-:4164.1
595|Salut,595,Salut:1,SEAL:S:1,278,<END>,true,true,1,-:4173.1
530|Dholavira,530,Dholavira:1,SEAL:S:1,705,904,false,false,1,-:4182.1
550|Dholavira,550,Dholavira:1,SEAL:S:1,365,<END>,true,true,1,-:4196.1
231|Dholavira,231,Dholavira:1,TAB:I:1,226,<END>,true,true,1,-:4200.1
575|Dholavira,575,Dholavira:2,SEAL:R:1;SEAL:S:1,463,<END>,true,true,2,-:4203.1;-:5579.1
279|Dholavira,279,Dholavira:1,SEAL:S:1,629,<END>,true,true,1,-:4209.1
705|Dholavira,705,Dholavira:1,SEAL:S:1,390,<END>,true,true,1,-:4237.1
630|Dholavira,630,Dholavira:1,TAB:B:1,900,<END>,true,true,1,-:4302.1
000|Dholavira,000,Dholavira:1,TAG:1,031,<END>,true,true,1,-:4344.1
390|Dholavira,390,Dholavira:1,TAG:1,861,<END>,true,true,1,-:4348.1
250|Nausharo,250,Nausharo:1,SEAL:S:1,001,<END>,true,true,1,Ns-56
090|Unknown,090,Unknown:1,SEAL:C:1,000,725 000,false,false,1,-:5226.1
820|Kalibangan,820,Kalibangan:1,POT:T:g:1,031,<END>,true,true,1,K-429
350|Nausharo,350,Nausharo:1,SEAL:R:1,297,125 413,false,false,1,Ns-60
000|Nausharo,000,Nausharo:2,POT:T:g:2,892,<END>,false,true,2,Ns-66;Ns-67
317|Rakhigarhi,317,Rakhigarhi:1,SEAL:CY:1,000,688,false,false,1,-:5468.1
000|Shikarpur,000,Shikarpur:1,POT:T:p:1,861,<END>,true,true,1,-:5541.1
741|Unknown,741,Unknown:1,SEAL:S:1,298,<END>,true,true,1,-:5572.1
