"corpus","scope","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","15","0.489433","-0.005457"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","16","0.501669","0.011821"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","17","0.491657","0.001589"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","18","0.497775","0.004802"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","19","0.489989","-0.003168"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","20","0.484427","-0.004733"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","21","0.493326","-0.003679"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","22","0.503337","0.018276"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","23","0.486096","-0.002829"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","24","0.491101","-0.013263"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","25","0.496107","-0.006797"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","26","0.477197","-0.017656"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","27","0.503337","0.021091"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","28","0.523915","0.014157"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","29","0.496107","-0.005821"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","30","0.491657","0.000404"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","31","0.502781","0.01573"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","32","0.481646","-0.020061"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","33","0.502225","0.000623"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","34","0.501669","0.019202"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","35","0.476085","-0.007638"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","36","0.511123","0.015878"
