checked_date,object,row_id,site,type,material,condition,complete,position,preceding,next_after_pair,final_pair,previous_002_before_pair,previous_002_index,reset_candidate,text
2026-05-31,-:2171.1,2171.1,Mohenjo-daro,BNGL,Stoneware,Poor,N,3,511,<END>,true,false,,false,+920-130-511-000-002+
2026-05-31,M-1895,2198.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,2,923,285,false,false,,false,+740-923-000-002-285+
2026-05-31,-:2258.1,2258.1,Mohenjo-daro,SEAL:L,Steatite,Poor,N,2,000,000,false,false,,false,+000-000-000-002-000+
2026-05-31,M-1733,2374.1,Mohenjo-daro,SEAL:S,Steatite,Fair,N,0,<START>,735,false,false,,false,]000-002-735+
2026-05-31,M-1960,2379.1,Mohenjo-daro,SEAL:R,Steatite,Fair,N,2,000,820,false,false,,false,+740-000-000-002-820+
2026-05-31,H-167,2504.1,Harappa,TAG,Ceramic,Poor,N,3,000,000,false,false,,false,+000-000-000-000-002-000+
2026-05-31,M-19,2547.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,1,000,861,false,false,,false,]000-000-002-861+
2026-05-31,M-106,2633.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,2,760,000,false,false,,false,+740-760-000-002-000-350+
2026-05-31,M-110,2637.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,1,000,817,false,false,,false,+000-000-002-817+
2026-05-31,M-451,2936.1,Mohenjo-daro,TAB:B,-,Poor,N,0,<START>,520,false,false,,false,+000-002-520-000-000-000-906-388+
2026-05-31,M-646,3090.1,Mohenjo-daro,SEAL:S,Paste,Poor,N,3,440,817,false,false,,false,+740-760-440-000-002-817+
2026-05-31,M-701,3128.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,0,<START>,824,false,false,,false,]000-002-824+
2026-05-31,M-787,3201.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,1,151,000,false,false,,false,+151-000-002-000+
2026-05-31,M-835,3247.1,Mohenjo-daro,SEAL:S,Steatite,Poor,N,4,171,817,false,false,,false,+090-740-035-171-000-002-817+
2026-05-31,M-1354,3654.1,Mohenjo-daro,SEAL:R,Steatite,Poor,N,0,<START>,820,false,false,,false,]000-002-820+
2026-05-31,M-1421,3708.1,Mohenjo-daro,TAB:B,Faience,Poor,N,1,000,<END>,true,false,,false,+000-000-002[
2026-05-31,M-1754,3986.1,Mohenjo-daro,SEAL:S,-,Poor,N,1,000,820,false,false,,false,+000-000-002-820+
2026-05-31,M-1959,4006.1,Mohenjo-daro,SEAL:R,-,Poor,N,2,100,820,false,false,,false,+740-100-000-002-820+
2026-05-31,-:4156.1,4156.1,Dholavira,TAG,Clay,Poor,N,1,520,820,false,false,,false,+520-000-002-820+
2026-05-31,-:4156.2,4156.2,Dholavira,TAG,Clay,Poor,N,1,000,820,false,false,,false,+000-000-002-820+
2026-05-31,-:4234.1,4234.1,Dholavira,SEAL:S,-,Poor,N,1,000,820,false,false,,false,]000-000-002-820+
2026-05-31,-:4298.1,4298.1,Dholavira,TAG,-,Poor,N,1,220,000,false,false,,false,]220-000-002-000[
2026-05-31,-:4314.1,4314.1,Dholavira,TAG,-,Poor,N,1,520,820,false,false,,false,+520-000-002-820+
2026-05-31,-:4314.2,4314.2,Dholavira,TAG,-,Poor,N,1,520,000,false,false,,false,+520-000-002-000+
2026-05-31,-:4348.1,4348.1,Dholavira,TAG,Clay,Poor,N,2,142,861,false,false,,false,]740-142-000-002-861-390[
2026-05-31,L-6,5260.1,Lothal,SEAL:S,Ivory,Poor,N,2,000,000,false,false,,false,+000-000-000-002-000+
2026-05-31,K-157,5283.1,Kalibangan,TAB:B,Terracotta,Poor,N,2,000,820,false,false,,false,+740-000-000-002-820+
2026-05-31,K-416,5331.1,Kalibangan,POT:T:g,Clay,Poor,N,0,<START>,861,false,false,,false,]000-002-861[
2026-05-31,Ns-66,5367.1,Nausharo,POT:T:g,Clay,Fair,N,6,100,892,false,false,,false,+033-999-400-090-740-100-000-002-892-000-002+
2026-05-31,Ns-66,5367.1,Nausharo,POT:T:g,Clay,Fair,N,9,892,<END>,true,true,7,true,+033-999-400-090-740-100-000-002-892-000-002+
2026-05-31,Ns-67,5368.1,Nausharo,POT:T:g,Clay,Poor,N,3,390,000,false,false,,false,+000-151-390-000-002-000-000[
