checked_date,head,occurrences,terminal_rate,unique_x,x_values,polarity_mix,sites,types,next1,sample_objects
2026-05-31,365,5,0.200,4,460:2;287:1;374:1;550:1,mixed_or_underpowered:3;open_operator:2,Mohenjo-daro:2;Chanhu-daro:1;Dholavira:1;Harappa:1,SEAL:S:3;TAB:C:2,495:2;<END>:1;000:1;034:1,C-1;H-31;M-577;M-1532;-:4196.1
2026-05-31,374,5,0.400,5,228:1;309:1;310:1;575:1;840:1,mixed_or_underpowered:4;terminal_booster:1,Mohenjo-daro:4;Nausharo:1,SEAL:S:5,<END>:2;350:2;741:1,M-66;M-315;M-665;M-1089;Ns-9
2026-05-31,900,5,0.600,4,003:2;285:1;615:1;630:1,mixed_or_underpowered:3;open_operator:2,Mohenjo-daro:4;Dholavira:1,SEAL:S:3;SEAL:R:1;TAB:B:1,<END>:3;590:2,M-937;M-958;M-979;M-1358;-:4302.1
2026-05-31,920,5,1.000,2,317:3;491:2,terminal_booster:5,Harappa:2;Chanhu-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:2;TAG:1,<END>:5,C-3;H-2016;H-811;L-190;M-44
2026-05-31,575,4,1.000,2,000:3;031:1,terminal_booster:4,Harappa:3;Lothal:1,POT:T:g:2;SEAL:S:2,<END>:4,H-2338;-:617.1;H-78;L-4
2026-05-31,130,3,0.333,1,035:3,open_operator:3,Mohenjo-daro:2;Lothal:1,SEAL:S:3,171:2;<END>:1,L-12;M-699;M-1112
2026-05-31,252,3,1.000,3,575:1;692:1;840:1,global_edge:1;mixed_or_underpowered:1;terminal_booster:1,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,<END>:3,K-24;M-1901;M-143
2026-05-31,298,3,0.667,2,741:2;460:1,terminal_booster:2;open_operator:1,Chanhu-daro:1;Mohenjo-daro:1;Unknown:1,SEAL:S:3,<END>:2;032:1,C-5;M-683;-:5572.1
2026-05-31,455,3,0.333,3,420:1;511:1;692:1,mixed_or_underpowered:2;global_edge:1,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:3,<END>:1;032:1;416:1,H-1671;L-5;M-1907
2026-05-31,705,3,0.667,3,127:1;530:1;590:1,mixed_or_underpowered:2;open_operator:1,Dholavira:1;Mohenjo-daro:1;Tell Umma:1,SEAL:S:2;TAG:L:1,<END>:2;904:1,M-248;-:3884.1;-:4182.1
2026-05-31,741,3,0.000,2,060:2;455:1,mixed_or_underpowered:2;open_operator:1,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,920:2;125:1,K-4;M-761;M-1114
2026-05-31,798,3,0.333,3,055:1;435:1;590:1,mixed_or_underpowered:3,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:3,<END>:1;032:1;255:1,H-464;L-47;M-1772
2026-05-31,840,3,1.000,2,016:2;032:1,mixed_or_underpowered:3,Mohenjo-daro:3,TAB:B:2;SEAL:S:1,<END>:3,M-1791;M-490;M-491
2026-05-31,906,3,1.000,3,003:1;125:1;140:1,open_operator:2;terminal_booster:1,Mohenjo-daro:2;Chanhu-daro:1,SEAL:S:2;SEAL:R:1,<END>:3,C-71;M-24;M-354
