scope,frame_kind,site,type,symbol,rows,terminal_rows,continuing_rows,terminal_rate,continuation_classes,next1_counts,sites,types,symbols,example_cisi
after_032_frame_site_type,target_240_220_032,Mohenjo-daro,SEAL:S,,4,2,2,2/4,terminal:2;continues_with_later_032:1;one_token_continuation:1,<END>:2;350:1;603:1,Mohenjo-daro,SEAL:S,Bull1;Bull1:W;Gaur,M-1728;M-49;M-240;M-722
after_032_frame_site_type,non240_a_220_032,Harappa,SEAL:S,,2,1,1,1/2,one_token_continuation:1;terminal:1,921:1;<END>:1,Harappa,SEAL:S,Bull1:W,H-1657;H-444
after_032_frame_site_type,non240_a_220_032,Chanhu-daro,SEAL:S,,1,1,0,1/1,terminal:1,<END>:1,Chanhu-daro,SEAL:S,Bull1:W,C-10
after_032_frame_site_type,non240_a_220_032,Kalibangan,SEAL:S,,1,1,0,1/1,terminal:1,<END>:1,Kalibangan,SEAL:S,Bull1:J,K-145
after_032_frame_site_type,non240_a_220_032,Mohenjo-daro,SEAL:R,,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:R,None,M-375
after_032_frame_site_type,outside_032,Chanhu-daro,SEAL:S,,1,1,0,1/1,terminal:1,<END>:1,Chanhu-daro,SEAL:S,Bull1:W,C-60
after_032_frame_site_type,outside_032,Desalpur,TAG,,1,0,1,0/1,one_token_continuation:1,740:1,Desalpur,TAG,None,Dlp-3
after_032_frame_site_type,outside_032,Harappa,SEAL:R,,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:R,None,H-140
after_032_frame_site_type,outside_032,Harappa,SEAL:S,,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:J,H-597
after_032_frame_site_type,outside_032,Mohenjo-daro,SEAL:R,,1,0,1,0/1,one_token_continuation:1,285:1,Mohenjo-daro,SEAL:R,None,M-1358
after_032_frame_site_type,outside_032,Mohenjo-daro,TAG:P,,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,TAG:P,Bull1,M-1385
after_032_frame_site_type,outside_032,Unknown,SEAL:S,,1,0,1,0/1,continues_with_later_032:1,590:1,Unknown,SEAL:S,Bull1:J,-
