id,cisi,site,type,symbol,shape,class,text_length,text,prefix_last1,prefix_last2,tail_after_002_861,tail_class,focus_last1,focus_last2
2357.3,M-1928,Mohenjo-daro,SEAL:S,Buff,square,??,5,+000-233-220-002-861+,220,233 220,<END>,bare,false,false
2376.1,M-1842,Mohenjo-daro,SEAL:S,Bull1,square,??,5,+520-000-235-002-861+,235,000 235,<END>,bare,true,false
2388.1,-,Mohenjo-daro,SEAL:S,Bull1:S,square,SP,5,+740-637-240-002-861+,240,637 240,<END>,bare,false,false
2389.1,M-1681,Mohenjo-daro,SEAL:S,Bull1:W,square,MS,8,+520-072-233-740-798-002-861-832+,798,740 798,832,other_tail,true,false
2422.1,M-1954,Mohenjo-daro,SEAL:R,None,rectangular,LP,12,+740-407-590-031-752-033-705-220-415-798-002-861+,798,415 798,<END>,bare,true,true
2450.1,M-1750,Mohenjo-daro,SEAL:S,Bull1:W,square,IM,4,+390-004-002-861+,004,390 004,<END>,bare,false,false
2509.1,M-1833,Mohenjo-daro,SEAL:S,Bull1:S,square,IM,4,+390-015-002-861+,015,390 015,<END>,bare,false,false
2536.1,M-7,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,9,+407-845-140-740-101-923-240-002-861+,240,923 240,<END>,bare,false,false
2543.1,M-15,Mohenjo-daro,SEAL:S,Bull1:W,square,IT,5,+090-740-176-002-861+,176,740 176,<END>,bare,true,false
2548.1,M-20,Mohenjo-daro,SEAL:S,Bull1:W,square,LC,7,+390-005-002-861-036-460-513+,005,390 005,036 460 513,other_tail,false,false
2549.1,M-21,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,8,+350-001-740-362-692-032-002-861+,032,692 032,<END>,bare,false,false
2556.1,M-28,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,8,+892-374-740-760-840-416-002-861+,416,840 416,<END>,bare,false,false
2575.1,M-47,Mohenjo-daro,SEAL:S,Bull1:J,square,SP,5,+740-760-235-002-861+,235,760 235,<END>,bare,true,false
2600.1,M-72,Mohenjo-daro,SEAL:S,Bull1:V,square,LP,7,+740-255-705-140-003-002-861+,003,140 003,<END>,bare,false,false
2604.1,M-77,Mohenjo-daro,SEAL:S,Bull1:W,square,SC,5,+832-390-803-002-861+,803,390 803,<END>,bare,false,false
2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,square,LP,9,+740-100-798-220-032-002-861-255-416+,032,220 032,255 416,other_tail,false,false
2627.1,M-100,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,6,+090-740-255-705-002-861+,705,255 705,<END>,bare,false,false
2645.1,M-118,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,8,+740-772-033-705-233-803-002-861+,803,233 803,<END>,bare,false,false
2669.1,M-142,Mohenjo-daro,SEAL:S,Bull1:J,square,SP,4,+136-140-002-861+,140,136 140,<END>,bare,false,false
2679.1,M-152,Mohenjo-daro,SEAL:S,Bull1:J,square,IT,4,+740-772-002-861+,772,740 772,<END>,bare,false,false
2691.1,M-166,Mohenjo-daro,SEAL:S,Bull1:I,square,SP,6,+390-844-240-806-002-861+,806,240 806,<END>,bare,false,false
2724.1,M-199,Mohenjo-daro,SEAL:S,Bull1:S,square,LP,7,+090-740-100-415-240-002-861+,240,415 240,<END>,bare,false,false
2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,square,LP,7,+520-240-220-032-002-861-603+,032,220 032,603,short_alt_603,false,false
2806.1,M-285,Mohenjo-daro,SEAL:S,Elep,square,SP,5,+504-350-240-002-861+,240,350 240,<END>,bare,false,false
2834.1,M-316,Mohenjo-daro,SEAL:S,None,square,SC,5,+367-390-710-002-861+,710,390 710,<END>,bare,false,false
2845.1,M-327,Mohenjo-daro,SEAL:S,Bull1:J,square,IT,4,+740-519-002-861+,519,740 519,<END>,bare,false,false
2847.1,M-329,Mohenjo-daro,SEAL:S,None,square,SS,3,+002-861-698+,<START>,<START>,698,other_tail,false,false
2848.1,M-330,Mohenjo-daro,SEAL:S,None,square,SS,3,+002-861-698+,<START>,<START>,698,other_tail,false,false
2851.1,M-355,Mohenjo-daro,SEAL:R,None,cuboid-convex,LP,13,+740-877-032-033-705-231-235-002-861-360-520-919-140+,235,231 235,360 520 919 140,other_tail,true,true
2872.1,M-376,Mohenjo-daro,SEAL:R,None,cuboid-convex,IT,7,+740-100-176-002-861-533-717+,176,100 176,533 717,target_533_717,true,true
2887.1,M-391,Mohenjo-daro,SEAL:R,None,cuboid-convex,LP,12,+405-845-686-740-793-003-233-805-002-861-533-717+,805,233 805,533 717,target_533_717,true,true
2938.1,M-453,Mohenjo-daro,TAB:B,Scene,rectangular,SP,6,+740-032-840-220-002-861+,220,840 220,<END>,bare,false,false
3080.1,M-629,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,7,+679-740-176-240-798-002-861+,798,240 798,<END>,bare,true,false
3096.1,M-653,Mohenjo-daro,SEAL:S,Bull1:W,square,SP,5,+679-740-235-002-861+,235,740 235,<END>,bare,true,false
3115.1,M-677,Mohenjo-daro,SEAL:S,Bull1:L,square,LP,11,+740-923-070-032-033-706-231-242-002-861-901+,242,231 242,901,other_tail,false,false
3133.1,M-706,Mohenjo-daro,SEAL:S,Bull1:W,square,SP,6,+740-773-240-002-861-031+,240,773 240,031,other_tail,false,false
3137.1,M-712,Mohenjo-daro,SEAL:S,Bull1:W,square,IM,4,+390-003-002-861+,003,390 003,<END>,bare,false,false
3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,11,+740-585-017-033-705-233-798-803-002-861-603+,803,798 803,603,short_alt_603,false,false
3142.1,M-717,Mohenjo-daro,SEAL:S,Bull1:J,square,IT,5,+740-142-061-002-861+,061,142 061,<END>,bare,false,false
3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,square,LP,8,+740-460-510-235-220-032-002-861+,032,220 032,<END>,bare,false,false
3148.1,M-724,Mohenjo-daro,SEAL:S,Bull1:J,square,IM,5,+390-721-790-002-861+,790,721 790,<END>,bare,false,false
3195.1,M-781,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,5,+520-033-706-002-861+,706,033 706,<END>,bare,false,false
3197.1,M-783,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,4,+151-061-002-861+,061,151 061,<END>,bare,false,false
3199.1,M-785,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,5,+740-255-705-002-861+,705,255 705,<END>,bare,false,false
3207.1,M-793,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,7,+740-388-235-240-798-002-861+,798,240 798,<END>,bare,true,false
3208.1,M-794,Mohenjo-daro,SEAL:S,Bull1:S,square,SP,4,+804-231-002-861+,231,804 231,<END>,bare,false,false
3226.1,M-813,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,5,+161-390-590-002-861+,590,390 590,<END>,bare,false,false
3228.1,M-815,Mohenjo-daro,SEAL:S,Bull1:W,square,SP,6,+520-070-233-798-002-861+,798,233 798,<END>,bare,true,false
3246.1,M-834,Mohenjo-daro,SEAL:S,Bull1:J,square,IT,6,+151-390-590-900-002-861+,900,590 900,<END>,bare,false,false
3262.1,M-850,Mohenjo-daro,SEAL:S,Bull1:L,square,IT,5,+740-100-415-002-861+,415,100 415,<END>,bare,false,false
3279.1,M-869,Mohenjo-daro,SEAL:S,Bull1:S,square,IT,5,+740-100-415-002-861+,415,100 415,<END>,bare,false,false
3306.1,M-901,Mohenjo-daro,SEAL:S,Bull1,square,SP,4,+090-125-002-861+,125,090 125,<END>,bare,false,false
3315.1,M-918,Mohenjo-daro,SEAL:S,Bull1,square,IM,4,+390-869-002-861+,869,390 869,<END>,bare,false,false
3329.1,M-934,Mohenjo-daro,SEAL:S,Bull1:W,square,SP,5,+526-555-235-002-861+,235,555 235,<END>,bare,true,false
3336.1,M-941,Mohenjo-daro,SEAL:S,Bull1:S,square,??,6,+000-642-240-031-002-861+,031,240 031,<END>,bare,false,false
3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,square,SP,5,+520-220-032-002-861+,032,220 032,<END>,bare,false,false
3437.1,M-1063,Mohenjo-daro,SEAL:S,-,square,IM,4,+407-004-002-861+,004,407 004,<END>,bare,false,false
3486.1,M-1115,Mohenjo-daro,SEAL:S,Zebu,square,SP,5,+740-335-233-002-861+,233,335 233,<END>,bare,false,false
3509.1,M-1148,Mohenjo-daro,SEAL:S,Elep,square,SP,4,+520-220-002-861+,220,520 220,<END>,bare,false,false
3513.1,M-1152,Mohenjo-daro,SEAL:S,Elep,square,SP,6,+740-032-840-235-002-861+,235,840 235,<END>,bare,true,false
3520.1,M-1160,Mohenjo-daro,SEAL:S,Elep,square,??,5,+000-136-031-002-861+,031,136 031,<END>,bare,false,false
3521.1,M-1161,Mohenjo-daro,SEAL:S,Elep,square,SP,5,+520-233-031-002-861+,031,233 031,<END>,bare,false,false
3556.2,M-1206,Mohenjo-daro,SEAL:S,Gaur,square,IT,6,+740-690-435-255-002-861+,255,435 255,<END>,bare,false,false
3574.1,M-1267,Mohenjo-daro,SEAL:R,None,rectangular,IT,7,+416-001-740-720-175-002-861+,175,720 175,<END>,bare,true,true
3580.1,M-1273,Mohenjo-daro,SEAL:R,None,rectangular,IT,5,+740-055-002-861-603+,055,740 055,603,short_alt_603,true,true
3648.1,M-1343,Mohenjo-daro,SEAL,None,-,SP,6,+740-390-590-235-002-861+,235,590 235,<END>,bare,true,false
3711.1,M-1426,Mohenjo-daro,TAB:B,None,prism,LP,8,+740-760-036-220-415-798-002-861+,798,415 798,<END>,bare,true,true
3844.2,M-1658,Mohenjo-daro,MISC,None,-,??,4,+000-016-002-861+,016,000 016,<END>,bare,false,false
3908.1,M-1670,Mohenjo-daro,SEAL:S,Bull1:II,square,LP,6,+740-760-001-233-002-861+,233,001 233,<END>,bare,false,false
3909.1,M-1698,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,7,+740-482-033-705-002-861-803+,705,033 705,803,other_tail,false,false
3970.1,H-1130,Harappa,TAB:B,None,rectangular-round,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
3971.1,H-1131,Harappa,TAB:B,None,twisted rectangular,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
4010.1,M-1973,Mohenjo-daro,SEAL:R,None,rectangular,LP,7,+740-575-017-233-550-002-861+,550,233 550,<END>,bare,true,true
4034.1,M-2087,Mohenjo-daro,ROD,None,-,??,7,+820-000-032-740-904-002-861+,904,740 904,<END>,bare,false,false
4195.1,-,Dholavira,SEAL:S,Bull1:V,square,SP,5,+820-390-590-002-861+,590,390 590,<END>,bare,false,false
4272.1,-,Dholavira,SEAL:R,None,cuboid-convex,SP,4,+405-016-002-861+,016,405 016,<END>,bare,false,false
4345.1,-,Dholavira,TAG,Bull1,square,??,4,+000-705-002-861+,705,000 705,<END>,bare,false,false
5575.1,-,Unknown,SEAL:S,Bull:i:J,square,IT,3,+136-002-861+,136,136,<END>,bare,false,false
