sign,occurrences,initial_occurrences,initial_share
484,11,1,0.09090909090909091
530,11,1,0.09090909090909091
374,12,1,0.08333333333333333
072,13,1,0.07692307692307693
921,13,1,0.07692307692307693
436,15,1,0.06666666666666667
831,17,1,0.058823529411764705
048,18,1,0.05555555555555555
555,18,1,0.05555555555555555
091,19,1,0.05263157894736842
095,22,1,0.045454545454545456
335,28,1,0.03571428571428571
482,33,1,0.030303030303030304
350,38,1,0.02631578947368421
717,38,1,0.02631578947368421
388,40,1,0.025
845,49,1,0.02040816326530612
503,69,1,0.014492753623188406
231,71,1,0.014084507042253521
900,86,1,0.011627906976744186
760,91,1,0.01098901098901099
798,109,1,0.009174311926605505
806,111,1,0.009009009009009009
176,166,1,0.006024096385542169
012,3,0,0
014,6,0,0
017,66,0,0
018,6,0,0
019,4,0,0
025,3,0,0
026,1,0,0
027,5,0,0
028,4,0,0
029,2,0,0
042,2,0,0
049,4,0,0
050,1,0,0
051,1,0,0
056,10,0,0
057,1,0,0
058,1,0,0
059,2,0,0
061,78,0,0
062,2,0,0
067,5,0,0
069,1,0,0
070,29,0,0
071,3,0,0
073,2,0,0
081,3,0,0
082,2,0,0
083,1,0,0
084,1,0,0
092,2,0,0
094,1,0,0
096,2,0,0
097,16,0,0
099,2,0,0
101,8,0,0
102,1,0,0
107,1,0,0
112,2,0,0
118,2,0,0
119,1,0,0
121,2,0,0
122,1,0,0
123,1,0,0
126,2,0,0
128,2,0,0
131,1,0,0
132,4,0,0
133,1,0,0
134,1,0,0
141,1,0,0
146,3,0,0
150,5,0,0
152,1,0,0
166,1,0,0
168,3,0,0
170,1,0,0
171,21,0,0
172,1,0,0
175,18,0,0
177,3,0,0
178,2,0,0
179,1,0,0
180,1,0,0
191,2,0,0
192,2,0,0
193,3,0,0
194,1,0,0
195,2,0,0
201,5,0,0
202,4,0,0
205,2,0,0
207,1,0,0
208,1,0,0
209,1,0,0
216,3,0,0
219,7,0,0
221,6,0,0
222,16,0,0
223,1,0,0
225,1,0,0
228,1,0,0
229,3,0,0
251,1,0,0
252,7,0,0
253,1,0,0
260,8,0,0
261,1,0,0
262,2,0,0
263,6,0,0
264,1,0,0
268,3,0,0
270,1,0,0
272,4,0,0
276,1,0,0
277,1,0,0
278,3,0,0
279,4,0,0
280,1,0,0
287,2,0,0
290,1,0,0
291,1,0,0
293,1,0,0
295,1,0,0
296,1,0,0
297,12,0,0
299,2,0,0
300,2,0,0
301,2,0,0
302,2,0,0
304,2,0,0
305,1,0,0
306,1,0,0
308,3,0,0
309,2,0,0
310,2,0,0
311,1,0,0
315,8,0,0
316,1,0,0
318,12,0,0
319,3,0,0
320,13,0,0
321,15,0,0
322,4,0,0
325,1,0,0
326,4,0,0
327,1,0,0
328,1,0,0
329,1,0,0
330,3,0,0
336,9,0,0
337,10,0,0
338,1,0,0
340,1,0,0
342,1,0,0
343,1,0,0
344,1,0,0
345,3,0,0
346,4,0,0
347,9,0,0
351,2,0,0
352,5,0,0
353,4,0,0
361,2,0,0
362,4,0,0
363,1,0,0
371,9,0,0
372,1,0,0
373,2,0,0
376,1,0,0
380,7,0,0
381,2,0,0
383,1,0,0
385,1,0,0
389,1,0,0
393,1,0,0
403,1,0,0
412,1,0,0
417,9,0,0
420,4,0,0
421,4,0,0
428,1,0,0
441,1,0,0
442,1,0,0
443,4,0,0
444,1,0,0
445,1,0,0
451,1,0,0
453,1,0,0
456,5,0,0
458,1,0,0
460,28,0,0
465,6,0,0
466,1,0,0
467,8,0,0
468,8,0,0
469,1,0,0
470,3,0,0
471,1,0,0
472,5,0,0
473,1,0,0
474,1,0,0
475,2,0,0
479,2,0,0
483,2,0,0
490,1,0,0
491,15,0,0
492,1,0,0
493,1,0,0
495,21,0,0
500,21,0,0
501,31,0,0
502,4,0,0
505,1,0,0
510,11,0,0
513,2,0,0
514,1,0,0
518,6,0,0
519,9,0,0
528,2,0,0
531,5,0,0
533,2,0,0
535,1,0,0
541,1,0,0
542,1,0,0
543,3,0,0
544,2,0,0
545,8,0,0
546,1,0,0
547,1,0,0
551,1,0,0
552,3,0,0
554,10,0,0
560,3,0,0
563,1,0,0
564,5,0,0
570,1,0,0
571,1,0,0
572,5,0,0
573,1,0,0
576,1,0,0
577,1,0,0
578,5,0,0
579,2,0,0
596,1,0,0
597,8,0,0
599,1,0,0
601,1,0,0
603,6,0,0
604,2,0,0
605,12,0,0
606,1,0,0
610,2,0,0
611,4,0,0
620,1,0,0
625,4,0,0
626,5,0,0
627,1,0,0
628,1,0,0
629,1,0,0
630,25,0,0
631,2,0,0
632,17,0,0
633,1,0,0
634,3,0,0
635,1,0,0
636,16,0,0
637,4,0,0
639,1,0,0
640,1,0,0
641,1,0,0
642,6,0,0
643,3,0,0
646,1,0,0
678,2,0,0
681,3,0,0
683,2,0,0
684,1,0,0
686,1,0,0
687,3,0,0
689,1,0,0
693,1,0,0
694,1,0,0
703,8,0,0
704,5,0,0
707,1,0,0
711,13,0,0
713,1,0,0
714,1,0,0
716,1,0,0
720,3,0,0
721,2,0,0
722,1,0,0
727,1,0,0
728,1,0,0
729,1,0,0
731,1,0,0
732,2,0,0
734,1,0,0
736,4,0,0
743,1,0,0
744,3,0,0
745,18,0,0
746,4,0,0
750,1,0,0
751,1,0,0
752,49,0,0
759,1,0,0
761,1,0,0
762,1,0,0
764,1,0,0
765,1,0,0
767,2,0,0
768,1,0,0
770,2,0,0
772,8,0,0
773,9,0,0
775,3,0,0
778,1,0,0
783,2,0,0
785,2,0,0
786,3,0,0
792,10,0,0
793,1,0,0
794,9,0,0
796,1,0,0
797,3,0,0
799,4,0,0
803,107,0,0
805,3,0,0
807,2,0,0
809,1,0,0
810,1,0,0
811,1,0,0
813,2,0,0
814,2,0,0
815,1,0,0
818,1,0,0
825,5,0,0
826,1,0,0
827,1,0,0
828,1,0,0
829,3,0,0
830,1,0,0
833,1,0,0
834,1,0,0
838,13,0,0
844,9,0,0
852,2,0,0
853,10,0,0
854,1,0,0
856,1,0,0
857,1,0,0
859,1,0,0
862,1,0,0
863,1,0,0
864,1,0,0
870,1,0,0
878,1,0,0
880,7,0,0
890,11,0,0
891,2,0,0
893,3,0,0
894,1,0,0
895,1,0,0
896,2,0,0
897,1,0,0
901,2,0,0
902,1,0,0
903,4,0,0
905,11,0,0
908,2,0,0
910,4,0,0
912,3,0,0
914,1,0,0
918,1,0,0
919,2,0,0
922,3,0,0
923,36,0,0
926,1,0,0
927,9,0,0
928,1,0,0
933,2,0,0
940,2,0,0
944,1,0,0
947,1,0,0
950,2,0,0
952,1,0,0
958,1,0,0
999,8,0,0
