"dataset","scope","outcome","a220_yes","a220_total","a220_rate","outside_yes","outside_total","outside_rate","odds_ratio"
"strict_occurrence","minus Gola Dhoro (Bagasra)|SEAL:S","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Gola Dhoro (Bagasra)|SEAL:S","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Gola Dhoro (Bagasra)|SEAL:S","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Harappa|MISC","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Harappa|MISC","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Harappa|MISC","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Harappa|POT:T:s","next1_is_002","24","56","0.4286","18","457","0.0394","18.2917"
"strict_occurrence","minus Harappa|POT:T:s","core_002_861_820_817","16","56","0.2857","10","457","0.0219","17.88"
"strict_occurrence","minus Harappa|POT:T:s","core_terminal_tail","14","56","0.25","8","457","0.0175","18.7083"
"strict_occurrence","minus Harappa|TAG:P","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Harappa|TAG:P","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Harappa|TAG:P","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Kalibangan|ROD","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Kalibangan|ROD","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Kalibangan|ROD","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Kalibangan|TAB:B","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Kalibangan|TAB:B","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Kalibangan|TAB:B","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Kalibangan|TAG:L","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Kalibangan|TAG:L","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Kalibangan|TAG:L","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Karzakan|SEAL:C","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Karzakan|SEAL:C","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Karzakan|SEAL:C","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Lakhanjo-daro|SEAL:S","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Lakhanjo-daro|SEAL:S","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Lakhanjo-daro|SEAL:S","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Lothal|MISC","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Lothal|MISC","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Lothal|MISC","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Lothal|POT:T:g","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Lothal|POT:T:g","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Lothal|POT:T:g","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Lothal|TAG","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Lothal|TAG","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Lothal|TAG","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Mohenjo-daro|MISC","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Mohenjo-daro|MISC","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Mohenjo-daro|MISC","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Mohenjo-daro|POT:T:s","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Mohenjo-daro|POT:T:s","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Mohenjo-daro|POT:T:s","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Mohenjo-daro|TAG:O","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Mohenjo-daro|TAG:O","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Mohenjo-daro|TAG:O","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Nausharo|SEAL:S","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Nausharo|SEAL:S","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Nausharo|SEAL:S","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Rupar|TAG:L","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Rupar|TAG:L","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Rupar|TAG:L","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Tarkhanewala-dera|TAG","next1_is_002","24","56","0.4286","18","457","0.0394","18.2917"
"strict_occurrence","minus Tarkhanewala-dera|TAG","core_002_861_820_817","16","56","0.2857","10","457","0.0219","17.88"
"strict_occurrence","minus Tarkhanewala-dera|TAG","core_terminal_tail","14","56","0.25","8","457","0.0175","18.7083"
"strict_occurrence","minus Tigrana|TAG","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Tigrana|TAG","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Tigrana|TAG","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Unknown|SEAL:C","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Unknown|SEAL:C","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Unknown|SEAL:C","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Unknown|SEAL:CY","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Unknown|SEAL:CY","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Unknown|SEAL:CY","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Unknown|TAB:B","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Unknown|TAB:B","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Unknown|TAB:B","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
