scope,null_model,iteration,rows,terminal_rows,accuracy,brier,logloss,closure_rows,branch_rows,closure_terminal_rate,branch_terminal_rate,closure_minus_branch
all_002_strict_dedup,terminal_shuffle_global,5,499,305,0.6112224448897795,0.24033469884736558,0.6741212005884503,293,48,0.5767918088737202,0.6666666666666666,-0.08987485779294646
all_002_strict_dedup,terminal_shuffle_register,5,499,305,0.4729458917835671,0.23500376811237225,0.6629177910983206,293,48,0.6689419795221843,0.5625,0.10644197952218426
all_002_strict_dedup,y_shuffle_global,5,499,305,0.6172344689378757,0.24080783247037743,0.6750147920688191,293,48,0.6177474402730375,0.6458333333333334,-0.028085893060295852
all_002_strict_dedup,y_shuffle_register,5,499,305,0.6352705410821643,0.22824982905846453,0.6492216436347079,293,48,0.6928327645051194,0.375,0.31783276450511944
all_002_strict_dedup,independent_register_admin,5,499,300,0.6212424849699398,0.23617965775308264,0.6656996021704031,304,44,0.6480263157894737,0.38636363636363635,0.2616626794258373
all_002_strict_dedup,terminal_shuffle_global,6,499,305,0.4729458917835671,0.2369147185076574,0.6671491609173642,293,48,0.6518771331058021,0.6666666666666666,-0.014789533560864543
all_002_strict_dedup,terminal_shuffle_register,6,499,305,0.4969939879759519,0.22798122564744566,0.6486168011668115,293,48,0.6996587030716723,0.375,0.3246587030716723
all_002_strict_dedup,y_shuffle_global,6,499,305,0.6112224448897795,0.24030125026025767,0.6739800384692495,293,48,0.6416382252559727,0.5833333333333334,0.058304891922639324
all_002_strict_dedup,y_shuffle_register,6,499,305,0.6232464929859719,0.23266201143854126,0.6583663194415478,293,48,0.6757679180887372,0.4375,0.23826791808873715
all_002_strict_dedup,independent_register_admin,6,499,298,0.6372745490981964,0.2283443896348529,0.6497332911797359,290,38,0.6758620689655173,0.23684210526315788,0.4390199637023594
all_002_strict_dedup,terminal_shuffle_global,7,499,305,0.6112224448897795,0.24203686276727313,0.6775161517218191,293,48,0.5972696245733788,0.625,-0.027730375426621157
all_002_strict_dedup,terminal_shuffle_register,7,499,305,0.6312625250501002,0.23493700804907103,0.6631395502370547,293,48,0.6484641638225256,0.3958333333333333,0.25263083048919227
all_002_strict_dedup,y_shuffle_global,7,499,305,0.6112224448897795,0.23746941867041232,0.6680303806499461,293,48,0.6348122866894198,0.75,-0.1151877133105802
all_002_strict_dedup,y_shuffle_register,7,499,305,0.6152304609218436,0.23631812138808125,0.6653982296321733,293,48,0.658703071672355,0.4791666666666667,0.1795364050056883
all_002_strict_dedup,independent_register_admin,7,499,310,0.6412825651302605,0.2241877339562759,0.6406547109161925,276,46,0.7101449275362319,0.391304347826087,0.31884057971014496
all_002_strict_dedup,terminal_shuffle_global,8,499,305,0.6112224448897795,0.24040755760163887,0.6740892974469043,293,48,0.6143344709897611,0.5833333333333334,0.031001137656427757
all_002_strict_dedup,terminal_shuffle_register,8,499,305,0.627254509018036,0.2357209193796897,0.6646543774569199,293,48,0.6655290102389079,0.4166666666666667,0.24886234357224118
