source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
lipi_numeric,065,mayig_parpola,P201,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:5,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-6;M-46;M-108;M-140;M-151,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,156,mayig_parpola,P004,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,initial:5,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-80;M-93;M-96;M-97;M-132,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,231,mayig_parpola,P056,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:5,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-35;M-43;M-57;M-69;M-86,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,503,mayig_parpola,P210,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:4;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-14;M-29;M-30;M-58;M-101,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,760,mayig_parpola,P332,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:5,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-47;M-112;M-114;M-149,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,806,mayig_parpola,P364,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:3;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-29;M-30;M-166;M-171;M-173,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,840,mayig_parpola,P349,uncertain,medium_consistency_positional_candidate,5,5,1.000000,,0,1,medial:3;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-56;M-90;M-113;M-116;M-143,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,004,mayig_parpola,P124,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:2;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-64;M-75;M-96;M-103,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,055,mayig_parpola,P142,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,medial:3;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-18;M-29;M-43;M-117,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,527,mayig_parpola,P301,uncertain,low_consistency_positional_candidate,4,4,1.000000,,0,1,initial:3;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-40;M-42;M-88;M-133,needs_image_or_authoritative_sign_list_validation,very_low,
