"model","iteration","exact_duplicate_sequence_groups","exact_duplicate_pairs","variant_pairs_total","near_pairs_edit_distance_le_2","single_substitution_pairs","two_substitution_pairs","single_insertion_deletion_pairs","shared_edge_frame_pairs","frame_families_count","top_frame_rows","slot_candidate_groups"
"edge_position_preserving_shuffle","20","0","0","147","81","5","37","1","73","10","11","3"
"length_frequency_shuffle","21","0","0","47","41","0","27","0","6","4","3","0"
"edge_position_preserving_shuffle","21","0","0","156","95","9","54","1","68","13","9","7"
"length_frequency_shuffle","22","0","0","53","48","1","27","1","5","3","3","1"
"edge_position_preserving_shuffle","22","0","0","179","110","14","44","1","80","12","11","3"
"length_frequency_shuffle","23","0","0","76","68","1","44","2","12","5","4","1"
"edge_position_preserving_shuffle","23","0","0","151","96","6","54","1","59","11","8","4"
"length_frequency_shuffle","24","0","0","40","35","1","25","0","5","3","3","1"
"edge_position_preserving_shuffle","24","1","1","175","108","3","56","2","83","9","9","2"
"length_frequency_shuffle","25","0","0","44","38","0","23","0","6","6","2","0"
"edge_position_preserving_shuffle","25","0","0","199","140","8","69","1","70","12","10","3"
"length_frequency_shuffle","26","0","0","48","42","0","29","0","7","5","3","0"
"edge_position_preserving_shuffle","26","0","0","152","95","4","49","1","59","13","10","2"
"length_frequency_shuffle","27","0","0","42","30","1","22","0","13","7","3","1"
"edge_position_preserving_shuffle","27","0","0","181","115","4","64","2","78","11","11","2"
"length_frequency_shuffle","28","0","0","62","59","2","44","0","5","3","3","2"
"edge_position_preserving_shuffle","28","0","0","112","58","2","34","0","60","13","8","2"
"length_frequency_shuffle","29","0","0","56","53","0","35","0","3","3","2","0"
"edge_position_preserving_shuffle","29","0","0","150","85","2","61","0","72","11","11","2"
"length_frequency_shuffle","30","0","0","55","48","1","24","0","7","7","2","1"
"edge_position_preserving_shuffle","30","2","2","132","80","10","29","2","62","14","9","3"
"length_frequency_shuffle","31","0","0","43","39","0","30","0","5","5","2","0"
"edge_position_preserving_shuffle","31","0","0","146","97","12","43","1","54","16","8","3"
"length_frequency_shuffle","32","1","1","43","40","2","19","0","4","4","2","1"
"edge_position_preserving_shuffle","32","0","0","123","84","3","53","1","41","15","5","3"
"length_frequency_shuffle","33","0","0","50","45","0","27","1","6","4","3","0"
"edge_position_preserving_shuffle","33","0","0","165","131","4","80","1","43","11","5","2"
"length_frequency_shuffle","34","0","0","36","32","1","19","0","4","4","2","1"
"edge_position_preserving_shuffle","34","0","0","168","103","3","65","1","70","10","10","3"
"length_frequency_shuffle","35","0","0","36","32","4","18","0","4","4","2","2"
"edge_position_preserving_shuffle","35","1","1","208","143","6","75","4","74","12","9","2"
"length_frequency_shuffle","36","0","0","43","36","1","22","1","7","5","3","1"
"edge_position_preserving_shuffle","36","0","0","166","111","7","49","1","67","9","9","2"
"length_frequency_shuffle","37","0","0","42","37","1","27","0","6","4","3","1"
"edge_position_preserving_shuffle","37","0","0","159","97","13","36","0","69","11","9","4"
"length_frequency_shuffle","38","0","0","55","38","0","26","0","17","6","5","0"
"edge_position_preserving_shuffle","38","0","0","162","108","5","61","2","62","9","10","5"
"length_frequency_shuffle","39","0","0","57","46","4","20","0","11","9","3","2"
"edge_position_preserving_shuffle","39","0","0","150","102","4","56","2","60","12","10","2"
"length_frequency_shuffle","40","0","0","48","43","2","20","1","5","3","3","2"
"edge_position_preserving_shuffle","40","0","0","156","73","3","47","0","86","11","11","3"
"length_frequency_shuffle","41","0","0","47","37","0","25","0","10","8","3","0"
"edge_position_preserving_shuffle","41","0","0","197","142","8","78","1","59","13","9","3"
"length_frequency_shuffle","42","0","0","40","34","0","24","0","6","6","2","0"
"edge_position_preserving_shuffle","42","0","0","210","128","7","74","2","90","15","12","5"
"length_frequency_shuffle","43","0","0","54","47","2","32","1","8","6","3","2"
"edge_position_preserving_shuffle","43","0","0","155","89","5","57","3","77","11","10","4"
"length_frequency_shuffle","44","0","0","43","40","0","31","0","3","3","2","0"
"edge_position_preserving_shuffle","44","0","0","136","73","8","32","1","71","11","10","3"
"length_frequency_shuffle","45","0","0","44","41","2","27","0","5","3","3","2"
"edge_position_preserving_shuffle","45","0","0","196","123","8","65","3","100","14","13","6"
"length_frequency_shuffle","46","0","0","44","34","0","25","0","10","8","3","0"
"edge_position_preserving_shuffle","46","0","0","235","147","7","74","0","103","11","13","2"
"length_frequency_shuffle","47","0","0","44","41","0","29","1","3","3","2","0"
"edge_position_preserving_shuffle","47","1","1","147","91","3","50","2","64","15","9","2"
"length_frequency_shuffle","48","0","0","51","37","1","27","1","15","4","5","1"
"edge_position_preserving_shuffle","48","0","0","152","107","4","66","1","51","12","6","2"
"length_frequency_shuffle","49","0","0","43","39","1","26","0","4","4","2","1"
"edge_position_preserving_shuffle","49","0","0","140","83","3","50","1","62","10","10","3"
"length_frequency_shuffle","50","0","0","40","35","0","26","0","5","5","2","0"
"edge_position_preserving_shuffle","50","0","0","143","92","5","46","1","58","14","9","3"
"length_frequency_shuffle","51","0","0","64","57","1","36","0","8","6","3","1"
"edge_position_preserving_shuffle","51","0","0","132","88","3","54","0","46","15","5","3"
"length_frequency_shuffle","52","0","0","35","30","0","23","0","5","5","2","0"
"edge_position_preserving_shuffle","52","0","0","132","94","3","55","0","41","17","5","1"
"length_frequency_shuffle","53","0","0","48","46","1","30","0","2","2","2","1"
"edge_position_preserving_shuffle","53","0","0","174","100","4","68","0","81","16","11","4"
"length_frequency_shuffle","54","0","0","43","40","1","25","0","4","4","2","1"
"edge_position_preserving_shuffle","54","0","0","156","78","8","60","0","87","11","12","3"
"length_frequency_shuffle","55","0","0","40","28","0","21","0","12","5","4","0"
"edge_position_preserving_shuffle","55","0","0","120","67","5","35","1","54","13","8","3"
"length_frequency_shuffle","56","0","0","40","34","0","25","1","8","8","2","0"
"edge_position_preserving_shuffle","56","0","0","134","84","5","44","0","63","16","9","3"
"length_frequency_shuffle","57","0","0","45","35","0","22","0","10","8","3","0"
"edge_position_preserving_shuffle","57","0","0","167","112","0","82","0","56","14","9","0"
"length_frequency_shuffle","58","0","0","40","36","1","26","0","5","3","3","1"
"edge_position_preserving_shuffle","58","0","0","148","76","8","39","1","81","17","11","3"
"length_frequency_shuffle","59","0","0","41","37","0","26","0","5","3","3","0"
"edge_position_preserving_shuffle","59","0","0","163","107","11","45","0","71","12","10","2"
"length_frequency_shuffle","60","0","0","56","52","1","34","1","5","3","3","1"
"edge_position_preserving_shuffle","60","0","0","181","121","10","60","1","71","12","10","5"
"length_frequency_shuffle","61","0","0","51","44","1","27","0","7","5","3","1"
"edge_position_preserving_shuffle","61","0","0","148","83","3","53","0","66","13","10","1"
"length_frequency_shuffle","62","0","0","46","41","2","28","0","5","5","2","2"
"edge_position_preserving_shuffle","62","0","0","155","76","4","36","2","85","13","11","2"
"length_frequency_shuffle","63","0","0","48","46","1","35","0","2","2","2","1"
"edge_position_preserving_shuffle","63","0","0","204","94","3","56","2","123","13","15","3"
"length_frequency_shuffle","64","0","0","38","30","0","22","0","8","6","3","0"
"edge_position_preserving_shuffle","64","0","0","183","98","2","63","0","88","12","12","2"
"length_frequency_shuffle","65","0","0","63","57","1","40","0","6","6","2","1"
"edge_position_preserving_shuffle","65","0","0","152","87","6","51","1","67","12","9","3"
"length_frequency_shuffle","66","0","0","56","52","3","27","0","5","5","2","1"
"edge_position_preserving_shuffle","66","0","0","133","96","10","44","0","40","13","7","1"
"length_frequency_shuffle","67","0","0","41","35","2","25","0","6","6","2","2"
"edge_position_preserving_shuffle","67","1","1","163","96","4","56","4","75","9","10","3"
"length_frequency_shuffle","68","0","0","38","36","0","26","0","2","2","2","0"
"edge_position_preserving_shuffle","68","0","0","160","95","5","45","2","68","12","11","3"
"length_frequency_shuffle","69","0","0","53","48","2","24","0","7","5","3","2"
"edge_position_preserving_shuffle","69","0","0","175","120","10","57","0","58","13","9","5"
"length_frequency_shuffle","70","0","0","40","35","1","20","0","6","6","2","1"
"edge_position_preserving_shuffle","70","0","0","177","107","4","57","2","87","6","12","2"
"length_frequency_shuffle","71","0","0","59","51","2","30","0","8","6","3","2"
"edge_position_preserving_shuffle","71","0","0","140","91","7","44","1","58","15","8","2"
"length_frequency_shuffle","72","0","0","46","43","0","27","0","3","3","2","0"
"edge_position_preserving_shuffle","72","0","0","144","93","2","59","2","60","12","9","2"
"length_frequency_shuffle","73","0","0","41","35","0","26","0","7","7","2","0"
"edge_position_preserving_shuffle","73","0","0","155","96","7","51","0","65","12","10","2"
"length_frequency_shuffle","74","0","0","62","56","2","28","0","9","7","3","2"
"edge_position_preserving_shuffle","74","0","0","157","102","6","61","0","70","12","9","4"
"length_frequency_shuffle","75","0","0","51","40","2","25","0","12","7","4","2"
"edge_position_preserving_shuffle","75","0","0","172","91","6","64","2","88","12","12","2"
"length_frequency_shuffle","76","0","0","43","39","1","25","0","7","2","4","1"
"edge_position_preserving_shuffle","76","0","0","133","76","2","49","0","63","12","7","2"
"length_frequency_shuffle","77","0","0","33","30","0","21","0","3","3","2","0"
"edge_position_preserving_shuffle","77","0","0","193","136","5","83","1","61","15","9","3"
"length_frequency_shuffle","78","0","0","38","30","0","21","1","9","9","2","0"
"edge_position_preserving_shuffle","78","1","1","122","79","1","42","1","54","14","8","1"
"length_frequency_shuffle","79","0","0","48","32","0","24","0","16","5","5","0"
"edge_position_preserving_shuffle","79","0","0","168","110","9","61","2","75","12","11","6"
"length_frequency_shuffle","80","0","0","73","66","3","35","0","7","3","3","3"
"edge_position_preserving_shuffle","80","0","0","155","81","3","54","0","82","12","10","3"
"length_frequency_shuffle","81","0","0","60","52","1","34","0","10","8","3","1"
"edge_position_preserving_shuffle","81","0","0","170","123","4","79","0","55","10","8","4"
"length_frequency_shuffle","82","0","0","40","36","0","30","0","4","4","2","0"
"edge_position_preserving_shuffle","82","0","0","141","82","2","52","0","68","12","10","2"
"length_frequency_shuffle","83","0","0","49","40","3","22","0","10","6","3","1"
"edge_position_preserving_shuffle","83","0","0","149","85","7","55","1","71","16","10","5"
"length_frequency_shuffle","84","0","0","40","34","0","28","0","6","6","2","0"
"edge_position_preserving_shuffle","84","0","0","148","93","6","55","0","61","13","10","4"
"length_frequency_shuffle","85","0","0","30","27","1","17","1","3","3","2","1"
"edge_position_preserving_shuffle","85","0","0","191","111","9","54","2","84","13","12","2"
"length_frequency_shuffle","86","0","0","43","38","2","21","0","6","4","3","2"
"edge_position_preserving_shuffle","86","0","0","139","80","1","49","2","66","14","9","1"
"length_frequency_shuffle","87","0","0","43","40","1","25","0","3","1","3","1"
"edge_position_preserving_shuffle","87","0","0","161","98","3","55","2","72","11","10","3"
"length_frequency_shuffle","88","0","0","55","43","1","25","1","13","8","4","1"
"edge_position_preserving_shuffle","88","1","1","174","88","6","38","0","98","9","13","2"
"length_frequency_shuffle","89","0","0","46","41","0","26","2","5","3","3","0"
"edge_position_preserving_shuffle","89","0","0","111","70","5","38","0","43","13","5","3"
"length_frequency_shuffle","90","0","0","66","55","3","27","0","13","9","3","3"
"edge_position_preserving_shuffle","90","0","0","137","97","4","53","2","45","16","8","2"
"length_frequency_shuffle","91","0","0","53","45","0","30","1","8","6","3","0"
"edge_position_preserving_shuffle","91","0","0","142","83","7","42","1","62","13","9","2"
"length_frequency_shuffle","92","0","0","55","50","1","32","0","6","6","2","1"
"edge_position_preserving_shuffle","92","0","0","149","101","11","53","1","61","10","9","5"
"length_frequency_shuffle","93","0","0","43","38","0","26","0","5","5","2","0"
"edge_position_preserving_shuffle","93","0","0","148","86","5","50","0","70","11","8","5"
"length_frequency_shuffle","94","0","0","47","41","0","29","0","7","7","2","0"
"edge_position_preserving_shuffle","94","0","0","162","124","4","83","2","50","10","8","4"
"length_frequency_shuffle","95","0","0","41","36","1","32","0","7","7","2","1"
"edge_position_preserving_shuffle","95","0","0","144","84","5","46","0","65","11","8","3"
"length_frequency_shuffle","96","0","0","36","31","1","20","1","7","5","3","1"
"edge_position_preserving_shuffle","96","0","0","151","107","5","59","0","48","13","8","3"
"length_frequency_shuffle","97","0","0","47","39","2","26","0","8","4","3","2"
"edge_position_preserving_shuffle","97","0","0","133","93","6","45","1","48","11","8","4"
"length_frequency_shuffle","98","0","0","59","47","2","31","0","12","5","4","2"
"edge_position_preserving_shuffle","98","1","1","159","85","2","43","0","81","16","11","1"
"length_frequency_shuffle","99","0","0","76","67","6","20","2","14","5","4","1"
"edge_position_preserving_shuffle","99","1","1","169","103","5","47","2","77","15","11","1"
"length_frequency_shuffle","100","0","0","57","49","1","34","0","9","4","4","1"
"edge_position_preserving_shuffle","100","0","0","185","137","1","111","0","50","9","9","1"
"length_frequency_shuffle","101","0","0","43","34","0","25","1","10","8","3","0"
"edge_position_preserving_shuffle","101","0","0","161","115","6","72","0","50","14","6","4"
"length_frequency_shuffle","102","0","0","45","38","1","25","0","7","5","3","1"
"edge_position_preserving_shuffle","102","0","0","110","77","1","47","2","39","11","6","1"
"length_frequency_shuffle","103","0","0","34","25","0","20","1","9","9","2","0"
"edge_position_preserving_shuffle","103","0","0","139","97","8","54","0","44","13","5","6"
"length_frequency_shuffle","104","0","0","51","45","1","29","0","6","6","2","1"
"edge_position_preserving_shuffle","104","0","0","126","80","3","54","3","54","15","7","3"
"length_frequency_shuffle","105","0","0","52","42","1","26","0","11","6","4","1"
"edge_position_preserving_shuffle","105","0","0","126","69","0","52","0","60","11","7","0"
"length_frequency_shuffle","106","0","0","48","43","2","30","1","8","6","3","2"
"edge_position_preserving_shuffle","106","0","0","152","122","4","80","0","31","15","6","2"
"length_frequency_shuffle","107","0","0","42","37","0","27","0","5","5","2","0"
"edge_position_preserving_shuffle","107","0","0","173","104","3","61","0","70","12","11","1"
"length_frequency_shuffle","108","0","0","54","47","2","33","0","7","5","3","2"
"edge_position_preserving_shuffle","108","0","0","148","83","6","37","1","75","12","10","1"
"length_frequency_shuffle","109","0","0","43","36","1","24","0","8","6","3","1"
"edge_position_preserving_shuffle","109","0","0","115","62","2","36","0","56","10","9","2"
"length_frequency_shuffle","110","0","0","40","38","1","24","0","2","2","2","1"
"edge_position_preserving_shuffle","110","0","0","145","84","4","66","0","68","11","10","4"
"length_frequency_shuffle","111","0","0","39","38","0","25","1","1","1","2","0"
"edge_position_preserving_shuffle","111","0","0","135","89","1","61","0","47","16","7","1"
"length_frequency_shuffle","112","0","0","56","48","1","34","1","8","4","3","1"
"edge_position_preserving_shuffle","112","1","3","130","85","9","31","3","57","11","9","3"
"length_frequency_shuffle","113","0","0","41","39","1","24","1","2","2","2","1"
"edge_position_preserving_shuffle","113","0","0","198","124","9","62","1","78","11","11","4"
"length_frequency_shuffle","114","0","0","38","30","2","21","0","8","3","4","2"
"edge_position_preserving_shuffle","114","0","0","121","80","2","57","1","43","13","6","2"
"length_frequency_shuffle","115","0","0","40","31","2","21","0","11","9","3","2"
"edge_position_preserving_shuffle","115","0","0","155","94","4","49","1","74","11","11","2"
"length_frequency_shuffle","116","0","0","43","39","2","22","0","5","5","2","2"
"edge_position_preserving_shuffle","116","1","1","172","107","13","44","0","72","16","10","4"
"length_frequency_shuffle","117","0","0","48","41","0","27","0","8","4","3","0"
"edge_position_preserving_shuffle","117","0","0","175","139","6","77","0","45","12","7","6"
"length_frequency_shuffle","118","0","0","59","57","2","34","1","3","3","2","2"
"edge_position_preserving_shuffle","118","0","0","213","158","12","82","3","69","15","9","5"
"length_frequency_shuffle","119","0","0","52","47","1","27","0","5","3","3","1"
"edge_position_preserving_shuffle","119","0","0","171","79","4","43","0","97","14","13","2"
"length_frequency_shuffle","120","0","0","43","35","1","25","0","8","6","3","1"
"edge_position_preserving_shuffle","120","1","1","178","132","11","60","0","49","13","8","3"
"length_frequency_shuffle","121","0","0","57","51","3","33","0","10","5","4","3"
"edge_position_preserving_shuffle","121","0","0","184","82","6","44","1","108","11","13","4"
"length_frequency_shuffle","122","0","0","55","47","2","25","0","9","4","4","2"
"edge_position_preserving_shuffle","122","0","0","181","114","13","51","0","78","14","10","3"
"length_frequency_shuffle","123","0","0","41","31","3","17","0","10","6","3","1"
"edge_position_preserving_shuffle","123","0","0","213","115","7","61","3","111","10","13","5"
"length_frequency_shuffle","124","0","0","45","41","1","27","0","4","4","2","1"
"edge_position_preserving_shuffle","124","0","0","208","132","5","84","1","82","12","11","5"
"length_frequency_shuffle","125","0","0","66","55","4","25","1","16","6","4","4"
"edge_position_preserving_shuffle","125","0","0","143","102","11","47","2","48","13","5","2"
"length_frequency_shuffle","126","0","0","53","48","2","27","1","7","5","3","2"
"edge_position_preserving_shuffle","126","0","0","160","87","6","49","0","84","10","11","4"
"length_frequency_shuffle","127","0","0","54","48","2","27","2","6","4","3","2"
"edge_position_preserving_shuffle","127","0","0","158","120","8","73","1","45","12","7","4"
"length_frequency_shuffle","128","0","0","37","36","2","24","0","1","1","2","2"
"edge_position_preserving_shuffle","128","1","1","154","93","8","43","0","65","10","10","2"
"length_frequency_shuffle","129","0","0","66","58","0","45","0","9","7","3","0"
"edge_position_preserving_shuffle","129","1","1","169","120","7","54","0","57","14","7","3"
"length_frequency_shuffle","130","0","0","63","53","3","31","1","11","7","3","3"
"edge_position_preserving_shuffle","130","0","0","163","90","6","50","2","79","10","12","2"
"length_frequency_shuffle","131","0","0","58","50","2","27","0","10","3","4","2"
"edge_position_preserving_shuffle","131","0","0","139","89","9","42","1","57","13","9","4"
"length_frequency_shuffle","132","0","0","50","47","1","27","0","4","4","2","1"
"edge_position_preserving_shuffle","132","1","1","173","102","8","34","2","89","8","11","4"
"length_frequency_shuffle","133","0","0","50","45","0","28","0","6","4","3","0"
"edge_position_preserving_shuffle","133","0","0","131","77","5","37","0","59","14","8","3"
"length_frequency_shuffle","134","0","0","48","40","0","24","0","9","7","3","0"
"edge_position_preserving_shuffle","134","0","0","163","112","3","79","1","55","13","7","3"
"length_frequency_shuffle","135","0","0","51","43","2","26","0","9","7","3","2"
"edge_position_preserving_shuffle","135","0","0","133","83","7","41","2","59","12","9","5"
"length_frequency_shuffle","136","0","0","51","46","1","32","0","6","6","2","1"
"edge_position_preserving_shuffle","136","1","3","169","121","4","56","0","56","14","8","2"
"length_frequency_shuffle","137","0","0","47","44","1","25","0","4","4","2","1"
"edge_position_preserving_shuffle","137","0","0","148","104","6","51","2","52","8","9","4"
"length_frequency_shuffle","138","0","0","47","40","1","31","0","7","7","2","1"
"edge_position_preserving_shuffle","138","0","0","208","123","7","73","0","93","12","12","5"
"length_frequency_shuffle","139","0","0","43","36","2","19","0","7","7","2","2"
"edge_position_preserving_shuffle","139","0","0","137","78","2","49","0","59","13","9","2"
"length_frequency_shuffle","140","0","0","48","42","2","28","0","8","6","3","2"
"edge_position_preserving_shuffle","140","0","0","118","73","1","46","1","49","12","6","1"
"length_frequency_shuffle","141","0","0","40","35","1","21","0","5","5","2","1"
"edge_position_preserving_shuffle","141","0","0","172","110","7","62","2","69","13","9","5"
"length_frequency_shuffle","142","0","0","41","30","0","24","0","11","4","4","0"
"edge_position_preserving_shuffle","142","0","0","132","91","4","50","2","52","15","8","4"
"length_frequency_shuffle","143","0","0","66","51","3","29","0","16","5","5","3"
"edge_position_preserving_shuffle","143","0","0","163","94","1","59","1","79","10","11","1"
"length_frequency_shuffle","144","0","0","33","30","1","22","0","3","3","2","1"
"edge_position_preserving_shuffle","144","0","0","177","118","11","52","0","68","12","10","4"
"length_frequency_shuffle","145","0","0","39","31","0","23","1","9","4","4","0"
"edge_position_preserving_shuffle","145","0","0","173","117","8","57","3","69","13","11","4"
"length_frequency_shuffle","146","0","0","39","36","3","24","0","3","3","2","1"
"edge_position_preserving_shuffle","146","0","0","174","102","11","56","0","77","12","11","5"
"length_frequency_shuffle","147","0","0","38","31","1","25","0","8","6","3","1"
"edge_position_preserving_shuffle","147","1","1","252","130","9","54","6","140","8","16","5"
"length_frequency_shuffle","148","0","0","53","47","0","29","0","7","5","3","0"
"edge_position_preserving_shuffle","148","0","0","126","89","3","49","1","39","13","6","1"
"length_frequency_shuffle","149","0","0","49","45","0","30","0","4","4","2","0"
"edge_position_preserving_shuffle","149","0","0","154","95","7","63","0","65","16","9","7"
"length_frequency_shuffle","150","0","0","40","34","1","25","0","6","4","3","1"
"edge_position_preserving_shuffle","150","0","0","191","106","4","61","1","98","15","12","2"
"length_frequency_shuffle","151","0","0","41","37","0","27","0","4","4","2","0"
"edge_position_preserving_shuffle","151","1","1","161","126","8","57","7","54","13","9","2"
"length_frequency_shuffle","152","0","0","44","39","1","25","1","5","5","2","1"
"edge_position_preserving_shuffle","152","0","0","164","100","5","51","1","74","9","9","3"
"length_frequency_shuffle","153","0","0","47","41","1","24","0","7","7","2","1"
"edge_position_preserving_shuffle","153","0","0","234","141","11","73","0","108","8","14","4"
"length_frequency_shuffle","154","0","0","75","63","3","32","1","14","7","4","3"
"edge_position_preserving_shuffle","154","0","0","112","63","3","36","0","51","15","7","1"
"length_frequency_shuffle","155","0","0","51","44","1","30","0","9","4","4","1"
"edge_position_preserving_shuffle","155","0","0","163","87","2","61","0","86","8","11","2"
"length_frequency_shuffle","156","0","0","45","40","1","29","0","6","4","3","1"
"edge_position_preserving_shuffle","156","0","0","155","83","4","48","2","76","14","10","4"
"length_frequency_shuffle","157","0","0","60","54","0","35","0","6","6","2","0"
"edge_position_preserving_shuffle","157","0","0","172","99","4","56","1","81","9","11","2"
"length_frequency_shuffle","158","0","0","52","37","1","29","0","16","10","3","1"
"edge_position_preserving_shuffle","158","0","0","144","67","3","38","0","82","12","11","3"
"length_frequency_shuffle","159","0","0","42","39","2","25","1","4","4","2","2"
"edge_position_preserving_shuffle","159","0","0","162","88","4","50","1","84","13","12","2"
"length_frequency_shuffle","160","0","0","39","35","0","25","0","5","3","3","0"
"edge_position_preserving_shuffle","160","0","0","199","139","6","80","1","71","12","10","4"
"length_frequency_shuffle","161","0","0","50","46","1","25","1","5","5","2","1"
"edge_position_preserving_shuffle","161","0","0","136","79","5","37","1","67","10","9","5"
"length_frequency_shuffle","162","0","0","40","35","1","20","0","6","6","2","1"
"edge_position_preserving_shuffle","162","0","0","170","99","8","52","0","76","12","10","4"
"length_frequency_shuffle","163","0","0","37","30","1","22","0","9","5","3","1"
"edge_position_preserving_shuffle","163","0","0","165","107","2","69","0","59","9","8","2"
"length_frequency_shuffle","164","0","0","55","52","2","28","1","5","3","3","2"
"edge_position_preserving_shuffle","164","0","0","130","86","5","53","0","48","12","8","5"
"length_frequency_shuffle","165","0","0","47","44","1","29","0","5","5","2","1"
"edge_position_preserving_shuffle","165","0","0","178","102","10","40","3","88","10","12","1"
"length_frequency_shuffle","166","0","0","65","54","1","33","1","13","6","4","1"
"edge_position_preserving_shuffle","166","0","0","203","91","4","55","0","120","14","15","2"
"length_frequency_shuffle","167","0","0","62","53","2","34","1","11","7","3","2"
"edge_position_preserving_shuffle","167","0","0","156","89","4","50","1","73","14","10","2"
"length_frequency_shuffle","168","0","0","45","37","0","24","0","10","5","4","0"
"edge_position_preserving_shuffle","168","1","1","156","85","5","38","0","76","11","11","3"
"length_frequency_shuffle","169","0","0","43","37","2","26","0","6","6","2","2"
"edge_position_preserving_shuffle","169","0","0","159","93","7","44","2","75","13","10","5"
"length_frequency_shuffle","170","0","0","36","33","0","27","0","3","3","2","0"
"edge_position_preserving_shuffle","170","0","0","153","78","3","52","0","79","12","10","3"
"length_frequency_shuffle","171","0","0","68","57","2","32","0","11","4","4","2"
"edge_position_preserving_shuffle","171","0","0","132","60","3","29","1","74","9","10","1"
"length_frequency_shuffle","172","0","0","48","44","0","27","0","4","4","2","0"
"edge_position_preserving_shuffle","172","0","0","184","125","7","69","5","68","15","10","5"
"length_frequency_shuffle","173","0","0","47","39","0","30","1","8","3","4","0"
"edge_position_preserving_shuffle","173","0","0","177","144","8","77","6","60","12","8","6"
"length_frequency_shuffle","174","0","0","44","41","0","27","1","4","4","2","0"
"edge_position_preserving_shuffle","174","0","0","169","93","4","62","1","86","14","11","2"
"length_frequency_shuffle","175","0","0","31","28","0","24","0","3","3","2","0"
"edge_position_preserving_shuffle","175","0","0","153","98","7","55","0","62","13","9","5"
"length_frequency_shuffle","176","0","0","47","41","1","28","0","7","7","2","1"
"edge_position_preserving_shuffle","176","0","0","178","84","4","52","4","106","14","14","2"
"length_frequency_shuffle","177","0","0","40","35","0","29","0","5","5","2","0"
"edge_position_preserving_shuffle","177","0","0","183","106","8","65","3","106","13","13","4"
"length_frequency_shuffle","178","0","0","56","46","0","29","0","11","9","3","0"
"edge_position_preserving_shuffle","178","1","1","156","113","6","50","3","59","12","9","4"
