score,reasons,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
8,same_type;same_symbol;same_cult;same_shape,2674.1,M-147,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-B 953,27.1,26.7,6.7,+226-803-002-220-455-520+
8,same_type;same_symbol;same_cult;same_shape,2675.1,M-148,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 5310245,24.1,24.1,0,+740-817-556+
8,same_type;same_symbol;same_cult;same_shape,2676.1,M-149,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,D619233,21.6,21.6,0,+740-760-440-060-550+
8,same_type;same_symbol;same_cult;same_shape,2677.1,M-150,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 1365236,25.4,25.4,0,+740-832+
8,same_type;same_symbol;same_cult;same_shape,2682.1,M-155,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-E 2217187,26.7,27.9,0,+740-176-031+
8,same_type;same_symbol;same_cult;same_shape,2734.1,M-210,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK9086656,21.8,21.8,5.8,+368-861-903+
8,same_type;same_symbol;same_cult;same_shape,2737.1,M-213,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-C 3155150,22.9,22.9,0,+740-384-002-390-346+
8,same_type;same_symbol;same_cult;same_shape,3142.1,M-717,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-E 1345078,27.9,27.9,0,+740-142-061-002-861+
8,same_type;same_symbol;same_cult;same_shape,3163.1,M-739,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,-,31.5,31,8 - 13.5,+090-740-100-415-002-031-350-550-692+
8,same_type;same_symbol;same_cult;same_shape,3286.1,M-878,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 4411092,26.7,26.7,0,+740-900-005-741-390-125+
8,same_type;same_symbol;same_cult;same_shape,3287.1,M-879,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK7908121,26.7,26.7,6.4,+740-400-142-061+
8,same_type;same_symbol;same_cult;same_shape,3353.1,M-958,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK12583348,22.6,22.1,6.6,+740-772-240-002-900-003-590+
8,same_type;same_symbol;same_cult;same_shape,5515.1,M-891,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,DK-C 3191,27,27,7 - 10,+000-000[
