object,site,region,type,material,shape,symbol,condition,complete,prev,next,next_is_terminal_partner,text
H-1033,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,520,862,false,+220-500-520-002-862-032+
H-1058,Harappa,Inter-Riverine,SEAL,Steatite,NA,NA,Poor,N,019,000,false,]740-019-002-000[
H-1043,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,003,861,true,+151-760-220-003-002-861+
H-1517,Harappa,Inter-Riverine,ROD,Ivory,conical,NA,Fair,Y,005,<END>,false,+405-005-002+
H-1449,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,<START>,861,true,]002-861+
H-811,Harappa,Inter-Riverine,TAB:B,Faience,twisted rectangular,NA,Fair,Y,176,920,false,+317-740-335-740-176-002-920-491+
H-1874,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,<START>,220,false,+002-220-455-000+
M-984,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,004,817,true,+390-004-002-817+
H-2015,Harappa,Inter-Riverine,TAB:B,Clay,rectangular-round,NA,Poor,Y,832,817,true,+520-033-705-235-832-002-817+
H-1942,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,035,861,true,+405-035-002-861+
H-1865,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,061,000,false,+740-702-061-002-000+
M-1914,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,832,817,true,]000-832-002-817+
H-1967,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,Poor,Y,382,820,true,+382-760-382-002-820+
H-1882,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,<START>,820,true,+002-820+
H-910,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,<START>,861,true,+002-861-416+
H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,032,820,true,]000-032-002-820+
H-1671,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:S,Good,Y,061,455,false,+740-061-002-455-420-032+
H-1723,Harappa,Inter-Riverine,TAG:L,NA,NA,NA,Poor,N,880,000,false,]000-880-002-000[
H-1692,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,Y,590,861,true,+740-390-590-002-861+
-:543.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,064,003,false,+000-480-003-064-002-003-861+
H-2022,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,175,861,true,+740-752-175-002-861+
H-1864,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,062,817,true,+740-142-062-002-817+
H-2338,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,061,575,false,]740-061-002-575-000[
-:617.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,575,false,]740-000-000-002-575-000[
H-1706,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,003,293,false,+405-003-002-293-360+
H-1662,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,140,546,false,+033-033/740-142-061-140-002-546+
M-1806,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,003,820,true,+390-003-002-820+
H-833,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,554,820,true,+526-554-002-820+
H-1131,Harappa,Inter-Riverine,TAB:B,NA,twisted rectangular,NA,Poor,Y,240,861,true,+740-482-240-002-861+
H-1670,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,240,824,false,+740-760-033-033-240-002-824+
H-1993,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,N,004,390,false,+740-000-220-004-002-390-095+
H-1930,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,920,861,true,+408-817-920-002-861+
M-1063,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,004,861,true,+407-004-002-861+
H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,470,861,true,+154-806-470-002-861+
H-1667,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,540,817,true,+740-540-002-817+
-:960.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,<START>,002,false,+002-002+
H-470,Harappa,Inter-Riverine,SEAL:S,NA,NA,Bull1:W,Poor,N,<START>,000,false,]002-000[
H-1966,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gaur,Good,Y,049,861,true,+520-233-049-002-861+
H-1726,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,Y,491,817,true,+740-100-692-491-002-817+
H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,690,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
H-1851,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,031,861,true,+740-803-892-031-002-861+
H-1739,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,?,034,817,true,]034-002-817[
-:1047.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,<START>,003,false,+002-003+
H-1050,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,235,817,true,+804-235-002-817+
H-3,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,017,611,false,+740-585-017-002-611-615-703+
H-8,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,706,690,false,+354-001-740-405-590-033-706-002-690-921+
H-12,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,235,817,true,+740-690-435-255-803-220-240-235-002-817+
H-13,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,503,817,true,+740-760-615-503-002-817+
M-110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,000,817,true,+000-000-002-817+
H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,032,820,true,]000-220-032-002-820+
H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,806,817,true,+405-061-527-555-233-235-806-002-817+
H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,806,405,false,+740-920-320-233-806-002-405-321+
H-31,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,240,365,false,+740-100-415-240-002-365-374-000+
H-41,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,N,000,690,false,]000-002-690+
H-42,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,Y,235,817,true,+740-380-235-002-817+
H-44,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,803,031,false,+520-033-706-235-798-803-002-031-892+
H-45,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,101,820,true,+090-740-101-002-820+
H-51,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,240,861,true,+740-643-240-002-861+
H-55,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fair,Y,004,861,true,+390-004-002-861-125+
H-60,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:II,Poor,Y,003,820,true,+621-740-900-003/002-820+
H-68,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,003,390,false,+090-740-220-003-002-390-072+
H-74,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,<START>,610,false,+002-610-125-032+
H-78,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,N,806,575,false,]000-806-002-575-000+
H-82,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,Y,017,220,false,+390-017-002-220-455-741+
H-85,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Zebu,Poor,Y,219,817,true,+520-219-002-817+
H-92,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Elep,Fair,Y,416,615,false,+156-176-518-220-416-002-615+
H-100,Harappa,Inter-Riverine,SEAL:S,Clay,square,NA,Poor,N,000,000,false,+520-031-000-002-000+
H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,031,861,true,+409-061-740-235-220-031-002-861-244-165+
H-130,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fair,Y,806,595,false,+409-032-845-033-705-231-806-002-595-812-125-717+
H-131,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,055,595,false,+740-032-840-233-240-033-706-055-002-595-575-794-000+
H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,003,861,true,+740-405-590-220-003-002-861+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,806,861,true,+740-773-231-806-002-861+
H-137,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,233,817,true,+740-443-388-033-705-233-002-817+
H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,032,817,true,+740-384-032-002-817+
H-141,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,070,233,false,+405-032-900-003-070-002-233-235+
H-149,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,220,820,true,+405-061-033-706-794-630-220-002-820+
H-164,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Poor,Y,097,817,true,+161-097-002-817+
H-177,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Fair,Y,031,817,true,+700-033-151-706-031-002-817+
H-231,Harappa,Inter-Riverine,TAB:B,Faience,elliptical,NA,Fair,Y,240,820,true,+520-220-240-002-820+
H-244,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,104,820,true,+104-002-820+
H-1155,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Bull1:I,Fair,Y,240,405,false,+520-240-002-405-501+
H-268,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,803,220,false,+740-585-017-033-706-803-002-220-455-920+
H-272,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,240,305,false,+740-585-017-240-002-305-032-904+
H-273,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,240,820,true,]000-240-002-820+
H-285,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,382,<END>,false,+740-382-002[
H-375,Harappa,Inter-Riverine,POT:T:g,NA,NA,NA,Good,N,220,000,false,]000-220-002-000[
H-383,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:Q,Poor,N,705,000,false,+740-585-017-033-705-002-000+
H-385,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,220,595,false,+000-220-002-595-632-354-850+
H-388,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,806,817,true,+520-033-706-231-806-002-817+
H-389,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,235,031,false,+740-405-590-235-002-031-480-625+
H-405,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,806,863,false,+236-806-002-863+
H-408,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,240,702,false,+740-176-240-002-702-503+
H-410,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Good,Y,830,861,true,+368-840-830-002-861+
H-417,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,706,000,false,+740-255-706-002-000[
H-426,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,235,460,false,]000-240-235-002-460-511+
H-444,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,032,861,true,+241-220-032-002-861+
H-445,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,N,803,000,false,]235-803-002-000+
H-446,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,798,861,true,+740-585-798-002-861-216+
H-455,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,Y,705,172,false,+520-033-705-002-172-032+
H-456,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,706,817,true,+520-033-706-002-817-808+
H-457,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Fair,Y,003,416,false,+740-798-003-002-416+
H-459,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:T,Poor,Y,231,817,true,+527-555-231-002-817+
H-461,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:S,Good,N,384,452,false,+090-740-384-002-452-000+
H-464,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,N,176,798,false,+000-176-002-798-590-032+
H-468,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,003,940,false,+740-900-003-002-940-705+
H-476,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,717,000,false,+740-100-717-002-000[
H-478,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,235,817,true,+740-770-235-002-817+
H-480,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,<START>,416,false,]002-416+
H-484,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,?,233,817,true,]233-002-817+
H-486,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,<START>,000,false,]002-000-861-031+
H-506,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,820,820,true,+294-350-595-820-002-820+
H-514,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,016,820,true,+151-220-016-002-820+
H-561,Harappa,Inter-Riverine,SEAL:S,NA,square,NA,Poor,N,226,000,false,+226-002-000[
H-563,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,?,335,630,false,+740-335-002-630[
H-574,Harappa,Inter-Riverine,SEAL,Steatite,square,NA,Poor,N,803,820,true,]000-803-002-820+
H-593,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,240,220,false,+740-760-235-240-002-220-000[
H-597,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,032,861,true,+740-390-590-070-032-002-861+
H-598,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,240,435,false,+740-639-240-002-435-255-777+
H-600,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,<START>,368,false,+002-368-260+
H-609,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,231,817,true,]798-233-231-002-817-000+
H-611,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,Y,550,125,false,+527-550-002-125-590+
H-612,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,495,825,false,+740-615-495-002-825+
H-639,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,N,235,717,false,+407-000-000-705-832-904-845-235-002-717-747+
H-640,Harappa,Inter-Riverine,SEAL:R,NA,cuboid-convex,NA,Poor,?,032,817,true,]220-032-002-817+
H-649,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,806,820,true,+520-033-705-233-240-806-002-820+
H-651,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,031,861,true,]031-002-861+
H-653,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,000,820,true,+000-000-000-000-002-820+
H-658,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,900,817,true,]900-002-817+
H-663,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,405,<END>,false,]405-002[
H-688,Harappa,Inter-Riverine,SEAL,NA,NA,NA,Poor,Y,233,861,true,+520-233-002-861-831-165+
H-701,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Goat,Poor,?,240,418,false,]240-002-418+
H-702,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Mult,Poor,Y,137,820,true,+137-002-820+
H-706,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,Poor,Y,137,820,true,+700-033-137-002-820+
H-719,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Phyt,Fair,Y,004,861,true,+405-004-002-861+
H-773,Harappa,Inter-Riverine,TAB:B,Faience,plano-convex,NA,Fair,Y,803,390,false,+740-798-803-002-390-530-741+
H-829,Harappa,Inter-Riverine,TAB:B,NA,semi-circular,NA,Fair,Y,139,820,true,+139-002-820+
H-838,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,495,817,true,+740-615-495-002-817+
H-844,Harappa,Inter-Riverine,TAB:B,NA,prism,Xhch,Poor,N,840,<END>,false,+740-840-002+
H-904,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,840,<END>,false,+740-032-840-002+
H-909,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,<START>,820,true,+002-820-000[
Jk-2,Jhukar,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,233,817,true,+740-803-233-002-817+
K-2,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,N,017,000,false,+740-585-017-002-000+
K-4,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,140,741,false,+036-269-140-002-741-060-920+
K-10,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fine,Y,255,368,false,+740-690-435-255-002-368-861-590-032-368+
K-12,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,003,820,true,+000-003-002-820+
K-18,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fair,Y,307,762,false,+307-002-762-463-140+
K-23,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Good,Y,441,820,true,+740-441-002-820-033+
K-24,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,093,252,false,+740-760-093-002-252-575+
K-25,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,231,220,false,+520-231-002-220-065-132-082+
K-28,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Good,Y,335,285,false,+440-411-740-335-002-285-491+
K-33,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Buff,Fine,Y,226,861,true,+226-002-861+
K-40,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Elep,Fine,Y,031,861,true,+760-031-002-861-791-440-717+
K-44,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,N,176,000,false,+740-337-176-002-000-000[
K-54,Kalibangan,Inter-Riverine,SEAL:S,Terracotta,square,NA,Fair,N,000,870,false,+000-002-870+
K-156,Kalibangan,Inter-Riverine,TAG,Terracotta,rectangular,Bull1,Fair,Y,417,056,false,+892-890-417-002-056-091+
K-78,Kalibangan,Inter-Riverine,TAB:B,Terracotta,rectangular-round,Gavi,Good,Y,390,820,true,+740-817-390-002-820+
M-712,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,003,861,true,+390-003-002-861+
K-85,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Elep,Fair,Y,033,861,true,+520-033-002-861+
K-87,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Mult,Poor,N,000,861,true,+740-000-000-002-861[
K-88,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Poor,N,460,861,true,+740-000-460-002-861+
K-89,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Fair,Y,362,360,false,+090-740-362-002-360-832+
K-89,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Fair,N,000,000,false,+000-033-705-000-002-000+
K-89,Kalibangan,Inter-Riverine,TAG:L,NA,NA,Bull1,Fair,N,350,595,false,+001-350-002-595-390-000+
Kd-15,Kot-Diji,Lower Indus,POT:T:g,Clay,NA,NA,Poor,?,<START>,700,false,]002-700+
Lh-1,Lohumjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,235,392,false,+740-760-615-104-717-235-002-392-590-125+
L-1,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Fine,Y,233,812,false,+527-550-233-002-812-095+
L-4,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,233,575,false,+090-740-100-233-002-575-031+
L-5,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:J,Poor,N,000,455,false,+740-760-552/000-002-455-692-416+
L-10,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:L,Fair,N,491,000,false,+520-033-705-233-240-460-491-002-000+
L-11,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:L,Good,Y,778,817,true,+590-705-435-255-778-002-817+
L-12,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:L,Poor,N,354,130,false,+000-798-000-354-002-130-035[
L-15,Lothal,Gujarat/Kutch,SEAL:S,Clay,square,NA,Poor,N,032,415,false,+000-000-000-000/032-832-032-002-415+
L-18,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:S,Good,Y,031,820,true,+415-031-002-820+
L-25,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,N,016,000,false,+740-016-002-000[
