checked_date,object,row_id,site,type,shape,material,context,head_if_xslot,left_1,left_2,right_1,terminal,tail_after_705,exception_shape,text
2026-05-31,L-11,1990.1,Lothal,SEAL:S,square,Steatite,non_002_Xslot,,590,<START>,435,false,435 255 778 002 817,,+590-705-435-255-778-002-817+
2026-05-31,L-85,2039.1,Lothal,SEAL:R,cuboid-convex,-,non_002_Xslot,,285,<START>,<END>,true,<END>,,+285-705+
2026-05-31,L-115,2064.1,Lothal,SEAL:R,rectangular,Clay,non_002_Xslot,,575,<START>,056,false,056 031,,+575-705-056-031+
2026-05-31,L-127,5388.1,Lothal,TAG:L,-,Clay,non_002_Xslot,,500,741,<END>,true,<END>,,+090-740-220-055-001-741-500-705+
2026-05-31,M-1359,3658.1,Mohenjo-daro,SEAL,-,Steatite,non_002_Xslot,,033,520,<END>,true,<END>,,+520-033-705+
2026-05-31,L-183,2107.1,Lothal,TAG,-,Clay,non_002_Xslot,,717,<START>,002,false,002,,]717-705-002[
2026-05-31,M-1696,2178.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,220,false,220 415 002 861,,+520-033-705-220-415-002-861+
2026-05-31,M-2003,2200.1,Mohenjo-daro,POT:T:s,-,Clay,non_002_Xslot,,820,831,<END>,true,<END>,,]740-831-820-705+
2026-05-31,M-2004,2201.1,Mohenjo-daro,POT:T:s,-,Clay,non_002_Xslot,,035,000,<END>,true,<END>,,+000-035-705+
2026-05-31,M-1067,3441.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,140,<START>,<END>,true,<END>,,+140-705[
2026-05-31,M-1890,2245.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,240,false,240 235,,+520-033-705-240-235[
2026-05-31,M-1765,2255.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,632,140,002,false,002 093 033,,+215-031-480-140-632-705-002-093-033+
2026-05-31,M-656,2257.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,920,000,803,false,803 002 861,,]000-920-705-803-002-861+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,square,Steatite,002_H_705_Xslot,320,320,002,125,false,125,320-705-125,+740-773-233-803-002-320-705-125+
2026-05-31,M-1772,2297.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,435,<END>,true,<END>,,+740-400-142-061-002-798-435-255-705+
2026-05-31,M-1967,2326.1,Mohenjo-daro,SEAL:R,rectangular,Steatite,non_002_Xslot,,033,520,002,false,002 585,,+520-033-705-002-585[
2026-05-31,M-1715,2385.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,923,060,false,060 692,,+740-923-033-705-060-692+
2026-05-31,M-433,2927.1,Mohenjo-daro,TAB:B,circular,-,non_002_Xslot,,033,590,000,false,000,,+740-390-590-033-705-000+
2026-05-31,M-1954,2422.1,Mohenjo-daro,SEAL:R,rectangular,Steatite,non_002_Xslot,,033,752,220,false,220 415 798 002 861,,+740-407-590-031-752-033-705-220-415-798-002-861+
2026-05-31,M-1978,2445.1,Mohenjo-daro,SEAL:R,rectangular,Steatite,non_002_Xslot,,033,061,236,false,236,,+405-061-033-705-236+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,233,false,233 240 002 610 125 032,,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-1906,2478.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,233,false,233 235 060 820,,+520-033-705-233-235-060-820+
2026-05-31,M-1723,2486.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,840,798,false,798,,+740-032-840-033-705-798+
2026-05-31,-:2488.2,2488.2,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,033,923,<END>,true,<END>,,+001-740-923-033-705+
2026-05-31,M-1679,2497.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,000,585,741,false,741 460 353,,+740-176-585-000-705-741-460-353+
2026-05-31,M-1524,3777.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,033,585,233,false,233 235 806,,+407-585-033-705-233-235-806+
2026-05-31,M-4,2533.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,465,231,false,231 002 564 617 033,,+298-465-033-705-231-002-564-617-033+
2026-05-31,M-39,2567.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,<START>,<START>,240,false,240 235 013 204 346,,]705-240-235-013-204-346+
2026-05-31,M-44,2572.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,760,803,false,803 002 920 317,,+740-760-033-705-803-002-920-317+
2026-05-31,M-50,2578.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,017,240,false,240 798 002 820,,+740-585-017-033-705-240-798-002-820+
2026-05-31,M-54,2582.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,240,798,false,798 002 820,,+236-240-033-705-798-002-820+
2026-05-31,M-72,2600.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,740,140,false,140 003 002 861,,+740-255-705-140-003-002-861+
2026-05-31,M-86,2613.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,231,false,231 002 820 700,,+520-033-705-231-002-820-700+
2026-05-31,M-100,2627.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,740,002,false,002 861,,+090-740-255-705-002-861+
2026-05-31,M-117,2644.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,220,false,220 803 055 002 820,,+520-033-705-220-803-055-002-820+
2026-05-31,M-118,2645.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,772,233,false,233 803 002 861,,+740-772-033-705-233-803-002-861+
2026-05-31,M-128,2655.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,500,741,<END>,true,<END>,,+740-923-803-741-500-705+
2026-05-31,M-135,2662.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,031,false,031,,+520-033-705-031+
2026-05-31,M-168,2693.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,277,031,000,false,000 060 920,,+031-277-705-000-060-920+
2026-05-31,M-223,2747.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,740,<START>,<END>,true,<END>,,+740-705+
2026-05-31,M-248,2771.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,002,415,590,false,590,,+740-100-415-002-705-590+
2026-05-31,M-276,2797.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,176,false,176,,+520-033-705-176+
2026-05-31,M-286,2807.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,740,<END>,true,<END>,,+740-255-705+
2026-05-31,M-303,2822.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,060,false,060 820,,+520-033-705-060-820+
2026-05-31,M-355,2851.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,033,032,231,false,231 235 002 861 360 520 919 140,,+740-877-032-033-705-231-235-002-861-360-520-919-140+
2026-05-31,M-359,2855.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,385,388,632,false,632,,+740-405-590-220-235-803-002-388-385-705-632+
2026-05-31,M-365,2861.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,033,550,220,false,220 415 060 550,,+527-550-033-705-220-415-060-550+
2026-05-31,M-421,2915.1,Mohenjo-daro,POT:T:s,oval,Clay,non_002_Xslot,,590,000,<END>,true,<END>,,+000-000-590-705+
2026-05-31,H-2584,2919.1,Harappa,TAG:R,-,Clay,non_002_Xslot,,033,095,<END>,true,<END>,,]806-468-520-095-033-705[
2026-05-31,M-426,2920.2,Mohenjo-daro,TAG:W,-,Clay,non_002_Xslot,,595,<START>,000,false,000,,+595-705-000[
2026-05-31,M-432,2926.1,Mohenjo-daro,TAB:B,circular,Paste,non_002_Xslot,,033,590,<END>,true,<END>,,+740-390-590-033-705+
2026-05-31,M-1547,3787.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,033,845,235,false,235,,+407-321-407-845-033-705-235+
2026-05-31,M-1568,3797.2,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,033,904,231,false,231 798,,+740-100-904-033-705-231-798+
2026-05-31,M-670,3109.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,<END>,true,<END>,,+154-031-001-520-033-705+
2026-05-31,M-714,3139.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,017,233,false,233 798 803 002 861 603,,+740-585-017-033-705-233-798-803-002-861-603+
2026-05-31,M-740,3164.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,742,491,575,false,575,,+226-491-742-705-575+
2026-05-31,M-754,3177.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,760,740,742,false,742 060 920,,+740-760-705-742-060-920+
2026-05-31,M-757,3180.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,233,false,233 235 808,,+520-033-705-233-235-808+
2026-05-31,M-785,3199.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,740,002,false,002 861,,+740-255-705-002-861+
2026-05-31,M-797,3211.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,000,<START>,803,false,803,,]000-705-803+
2026-05-31,M-814,3227.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,176,240,false,240 235 803,,+740-176-033-705-240-235-803+
2026-05-31,M-840,3252.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,031,233,false,233 001 920 374,,+046-031-033-705-233-001-920-374+
2026-05-31,M-1068,3442.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,033,520,240,false,240,,+520-033-705-240[
2026-05-31,M-863,3274.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,255,740,741,false,741 412,,+740-255-705-741-412+
2026-05-31,M-864,3275.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,000,<START>,632,false,632,,]000-705-632+
2026-05-31,M-868,3278.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,033,520,231,false,231 220 002 817,,+520-033-705-231-220-002-817+
2026-05-31,M-873,3282.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,231,false,231 060 550,,+520-033-705-231-060-550+
2026-05-31,M-880,3288.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,741,877,319,false,319,,+740-861-877-741-705-319+
2026-05-31,M-928,3324.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,243,<START>,031,false,031,,+243-705-031+
2026-05-31,M-932,3327.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,740,<START>,171,false,171 360 064,,+740-705-171-360-064+
2026-05-31,M-956,3351.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,233,false,233,,+400-520-033-705-233+
2026-05-31,M-957,3352.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,760,740,002,false,002 577,,+740-760-705-002-577+
2026-05-31,M-959,3354.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,236,false,236 803,,+520-033-705-236-803+
2026-05-31,M-985,3378.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,033,070,233,false,233 235 803,,+520-070-033-705-233-235-803+
2026-05-31,M-997,3389.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,590,<START>,575,false,575 920 140,,+590-705-575-920-140+
2026-05-31,M-1014,3399.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,297,391,717,false,717,,+842-391-297-705-717[
2026-05-31,M-1057,3431.1,Mohenjo-daro,SEAL:S,square,Faience,non_002_Xslot,,220,440,000,false,000,,+353-090-350-001-440-220-705-000[
2026-05-31,M-1155,3516.1,Mohenjo-daro,SEAL:S,square,Steatite,002_H_705_Xslot,033,033,002,<END>,true,<END>,,+740-760-335-002-033-705+
2026-05-31,M-1169,3529.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,220,false,220 032 231 072 002 270 633 032,,+520-033-705-220-032/231-072-002-270-633-032+
2026-05-31,M-1191,3542.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,810,595,455,false,455,,+455-257-000/595-810-705-455+
2026-05-31,M-1226,3561.1,Mohenjo-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,235,false,235 233 002 817,,+520-033-705-235-233-002-817+
2026-05-31,M-1299,3604.1,Mohenjo-daro,SEAL:R,rectangular,Steatite,non_002_Xslot,,033,550,233,false,233 002 817,,+527-550-033-705-233-002-817+
2026-05-31,M-1328,3633.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,033,807,233,false,233,,+740-388-807-033-705-233[
2026-05-31,M-1355,3655.1,Mohenjo-daro,SEAL:R,cuboid,Faience,non_002_Xslot,,033,727,838,false,838,,]000-727-033-705-838+
2026-05-31,M-1364,3663.2,Mohenjo-daro,SEAL:R,rectangular,Steatite,non_002_Xslot,,033,923,000,false,000,,+740-923-033-705-000[
2026-05-31,M-1375,3673.1,Mohenjo-daro,POT:T:s,-,Steatite,non_002_Xslot,,033,032,<END>,true,<END>,,+790-032-033-705+
2026-05-31,M-1396,3688.1,Mohenjo-daro,TAB:B,-,Clay,non_002_Xslot,,033,520,803,false,803 853,,+520-033-705-803-853+
2026-05-31,M-1397,3689.2,Mohenjo-daro,TAB:B,rectangular,Clay,non_002_Xslot,,167,<START>,000,false,000 360,,+167-705-000-360+
2026-05-31,M-1400,3691.2,Mohenjo-daro,TAB:B,rectangular-rounded,Clay,non_002_Xslot,,<START>,<START>,700,false,700 000,,+705-700-000+
2026-05-31,M-1629,3823.1,Mohenjo-daro,BNGL,-,Stoneware,non_002_Xslot,,<START>,<START>,032,false,032 595 090 175,,+705-032-595-090-175+
2026-05-31,Rgr-2,3867.1,Rakhigarhi,SEAL:R,rectangular,-,non_002_Xslot,,892,060,<END>,true,<END>,,+527-554-000-000-060-892-705+
2026-05-31,-:3884.1,3884.1,Tell Umma,TAG:L,-,Clay,non_002_Xslot,,002,004,127,false,127,,+390-004-002-705-127+
2026-05-31,M-1698,3909.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,033,482,002,false,002 861 803,,+740-482-033-705-002-861-803+
2026-05-31,H-1120,3968.1,Harappa,TAB:B,rectangular,-,non_002_Xslot,,000,000,<END>,true,<END>,,+740-000-000-705+
2026-05-31,M-1736,3985.1,Mohenjo-daro,SEAL:S,square,-,non_002_Xslot,,033,520,235,false,235 240 741 903 903,,+520-033-705-235-240-741-903-903+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,-,002_H_705_Xslot,390,390,002,<END>,true,<END>,,+157-031-002-390-705+
2026-05-31,M-2080,4032.1,Mohenjo-daro,BNGL,-,Stoneware,non_002_Xslot,,840,<START>,<END>,true,<END>,,+840-705+
2026-05-31,M-2128,4047.1,Mohenjo-daro,IMPL,-,Gold,non_002_Xslot,,041,<START>,002,false,002 905,,+041-705-002-905+
2026-05-31,H-1305,4078.1,Harappa,TAB:I,-,Steatite,non_002_Xslot,,000,400,<END>,true,<END>,,+400-000-705+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,-,-,non_002_Xslot,,002,231,530,false,530 904,,+740-390-590-231-002-705-530-904+
2026-05-31,-:4210.1,4210.1,Dholavira,SEAL:S,-,Steatite,non_002_Xslot,,033,520,235,false,235 803,,+520-033-705-235-803[
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,-,002_H_705_Xslot,390,390,002,<END>,true,<END>,,+151-032-388-002-390-705+
2026-05-31,-:4244.1,4244.1,Dholavira,MISC,-,Steatite,non_002_Xslot,,033,<START>,233,false,233 235 002 457,,+033-705-233-235-002-457+
2026-05-31,-:4249.1,4249.1,Dholavira,SEAL:S,square,Steatite,non_002_Xslot,,<START>,<START>,000,false,000 000,,+705-000-000+
2026-05-31,-:4276.1,4276.1,Dholavira,SEAL:R,rectangular,-,non_002_Xslot,,<START>,<START>,090,false,090 705,,]705-090-705+
2026-05-31,-:4276.1,4276.1,Dholavira,SEAL:R,rectangular,-,non_002_Xslot,,090,705,<END>,true,<END>,,]705-090-705+
2026-05-31,-:4312.1,4312.1,Dholavira,TAG,-,terracotta,non_002_Xslot,,229,000,906,false,906,,]000-229-705-906+
2026-05-31,-:4330.1,4330.1,Dholavira,TAG,-,-,non_002_Xslot,,000,<START>,906,false,906 550,,]000-705-906-550+
2026-05-31,-:4345.1,4345.1,Dholavira,TAG,square,Clay,non_002_Xslot,,000,<START>,002,false,002 861,,+000-705-002-861+
2026-05-31,-:5243.1,5243.1,Lakhanjo-daro,TAG,rectangular-round,Terracotta,non_002_Xslot,,740,<START>,000,false,000 000,,+740-705-000-000+
2026-05-31,M-2105,5406.1,Mohenjo-daro,ROD,-,Ivory,non_002_Xslot,,000,<START>,000,false,000,,]000-705-000-+
2026-05-31,-:5564.1,5564.1,Juna Khatiya,POT:T:g,-,-,non_002_Xslot,,032,000,<END>,true,<END>,,+000-032-705[
2026-05-31,-:5584.1,5584.1,Dholavira,TAG,-,terracotta,non_002_Xslot,,<START>,<START>,000,false,000,,]705-000[
