tail_initial,tail_after_002_861,tail_len,id,cisi,site,type,symbol,shape,material,class,condition,dir,text_length,text,prefix_last2_before_002_861,register_key,source_key,formula_key
<END>,<END>,0,805.1,H-1788,Harappa,TAB:B,None,rectangular,Faience,SP,Poor,R/L,5,+154-806-470-002-861+,806 470,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+154-806-470-002-861+
<END>,<END>,0,937.2,H-2011,Harappa,TAB:B,Bull1,elliptical,Clay,SP,Poor,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|Bull1|elliptical,Harappa|TAB:B|Bull1|elliptical|Clay,+740-482-240-002-861+
<END>,<END>,0,1004.1,H-1966,Harappa,TAB:B,Gaur,rectangular,Clay,SP,Good,R/L,5,+520-233-049-002-861+,233 049,Harappa|TAB:B|Gaur|rectangular,Harappa|TAB:B|Gaur|rectangular|Clay,+520-233-049-002-861+
<END>,<END>,0,1024.2,H-1851,Harappa,TAB:B,None,rectangular,Faience,SP,Good,R/L,6,+740-803-892-031-002-861+,892 031,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|Faience,+740-803-892-031-002-861+
<END>,<END>,0,1110.1,H-51,Harappa,SEAL:S,Bull1:W,square,Steatite,SP,Fair,R/L,5,+740-643-240-002-861+,643 240,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+740-643-240-002-861+
125,125,1,1114.1,H-55,Harappa,SEAL:S,Bull1:X,square,Steatite,IM,Fair,R/L,5,+390-004-002-861-125+,390 004,Harappa|SEAL:S|Bull1:X|square,Harappa|SEAL:S|Bull1:X|square|Steatite,+390-004-002-861-125+
244,244 165,2,1170.1,H-129,Harappa,SEAL:R,None,cuboid-convex,Steatite,LP,Good,R/L,10,+409-061-740-235-220-031-002-861-244-165+,220 031,Harappa|SEAL:R|None|cuboid-convex,Harappa|SEAL:R|None|cuboid-convex|Steatite,+409-061-740-235-220-031-002-861-244-165+
<END>,<END>,0,1175.1,H-134,Harappa,SEAL:R,None,cuboid-convex,Steatite,LP,Good,R/L,7,+740-405-590-220-003-002-861+,220 003,Harappa|SEAL:R|None|cuboid-convex,Harappa|SEAL:R|None|cuboid-convex|Steatite,+740-405-590-220-003-002-861+
<END>,<END>,0,1176.1,H-135,Harappa,SEAL:R,None,cuboid-convex,Steatite,LP,Fine,R/L,6,+740-773-231-806-002-861+,231 806,Harappa|SEAL:R|None|cuboid-convex,Harappa|SEAL:R|None|cuboid-convex|Steatite,+740-773-231-806-002-861+
<END>,<END>,0,1414.1,H-410,Harappa,SEAL:S,Bull1:L,square,Steatite,SC,Good,R/L,5,+368-840-830-002-861+,840 830,Harappa|SEAL:S|Bull1:L|square,Harappa|SEAL:S|Bull1:L|square|Steatite,+368-840-830-002-861+
<END>,<END>,0,1434.1,H-444,Harappa,SEAL:S,Bull1:W,square,-,SP,Good,R/L,5,+241-220-032-002-861+,220 032,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|-,+241-220-032-002-861+
216,216,1,1436.1,H-446,Harappa,SEAL:S,Bull1:J,square,Steatite,SP,Fair,R/L,6,+740-585-798-002-861-216+,585 798,Harappa|SEAL:S|Bull1:J|square,Harappa|SEAL:S|Bull1:J|square|Steatite,+740-585-798-002-861-216+
<END>,<END>,0,1540.1,H-597,Harappa,SEAL:S,Bull1:J,square,Steatite,LP,Fair,R/L,7,+740-390-590-070-032-002-861+,070 032,Harappa|SEAL:S|Bull1:J|square,Harappa|SEAL:S|Bull1:J|square|Steatite,+740-390-590-070-032-002-861+
831,831 165,2,1594.1,H-688,Harappa,SEAL,None,-,-,SP,Poor,R/L,6,+520-233-002-861-831-165+,520 233,Harappa|SEAL|None|-,Harappa|SEAL|None|-|-,+520-233-002-861-831-165+
<END>,<END>,0,1622.1,H-719,Harappa,TAB:B,Phyt,rectangular,Faience,IM,Fair,R/L,4,+405-004-002-861+,405 004,Harappa|TAB:B|Phyt|rectangular,Harappa|TAB:B|Phyt|rectangular|Faience,+405-004-002-861+
<END>,<END>,0,1695.1,H-806,Harappa,TAB:B,None,twisted rectangular-rounded,Clay,SP,Fair,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|Clay,+740-482-240-002-861+
<END>,<END>,0,1696.1,H-807,Harappa,TAB:B,None,twisted rectangular-rounded,-,SP,Poor,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|-,+740-482-240-002-861+
<END>,<END>,0,1697.1,H-808,Harappa,TAB:B,None,twisted rectangular-rounded,-,SP,Poor,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|-,+740-482-240-002-861+
416,416,1,1792.1,H-910,Harappa,TAB:I,None,rectangular,Steatite,SS,Poor,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+002-861-416+
<END>,<END>,0,1906.1,K-33,Kalibangan,SEAL:S,Buff,square,Steatite,IT,Fine,R/L,3,+226-002-861+,226,Kalibangan|SEAL:S|Buff|square,Kalibangan|SEAL:S|Buff|square|Steatite,+226-002-861+
791,791 440 717,3,1908.1,K-40,Kalibangan,SEAL:S,Elep,square,Steatite,LC,Fine,R/L,7,+760-031-002-861-791-440-717+,760 031,Kalibangan|SEAL:S|Elep|square,Kalibangan|SEAL:S|Elep|square|Steatite,+760-031-002-861-791-440-717+
<END>,<END>,0,1938.1,K-82,Kalibangan,TAG:L,Bull1,-,-,IM,Fair,R/L,4,+390-003-002-861+,390 003,Kalibangan|TAG:L|Bull1|-,Kalibangan|TAG:L|Bull1|-|-,+390-003-002-861+
<END>,<END>,0,1940.1,K-85,Kalibangan,TAG:L,Elep,-,-,IT,Fair,R/L,4,+520-033-002-861+,520 033,Kalibangan|TAG:L|Elep|-,Kalibangan|TAG:L|Elep|-|-,+520-033-002-861+
<END>,<END>,0,1943.1,K-88,Kalibangan,TAG:L,Bull1,-,-,??,Poor,R/L,5,+740-000-460-002-861+,000 460,Kalibangan|TAG:L|Bull1|-,Kalibangan|TAG:L|Bull1|-|-,+740-000-460-002-861+
626,626,1,2012.1,L-39,Lothal,SEAL:S,Bull1,square,Steatite,SC,Fair,R/L,5,+520-315-002-861-626+,520 315,Lothal|SEAL:S|Bull1|square,Lothal|SEAL:S|Bull1|square|Steatite,+520-315-002-861-626+
392,392,1,2017.1,L-46,Lothal,SEAL:S,Gaur,square,Steatite,LC,Poor,R/L,8,+527-388-233-740-176-002-861-392+,740 176,Lothal|SEAL:S|Gaur|square,Lothal|SEAL:S|Gaur|square|Steatite,+527-388-233-740-176-002-861-392+
<END>,<END>,0,2024.1,L-57,Lothal,SEAL:S,-,square,-,SC,Fair,L/R,3,+832-002-861+,832,Lothal|SEAL:S|-|square,Lothal|SEAL:S|-|square|-,+832-002-861+
<END>,<END>,0,2043.1,L-89,Lothal,SEAL:R,None,cuboid-convex,Steatite,SP,Good,R/L,5,+527-555-235-002-861+,555 235,Lothal|SEAL:R|None|cuboid-convex,Lothal|SEAL:R|None|cuboid-convex|Steatite,+527-555-235-002-861+
<END>,<END>,0,2073.1,L-130,Lothal,TAG,Bull1,-,Clay,IT,Fair,R/L,3,+236-002-861+,236,Lothal|TAG|Bull1|-,Lothal|TAG|Bull1|-|Clay,+236-002-861+
<END>,<END>,0,2074.1,L-131,Lothal,TAG,-,-,Clay,IT,Poor,R/L,3,+236-002-861+,236,Lothal|TAG|-|-,Lothal|TAG|-|-|Clay,+236-002-861+
<END>,<END>,0,2165.2,M-2060,Mohenjo-daro,POT:T:g,None,-,Clay,IT,Good,L/R,4,+740-176-002-861+,740 176,Mohenjo-daro|POT:T:g|None|-,Mohenjo-daro|POT:T:g|None|-|Clay,+740-176-002-861+
<END>,<END>,0,2178.1,M-1696,Mohenjo-daro,SEAL:S,Bull1:II,square,Steatite,LP,Fair,R/L,7,+520-033-705-220-415-002-861+,220 415,Mohenjo-daro|SEAL:S|Bull1:II|square,Mohenjo-daro|SEAL:S|Bull1:II|square|Steatite,+520-033-705-220-415-002-861+
<END>,<END>,0,2179.1,M-1880,Mohenjo-daro,SEAL:S,Gaur,square,Steatite,IT,Poor,R/L,4,+151-176-002-861+,151 176,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+151-176-002-861+
<END>,<END>,0,2228.1,M-1697,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,IM,Good,R/L,4,+390-003-002-861+,390 003,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+390-003-002-861+
683,683,1,2240.1,M-1674,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,LP,Good,R/L,7,+090-740-222-231-002-861-683+,222 231,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+090-740-222-231-002-861-683+
<END>,<END>,0,2251.1,M-1704,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,IT,Good,R/L,5,+740-760-605-002-861+,760 605,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-760-605-002-861+
<END>,<END>,0,2256.1,M-1753,Mohenjo-daro,SEAL:S,Bull1:L,square,Steatite,SP,Good,R/L,6,+740-760-519-240-002-861+,519 240,Mohenjo-daro|SEAL:S|Bull1:L|square,Mohenjo-daro|SEAL:S|Bull1:L|square|Steatite,+740-760-519-240-002-861+
<END>,<END>,0,2276.1,M-1726,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Good,R/L,6,+740-615-495-240-002-861+,495 240,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-615-495-240-002-861+
<END>,<END>,0,2277.1,M-1990,Mohenjo-daro,SEAL,None,rectangular,Steatite,LP,Poor,L/R,7,+740-760-440-240-220-002-861+,240 220,Mohenjo-daro|SEAL|None|rectangular,Mohenjo-daro|SEAL|None|rectangular|Steatite,+740-760-440-240-220-002-861+
<END>,<END>,0,2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,square,Faience,LP,Fair,R/L,8,+416-001-565-740-220-032-002-861+,220 032,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Faience,+416-001-565-740-220-032-002-861+
096,096,1,2318.1,M-2089,Mohenjo-daro,ROD,None,-,Ivory,SC,Poor,L/R,3,+002-861-096+,<START>,Mohenjo-daro|ROD|None|-,Mohenjo-daro|ROD|None|-|Ivory,+002-861-096+
<END>,<END>,0,2323.1,M-1755,Mohenjo-daro,SEAL:S,Bull1:L,square,Steatite,IT,Fair,R/L,4,+740-176-002-861+,740 176,Mohenjo-daro|SEAL:S|Bull1:L|square,Mohenjo-daro|SEAL:S|Bull1:L|square|Steatite,+740-176-002-861+
032,032 520 919 140,4,2342.1,M-1661,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,9,+520-070-219-002-861-032-520-919-140+,070 219,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+520-070-219-002-861-032-520-919-140+
<END>,<END>,0,2350.1,M-1899,Mohenjo-daro,SEAL:S,Zebu,square,Steatite,IC,Good,R/L,4,+924-132-002-861+,924 132,Mohenjo-daro|SEAL:S|Zebu|square,Mohenjo-daro|SEAL:S|Zebu|square|Steatite,+924-132-002-861+
<END>,<END>,0,2357.3,M-1928,Mohenjo-daro,SEAL:S,Buff,square,Steatite,??,Fair,L/R,5,+000-233-220-002-861+,233 220,Mohenjo-daro|SEAL:S|Buff|square,Mohenjo-daro|SEAL:S|Buff|square|Steatite,+000-233-220-002-861+
<END>,<END>,0,2376.1,M-1842,Mohenjo-daro,SEAL:S,Bull1,square,Steatite,??,Poor,R/L,5,+520-000-235-002-861+,000 235,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1|square|Steatite,+520-000-235-002-861+
<END>,<END>,0,2388.1,-,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,SP,Fair,R/L,5,+740-637-240-002-861+,637 240,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-637-240-002-861+
832,832,1,2389.1,M-1681,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,MS,Good,R/L,8,+520-072-233-740-798-002-861-832+,740 798,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+520-072-233-740-798-002-861-832+
<END>,<END>,0,2422.1,M-1954,Mohenjo-daro,SEAL:R,None,rectangular,Steatite,LP,Fair,R/L,12,+740-407-590-031-752-033-705-220-415-798-002-861+,415 798,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+740-407-590-031-752-033-705-220-415-798-002-861+
<END>,<END>,0,2450.1,M-1750,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,IM,Fair,R/L,4,+390-004-002-861+,390 004,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+390-004-002-861+
<END>,<END>,0,2509.1,M-1833,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,IM,Fair,R/L,4,+390-015-002-861+,390 015,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+390-015-002-861+
<END>,<END>,0,2536.1,M-7,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,9,+407-845-140-740-101-923-240-002-861+,923 240,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+407-845-140-740-101-923-240-002-861+
<END>,<END>,0,2543.1,M-15,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,IT,Good,R/L,5,+090-740-176-002-861+,740 176,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+090-740-176-002-861+
036,036 460 513,3,2548.1,M-20,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LC,Good,R/L,7,+390-005-002-861-036-460-513+,390 005,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+390-005-002-861-036-460-513+
<END>,<END>,0,2549.1,M-21,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,8,+350-001-740-362-692-032-002-861+,692 032,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+350-001-740-362-692-032-002-861+
<END>,<END>,0,2556.1,M-28,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,8,+892-374-740-760-840-416-002-861+,840 416,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+892-374-740-760-840-416-002-861+
<END>,<END>,0,2575.1,M-47,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,SP,Poor,R/L,5,+740-760-235-002-861+,760 235,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-760-235-002-861+
<END>,<END>,0,2600.1,M-72,Mohenjo-daro,SEAL:S,Bull1:V,square,Steatite,LP,Poor,R/L,7,+740-255-705-140-003-002-861+,140 003,Mohenjo-daro|SEAL:S|Bull1:V|square,Mohenjo-daro|SEAL:S|Bull1:V|square|Steatite,+740-255-705-140-003-002-861+
<END>,<END>,0,2604.1,M-77,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SC,Good,R/L,5,+832-390-803-002-861+,390 803,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+832-390-803-002-861+
255,255 416,2,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,LP,Good,R/L,9,+740-100-798-220-032-002-861-255-416+,220 032,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-100-798-220-032-002-861-255-416+
<END>,<END>,0,2627.1,M-100,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,IT,Good,R/L,6,+090-740-255-705-002-861+,255 705,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+090-740-255-705-002-861+
<END>,<END>,0,2645.1,M-118,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Fair,R/L,8,+740-772-033-705-233-803-002-861+,233 803,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-772-033-705-233-803-002-861+
<END>,<END>,0,2669.1,M-142,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,SP,Good,R/L,4,+136-140-002-861+,136 140,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+136-140-002-861+
<END>,<END>,0,2679.1,M-152,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,IT,Good,R/L,4,+740-772-002-861+,740 772,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-772-002-861+
<END>,<END>,0,2691.1,M-166,Mohenjo-daro,SEAL:S,Bull1:I,square,Steatite,SP,Poor,R/L,6,+390-844-240-806-002-861+,240 806,Mohenjo-daro|SEAL:S|Bull1:I|square,Mohenjo-daro|SEAL:S|Bull1:I|square|Steatite,+390-844-240-806-002-861+
<END>,<END>,0,2724.1,M-199,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,LP,Fair,R/L,7,+090-740-100-415-240-002-861+,415 240,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+090-740-100-415-240-002-861+
603,603,1,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,square,Steatite,LP,Good,R/L,7,+520-240-220-032-002-861-603+,220 032,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+520-240-220-032-002-861-603+
<END>,<END>,0,2806.1,M-285,Mohenjo-daro,SEAL:S,Elep,square,Steatite,SP,Fine,R/L,5,+504-350-240-002-861+,350 240,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+504-350-240-002-861+
<END>,<END>,0,2834.1,M-316,Mohenjo-daro,SEAL:S,None,square,Steatite,SC,Poor,L/R,5,+367-390-710-002-861+,390 710,Mohenjo-daro|SEAL:S|None|square,Mohenjo-daro|SEAL:S|None|square|Steatite,+367-390-710-002-861+
<END>,<END>,0,2845.1,M-327,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,IT,Good,R/L,4,+740-519-002-861+,740 519,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-519-002-861+
698,698,1,2847.1,M-329,Mohenjo-daro,SEAL:S,None,square,Steatite,SS,Fair,R/L,3,+002-861-698+,<START>,Mohenjo-daro|SEAL:S|None|square,Mohenjo-daro|SEAL:S|None|square|Steatite,+002-861-698+
698,698,1,2848.1,M-330,Mohenjo-daro,SEAL:S,None,square,Steatite,SS,Fair,R/L,3,+002-861-698+,<START>,Mohenjo-daro|SEAL:S|None|square,Mohenjo-daro|SEAL:S|None|square|Steatite,+002-861-698+
360,360 520 919 140,4,2851.1,M-355,Mohenjo-daro,SEAL:R,None,cuboid-convex,Steatite,LP,Good,R/L,13,+740-877-032-033-705-231-235-002-861-360-520-919-140+,231 235,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex|Steatite,+740-877-032-033-705-231-235-002-861-360-520-919-140+
533,533 717,2,2872.1,M-376,Mohenjo-daro,SEAL:R,None,cuboid-convex,Steatite,IT,Fair,R/L,7,+740-100-176-002-861-533-717+,100 176,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex|Steatite,+740-100-176-002-861-533-717+
533,533 717,2,2887.1,M-391,Mohenjo-daro,SEAL:R,None,cuboid-convex,-,LP,Good,R/L,12,+405-845-686-740-793-003-233-805-002-861-533-717+,233 805,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex|-,+405-845-686-740-793-003-233-805-002-861-533-717+
<END>,<END>,0,2938.1,M-453,Mohenjo-daro,TAB:B,Scene,rectangular,Faience,SP,Fair,R/L,6,+740-032-840-220-002-861+,840 220,Mohenjo-daro|TAB:B|Scene|rectangular,Mohenjo-daro|TAB:B|Scene|rectangular|Faience,+740-032-840-220-002-861+
<END>,<END>,0,3080.1,M-629,Mohenjo-daro,SEAL:S,Bull1:W,square,-,LP,Fine,R/L,7,+679-740-176-240-798-002-861+,240 798,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|-,+679-740-176-240-798-002-861+
<END>,<END>,0,3096.1,M-653,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Poor,R/L,5,+679-740-235-002-861+,740 235,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+679-740-235-002-861+
