scope,id,cisi,site,type,symbol,frame_kind,text,prefix_before_002,prefix_last1,prefix_last2,idx_002,tail_len,tail_next1,tail_full,terminal_861
all_002_strict_raw,1695.1,H-806,Harappa,TAB:B,None,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,1696.1,H-807,Harappa,TAB:B,None,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,1697.1,H-808,Harappa,TAB:B,None,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,1792.1,H-910,Harappa,TAB:I,None,,+002-861-416+,,<START>,<START>,0,1,416,416,false
all_002_strict_raw,1906.1,K-33,Kalibangan,SEAL:S,Buff,,+226-002-861+,226,226,226,1,0,<END>,<END>,true
all_002_strict_raw,1908.1,K-40,Kalibangan,SEAL:S,Elep,,+760-031-002-861-791-440-717+,760 031,031,760 031,2,3,791,791 440 717,false
all_002_strict_raw,1938.1,K-82,Kalibangan,TAG:L,Bull1,,+390-003-002-861+,390 003,003,390 003,2,0,<END>,<END>,true
all_002_strict_raw,1940.1,K-85,Kalibangan,TAG:L,Elep,,+520-033-002-861+,520 033,033,520 033,2,0,<END>,<END>,true
all_002_strict_raw,2012.1,L-39,Lothal,SEAL:S,Bull1,,+520-315-002-861-626+,520 315,315,520 315,2,1,626,626,false
all_002_strict_raw,2017.1,L-46,Lothal,SEAL:S,Gaur,,+527-388-233-740-176-002-861-392+,527 388 233 740 176,176,740 176,5,1,392,392,false
all_002_strict_raw,2024.1,L-57,Lothal,SEAL:S,-,,+832-002-861+,832,832,832,1,0,<END>,<END>,true
all_002_strict_raw,2043.1,L-89,Lothal,SEAL:R,None,,+527-555-235-002-861+,527 555 235,235,555 235,3,0,<END>,<END>,true
all_002_strict_raw,2073.1,L-130,Lothal,TAG,Bull1,,+236-002-861+,236,236,236,1,0,<END>,<END>,true
all_002_strict_raw,2074.1,L-131,Lothal,TAG,-,,+236-002-861+,236,236,236,1,0,<END>,<END>,true
all_002_strict_raw,2165.2,M-2060,Mohenjo-daro,POT:T:g,None,,+740-176-002-861+,740 176,176,740 176,2,0,<END>,<END>,true
all_002_strict_raw,2178.1,M-1696,Mohenjo-daro,SEAL:S,Bull1:II,,+520-033-705-220-415-002-861+,520 033 705 220 415,415,220 415,5,0,<END>,<END>,true
all_002_strict_raw,2179.1,M-1880,Mohenjo-daro,SEAL:S,Gaur,,+151-176-002-861+,151 176,176,151 176,2,0,<END>,<END>,true
all_002_strict_raw,2228.1,M-1697,Mohenjo-daro,SEAL:S,Bull1:W,,+390-003-002-861+,390 003,003,390 003,2,0,<END>,<END>,true
all_002_strict_raw,2240.1,M-1674,Mohenjo-daro,SEAL:S,Bull1:J,,+090-740-222-231-002-861-683+,090 740 222 231,231,222 231,4,1,683,683,false
all_002_strict_raw,2251.1,M-1704,Mohenjo-daro,SEAL:S,Bull1:W,,+740-760-605-002-861+,740 760 605,605,760 605,3,0,<END>,<END>,true
all_002_strict_raw,2256.1,M-1753,Mohenjo-daro,SEAL:S,Bull1:L,,+740-760-519-240-002-861+,740 760 519 240,240,519 240,4,0,<END>,<END>,true
all_002_strict_raw,2276.1,M-1726,Mohenjo-daro,SEAL:S,Bull1:W,,+740-615-495-240-002-861+,740 615 495 240,240,495 240,4,0,<END>,<END>,true
all_002_strict_raw,2277.1,M-1990,Mohenjo-daro,SEAL,None,,+740-760-440-240-220-002-861+,740 760 440 240 220,220,240 220,5,0,<END>,<END>,true
all_002_strict_raw,2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,,+416-001-565-740-220-032-002-861+,416 001 565 740 220 032,032,220 032,6,0,<END>,<END>,true
all_002_strict_raw,2318.1,M-2089,Mohenjo-daro,ROD,None,,+002-861-096+,,<START>,<START>,0,1,096,096,false
all_002_strict_raw,2323.1,M-1755,Mohenjo-daro,SEAL:S,Bull1:L,,+740-176-002-861+,740 176,176,740 176,2,0,<END>,<END>,true
all_002_strict_raw,2342.1,M-1661,Mohenjo-daro,SEAL:S,Bull1:W,,+520-070-219-002-861-032-520-919-140+,520 070 219,219,070 219,3,4,032,032 520 919 140,false
all_002_strict_raw,2350.1,M-1899,Mohenjo-daro,SEAL:S,Zebu,,+924-132-002-861+,924 132,132,924 132,2,0,<END>,<END>,true
all_002_strict_raw,2388.1,-,Mohenjo-daro,SEAL:S,Bull1:S,,+740-637-240-002-861+,740 637 240,240,637 240,3,0,<END>,<END>,true
all_002_strict_raw,2389.1,M-1681,Mohenjo-daro,SEAL:S,Bull1:W,,+520-072-233-740-798-002-861-832+,520 072 233 740 798,798,740 798,5,1,832,832,false
all_002_strict_raw,2422.1,M-1954,Mohenjo-daro,SEAL:R,None,,+740-407-590-031-752-033-705-220-415-798-002-861+,740 407 590 031 752 033 705 220 415 798,798,415 798,10,0,<END>,<END>,true
all_002_strict_raw,2450.1,M-1750,Mohenjo-daro,SEAL:S,Bull1:W,,+390-004-002-861+,390 004,004,390 004,2,0,<END>,<END>,true
all_002_strict_raw,2509.1,M-1833,Mohenjo-daro,SEAL:S,Bull1:S,,+390-015-002-861+,390 015,015,390 015,2,0,<END>,<END>,true
all_002_strict_raw,2536.1,M-7,Mohenjo-daro,SEAL:S,Bull1:W,,+407-845-140-740-101-923-240-002-861+,407 845 140 740 101 923 240,240,923 240,7,0,<END>,<END>,true
all_002_strict_raw,2543.1,M-15,Mohenjo-daro,SEAL:S,Bull1:W,,+090-740-176-002-861+,090 740 176,176,740 176,3,0,<END>,<END>,true
all_002_strict_raw,2548.1,M-20,Mohenjo-daro,SEAL:S,Bull1:W,,+390-005-002-861-036-460-513+,390 005,005,390 005,2,3,036,036 460 513,false
all_002_strict_raw,2549.1,M-21,Mohenjo-daro,SEAL:S,Bull1:W,,+350-001-740-362-692-032-002-861+,350 001 740 362 692 032,032,692 032,6,0,<END>,<END>,true
all_002_strict_raw,2556.1,M-28,Mohenjo-daro,SEAL:S,Bull1:W,,+892-374-740-760-840-416-002-861+,892 374 740 760 840 416,416,840 416,6,0,<END>,<END>,true
all_002_strict_raw,2575.1,M-47,Mohenjo-daro,SEAL:S,Bull1:J,,+740-760-235-002-861+,740 760 235,235,760 235,3,0,<END>,<END>,true
all_002_strict_raw,2600.1,M-72,Mohenjo-daro,SEAL:S,Bull1:V,,+740-255-705-140-003-002-861+,740 255 705 140 003,003,140 003,5,0,<END>,<END>,true
all_002_strict_raw,2604.1,M-77,Mohenjo-daro,SEAL:S,Bull1:W,,+832-390-803-002-861+,832 390 803,803,390 803,3,0,<END>,<END>,true
all_002_strict_raw,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,,+740-100-798-220-032-002-861-255-416+,740 100 798 220 032,032,220 032,5,2,255,255 416,false
all_002_strict_raw,2627.1,M-100,Mohenjo-daro,SEAL:S,Bull1:S,,+090-740-255-705-002-861+,090 740 255 705,705,255 705,4,0,<END>,<END>,true
all_002_strict_raw,2645.1,M-118,Mohenjo-daro,SEAL:S,Bull1:W,,+740-772-033-705-233-803-002-861+,740 772 033 705 233 803,803,233 803,6,0,<END>,<END>,true
all_002_strict_raw,2669.1,M-142,Mohenjo-daro,SEAL:S,Bull1:J,,+136-140-002-861+,136 140,140,136 140,2,0,<END>,<END>,true
all_002_strict_raw,2679.1,M-152,Mohenjo-daro,SEAL:S,Bull1:J,,+740-772-002-861+,740 772,772,740 772,2,0,<END>,<END>,true
all_002_strict_raw,2691.1,M-166,Mohenjo-daro,SEAL:S,Bull1:I,,+390-844-240-806-002-861+,390 844 240 806,806,240 806,4,0,<END>,<END>,true
all_002_strict_raw,2724.1,M-199,Mohenjo-daro,SEAL:S,Bull1:S,,+090-740-100-415-240-002-861+,090 740 100 415 240,240,415 240,5,0,<END>,<END>,true
all_002_strict_raw,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,,+520-240-220-032-002-861-603+,520 240 220 032,032,220 032,4,1,603,603,false
all_002_strict_raw,2806.1,M-285,Mohenjo-daro,SEAL:S,Elep,,+504-350-240-002-861+,504 350 240,240,350 240,3,0,<END>,<END>,true
all_002_strict_raw,2834.1,M-316,Mohenjo-daro,SEAL:S,None,,+367-390-710-002-861+,367 390 710,710,390 710,3,0,<END>,<END>,true
all_002_strict_raw,2845.1,M-327,Mohenjo-daro,SEAL:S,Bull1:J,,+740-519-002-861+,740 519,519,740 519,2,0,<END>,<END>,true
all_002_strict_raw,2847.1,M-329,Mohenjo-daro,SEAL:S,None,,+002-861-698+,,<START>,<START>,0,1,698,698,false
all_002_strict_raw,2848.1,M-330,Mohenjo-daro,SEAL:S,None,,+002-861-698+,,<START>,<START>,0,1,698,698,false
all_002_strict_raw,2851.1,M-355,Mohenjo-daro,SEAL:R,None,,+740-877-032-033-705-231-235-002-861-360-520-919-140+,740 877 032 033 705 231 235,235,231 235,7,4,360,360 520 919 140,false
all_002_strict_raw,2872.1,M-376,Mohenjo-daro,SEAL:R,None,,+740-100-176-002-861-533-717+,740 100 176,176,100 176,3,2,533,533 717,false
all_002_strict_raw,2887.1,M-391,Mohenjo-daro,SEAL:R,None,,+405-845-686-740-793-003-233-805-002-861-533-717+,405 845 686 740 793 003 233 805,805,233 805,8,2,533,533 717,false
all_002_strict_raw,2938.1,M-453,Mohenjo-daro,TAB:B,Scene,,+740-032-840-220-002-861+,740 032 840 220,220,840 220,4,0,<END>,<END>,true
all_002_strict_raw,3080.1,M-629,Mohenjo-daro,SEAL:S,Bull1:W,,+679-740-176-240-798-002-861+,679 740 176 240 798,798,240 798,5,0,<END>,<END>,true
all_002_strict_raw,3096.1,M-653,Mohenjo-daro,SEAL:S,Bull1:W,,+679-740-235-002-861+,679 740 235,235,740 235,3,0,<END>,<END>,true
all_002_strict_raw,3115.1,M-677,Mohenjo-daro,SEAL:S,Bull1:L,,+740-923-070-032-033-706-231-242-002-861-901+,740 923 070 032 033 706 231 242,242,231 242,8,1,901,901,false
all_002_strict_raw,3133.1,M-706,Mohenjo-daro,SEAL:S,Bull1:W,,+740-773-240-002-861-031+,740 773 240,240,773 240,3,1,031,031,false
all_002_strict_raw,3137.1,M-712,Mohenjo-daro,SEAL:S,Bull1:W,,+390-003-002-861+,390 003,003,390 003,2,0,<END>,<END>,true
all_002_strict_raw,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,,+740-585-017-033-705-233-798-803-002-861-603+,740 585 017 033 705 233 798 803,803,798 803,8,1,603,603,false
all_002_strict_raw,3142.1,M-717,Mohenjo-daro,SEAL:S,Bull1:J,,+740-142-061-002-861+,740 142 061,061,142 061,3,0,<END>,<END>,true
all_002_strict_raw,3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,,+740-460-510-235-220-032-002-861+,740 460 510 235 220 032,032,220 032,6,0,<END>,<END>,true
all_002_strict_raw,3148.1,M-724,Mohenjo-daro,SEAL:S,Bull1:J,,+390-721-790-002-861+,390 721 790,790,721 790,3,0,<END>,<END>,true
all_002_strict_raw,3195.1,M-781,Mohenjo-daro,SEAL:S,Bull1:S,,+520-033-706-002-861+,520 033 706,706,033 706,3,0,<END>,<END>,true
all_002_strict_raw,3197.1,M-783,Mohenjo-daro,SEAL:S,Bull1:S,,+151-061-002-861+,151 061,061,151 061,2,0,<END>,<END>,true
all_002_strict_raw,3199.1,M-785,Mohenjo-daro,SEAL:S,Bull1:S,,+740-255-705-002-861+,740 255 705,705,255 705,3,0,<END>,<END>,true
all_002_strict_raw,3207.1,M-793,Mohenjo-daro,SEAL:S,Bull1:W,,+740-388-235-240-798-002-861+,740 388 235 240 798,798,240 798,5,0,<END>,<END>,true
all_002_strict_raw,3208.1,M-794,Mohenjo-daro,SEAL:S,Bull1:S,,+804-231-002-861+,804 231,231,804 231,2,0,<END>,<END>,true
all_002_strict_raw,3226.1,M-813,Mohenjo-daro,SEAL:S,Bull1:S,,+161-390-590-002-861+,161 390 590,590,390 590,3,0,<END>,<END>,true
all_002_strict_raw,3228.1,M-815,Mohenjo-daro,SEAL:S,Bull1:W,,+520-070-233-798-002-861+,520 070 233 798,798,233 798,4,0,<END>,<END>,true
all_002_strict_raw,3246.1,M-834,Mohenjo-daro,SEAL:S,Bull1:J,,+151-390-590-900-002-861+,151 390 590 900,900,590 900,4,0,<END>,<END>,true
all_002_strict_raw,3262.1,M-850,Mohenjo-daro,SEAL:S,Bull1:L,,+740-100-415-002-861+,740 100 415,415,100 415,3,0,<END>,<END>,true
all_002_strict_raw,3279.1,M-869,Mohenjo-daro,SEAL:S,Bull1:S,,+740-100-415-002-861+,740 100 415,415,100 415,3,0,<END>,<END>,true
all_002_strict_raw,3306.1,M-901,Mohenjo-daro,SEAL:S,Bull1,,+090-125-002-861+,090 125,125,090 125,2,0,<END>,<END>,true
all_002_strict_raw,3315.1,M-918,Mohenjo-daro,SEAL:S,Bull1,,+390-869-002-861+,390 869,869,390 869,2,0,<END>,<END>,true
all_002_strict_raw,3329.1,M-934,Mohenjo-daro,SEAL:S,Bull1:W,,+526-555-235-002-861+,526 555 235,235,555 235,3,0,<END>,<END>,true
all_002_strict_raw,3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,,+520-220-032-002-861+,520 220 032,032,220 032,3,0,<END>,<END>,true
all_002_strict_raw,3437.1,M-1063,Mohenjo-daro,SEAL:S,-,,+407-004-002-861+,407 004,004,407 004,2,0,<END>,<END>,true
all_002_strict_raw,3486.1,M-1115,Mohenjo-daro,SEAL:S,Zebu,,+740-335-233-002-861+,740 335 233,233,335 233,3,0,<END>,<END>,true
all_002_strict_raw,3509.1,M-1148,Mohenjo-daro,SEAL:S,Elep,,+520-220-002-861+,520 220,220,520 220,2,0,<END>,<END>,true
all_002_strict_raw,3513.1,M-1152,Mohenjo-daro,SEAL:S,Elep,,+740-032-840-235-002-861+,740 032 840 235,235,840 235,4,0,<END>,<END>,true
all_002_strict_raw,3521.1,M-1161,Mohenjo-daro,SEAL:S,Elep,,+520-233-031-002-861+,520 233 031,031,233 031,3,0,<END>,<END>,true
all_002_strict_raw,3556.2,M-1206,Mohenjo-daro,SEAL:S,Gaur,,+740-690-435-255-002-861+,740 690 435 255,255,435 255,4,0,<END>,<END>,true
all_002_strict_raw,3574.1,M-1267,Mohenjo-daro,SEAL:R,None,,+416-001-740-720-175-002-861+,416 001 740 720 175,175,720 175,5,0,<END>,<END>,true
all_002_strict_raw,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,,+740-055-002-861-603+,740 055,055,740 055,2,1,603,603,false
all_002_strict_raw,3648.1,M-1343,Mohenjo-daro,SEAL,None,,+740-390-590-235-002-861+,740 390 590 235,235,590 235,4,0,<END>,<END>,true
all_002_strict_raw,3711.1,M-1426,Mohenjo-daro,TAB:B,None,,+740-760-036-220-415-798-002-861+,740 760 036 220 415 798,798,415 798,6,0,<END>,<END>,true
all_002_strict_raw,3908.1,M-1670,Mohenjo-daro,SEAL:S,Bull1:II,,+740-760-001-233-002-861+,740 760 001 233,233,001 233,4,0,<END>,<END>,true
all_002_strict_raw,3909.1,M-1698,Mohenjo-daro,SEAL:S,Bull1:W,,+740-482-033-705-002-861-803+,740 482 033 705,705,033 705,4,1,803,803,false
all_002_strict_raw,3970.1,H-1130,Harappa,TAB:B,None,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,3971.1,H-1131,Harappa,TAB:B,None,,+740-482-240-002-861+,740 482 240,240,482 240,3,0,<END>,<END>,true
all_002_strict_raw,4010.1,M-1973,Mohenjo-daro,SEAL:R,None,,+740-575-017-233-550-002-861+,740 575 017 233 550,550,233 550,5,0,<END>,<END>,true
all_002_strict_raw,4195.1,-,Dholavira,SEAL:S,Bull1:V,,+820-390-590-002-861+,820 390 590,590,390 590,3,0,<END>,<END>,true
all_002_strict_raw,4260.1,-,Dholavira,SEAL:R,None,,+390-016-002-861+,390 016,016,390 016,2,0,<END>,<END>,true
all_002_strict_raw,4272.1,-,Dholavira,SEAL:R,None,,+405-016-002-861+,405 016,016,405 016,2,0,<END>,<END>,true
all_002_strict_raw,5575.1,-,Unknown,SEAL:S,Bull:i:J,,+136-002-861+,136,136,136,1,0,<END>,<END>,true
after_032_strict_raw,69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,outside_032,+740-176-032-002-861+,740 176 032,032,176 032,3,0,<END>,<END>,true
after_032_strict_raw,1434.1,H-444,Harappa,SEAL:S,Bull1:W,non240_a_220_032,+241-220-032-002-861+,241 220 032,032,220 032,3,0,<END>,<END>,true
after_032_strict_raw,1540.1,H-597,Harappa,SEAL:S,Bull1:J,outside_032,+740-390-590-070-032-002-861+,740 390 590 070 032,032,070 032,5,0,<END>,<END>,true
after_032_strict_raw,1540.2,H-597,Harappa,SEAL:S,Bull1:J,outside_032,+740-390-590-070-032-002-861+,740 390 590 070 032,032,070 032,5,0,<END>,<END>,true
after_032_strict_raw,2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,non240_a_220_032,+416-001-565-740-220-032-002-861+,416 001 565 740 220 032,032,220 032,6,0,<END>,<END>,true
after_032_strict_raw,2549.1,M-21,Mohenjo-daro,SEAL:S,Bull1:W,outside_032,+350-001-740-362-692-032-002-861+,350 001 740 362 692 032,032,692 032,6,0,<END>,<END>,true
after_032_strict_raw,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,non240_a_220_032,+740-100-798-220-032-002-861-255-416+,740 100 798 220 032,032,220 032,5,2,255,255 416,false
after_032_strict_raw,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,target_240_220_032,+520-240-220-032-002-861-603+,520 240 220 032,032,220 032,4,1,603,603,false
after_032_strict_raw,3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,non240_a_220_032,+740-460-510-235-220-032-002-861+,740 460 510 235 220 032,032,220 032,6,0,<END>,<END>,true
after_032_strict_raw,3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,non240_a_220_032,+520-220-032-002-861+,520 220 032,032,220 032,3,0,<END>,<END>,true
