"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","global","14","edge_frame","1750","12","0.189714","0.062692","0.087865"
"all_eligible","global","14","token_nb","1750","12","0.186286","0.067494","0.083472"
"all_eligible","global","15","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","15","length","1750","12","0.197143","0.045549","0.080676"
"all_eligible","global","15","type","1750","12","0.216571","0.037002","0.086046"
"all_eligible","global","15","site","1750","12","0.207429","0.034496","0.081687"
"all_eligible","global","15","type_site","1750","12","0.190286","0.032624","0.075618"
"all_eligible","global","15","length_type_site","1750","12","0.199429","0.068947","0.087528"
"all_eligible","global","15","edge_frame","1750","12","0.186857","0.065917","0.08837"
"all_eligible","global","15","token_nb","1750","12","0.161714","0.061043","0.07383"
"all_eligible","global","16","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","16","length","1750","12","0.200571","0.046598","0.08172"
"all_eligible","global","16","type","1750","12","0.209143","0.03127","0.082372"
"all_eligible","global","16","site","1750","12","0.214286","0.035994","0.085701"
"all_eligible","global","16","type_site","1750","12","0.212","0.055711","0.08784"
"all_eligible","global","16","length_type_site","1750","12","0.191429","0.065728","0.084231"
"all_eligible","global","16","edge_frame","1750","12","0.182857","0.066177","0.089787"
"all_eligible","global","16","token_nb","1750","12","0.172","0.060748","0.076768"
"all_eligible","global","17","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","17","length","1750","12","0.175429","0.035868","0.070111"
"all_eligible","global","17","type","1750","12","0.213143","0.047354","0.08628"
"all_eligible","global","17","site","1750","12","0.206857","0.03583","0.0826"
"all_eligible","global","17","type_site","1750","12","0.200571","0.055011","0.085814"
"all_eligible","global","17","length_type_site","1750","12","0.148571","0.052648","0.066475"
"all_eligible","global","17","edge_frame","1750","12","0.194857","0.060087","0.084526"
"all_eligible","global","17","token_nb","1750","12","0.18","0.068934","0.08249"
"all_eligible","global","18","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","18","length","1750","12","0.218286","0.055019","0.089966"
"all_eligible","global","18","type","1750","12","0.22","0.056657","0.091172"
"all_eligible","global","18","site","1750","12","0.2","0.029432","0.078467"
"all_eligible","global","18","type_site","1750","12","0.172","0.052232","0.075023"
"all_eligible","global","18","length_type_site","1750","12","0.203429","0.074121","0.090914"
"all_eligible","global","18","edge_frame","1750","12","0.203429","0.060566","0.088081"
"all_eligible","global","18","token_nb","1750","12","0.202286","0.074814","0.091744"
"all_eligible","global","19","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","global","19","length","1750","12","0.214857","0.053599","0.088797"
"all_eligible","global","19","type","1750","12","0.218857","0.051365","0.088844"
"all_eligible","global","19","site","1750","12","0.209143","0.038193","0.083415"
"all_eligible","global","19","type_site","1750","12","0.191429","0.052669","0.080202"
"all_eligible","global","19","length_type_site","1750","12","0.202286","0.072715","0.091533"
"all_eligible","global","19","edge_frame","1750","12","0.182286","0.051204","0.077655"
"all_eligible","global","19","token_nb","1750","12","0.205143","0.073259","0.09156"
"all_eligible","length","0","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","0","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","0","type","1750","12","0.220571","0.067986","0.097693"
"all_eligible","length","0","site","1750","12","0.218286","0.040717","0.086467"
"all_eligible","length","0","type_site","1750","12","0.208","0.059888","0.089391"
"all_eligible","length","0","length_type_site","1750","12","0.346857","0.191926","0.205657"
"all_eligible","length","0","edge_frame","1750","12","0.247429","0.118738","0.129715"
"all_eligible","length","0","token_nb","1750","12","0.222857","0.102089","0.120853"
"all_eligible","length","1","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","1","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","1","type","1750","12","0.213143","0.07459","0.103825"
"all_eligible","length","1","site","1750","12","0.216571","0.035176","0.085434"
"all_eligible","length","1","type_site","1750","12","0.223429","0.064405","0.096388"
"all_eligible","length","1","length_type_site","1750","12","0.341143","0.184887","0.199644"
"all_eligible","length","1","edge_frame","1750","12","0.234857","0.105618","0.121031"
"all_eligible","length","1","token_nb","1750","12","0.235429","0.104692","0.124897"
"all_eligible","length","2","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","2","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","2","type","1750","12","0.208","0.052702","0.090071"
"all_eligible","length","2","site","1750","12","0.208571","0.033679","0.082302"
"all_eligible","length","2","type_site","1750","12","0.211429","0.070731","0.09717"
"all_eligible","length","2","length_type_site","1750","12","0.308","0.175155","0.185378"
"all_eligible","length","2","edge_frame","1750","12","0.241143","0.105608","0.119057"
"all_eligible","length","2","token_nb","1750","12","0.236571","0.114728","0.133572"
"all_eligible","length","3","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","3","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","3","type","1750","12","0.214286","0.049279","0.086569"
"all_eligible","length","3","site","1750","12","0.200571","0.028044","0.078629"
"all_eligible","length","3","type_site","1750","12","0.202857","0.067259","0.090357"
"all_eligible","length","3","length_type_site","1750","12","0.358286","0.199214","0.215023"
"all_eligible","length","3","edge_frame","1750","12","0.230857","0.096858","0.113328"
"all_eligible","length","3","token_nb","1750","12","0.221714","0.103996","0.123188"
