"target_cisi","target_row_id","target_short_text","target_bucket","original_triad_rank","independence_rank","evidence_tier","shared_match_count","shared_matches","object_core_count","visual_core_count","context_core_count","grade","long_context_relation","copy_pressure","control_033_cisi","control_033_score","control_032_cisi","control_032_score","target_source_hooks","control_033_source_hooks","control_032_source_hooks","local_use"
"H-1844","780.1","+700-034+","E_other_034_residue","72","22","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;cross_section;material;order;shape;side_relation;sides;site;type;v_bin","6","2","3","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-1872","33","H-1773","30","H96-3106;Figure 21.06","H96-2778;Figure 17.13","H2000-4392;Figure 37.08","source_targeting_only"
"H-1823","649.1","+700-034+","E_other_034_residue","56","23","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1872","35","H-1902","32","H95-2438;Figure 28.14","H96-2778;Figure 17.13","H98-3436;Figure 25.12","source_targeting_only"
"H-1825","467.1","+700-034+","E_other_034_residue","57","24","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1872","35","H-1902","32","H2001-5082;Figure 44.06","H96-2778;Figure 17.13","H98-3436;Figure 25.12","source_targeting_only"
"H-2070","862.1","+700-034+","E_other_034_residue","59","25","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;sides;site;symbol;type;v_bin","5","4","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-925","33","H-2185","34","H97-3324;Figure 16.19","3286512","H97-3292;Figure 16.06","source_targeting_only"
"H-780","1671.2","+700-034+","E_other_034_residue","65","26","B_source_ready_with_direction_or_reuse_pressure","12","context_class;cross_section;h_bin;material;order;period_phase;shape;side_relation;sides;site;symbol;type","6","1","3","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-770","33","H-1123","32","3789361","2177353","9015360","source_targeting_only"
"H-1880","831.1","+034-700+","A_034_direction_reversal","23","27","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","6","3","1","E_object_only","all_three_differ","moderate_repetition_pressure","H-1872","34","H-212","32","H97-3289;Figure 14.10","H96-2778;Figure 17.13","3890357","source_targeting_only"
"H-1138","198.2","+700-034+","E_other_034_residue","44","28","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","3","3","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-770","35","H-1102","34","-346","2177353","2891347","source_targeting_only"
"H-324","1346.2","+700-034+","E_other_034_residue","64","29","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;sides;site;symbol;type;v_bin","5","4","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-925","32","H-2185","33","11851484","3286512","H97-3292;Figure 16.06","source_targeting_only"
"H-1846","686.1","+700-034+","E_other_034_residue","58","30","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","3","2","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-770","32","H-1853","35","H95-2672;Figure 30.13","2177353","H2000-4395;Figure 39.01","source_targeting_only"
"H-823","1712.1","+700-034+","E_other_034_residue","84","31","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;aspect_bin;context_class;h_bin;order;shape;sides;site;symbol;type;v_bin","4","4","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-206","28","H-1853","30","H88-1196","J462345","H2000-4395;Figure 39.01","source_targeting_only"
"H-1894","382.1","+700-034+","E_other_034_residue","60","32","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;material;order;period_phase;shape;side_relation;sides;site;type;v_bin","5","3","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1883","34","H-1773","32","H2000-4391;Figure 37.09","H98-3498;Figure 24.10","H2000-4392;Figure 37.08","source_targeting_only"
"H-1871","784.1","+700-034+","E_other_034_residue","70","33","B_source_ready_with_direction_or_reuse_pressure","12","area_bin;aspect_bin;context_class;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","4","4","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1872","34","H-1902","30","H96-3110;Figure 21.04","H96-2778;Figure 17.13","H98-3436;Figure 25.12","source_targeting_only"
"H-985","1861.1","+700-034+","E_other_034_residue","78","34","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;aspect_bin;context_class;cross_section;order;shape;side_relation;sides;site;type;v_bin","5","3","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-356","30","H-2211","31","2528","2478","H97-3285;Figure 16.02","source_targeting_only"
"H-2208","549.1","+034-700+","A_034_direction_reversal","26","35","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;aspect_bin;context_class;cross_section;material;period_phase;shape;side_relation;sides;site;type","6","2","2","D_object_plus_some_context","all_three_differ","moderate_repetition_pressure","H-2209","32","H-2211","31","H94-2179;Figure 27.04","H95-2423","H97-3285;Figure 16.02","source_targeting_only"
"H-1895","406.1","+700-034+","E_other_034_residue","80","36","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type","5","2","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1898","31","H-1902","29","H2000-4457;Figure 39.03","H2000-4476;Figure 42.08","H98-3436;Figure 25.12","source_targeting_only"
"H-1987","394.1","+700-034+","E_other_034_residue","82","37","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;h_bin;order;period_phase;shape;side_relation;sides;site;symbol;type","4","2","3","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-1839","30","H-1853","30","H2000-4426;Figure 39.07","H95-2431;Figure 21.05","H2000-4395;Figure 39.01","source_targeting_only"
"H-2140","418.1","+700-034+","E_other_034_residue","62","38","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","2","B_visual_object_order_matched","all_three_differ","high_repetition_pressure","H-925","33","H-930","33","H2000-4475;Figure 42.01","3286512","J30520","source_targeting_only"
"H-2141","397.1","+700-034+","E_other_034_residue","63","39","B_source_ready_with_direction_or_reuse_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","2","B_visual_object_order_matched","all_three_differ","high_repetition_pressure","H-925","33","H-930","33","H2000-4433;Figure 38.01","3286512","J30520","source_targeting_only"
"H-1876","468.1","+034-700+","A_034_direction_reversal","27","40","B_source_ready_with_direction_or_reuse_pressure","9","area_bin;context_class;cross_section;material;shape;sides;site;type;v_bin","6","2","1","E_object_only","all_three_differ","high_repetition_pressure","H-790","32","H-1772","30","H2001-5083;Figure 43.11","12416605","H2000-4437;Figure 39.05","source_targeting_only"
"H-853","1739.2","+034-700+","A_034_direction_reversal","28","41","B_source_ready_with_direction_or_reuse_pressure","10","area_bin;aspect_bin;context_class;cross_section;shape;side_relation;sides;site;type;v_bin","5","3","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-846","31","H-854","28","13556","12750641","10010647","source_targeting_only"
"H-1877","396.1","+034-700+","A_034_direction_reversal","22","42","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","6","3","1","E_object_only","all_three_differ","high_repetition_pressure","H-1872","34","H-212","32","H2000-4428;Figure 41.06","H96-2778;Figure 17.13","3890357","source_targeting_only"
"H-358","1377.2","+034-700+","A_034_direction_reversal","30","43","B_source_ready_with_direction_or_reuse_pressure","8","area_bin;aspect_bin;context_class;h_bin;side_relation;site;symbol;type","2","3","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-355","28","H-1294","25","11390579","1274","PII-1499","source_targeting_only"
"H-2143","752.1","+700-034+","E_other_034_residue","91","44","B_source_ready_with_direction_or_reuse_pressure","8","area_bin;aspect_bin;context_class;h_bin;order;sides;site;type","3","3","2","F_partial_or_weak","all_three_differ","moderate_repetition_pressure","H-306","25","H-2211","26","H96-2780","13270","H97-3285;Figure 16.02","source_targeting_only"
"H-1868","509.1","+700-034+","E_other_034_residue","73","45","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;aspect_bin;context_class;h_bin;material;shape;sides;site;symbol;type;v_bin","5","4","1","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-1883","33","H-212","30","H90-1596;Figure 13.46 (j)","H98-3498;Figure 24.10","3890357","source_targeting_only"
"H-1869","508.1","+700-034+","E_other_034_residue","74","46","B_source_ready_with_direction_or_reuse_pressure","11","area_bin;aspect_bin;context_class;h_bin;material;shape;sides;site;symbol;type;v_bin","5","4","1","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-1883","33","H-212","30","H90-1595;Figure 13.46 (i)","H98-3498;Figure 24.10","3890357","source_targeting_only"
"H-1860","637.1","+700-034+","E_other_034_residue","39","47","C_repeated_target_family_pressure","15","area_bin;aspect_bin;cross_section;h_bin;long_token_set;material;order;period_phase;shape;side_relation;sides;site;symbol;type;v_bin","6","4","2","B_visual_object_order_matched","same_as_both_controls","high_repetition_pressure","H-1861","38","H-1865","35","H95-2422;Figure 28.09","H96-3053;Figure 21.08","H2000-4464;Figure 39.02","source_targeting_only"
"H-2102","1018.1","+700-034+","E_other_034_residue","52","48","C_repeated_target_family_pressure","12","area_bin;aspect_bin;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","1","B_visual_object_order_matched","same_as_033_control","high_repetition_pressure","H-2131","38","H-930","30","H99-3960;Figure 34.04","H96-2738;Figure 17.04","J30520","source_targeting_only"
"H-2105","642.2","+700-034+","A_034_no_longer_small_object","8","49","C_repeated_target_family_pressure","11","cross_section;long_token_set;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","1","2","D_object_plus_some_context","same_as_both_controls","high_repetition_pressure","H-929","34","H-2129","33","H95-2428;Figure 27.13","4253","H95-2515;Figure 30.05","source_targeting_only"
"H-910","1792.2","+700-034+","A_034_002_861_416_companion","1","50","C_repeated_target_family_pressure","14","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","4","3","A_strict_local_minimal_contrast","all_three_differ","high_repetition_pressure","H-916","35","H-1294","35","10994470","12516456","PII-1499","source_targeting_only"
"H-1874","388.1","+700-034+","E_other_034_residue","46","51","C_repeated_target_family_pressure","13","area_bin;aspect_bin;cross_section;h_bin;long_token_set;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1905","32","H-1804","37","H2000-4403;Figure 44.03","H2000-4505;Figure 46.03","H2001-5136;Figure 47.06","source_targeting_only"
"H-2130","823.1","+700-034+","E_other_034_residue","43","52","C_repeated_target_family_pressure","12","area_bin;aspect_bin;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","4","1","B_visual_object_order_matched","same_as_033_control","high_repetition_pressure","H-2131","40","H-930","30","H96-2709;Figure 17.02","H96-2738;Figure 17.04","J30520","source_targeting_only"
"H-939","1819.1","+700-034+","E_other_034_residue","55","53","C_repeated_target_family_pressure","12","area_bin;context_class;cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","3","2","D_object_plus_some_context","all_three_differ","high_repetition_pressure","H-916","33","H-930","34","J402","12516456","J30520","source_targeting_only"
"H-1981","393.1","+700-034+","E_other_034_residue","67","54","C_repeated_target_family_pressure","12","area_bin;aspect_bin;context_class;h_bin;long_token_set;order;shape;side_relation;sides;site;type;v_bin","4","4","3","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1993","34","H-768","31","H2000-4417;Figure 39.08","H96-2769;Figure 17.07","10997358","source_targeting_only"
"H-1870","901.1","+700-034+","E_other_034_residue","75","55","C_repeated_target_family_pressure","12","area_bin;aspect_bin;cross_section;long_token_set;material;order;side_relation;sides;site;symbol;type;v_bin","5","3","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1905","31","H-1804","32","H97-3380;Figure 14.16","H2000-4505;Figure 46.03","H2001-5136;Figure 47.06","source_targeting_only"
"H-952","1832.2","+700-034+","A_034_no_longer_small_object","9","56","C_repeated_target_family_pressure","11","area_bin;aspect_bin;cross_section;material;order;shape;sides;site;symbol;type;v_bin","6","3","1","D_object_plus_some_context","same_as_033_control","high_repetition_pressure","H-929","37","H-930","27","G257469","4253","J30520","source_targeting_only"
"H-307","1329.2","+700-034+","A_034_no_longer_small_object","6","57","C_repeated_target_family_pressure","13","area_bin;area_section;cross_section;h_bin;long_token_set;material;order;shape;side_relation;sides;site;symbol;v_bin","5","3","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-928","38","H-1156","31","1963","1219","2787691","source_targeting_only"
"H-788","1679.2","+700-034+","A_034_no_longer_small_object","7","58","C_repeated_target_family_pressure","13","area_bin;context_class;cross_section;long_token_set;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","2","3","D_object_plus_some_context","same_as_both_controls","high_repetition_pressure","H-798","34","H-1836","34","558683","10178607","H98-3438;Figure 25.04","source_targeting_only"
"H-2155","812.1","+700-034+","A_034_no_longer_small_object","15","59","C_repeated_target_family_pressure","9","cross_section;long_token_set;material;order;side_relation;sides;site;symbol;type","5","0","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-2131","31","H-963","28","H96-3173;Figure 19.12","H96-2738;Figure 17.04","2124","source_targeting_only"
"H-960","1837.1","+700-034+","B_034_400_740_176_bridge","38","60","C_repeated_target_family_pressure","11","area_bin;area_section;context_class;cross_section;long_token_set;material;order;sides;site;symbol;type","5","1","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-935","30","H-962","33","1261543","1280509","2642548","source_targeting_only"
"H-308","1330.2","+700-034+","B_034_400_740_176_bridge","31","61","C_repeated_target_family_pressure","14","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;shape;side_relation;sides;site;symbol;type;v_bin","6","4","3","A_strict_local_minimal_contrast","same_as_033_control","high_repetition_pressure","H-935","39","H-2146","35","2569","1280509","H97-3300;Figure 16.14","source_targeting_only"
"H-947","1827.2","+700-034+","A_034_no_longer_small_object","10","62","C_repeated_target_family_pressure","10","cross_section;h_bin;material;order;shape;sides;site;symbol;type;v_bin","6","2","1","D_object_plus_some_context","same_as_033_control","high_repetition_pressure","H-928","33","H-2146","30","8650b493","1219","H97-3300;Figure 16.14","source_targeting_only"
"H-1831","772.1","+700-034+","A_034_no_longer_small_object","18","63","C_repeated_target_family_pressure","9","aspect_bin;long_token_set;material;shape;side_relation;sides;site;symbol;type","5","1","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1858","28","H-802","26","H96-3051;Figure 21.10","H2000-4413;Figure 41.03","4631679","source_targeting_only"
"H-2097","488.1","+034-700+","A_034_002_861_416_companion","3","64","C_repeated_target_family_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;sides;site;symbol;type;v_bin","6","4","1","C_visual_object_matched","all_three_differ","high_repetition_pressure","H-925","32","H-930","32","H2001-5193;Figure 48.02","3286512","J30520","source_targeting_only"
"H-285","1307.2","+700-034+","A_034_no_longer_small_object","14","65","C_repeated_target_family_pressure","11","area_bin;context_class;long_token_set;material;order;shape;side_relation;sides;site;symbol;type","5","1","3","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-891","28","H-926","32","J581406","9057","12461519","source_targeting_only"
"H-938","1818.2","+034-700+","A_034_direction_reversal","19","66","C_repeated_target_family_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;shape;side_relation;sides;site;symbol;type;v_bin","6","4","2","C_visual_object_matched","all_three_differ","high_repetition_pressure","H-925","35","H-930","34","8650b458","3286512","J30520","source_targeting_only"
"H-313","1335.2","+700-034+","B_034_400_740_176_bridge","32","67","C_repeated_target_family_pressure","14","area_bin;area_section;context_class;cross_section;long_token_set;material;order;period_phase;shape;side_relation;sides;site;symbol;type","6","1","3","D_object_plus_some_context","same_as_both_controls","high_repetition_pressure","H-1303","39","H-315","32","2648","2357879","10185c","source_targeting_only"
"H-946","1826.1","+700-034+","E_other_034_residue","48","68","C_repeated_target_family_pressure","13","area_bin;area_section;aspect_bin;cross_section;long_token_set;material;order;side_relation;sides;site;symbol;type;v_bin","5","3","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-928","36","H-1313","32","2544501","1219","12574891","source_targeting_only"
"H-1120","3968.2","+700-034+","E_other_034_residue","86","69","C_repeated_target_family_pressure","10","area_bin;aspect_bin;context_class;h_bin;long_token_set;shape;side_relation;sides;site;symbol","3","3","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-891","28","H-779","29","13968155","9057","H86-02","source_targeting_only"
"H-953","1833.1","+700-034+","A_034_no_longer_small_object","16","70","C_repeated_target_family_pressure","10","area_bin;aspect_bin;context_class;long_token_set;order;shape;side_relation;sides;site;symbol","3","2","3","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1295","30","H-1156","25","13395","13710480","2787691","source_targeting_only"
"H-314","1336.2","+700-034+","B_034_400_740_176_bridge","36","71","C_repeated_target_family_pressure","13","area_bin;area_section;context_class;cross_section;long_token_set;material;order;shape;side_relation;sides;site;symbol;type","6","1","3","D_object_plus_some_context","same_as_both_controls","high_repetition_pressure","H-1302","34","H-315","31","3091","2366","10185c","source_targeting_only"
"H-2094","476.1","+700-034+","A_034_002_861_416_companion","2","72","C_repeated_target_family_pressure","12","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;sides;site;symbol;type;v_bin","5","4","2","F_partial_or_weak","target_differs_controls_share","high_repetition_pressure","H-900","33","H-2173","33","H2001-5134;Figure 47.02","10059455/504","H96-3132;Figure 20.06","source_targeting_only"
"H-1907","743.2","+700-034+","A_034_no_longer_small_object","13","73","C_repeated_target_family_pressure","12","area_bin;cross_section;long_token_set;material;order;period_phase;side_relation;sides;site;symbol;type;v_bin","5","2","2","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1861","33","H-1865","28","H96-2768;Figure 21.07","H96-3053;Figure 21.08","H2000-4464;Figure 39.02","source_targeting_only"
"H-2154","815.1","+034-700+","A_034_direction_reversal","25","74","C_repeated_target_family_pressure","11","area_bin;aspect_bin;cross_section;h_bin;long_token_set;material;side_relation;sides;site;symbol;type","5","3","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-927","33","H-1313","30","H96-3176;Figure 19.03","1172502","12574891","source_targeting_only"
"H-1828","895.2","+700-034+","A_034_no_longer_small_object","11","75","C_repeated_target_family_pressure","11","area_bin;aspect_bin;long_token_set;material;shape;side_relation;sides;site;symbol;type;v_bin","5","3","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1859","33","H-1836","29","H97-3371;Figure 14.12","H94-2499;Figure 21.07","H98-3438;Figure 25.04","source_targeting_only"
"H-1829","890.2","+700-034+","A_034_no_longer_small_object","12","76","C_repeated_target_family_pressure","11","area_bin;aspect_bin;long_token_set;material;shape;side_relation;sides;site;symbol;type;v_bin","5","3","1","F_partial_or_weak","same_as_both_controls","high_repetition_pressure","H-1859","33","H-1836","29","H97-3365;Figure 14.13","H94-2499;Figure 21.07","H98-3438;Figure 25.04","source_targeting_only"
"H-319","1341.2","+700-034+","E_other_034_residue","53","77","C_repeated_target_family_pressure","13","area_bin;aspect_bin;context_class;cross_section;h_bin;material;order;side_relation;sides;site;symbol;type;v_bin","5","4","3","F_partial_or_weak","all_three_differ","high_repetition_pressure","H-1303","35","H-930","32","10060544","2357879","J30520","source_targeting_only"
