terminal,feature,value,a,terminal_rows,b,other_rows,terminal_share,other_share,fisher_p
861,prev,003,5,146,4,215,0.03424657534246575,0.018604651162790697,0.27361389129669017
861,condition,Good,50,146,66,215,0.3424657534246575,0.30697674418604654,0.2757963068803719
861,material,Clay,12,146,13,215,0.0821917808219178,0.06046511627906977,0.276461741660156
820,condition,Good,32,91,84,270,0.3516483516483517,0.3111111111111111,0.2772020610142159
817,complete,N,22,124,35,237,0.1774193548387097,0.14767932489451477,0.27736362822448357
817,first,000,14,124,21,237,0.11290322580645161,0.08860759493670886,0.28642859351254574
861,site,Dholavira,8,146,8,215,0.0547945205479452,0.037209302325581395,0.2927566334147045
817,site,Harappa,28,124,47,237,0.22580645161290322,0.19831223628691982,0.3152365895061679
817,prev,235,9,124,13,237,0.07258064516129033,0.05485232067510549,0.3251925912967803
817,site,Mohenjo-daro,77,124,140,237,0.6209677419354839,0.5907172995780591,0.3291897023037947
861,symbol,Bull1:S,12,146,14,215,0.0821917808219178,0.06511627906976744,0.3383082623335134
817,shape,rectangular,15,124,24,237,0.12096774193548387,0.10126582278481013,0.3423781088712257
817,condition,Poor,50,124,89,237,0.4032258064516129,0.3755274261603376,0.34388806689603957
861,symbol,Gaur,6,146,6,215,0.0410958904109589,0.027906976744186046,0.3444972423805204
861,symbol,Bull1:W,31,146,41,215,0.21232876712328766,0.19069767441860466,0.3539009698862536
861,prev,<START>,5,146,5,215,0.03424657534246575,0.023255813953488372,0.3767650365305266
861,first,002,5,146,5,215,0.03424657534246575,0.023255813953488372,0.3767650365305266
820,first,000,10,91,25,270,0.10989010989010989,0.09259259259259259,0.38119351163582865
817,symbol,Bull1:S,10,124,16,237,0.08064516129032258,0.06751054852320675,0.3967962821848396
820,shape,cuboid-convex,7,91,17,270,0.07692307692307693,0.06296296296296296,0.4004879868760398
861,symbol,Bull1:J,12,146,15,215,0.0821917808219178,0.06976744186046512,0.40262864383376734
817,complete,?,7,124,11,237,0.056451612903225805,0.046413502109704644,0.4267600873685549
861,condition,Fair,40,146,56,215,0.273972602739726,0.26046511627906976,0.43361569363228814
861,site,Mohenjo-daro,89,146,128,215,0.6095890410958904,0.5953488372093023,0.4363440207730473
861,site,Kalibangan,6,146,7,215,0.0410958904109589,0.03255813953488372,0.43808365417737877
861,first,090,6,146,7,215,0.0410958904109589,0.03255813953488372,0.43808365417737877
817,type,SEAL:R,16,124,28,237,0.12903225806451613,0.11814345991561181,0.4427572124859488
861,prev,240,10,146,13,215,0.0684931506849315,0.06046511627906977,0.46056172148643953
861,type,SEAL:S,101,146,147,215,0.6917808219178082,0.6837209302325581,0.48258782615951373
817,site,Dholavira,6,124,10,237,0.04838709677419355,0.04219409282700422,0.4885859235941898
861,material,Faience,9,146,12,215,0.06164383561643835,0.05581395348837209,0.49347920354034014
861,shape,square,102,146,150,215,0.6986301369863014,0.6976744186046512,0.539936967490145
817,prev,240,8,124,15,237,0.06451612903225806,0.06329113924050633,0.5637541489251183
820,symbol,Bull1:W,18,91,54,270,0.1978021978021978,0.2,0.5722730813897868
820,complete,Y,72,91,214,270,0.7912087912087912,0.7925925925925926,0.5759044891959488
817,shape,cuboid-convex,8,124,16,237,0.06451612903225806,0.06751054852320675,0.6222528095862225
817,prev,031,5,124,10,237,0.04032258064516129,0.04219409282700422,0.6316375407140761
820,material,Clay,6,91,19,270,0.06593406593406594,0.07037037037037037,0.6373732397146693
861,shape,cuboid-convex,9,146,15,215,0.06164383561643835,0.06976744186046512,0.6946430058929519
861,prev,032,10,146,17,215,0.0684931506849315,0.07906976744186046,0.7156758293144877
817,symbol,Bull1:W,23,124,49,237,0.18548387096774194,0.20675105485232068,0.7300969083051957
820,prev,240,5,91,18,270,0.054945054945054944,0.06666666666666667,0.7325035370015475
861,first,520,14,146,24,215,0.0958904109589041,0.11162790697674418,0.7411852116925913
861,prev,803,6,146,11,215,0.0410958904109589,0.05116279069767442,0.7537636243123983
861,material,Steatite,99,146,152,215,0.678082191780822,0.7069767441860465,0.7590327876894679
817,type,TAB:B,9,124,21,237,0.07258064516129033,0.08860759493670886,0.7627234023409608
820,symbol,Bull1,8,91,30,270,0.08791208791208792,0.1111111111111111,0.7915965145902236
820,first,520,8,91,30,270,0.08791208791208792,0.1111111111111111,0.7915965145902236
817,material,Clay,7,124,18,237,0.056451612903225805,0.0759493670886076,0.8178526834132612
817,complete,Y,95,124,191,237,0.7661290322580645,0.8059071729957806,0.8463839904503072
861,type,TAB:B,10,146,20,215,0.0684931506849315,0.09302325581395349,0.8469507881606189
820,site,Mohenjo-daro,51,91,166,270,0.5604395604395604,0.6148148148148148,0.8507424104650341
817,prev,032,7,124,20,237,0.056451612903225805,0.08438818565400844,0.8805499906836689
820,condition,Fair,20,91,76,270,0.21978021978021978,0.2814814814814815,0.9027652377462049
820,shape,square,59,91,193,270,0.6483516483516484,0.7148148148148148,0.9067090467693832
861,first,000,11,146,24,215,0.07534246575342465,0.11162790697674418,0.908927446685085
861,type,SEAL:R,14,146,30,215,0.0958904109589041,0.13953488372093023,0.9219338205447817
861,condition,Poor,50,146,89,215,0.3424657534246575,0.413953488372093,0.9309122265403557
861,shape,rectangular,12,146,27,215,0.0821917808219178,0.12558139534883722,0.931895686853012
820,material,Steatite,58,91,193,270,0.6373626373626373,0.7148148148148148,0.9345429611860369
817,condition,Good,34,124,82,237,0.27419354838709675,0.3459915611814346,0.9348022571066426
861,site,Harappa,25,146,50,215,0.17123287671232876,0.23255813953488372,0.9394683528719006
820,type,SEAL:S,57,91,191,270,0.6263736263736264,0.7074074074074074,0.9409004103230351
861,complete,N,18,146,39,215,0.1232876712328767,0.1813953488372093,0.9502485383570431
861,symbol,Bull1,11,146,27,215,0.07534246575342465,0.12558139534883722,0.9577580652243721
861,first,740,48,146,90,215,0.3287671232876712,0.4186046511627907,0.9670891795416721
