"corpus","scope","holdout_policy","source","rows","tokens","unique_tokens","holdout_blocks","median_heldout_transitions","max_heldout_transitions","stored_higher","reversed_higher","ties","stored_win_share","mean_stored_minus_reversed_per_transition","median_stored_minus_reversed_per_transition","max_null_ge_observed_share","max_admissible_null_ge_observed_share","max_all_null_ge_observed_share","degenerate_null_controls","input_records"
"Indus_Lipi","top10_edge_removed_source_convention_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","221","947","253","221","5","13","178","31","12","0.80543","0.890116","0.875379","0","0","1","register_position_shuffle","221"
"Indus_Lipi","top10_edge_removed_source_convention_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","221","947","253","221","5","13","178","31","12","0.80543","0.890116","0.875379","0.005","0.005","1","register_position_shuffle","221"
"Indus_Lipi","top10_edge_removed_source_convention_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","221","947","253","220","5","13","178","31","12","0.80543","0.889498","0.875379","0","0","1","register_position_shuffle","221"
"Indus_Lipi","top10_edge_removed_one_edit_family_source_convention_collapsed","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","175","877","248","175","6","13","141","23","11","0.805714","0.817965","0.761131","0.005","0.005","1","register_position_shuffle","175"
"Indus_Lipi","top10_edge_removed_one_edit_family_source_convention_collapsed","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","175","877","248","175","6","13","141","23","11","0.805714","0.817965","0.761131","0","0","1","register_position_shuffle","175"
"Indus_Lipi","top10_edge_removed_one_edit_family_source_convention_collapsed","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","175","877","248","175","6","13","141","23","11","0.805714","0.817965","0.761131","0","0","1","register_position_shuffle","175"
"Indus_Lipi","exact_text_collapsed_RL_only","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","1715","7939","565","1715","5","14","1624","81","10","0.946939","2.512446","2.685957","0","0","0","","1715"
"Indus_Lipi","exact_text_collapsed_RL_only","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","1715","7939","565","458","73","639","1622","83","10","0.945773","2.481625","2.637972","0","0","0","","1715"
"Indus_Lipi","exact_text_collapsed_RL_only","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","1715","7939","565","1342","7","126","1622","83","10","0.945773","2.495715","2.679166","0","0","0","","1715"
"Indus_Lipi","exact_text_collapsed_LR_only","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","83","273","109","83","4","8","67","7","9","0.807229","1.117492","1.042519","0.705","0.705","0.705","","83"
"Indus_Lipi","exact_text_collapsed_LR_only","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","83","273","109","44","8","68","64","8","11","0.771084","1.011231","1.042519","0.52","0.52","0.52","","83"
"Indus_Lipi","exact_text_collapsed_LR_only","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","83","273","109","81","4","10","67","7","9","0.807229","1.102002","1.042519","0.65","0.65","0.65","","83"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_RL_only","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","354","1683","354","354","5","13","297","44","13","0.838983","1.057448","1.027718","0","0","0","","354"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_RL_only","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","354","1683","354","166","16","212","294","46","14","0.830508","1.025348","0.998309","0.015","0.015","0.015","","354"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_RL_only","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","354","1683","354","350","5","16","297","44","13","0.838983","1.052514","1.022315","0","0","0","","354"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_LR_only","leave_one_unit_out","data/open_prototype/reports/lipi_scope_rows.csv","11","42","33","11","4","8","2","3","6","0.181818","-0.001817","0","0.98","0.98","1","register_position_shuffle","11"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_LR_only","leave_source_convention_out","data/open_prototype/reports/lipi_scope_rows.csv","11","42","33","9","6","11","0","4","7","0","-0.161676","0","1","1","1","register_position_shuffle","11"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed_LR_only","leave_edge_frame_out","data/open_prototype/reports/lipi_scope_rows.csv","11","42","33","11","4","8","2","3","6","0.181818","-0.001817","0","0.99","0.99","1","register_position_shuffle","11"
