unit,id,cisi,site,type,symbol,direction,text,unit_index,prev1,prev2,next1,unit_terminal,after_861,after_002_861,source_visible_tailed_focus
416,1447.1,H-457,Harappa,SEAL:S,Bull1:J,R/L,+740-798-003-002-416+,4,002,003 002,<END>,true,false,false,false
416,1462.1,H-475,Harappa,SEAL:S,Bull1:W,R/L,+740-416+,1,740,740,<END>,true,false,false,false
416,1662.1,H-770,Harappa,TAB:B,None,R/L,+151-840-416+,2,840,151 840,<END>,true,false,false,false
416,1792.1,H-910,Harappa,TAB:I,None,R/L,+002-861-416+,2,861,002 861,<END>,true,true,true,false
416,1793.1,H-912,Harappa,TAB:I,None,R/L,+400-740-760-220-416+,4,220,760 220,<END>,true,false,false,false
416,1971.1,-,Kish,SEAL:S,Bull1:L,R/L,+740-390-590-220-003-060-840-416+,7,840,060 840,<END>,true,false,false,false
416,2045.1,L-91,Lothal,SEAL:R,-,-,+416-002-824+,0,<START>,<START>,002,false,false,false,false
416,2180.1,-,Dholavira,SEAL:S,Bull1:V,R/L,+740-840-416-240-741-500-091+,2,840,740 840,240,false,false,false,false
416,2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+416-001-565-740-220-032-002-861+,0,<START>,<START>,001,false,false,false,false
416,2332.1,M-1741,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+565-031-416-140-220-001+,2,031,565 031,140,false,false,false,false
416,2395.1,M-1663,Mohenjo-daro,SEAL:S,Bull1,R/L,+740-760-840-416-175-742-000+,3,840,760 840,175,false,false,false,false
416,2510.1,M-1884,Mohenjo-daro,SEAL:S,Gaur,R/L,+520-220-016-002-416-000+,4,002,016 002,000,false,false,false,false
416,2524.1,M-1703,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+151-097-232-416+,3,232,097 232,<END>,true,false,false,false
416,2556.1,M-28,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+892-374-740-760-840-416-002-861+,5,840,760 840,002,false,false,false,false
416,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+740-100-798-220-032-002-861-255-416+,8,255,861 255,<END>,true,false,false,true
416,2641.1,M-114,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+740-760-440-002-297-416+,5,297,002 297,<END>,true,false,false,false
416,2813.1,M-293,Mohenjo-daro,SEAL:S,Gavi,R/L,+151-416-741-849+,1,151,151,741,false,false,false,false
416,3165.1,M-741,Mohenjo-daro,SEAL:S,Bull1:I,R/L,+151-416+,1,151,151,<END>,true,false,false,false
416,3333.1,M-938,Mohenjo-daro,SEAL:S,Bull1:W,R/L,+740-416+,1,740,740,<END>,true,false,false,false
416,3364.1,M-971,Mohenjo-daro,SEAL:S,Bull1:J,R/L,+740-416-741-060-920+,1,740,740,741,false,false,false,false
416,3506.1,M-1139,Mohenjo-daro,SEAL:S,Rhin,R/L,+740-416-621-002-820+,1,740,740,621,false,false,false,false
416,3558.1,M-1222,Mohenjo-daro,SEAL:S,Bull1,R/L,+151-416+,1,151,151,<END>,true,false,false,false
416,3574.1,M-1267,Mohenjo-daro,SEAL:R,None,R/L,+416-001-740-720-175-002-861+,0,<START>,<START>,001,false,false,false,false
416,3589.1,M-1284,Mohenjo-daro,SEAL:R,None,R/L,+416-001-520-240-806-002-502-031+,0,<START>,<START>,001,false,false,false,false
416,3845.1,M-182,Mohenjo-daro,SEAL:S,Bull1:S,R/L,+740-416+,1,740,740,<END>,true,false,false,false
416,3882.1,-,Susa,SEAL:CY,Gaur,R/L,+416-150-002-055-031-319-001-924+,0,<START>,<START>,150,false,false,false,false
416,4056.1,H-1191,Harappa,TAB:I,None,R/L,+400-740-760-220-416+,4,220,760 220,<END>,true,false,false,false
416,4165.1,-,Dholavira,SEAL:S,Bull1:V,R/L,+740-840-416+,2,840,740 840,<END>,true,false,false,false
416,4202.1,-,Dholavira,SEAL:S,Bull2,NR,+416+,0,<START>,<START>,<END>,true,false,false,false
698,365.1,-,Harappa,POT:T:g,None,NR,+698+,0,<START>,<START>,<END>,true,false,false,false
698,595.2,H-1892,Harappa,TAB:B,None,R/L,+400-698+,1,400,400,<END>,true,false,false,false
698,954.1,H-1549,Harappa,POT:T:g,None,NR,+698+,0,<START>,<START>,<END>,true,false,false,false
698,966.1,-,Harappa,POT:T:g,None,-,+000-698+,1,000,000,<END>,true,false,false,false
698,994.1,H-1547,Harappa,POT:T:g,None,-,+034-698+,1,034,034,<END>,true,false,false,false
698,1241.2,H-210,Harappa,TAB:B,None,NR,+698+,0,<START>,<START>,<END>,true,false,false,false
698,2222.1,M-1824,Mohenjo-daro,SEAL:S,Bull1:L,R/L,+401-698+,1,401,401,<END>,true,false,false,false
698,2847.1,M-329,Mohenjo-daro,SEAL:S,None,R/L,+002-861-698+,2,861,002 861,<END>,true,true,true,false
698,2848.1,M-330,Mohenjo-daro,SEAL:S,None,R/L,+002-861-698+,2,861,002 861,<END>,true,true,true,false
000,4.1,-,Allahdino,POT:T:g,None,-,+220-000+,1,220,220,<END>,true,false,false,false
000,13.1,Ad-8,Allahdino,MISC,Elep,R/L,+740-440-503-002-861-000+,5,861,002 861,<END>,true,true,true,false
000,21.1,Blk-3,Bala-kot,SEAL:S,Bull1:II,R/L,+000-388-233-000-000+,0,<START>,<START>,388,false,false,false,false
000,21.1,Blk-3,Bala-kot,SEAL:S,Bull1:II,R/L,+000-388-233-000-000+,3,233,388 233,000,false,false,false,false
000,21.1,Blk-3,Bala-kot,SEAL:S,Bull1:II,R/L,+000-388-233-000-000+,4,000,233 000,<END>,true,false,false,false
000,25.1,-,Harappa,POT:T:g,None,R/L,+000+,0,<START>,<START>,<END>,true,false,false,false
000,48.1,B-35,Banawali,POT:T:g,None,-,+700-000+,1,700,700,<END>,true,false,false,false
000,49.1,-,Bhirrana,MISC,-,T/B,+000-000-000+,0,<START>,<START>,000,false,false,false,false
000,49.1,-,Bhirrana,MISC,-,T/B,+000-000-000+,1,000,000,000,false,false,false,false
000,49.1,-,Bhirrana,MISC,-,T/B,+000-000-000+,2,000,000 000,<END>,true,false,false,false
000,53.1,Ch-1,Chandigarh,POT:T:g,None,-,+220-000-740-550-705+,1,220,220,740,false,false,false,false
000,62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,R/L,+000-100-240-220-032-002-861+,0,<START>,<START>,100,false,false,false,false
000,82.1,C-57,Chanhu-daro,SEAL:S,Bull1:W,R/L,+740-032-840-002-296-530-000+,6,530,296 530,<END>,true,false,false,false
000,84.1,C-85,Chanhu-daro,SEAL:R,-,R/L,+000-000-002-820+,0,<START>,<START>,000,false,false,false,false
000,84.1,C-85,Chanhu-daro,SEAL:R,-,R/L,+000-000-002-820+,1,000,000,002,false,false,false,false
000,102.1,C-14,Chanhu-daro,SEAL:S,Bull1,-,+000-235+,0,<START>,<START>,235,false,false,false,false
000,116.1,C-34,Chanhu-daro,TAB:B,Gavi,R/L,+032-031-390-844-000-000-032-803-220+,4,844,390 844,000,false,false,false,false
000,116.1,C-34,Chanhu-daro,TAB:B,Gavi,R/L,+032-031-390-844-000-000-032-803-220+,5,000,844 000,032,false,false,false,false
000,119.1,C-38,Chanhu-daro,MISC,None,T/B,+220-063-706-000+,3,706,063 706,<END>,true,false,false,false
000,121.2,C-40,Chanhu-daro,IMPL,None,R/L,+740-000-835-240-235-031-900-066+,1,740,740,835,false,false,false,false
000,142.1,-,Dholavira,TAG:L,None,R/L,+740-000+,1,740,740,<END>,true,false,false,false
000,143.1,-,Dholavira,TAB:B,Gavi,R/L,+000-400-350-031-002-817+,0,<START>,<START>,400,false,false,false,false
000,147.1,-,Failaka,SEAL:C,Gaur,-,+317-817-000-090+,2,817,317 817,090,false,false,false,false
000,165.1,-,Harappa,POT:T:g,None,-,+031-463-000+,2,463,031 463,<END>,true,false,false,false
000,166.1,H-1392,Harappa,POT:T:g,Mult,-,+000-220-000+,0,<START>,<START>,220,false,false,false,false
000,166.1,H-1392,Harappa,POT:T:g,Mult,-,+000-220-000+,2,220,000 220,<END>,true,false,false,false
000,178.1,-,Harappa,TAB:B,None,-,+000-000-033+,0,<START>,<START>,000,false,false,false,false
000,178.1,-,Harappa,TAB:B,None,-,+000-000-033+,1,000,000,033,false,false,false,false
000,180.1,M-584,Mohenjo-daro,TAB:C,Anth,R/L,+740-900-000-407-000-000-000+,2,900,740 900,407,false,false,false,false
000,180.1,M-584,Mohenjo-daro,TAB:C,Anth,R/L,+740-900-000-407-000-000-000+,4,407,000 407,000,false,false,false,false
000,180.1,M-584,Mohenjo-daro,TAB:C,Anth,R/L,+740-900-000-407-000-000-000+,5,000,407 000,000,false,false,false,false
000,180.1,M-584,Mohenjo-daro,TAB:C,Anth,R/L,+740-900-000-407-000-000-000+,6,000,000 000,<END>,true,false,false,false
000,183.1,-,Harappa,POT:T:g,None,-,+415-000-160+,1,415,415,160,false,false,false,false
000,208.1,-,Harappa,TAB:I,Bult,R/L,+740-000-892+,1,740,740,892,false,false,false,false
000,212.2,-,Harappa,TAB:B,None,R/L,+000-000-000-000+,0,<START>,<START>,000,false,false,false,false
000,212.2,-,Harappa,TAB:B,None,R/L,+000-000-000-000+,1,000,000,000,false,false,false,false
000,212.2,-,Harappa,TAB:B,None,R/L,+000-000-000-000+,2,000,000 000,000,false,false,false,false
000,212.2,-,Harappa,TAB:B,None,R/L,+000-000-000-000+,3,000,000 000,<END>,true,false,false,false
000,213.1,H-1369,Harappa,POT:T:g,None,-,+034-000-033+,1,034,034,033,false,false,false,false
000,215.1,-,Harappa,TAB:B,None,R/l,+400-740-100-176-000+,4,176,100 176,<END>,true,false,false,false
000,216.1,-,Baror,SEAL:S,Bull1:I,R/L,+000-000-002-257-550+,0,<START>,<START>,000,false,false,false,false
000,216.1,-,Baror,SEAL:S,Bull1:I,R/L,+000-000-002-257-550+,1,000,000,002,false,false,false,false
000,218.1,H-1177,Harappa,TAB:I,None,R/L,+000-000-740-519+,0,<START>,<START>,000,false,false,false,false
000,218.1,H-1177,Harappa,TAB:I,None,R/L,+000-000-740-519+,1,000,000,740,false,false,false,false
000,219.1,M-1140,Mohenjo-daro,SEAL:S,Rhin,R/L,+151-000-060-000+,1,151,151,060,false,false,false,false
000,219.1,M-1140,Mohenjo-daro,SEAL:S,Rhin,R/L,+151-000-060-000+,3,060,000 060,<END>,true,false,false,false
000,223.1,H-1042,Harappa,SEAL:S,Bull1,R/L,+740-923-000-220-002-817+,2,923,740 923,220,false,false,false,false
000,226.1,H-1119,Harappa,TAB:B,None,-,+000-000-000+,0,<START>,<START>,000,false,false,false,false
000,226.1,H-1119,Harappa,TAB:B,None,-,+000-000-000+,1,000,000,000,false,false,false,false
000,226.1,H-1119,Harappa,TAB:B,None,-,+000-000-000+,2,000,000 000,<END>,true,false,false,false
000,226.2,H-1119,Harappa,TAB:B,None,R/L,+400-032-000+,2,032,400 032,<END>,true,false,false,false
000,228.2,-,Harappa,TAB:I,None,R/L,+700-031-000-032+,2,031,700 031,032,false,false,false,false
000,243.2,H-1175,Harappa,TAB:I,None,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,253.1,H-1165,Harappa,TAB:I,Fish,L/R,+520-400-000+,2,400,520 400,<END>,true,false,false,false
000,258.2,H-1121,Harappa,TAB:B,None,L/R,+700-033-711-817-000+,4,817,711 817,<END>,true,false,false,false
000,267.2,-,Harappa,TAB:I,None,L/R,+000-700+,0,<START>,<START>,700,false,false,false,false
000,268.2,H-1188,Harappa,TAB:I,None,R/L,+869-000+,1,869,869,<END>,true,false,false,false
000,275.1,-,Harappa,TAB:I,None,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,275.2,-,Harappa,TAB:I,None,R/L,+700-000+,1,700,700,<END>,true,false,false,false
000,289.1,-,Harappa,POT:T:g,None,R/L,+740-000-828+,1,740,740,828,false,false,false,false
000,290.2,H-1112,Harappa,TAB:B,None,R/L,+520-000-255+,1,520,520,255,false,false,false,false
000,298.1,-,Harappa,TAB:I,Bult,R/L,+400-740-000-000+,2,740,400 740,000,false,false,false,false
000,298.1,-,Harappa,TAB:I,Bult,R/L,+400-740-000-000+,3,000,740 000,<END>,true,false,false,false
000,298.2,-,Harappa,TAB:I,Bult,R/L,+000-000-000+,0,<START>,<START>,000,false,false,false,false
000,298.2,-,Harappa,TAB:I,Bult,R/L,+000-000-000+,1,000,000,000,false,false,false,false
000,298.2,-,Harappa,TAB:I,Bult,R/L,+000-000-000+,2,000,000 000,<END>,true,false,false,false
000,308.2,-,Harappa,TAB:I,None,R/L,+000-220+,0,<START>,<START>,220,false,false,false,false
000,325.1,-,Harappa,POT:T:g,None,R/L,+000-740+,0,<START>,<START>,740,false,false,false,false
000,374.1,H-1893,Harappa,TAB:B,None,R/L,+000-151-097-001-820+,0,<START>,<START>,151,false,false,false,false
000,388.2,H-1874,Harappa,TAB:B,None,R/L,+002-220-455-000+,3,455,220 455,<END>,true,false,false,false
000,393.2,H-1981,Harappa,TAB:B,Tri4,R/L,+000-004-745-590+,0,<START>,<START>,004,false,false,false,false
000,402.1,H-2015,Harappa,TAB:B,None,L/R,+033-705-235-000+,3,235,705 235,<END>,true,false,false,false
000,411.2,H-1865,Harappa,TAB:B,None,R/L,+740-702-061-002-000+,4,002,061 002,<END>,true,false,false,false
000,438.1,H-1866,Harappa,TAB:B,None,R/L,+000-100-415+,0,<START>,<START>,100,false,false,false,false
000,470.3,H-2215,Harappa,TAB:I,None,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,477.2,H-1804,Harappa,TAB:B,None,-,+000-591+,0,<START>,<START>,591,false,false,false,false
000,482.1,H-2351,Harappa,POT:T:g,None,R/L,+154-032-000+,2,032,154 032,<END>,true,false,false,false
000,495.1,H-1798,Harappa,TAB:B,None,-,+000-000-000-000+,0,<START>,<START>,000,false,false,false,false
000,495.1,H-1798,Harappa,TAB:B,None,-,+000-000-000-000+,1,000,000,000,false,false,false,false
000,495.1,H-1798,Harappa,TAB:B,None,-,+000-000-000-000+,2,000,000 000,000,false,false,false,false
000,495.1,H-1798,Harappa,TAB:B,None,-,+000-000-000-000+,3,000,000 000,<END>,true,false,false,false
000,495.2,H-1798,Harappa,TAB:B,None,R/L,+400-711-000-000-000+,2,711,400 711,000,false,false,false,false
000,495.2,H-1798,Harappa,TAB:B,None,R/L,+400-711-000-000-000+,3,000,711 000,000,false,false,false,false
000,495.2,H-1798,Harappa,TAB:B,None,R/L,+400-711-000-000-000+,4,000,000 000,<END>,true,false,false,false
000,496.1,H-1786,Harappa,TAB:B,-,R/L,+740-000+,1,740,740,<END>,true,false,false,false
000,497.2,H-1836,Harappa,TAB:B,None,R/L,+400-740-000-792+,2,740,400 740,792,false,false,false,false
000,503.1,H-1744,Harappa,POT:T:s,None,R/L,+550-000+,1,550,550,<END>,true,false,false,false
000,504.2,H-1932,Harappa,TAB:B,Gavi,R/L,+400-740-000-832-000+,2,740,400 740,832,false,false,false,false
000,504.2,H-1932,Harappa,TAB:B,Gavi,R/L,+400-740-000-832-000+,4,832,000 832,<END>,true,false,false,false
000,512.1,H-1816,Harappa,TAB:B,None,R/L,+740-033-000-335-575-413+,2,033,740 033,335,false,false,false,false
000,522.1,H-2341,Harappa,POT:T:g,None,R/L,+000-335-000-090-480+,0,<START>,<START>,335,false,false,false,false
000,522.1,H-2341,Harappa,POT:T:g,None,R/L,+000-335-000-090-480+,2,335,000 335,090,false,false,false,false
000,524.1,-,Harappa,POT:T:g,None,-,+000-000-014+,0,<START>,<START>,000,false,false,false,false
000,524.1,-,Harappa,POT:T:g,None,-,+000-000-014+,1,000,000,014,false,false,false,false
000,540.1,-,Harappa,POT:T:g,None,-,+034-000+,1,034,034,<END>,true,false,false,false
000,541.1,-,Harappa,POT:T:g,None,R/L,+063-700-176-000+,3,176,700 176,<END>,true,false,false,false
000,543.1,-,Harappa,POT:T:g,None,R/L,+000-480-003-064-002-003-861+,0,<START>,<START>,480,false,false,false,false
000,553.1,-,Harappa,TAB:B,-,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,555.1,H-1926,Harappa,TAB:B,None,R/L,+400-740-000+,2,740,400 740,<END>,true,false,false,false
000,564.1,H-2249,Harappa,TAB:B,None,R/L,+000-176-790+,0,<START>,<START>,176,false,false,false,false
000,565.1,H-2250,Harappa,TAB:B,None,R/L,+000-176-790+,0,<START>,<START>,176,false,false,false,false
000,572.1,-,Harappa,TAG:L,-,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,576.1,H-1685,Harappa,SEAL:S,Bull,R/L,+090-740-220-000-000-000-000+,3,220,740 220,000,false,false,false,false
000,576.1,H-1685,Harappa,SEAL:S,Bull,R/L,+090-740-220-000-000-000-000+,4,000,220 000,000,false,false,false,false
000,576.1,H-1685,Harappa,SEAL:S,Bull,R/L,+090-740-220-000-000-000-000+,5,000,000 000,000,false,false,false,false
000,576.1,H-1685,Harappa,SEAL:S,Bull,R/L,+090-740-220-000-000-000-000+,6,000,000 000,<END>,true,false,false,false
000,580.2,H-2006,Harappa,TAB:B,-,R/L,+740-752-175-000-000+,3,175,752 175,000,false,false,false,false
000,580.2,H-2006,Harappa,TAB:B,-,R/L,+740-752-175-000-000+,4,000,175 000,<END>,true,false,false,false
000,584.1,H-1819,Harappa,TAB:B,None,R/L,+000-711-335-575-413+,0,<START>,<START>,711,false,false,false,false
000,588.1,-,Harappa,SEAL:R,None,R/L,+158-000-470+,1,158,158,470,false,false,false,false
000,595.1,H-1892,Harappa,TAB:B,None,R/L,+220-000-700+,1,220,220,700,false,false,false,false
000,600.1,H-2005,Harappa,TAB:B,Phyt,R/L,+740-752-175-000-861+,3,175,752 175,861,false,false,false,false
000,607.1,-,Harappa,POT:T:g,None,-,+032-000+,1,032,032,<END>,true,false,false,false
000,632.2,H-2193,Harappa,TAB:I,None,R/L,+000-740-242-235+,0,<START>,<START>,740,false,false,false,false
000,655.1,H-1818,Harappa,TAB:B,None,-,+000-711-335-575-413+,0,<START>,<START>,711,false,false,false,false
000,661.1,H-2007,Harappa,TAB:B,Scene,-,+000-000-140+,0,<START>,<START>,000,false,false,false,false
000,661.1,H-2007,Harappa,TAB:B,Scene,-,+000-000-140+,1,000,000,140,false,false,false,false
000,661.2,H-2007,Harappa,TAB:B,Scene,-,+000-705-590+,0,<START>,<START>,705,false,false,false,false
000,684.1,-,Harappa,TAB:B,None,-,+700-000+,1,700,700,<END>,true,false,false,false
000,690.2,H-1982,Harappa,TAB:B,Tri4,R/L,+390-000-742-000+,1,390,390,742,false,false,false,false
000,690.2,H-1982,Harappa,TAB:B,Tri4,R/L,+390-000-742-000+,3,742,000 742,<END>,true,false,false,false
000,697.1,H-2000,Harappa,TAB:B,Gavi,-,+700-032-000-091+,2,032,700 032,091,false,false,false,false
000,708.1,H-2268,Harappa,POT:T:g,None,R/L,+740-495-000-034+,2,495,740 495,034,false,false,false,false
000,720.1,-,Harappa,POT:T:g,None,-,+000-700+,0,<START>,<START>,700,false,false,false,false
000,726.1,-,Harappa,POT:T:s,None,-,+000-400+,0,<START>,<START>,400,false,false,false,false
000,728.1,-,Harappa,POT:T:g,None,-,+000-000-000+,0,<START>,<START>,000,false,false,false,false
000,728.1,-,Harappa,POT:T:g,None,-,+000-000-000+,1,000,000,000,false,false,false,false
000,728.1,-,Harappa,POT:T:g,None,-,+000-000-000+,2,000,000 000,<END>,true,false,false,false
000,735.1,H-1963,Harappa,TAB:B,Gavi,R/L,+400-700-017-000+,3,017,700 017,<END>,true,false,false,false
000,744.2,H-1993,Harappa,TAB:B,None,R/L,+740-000-220-004-002-390-095+,1,740,740,220,false,false,false,false
000,755.2,H-1947,Harappa,TAB:B,None,R/L,+740-000-031+,1,740,740,031,false,false,false,false
000,755.3,H-1947,Harappa,TAB:B,None,R/L,+740-630-000+,2,630,740 630,<END>,true,false,false,false
000,764.1,H-2199,Harappa,TAB:I,None,-,+700-000+,1,700,700,<END>,true,false,false,false
000,764.2,H-2199,Harappa,TAB:I,None,-,+000-000+,0,<START>,<START>,000,false,false,false,false
000,764.2,H-2199,Harappa,TAB:I,None,-,+000-000+,1,000,000,<END>,true,false,false,false
000,767.1,-,Harappa,POT:T:g,None,-,+390-000+,1,390,390,<END>,true,false,false,false
000,824.2,H-1775,Harappa,TAB:B,None,R/L,+220-000-700-033+,1,220,220,700,false,false,false,false
000,877.1,-,Harappa,TAB:I,None,R/L,+000-690+,0,<START>,<START>,690,false,false,false,false
000,877.2,-,Harappa,TAB:I,None,R/L,+740-032-000+,2,032,740 032,<END>,true,false,false,false
000,879.2,H-1833,Harappa,TAB:B,None,R/L,+400-000-000+,1,400,400,000,false,false,false,false
000,879.2,H-1833,Harappa,TAB:B,None,R/L,+400-000-000+,2,000,400 000,<END>,true,false,false,false
000,887.1,H-2085,Harappa,TAB:I,None,R/L,+000-000-139+,0,<START>,<START>,000,false,false,false,false
000,887.1,H-2085,Harappa,TAB:I,None,R/L,+000-000-139+,1,000,000,139,false,false,false,false
000,906.1,H-2083,Harappa,TAB:I,None,L/R,+000-824+,0,<START>,<START>,824,false,false,false,false
000,906.2,H-2083,Harappa,TAB:I,None,L/R,+740-390-000+,2,390,740 390,<END>,true,false,false,false
000,925.1,H-1838,Harappa,TAB:B,None,R/L,+000-415-176-000+,0,<START>,<START>,415,false,false,false,false
000,925.1,H-1838,Harappa,TAB:B,None,R/L,+000-415-176-000+,3,176,415 176,<END>,true,false,false,false
000,925.2,H-1838,Harappa,TAB:B,None,R/L,+220-000-000-000+,1,220,220,000,false,false,false,false
000,925.2,H-1838,Harappa,TAB:B,None,R/L,+220-000-000-000+,2,000,220 000,000,false,false,false,false
000,925.2,H-1838,Harappa,TAB:B,None,R/L,+220-000-000-000+,3,000,000 000,<END>,true,false,false,false
000,935.1,-,Ra's al-Junayz,SEAL:S,Bull1,-,+000+,0,<START>,<START>,<END>,true,false,false,false
000,950.1,H-1538,Harappa,TAG:P,Othr,-,+000-740+,0,<START>,<START>,740,false,false,false,false
000,966.1,-,Harappa,POT:T:g,None,-,+000-698+,0,<START>,<START>,698,false,false,false,false
000,989.1,-,Harappa,POT:T:g,None,-,+002-000+,1,002,002,<END>,true,false,false,false
000,992.1,-,Harappa,POT:T:g,None,-,+740-000+,1,740,740,<END>,true,false,false,false
000,1002.1,H-2013,Harappa,TAB:B,Bull1,R/L,+090-740-100-801-000+,4,801,100 801,<END>,true,false,false,false
000,1022.1,H-1808,Harappa,TAB:B,None,R/L,+400-158-806-000+,3,806,158 806,<END>,true,false,false,false
000,1049.1,H-1353,Harappa,TAB:B,None,-,+000-142-480-000-617+,0,<START>,<START>,142,false,false,false,false
000,1049.1,H-1353,Harappa,TAB:B,None,-,+000-142-480-000-617+,3,480,142 480,617,false,false,false,false
000,1049.3,H-1353,Harappa,TAB:B,None,-,+700-000-000+,1,700,700,000,false,false,false,false
000,1049.3,H-1353,Harappa,TAB:B,None,-,+700-000-000+,2,000,700 000,<END>,true,false,false,false
000,1054.2,H-1325,Harappa,TAB:I,None,R/L,+740-032-165-000+,3,165,032 165,<END>,true,false,false,false
000,1072.1,H-11,Harappa,SEAL:S,Bull1:W,R/L,+000-125-204+,0,<START>,<START>,125,false,false,false,false
000,1088.1,H-28,Harappa,SEAL:S,Bull1:W,R/L,+595-000-705-634+,1,595,595,705,false,false,false,false
000,1091.1,H-31,Harappa,SEAL:S,Bull1:W,R/L,+740-100-415-240-002-365-374-000+,7,374,365 374,<END>,true,false,false,false
000,1093.1,H-33,Harappa,SEAL:S,Bull1:W,R/L,+000-000-000-000-920+,0,<START>,<START>,000,false,false,false,false
000,1093.1,H-33,Harappa,SEAL:S,Bull1:W,R/L,+000-000-000-000-920+,1,000,000,000,false,false,false,false
000,1093.1,H-33,Harappa,SEAL:S,Bull1:W,R/L,+000-000-000-000-920+,2,000,000 000,000,false,false,false,false
000,1093.1,H-33,Harappa,SEAL:S,Bull1:W,R/L,+000-000-000-000-920+,3,000,000 000,920,false,false,false,false
000,1111.1,H-52,Harappa,SEAL:S,Bull1:J,R/L,+740-390-590-125-741-000-000+,5,741,125 741,000,false,false,false,false
000,1111.1,H-52,Harappa,SEAL:S,Bull1:J,R/L,+740-390-590-125-741-000-000+,6,000,741 000,<END>,true,false,false,false
