"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"independent_low_copy","H-1850","51","1","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","382;400;740;760","176;233;435;690;740;803","001;031;140;740","382;400;740;760","176;233;435;690;740;803","001;031;140;740"
"independent_low_copy","H-2204","71","4","F_partial_or_weak","moderate_repetition_pressure","independent_low_copy","core","027;032;400;740","025;032;400;740","032;400;854","027;032;400;740","025;032;400;740","032;400;854"
"independent_low_copy","H-1943","81","3","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","031;384;740","067;100;400;740","003;335;400;740","031;384;740","067;100;400;740","003;335;400;740"
"two_lane_core","H-893","40","17","A_strict_local_minimal_contrast","moderate_repetition_pressure","local_contrast_stress","core","337;400;740","013;740;840","004;740;900","337;400;740","013;740;840","004;740;900"
"two_lane_core","H-771","47","2","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","032;257;840","016;220;400;520","220;525;550","032;257;840","016;220;400;520","220;525;550"
"two_lane_core","H-983","49","21","B_visual_object_order_matched","moderate_repetition_pressure","local_contrast_stress","core","240;400;637;740","176;400;740","032;700;741;840","240;400;637;740","176;400;740","032;700;741;840"
"two_lane_core","H-1824","50","16","C_visual_object_matched","moderate_repetition_pressure","local_contrast_stress","core","031;060;176;201;740","032;740;790","118;156;400","031;060;176;201;740","032;740;790","118;156;400"
"two_lane_core","H-1850","51","1","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","382;400;740;760","176;233;435;690;740;803","001;031;140;740","382;400;740;760","176;233;435;690;740;803","001;031;140;740"
"two_lane_core","H-2137","61","18","B_visual_object_order_matched","moderate_repetition_pressure","local_contrast_stress","core","100;176;740","013;740;840","004;740;900","100;176;740","013;740;840","004;740;900"
"two_lane_core","H-2204","71","4","F_partial_or_weak","moderate_repetition_pressure","independent_low_copy","core","027;032;400;740","025;032;400;740","032;400;854","027;032;400;740","025;032;400;740","032;400;854"
"two_lane_core","H-1943","81","3","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","031;384;740","067;100;400;740","003;335;400;740","031;384;740","067;100;400;740","003;335;400;740"
"repeated_branch_optional","H-910","1","50","A_strict_local_minimal_contrast","high_repetition_pressure","repeated_branch_check","optional","002;416;861","032;059;400;740","233;527;550","002;416;861","032;059;400;740","233;527;550"
