"next","known_next","site","type","count","prev520_count","next415_count","damaged_or_open_count","examples"
"415","true","Harappa","SEAL:S","5","1","5","1","479.1;1169.1;1294.1;1407.1;1536.1"
"415","true","Harappa","TAB:B","18","4","18","0","291.1;485.2;913.1;913.2;1234.1;1300.1;1301.1;1302.1"
"415","true","Harappa","TAB:I","19","13","19","4","221.1;481.1;673.2;770.2;816.1;827.2;841.1;848.1"
"415","true","Harappa","TAG","1","1","1","1","517.1"
"415","true","Khirsara","SEAL:R","1","0","1","1","4895.1"
"415","true","Lothal","SEAL:R","1","1","1","0","2052.1"
"415","true","Mohenjo-daro","ROD","2","0","2","0","4042.1;4044.1"
"415","true","Mohenjo-daro","SEAL:R","12","1","12","3","2234.1;2360.1;2422.1;2480.1;2861.1;2865.1;2891.1;2902.1"
"415","true","Mohenjo-daro","SEAL:S","22","7","22","4","2178.1;2377.1;2401.1;2420.1;2565.1;2580.1;2636.1;2689.1"
"415","true","Mohenjo-daro","TAB:B","3","0","3","0","2953.1;2954.1;3711.1"
"415","true","Mohenjo-daro","TAB:C","4","0","4","0","2983.1;2984.1;3733.1;3734.1"
"415","true","Pabumath","SEAL:S","1","0","1","1","3861.1"
"416","true","Dholavira","SEAL:S","1","0","0","0","130.1"
"416","true","Harappa","SEAL:S","1","0","0","0","1148.1"
"416","true","Harappa","TAB:I","4","0","0","0","311.1;1324.2;1793.1;4056.1"
"416","true","Pabumath","SEAL:S","1","0","0","1","3861.1"
"428","true","Mohenjo-daro","SEAL:S","1","0","0","0","2742.1"
"455","true","Dholavira","SEAL:R","1","0","0","0","4194.1"
"455","true","Harappa","SEAL:S","2","0","0","0","1139.1;1293.1"
"455","true","Harappa","TAB:B","1","0","0","0","388.2"
"455","true","Kalibangan","SEAL:S","1","0","0","0","1882.1"
"455","true","Karzakan","SEAL:C","1","0","0","0","5227.1"
"455","true","Mohenjo-daro","SEAL:R","1","0","0","1","3634.1"
"455","true","Mohenjo-daro","SEAL:S","4","0","0","0","2195.1;2557.1;2589.1;2674.1"
"463","true","Dholavira","SEAL:S","1","0","0","0","4229.1"
"500","true","Harappa","SEAL:S","1","0","0","0","293.1"
"520","true","Kalibangan","POT:T:g","1","0","0","1","1950.1"
"528","true","Ur","SEAL:C","1","0","0","0","3897.1"
"530","true","Harappa","SEAL:S","1","0","0","0","1548.1"
"617","true","Lothal","TAG","1","0","0","1","2120.1"
"621","true","Mohenjo-daro","SEAL:S","1","1","0","0","2681.1"
"627","true","Mohenjo-daro","TAG:O","1","0","0","0","3712.1"
"632","true","Nindowari-damb","SEAL:S","1","0","0","0","3858.1"
"700","true","Harappa","TAB:B","1","0","0","1","302.2"
"700","true","Harappa","TAB:I","3","0","0","0","1324.1;1793.2;4056.2"
"705","true","Mohenjo-daro","SEAL:S","1","0","0","1","3431.1"
"741","true","Kalibangan","SEAL:S","1","0","0","0","1889.1"
"741","true","Lothal","SEAL:S","1","0","0","0","2016.1"
"741","true","Mohenjo-daro","SEAL:S","1","0","0","0","2654.1"
"742","true","Harappa","SEAL:S","1","0","0","0","1095.1"
"742","true","Mohenjo-daro","SEAL:S","1","0","0","0","2823.1"
"742","true","Nausharo","SEAL:S","1","1","0","0","5360.1"
"760","true","Harappa","TAB:I","1","0","0","1","795.2"
"786","true","Mohenjo-daro","SEAL:R","1","0","0","0","2910.1"
"786","true","Mohenjo-daro","SEAL:S","1","0","0","0","2697.1"
"803","true","Mohenjo-daro","SEAL:S","3","1","0","0","2513.1;2644.1;2772.1"
"832","true","Mohenjo-daro","SEAL","1","0","0","1","4018.1"
"838","true","Chanhu-daro","SEAL:S","1","0","0","1","63.1"
"840","true","Harappa","POT:T:g","1","0","0","1","206.1"
"880","true","Mohenjo-daro","SEAL:S","1","0","0","0","3097.1"
"892","true","Mohenjo-daro","SEAL:S","1","0","0","0","3157.1"
"920","true","Harappa","TAB:B","2","0","0","0","1216.1;1217.1"
