checked_date,x,rows,terminal,terminal_rate,open_rows,head_profile,site_profile,examples
2026-05-31,416,2,2/2,1.000,0,297:1;861:1,Harappa:1;Mohenjo-daro:1,H-910:861-416-<END> | M-114:297-416-<END>
2026-05-31,420,1,0/1,0.000,1,455:1,Harappa:1,H-1671:455-420-032
2026-05-31,861,3,1/3,0.333,2,000:1;003:1;368:1,Harappa:2;Kalibangan:1,-:543.1:003-861-<END> | H-486:000-861-031 | K-10:368-861-590 032 368
2026-05-31,360,2,1/2,0.500,1,293:1;861:1,Harappa:1;Mohenjo-daro:1,H-1706:293-360-<END> | M-355:861-360-520 919 140
2026-05-31,095,3,3/3,1.000,0,390:2;812:1,Harappa:1;Lothal:1;Mohenjo-daro:1,H-1993:390-095-<END> | L-1:812-095-<END> | M-71:390-095-<END>
2026-05-31,921,2,2/2,1.000,0,690:2,Harappa:2,H-1657:690-921-<END> | H-8:690-921-<END>
2026-05-31,615,3,2/3,0.667,1,550:1;611:1;900:1,Mohenjo-daro:2;Harappa:1,H-3:611-615-703 | M-849:550-615-<END> | M-937:900-615-<END>
2026-05-31,321,1,1/1,1.000,0,405:1,Harappa:1,H-22:405-321-<END>
2026-05-31,374,1,0/1,0.000,1,365:1,Harappa:1,H-31:365-374-000
2026-05-31,892,3,2/3,0.667,1,031:2;269:1,Mohenjo-daro:2;Harappa:1,H-44:031-892-<END> | M-1766:269-892-810 033 | M-1745:031-892-<END>
2026-05-31,125,11,2/11,0.182,9,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,H-55:861-125-<END> | H-74:610-125-032 | M-1692:190-125-632 032 | M-1665:610-125-032 | M-38:390-125-632 032 | M-41:405-125-820 | M-119:390-125-632 032 900 563 | M-354:906-125-<END>
2026-05-31,244,1,0/1,0.000,1,861:1,Harappa:1,H-129:861-244-165
2026-05-31,812,1,0/1,0.000,1,595:1,Harappa:1,H-130:595-812-125 717
2026-05-31,575,6,5/6,0.833,1,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,H-131:595-575-794 000 | K-24:252-575-<END> | M-318:031-575-<END> | M-665:374-575-<END> | -:4203.1:463-575-<END> | -:5579.1:031-575-<END>
2026-05-31,235,1,1/1,1.000,0,233:1,Harappa:1,H-141:233-235-<END>
2026-05-31,501,1,1/1,1.000,0,405:1,Harappa:1,H-1155:405-501-<END>
2026-05-31,632,3,2/3,0.667,1,244:1;460:1;595:1,Mohenjo-daro:2;Harappa:1,H-385:595-632-354 850 | M-845:460-632-<END> | M-1188:244-632-<END>
2026-05-31,480,2,1/2,0.500,1,031:2,Harappa:1;Mohenjo-daro:1,H-389:031-480-625 | M-1386:031-480-<END>
2026-05-31,503,1,1/1,1.000,0,702:1,Harappa:1,H-408:702-503-<END>
2026-05-31,511,2,2/2,1.000,0,455:1;460:1,Harappa:1;Mohenjo-daro:1,H-426:460-511-<END> | M-1907:455-511-<END>
2026-05-31,216,2,2/2,1.000,0,000:1;861:1,Harappa:1;Mohenjo-daro:1,H-446:861-216-<END> | M-636:000-216-<END>
2026-05-31,808,1,1/1,1.000,0,817:1,Harappa:1,H-456:817-808-<END>
2026-05-31,590,7,3/7,0.429,4,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,H-464:798-590-032 | H-611:125-590-<END> | Lh-1:392-590-125 | L-112:540-590-<END> | M-248:705-590-<END> | -:3335.1:390-590-032 | ?-3:368-590-900
2026-05-31,705,5,4/5,0.800,1,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,H-468:940-705-<END> | M-1668:320-705-125 | M-1155:033-705-<END> | M-1825:390-705-<END> | -:4237.1:390-705-<END>
2026-05-31,255,2,0/2,0.000,2,435:1;861:1,Harappa:1;Mohenjo-daro:1,H-598:435-255-777 | M-91:861-255-416
2026-05-31,260,3,3/3,1.000,0,368:2;940:1,Mohenjo-daro:2;Harappa:1,H-600:368-260-<END> | M-1789:368-260-<END> | M-107:940-260-<END>
2026-05-31,747,1,1/1,1.000,0,717:1,Harappa:1,H-639:717-747-<END>
2026-05-31,831,1,0/1,0.000,1,861:1,Harappa:1,H-688:861-831-165
2026-05-31,060,2,0/2,0.000,2,741:2,Kalibangan:1;Mohenjo-daro:1,K-4:741-060-920 | M-1114:741-060-920
2026-05-31,463,1,0/1,0.000,1,762:1,Kalibangan:1,K-18:762-463-140
2026-05-31,033,2,2/2,1.000,0,093:1;820:1,Kalibangan:1;Mohenjo-daro:1,K-23:820-033-<END> | M-1765:093-033-<END>
2026-05-31,065,3,0/3,0.000,3,220:3,Mohenjo-daro:2;Kalibangan:1,K-25:220-065-132 082 | M-46:220-065-215 | M-140:220-065-440 455
2026-05-31,791,1,0/1,0.000,1,861:1,Kalibangan:1,K-40:861-791-440 717
2026-05-31,091,1,1/1,1.000,0,056:1,Kalibangan:1,K-156:056-091-<END>
2026-05-31,832,2,2/2,1.000,0,360:1;861:1,Kalibangan:1;Mohenjo-daro:1,K-89:360-832-<END> | M-1681:861-832-<END>
2026-05-31,390,2,1/2,0.500,1,595:1;861:1,Dholavira:1;Kalibangan:1,K-89:595-390-000 | -:4348.1:861-390-<END>
2026-05-31,031,8,7/8,0.875,1,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,L-4:575-031-<END> | M-2005:000-031-<END> | M-358:502-031-<END> | M-706:861-031-<END> | M-756:812-031-<END> | M-948:388-031-<END> | M-1284:502-031-<END> | -:3882.1:055-031-319 001 924
2026-05-31,692,3,2/3,0.667,1,252:1;390:1;455:1,Mohenjo-daro:2;Lothal:1,L-5:455-692-416 | M-1901:252-692-<END> | M-70:390-692-<END>
2026-05-31,035,3,1/3,0.333,2,130:3,Mohenjo-daro:2;Lothal:1,L-12:130-035-<END> | M-699:130-035-171 | M-1112:130-035-171
2026-05-31,626,1,1/1,1.000,0,861:1,Lothal:1,L-39:861-626-<END>
2026-05-31,392,1,1/1,1.000,0,861:1,Lothal:1,L-46:861-392-<END>
2026-05-31,055,1,1/1,1.000,0,798:1,Lothal:1,L-47:798-055-<END>
2026-05-31,840,3,2/3,0.667,1,252:1;368:1;374:1,Mohenjo-daro:2;Lothal:1,L-213:368-840-900 | M-143:252-840-<END> | M-1089:374-840-<END>
2026-05-31,096,1,1/1,1.000,0,861:1,Mohenjo-daro:1,M-2089:861-096-<END>
2026-05-31,504,1,0/1,0.000,1,595:1,Mohenjo-daro:1,M-1676:595-504-803
2026-05-31,220,1,0/1,0.000,1,286:1,Mohenjo-daro:1,M-1688:286-220-031 012 031 455 033 590
2026-05-31,001,1,0/1,0.000,1,820:1,Mohenjo-daro:1,M-1677:820-001-440 012
2026-05-31,683,1,1/1,1.000,0,861:1,Mohenjo-daro:1,M-1674:861-683-<END>
2026-05-31,435,1,0/1,0.000,1,798:1,Mohenjo-daro:1,M-1772:798-435-255 705
2026-05-31,920,2,1/2,0.500,1,156:1;944:1,Mohenjo-daro:2,M-1810:156-920-<END> | M-280:944-920-140
2026-05-31,215,1,1/1,1.000,0,000:1,Mohenjo-daro:1,M-1783:000-215-<END>
2026-05-31,820,3,3/3,1.000,0,031:1;060:1;717:1,Mohenjo-daro:2;Kalibangan:1,M-1667:717-820-<END> | M-1369:060-820-<END> | K-429:031-820-<END>
2026-05-31,192,1,0/1,0.000,1,817:1,Mohenjo-daro:1,M-1662:817-192-000
2026-05-31,617,1,0/1,0.000,1,564:1,Mohenjo-daro:1,M-4:564-617-033
2026-05-31,202,1,0/1,0.000,1,368:1,Mohenjo-daro:1,M-12:368-202-892 371
2026-05-31,560,1,1/1,1.000,0,814:1,Mohenjo-daro:1,M-17:814-560-<END>
2026-05-31,036,1,0/1,0.000,1,861:1,Mohenjo-daro:1,M-20:861-036-460 513
2026-05-31,140,3,3/3,1.000,0,287:1;390:1;906:1,Mohenjo-daro:3,M-24:906-140-<END> | M-109:287-140-<END> | M-708:390-140-<END>
2026-05-31,372,1,0/1,0.000,1,405:1,Mohenjo-daro:1,M-34:405-372-374
2026-05-31,906,3,1/3,0.333,2,368:1;595:1;820:1,Mohenjo-daro:3,M-36:368-906-329 | M-809:595-906-<END> | M-1178:820-906-000
2026-05-31,475,1,0/1,0.000,1,527:1,Mohenjo-daro:1,M-40:527-475-005
2026-05-31,373,1,1/1,1.000,0,055:1,Mohenjo-daro:1,M-43:055-373-<END>
2026-05-31,717,1,1/1,1.000,0,504:1,Mohenjo-daro:1,M-52:504-717-<END>
2026-05-31,190,2,1/2,0.500,1,297:1;301:1,Mohenjo-daro:2,M-53:297-190-920 140 | M-115:301-190-<END>
2026-05-31,309,1,0/1,0.000,1,374:1,Mohenjo-daro:1,M-66:374-309-350
2026-05-31,070,1,1/1,1.000,0,617:1,Mohenjo-daro:1,M-81:617-070-<END>
2026-05-31,700,2,2/2,1.000,0,111:1;820:1,Mohenjo-daro:2,M-86:820-700-<END> | M-721:111-700-<END>
2026-05-31,084,1,1/1,1.000,0,814:1,Mohenjo-daro:1,M-92:814-084-<END>
2026-05-31,165,3,3/3,1.000,0,031:1;111:1;368:1,Mohenjo-daro:3,M-95:111-165-<END> | M-211:031-165-<END> | M-311:368-165-<END>
2026-05-31,119,1,1/1,1.000,0,368:1,Mohenjo-daro:1,M-99:368-119-<END>
2026-05-31,898,1,1/1,1.000,0,257:1,Mohenjo-daro:1,M-154:257-898-<END>
2026-05-31,502,2,2/2,1.000,0,031:1;295:1,Mohenjo-daro:2,M-181:295-502-<END> | M-678:031-502-<END>
2026-05-31,346,2,2/2,1.000,0,390:1;904:1,Mohenjo-daro:2,M-213:390-346-<END> | M-1319:904-346-<END>
2026-05-31,707,1,1/1,1.000,0,390:1,Mohenjo-daro:1,M-232:390-707-<END>
2026-05-31,603,3,3/3,1.000,0,861:3,Mohenjo-daro:3,M-240:861-603-<END> | M-714:861-603-<END> | M-1273:861-603-<END>
2026-05-31,518,1,1/1,1.000,0,368:1,Mohenjo-daro:1,M-253:368-518-<END>
2026-05-31,228,1,0/1,0.000,1,374:1,Mohenjo-daro:1,M-315:374-228-741
2026-05-31,493,1,1/1,1.000,0,850:1,Mohenjo-daro:1,M-325:850-493-<END>
2026-05-31,698,1,1/1,1.000,0,861:1,Mohenjo-daro:1,M-330:861-698-<END>
2026-05-31,385,1,0/1,0.000,1,388:1,Mohenjo-daro:1,M-359:388-385-705 632
2026-05-31,533,2,0/2,0.000,2,861:2,Mohenjo-daro:2,M-376:861-533-717 | M-391:861-533-717
2026-05-31,004,1,1/1,1.000,0,354:1,Mohenjo-daro:1,M-413:354-004-<END>
2026-05-31,016,1,1/1,1.000,0,840:1,Mohenjo-daro:1,M-491:840-016-<END>
2026-05-31,460,3,0/3,0.000,3,365:2;298:1,Mohenjo-daro:3,M-577:365-460-495 | M-683:298-460-032 | M-1532:365-460-495
2026-05-31,690,2,0/2,0.000,2,291:1;817:1,Mohenjo-daro:2,M-628:291-690-564 | M-855:817-690-544
2026-05-31,751,1,1/1,1.000,0,190:1,Mohenjo-daro:1,M-639:190-751-<END>
2026-05-31,090,3,1/3,0.333,2,000:2;817:1,Mohenjo-daro:2;Unknown:1,M-644:817-090-370 | M-902:000-090-<END> | -:5226.1:000-090-725 000
2026-05-31,880,1,0/1,0.000,1,220:1,Mohenjo-daro:1,M-655:220-880-689
2026-05-31,817,1,1/1,1.000,0,002:1,Mohenjo-daro:1,M-658:002-817-<END>
2026-05-31,901,1,1/1,1.000,0,861:1,Mohenjo-daro:1,M-677:861-901-<END>
2026-05-31,850,1,1/1,1.000,0,315:1,Mohenjo-daro:1,M-1002:315-850-<END>
2026-05-31,834,1,1/1,1.000,0,065:1,Mohenjo-daro:1,M-1082:065-834-<END>
2026-05-31,703,1,1/1,1.000,0,400:1,Mohenjo-daro:1,M-1135:400-703-<END>
2026-05-31,633,1,0/1,0.000,1,270:1,Mohenjo-daro:1,M-1169:270-633-032
2026-05-31,342,1,0/1,0.000,1,595:1,Mohenjo-daro:1,M-1341:595-342-632
2026-05-31,285,1,1/1,1.000,0,900:1,Mohenjo-daro:1,M-1358:900-285-<END>
2026-05-31,627,1,0/1,0.000,1,220:1,Mohenjo-daro:1,M-1427:220-627-615 906 388
2026-05-31,290,1,0/1,0.000,1,790:1,Mohenjo-daro:1,M-1631:790-290-741
2026-05-31,310,1,0/1,0.000,1,374:1,Nausharo:1,Ns-9:374-310-350 495 834
2026-05-31,127,1,1/1,1.000,0,705:1,Tell Umma:1,-:3884.1:705-127-<END>
2026-05-31,328,1,0/1,0.000,1,004:1,Ur:1,-:3898.1:004-328-001 803 415
2026-05-31,803,1,1/1,1.000,0,861:1,Mohenjo-daro:1,M-1698:861-803-<END>
2026-05-31,376,1,1/1,1.000,0,031:1,Mohenjo-daro:1,M-1823:031-376-<END>
2026-05-31,368,1,0/1,0.000,1,413:1,Mohenjo-daro:1,M-1894:413-368-031
2026-05-31,104,1,1/1,1.000,0,031:1,Dholavira:1,-:4164.1:031-104-<END>
2026-05-31,595,1,1/1,1.000,0,278:1,Salut:1,-:4173.1:278-595-<END>
2026-05-31,231,1,1/1,1.000,0,226:1,Dholavira:1,-:4200.1:226-231-<END>
2026-05-31,279,1,1/1,1.000,0,629:1,Dholavira:1,-:4209.1:629-279-<END>
2026-05-31,630,1,1/1,1.000,0,900:1,Dholavira:1,-:4302.1:900-630-<END>
2026-05-31,250,1,1/1,1.000,0,001:1,Nausharo:1,Ns-56:001-250-<END>
