"policy","first_code","last_code","first_sign","last_sign","count","examples","review_status"
"p385_merge_only","I","W","L740","L806","2","M-30;M-173","anchor_pair_only_not_semantic"
"p385_merge_only","M","S","L033","L361","1","M-139","anchor_pair_only_not_semantic"
"p385_merge_only","M","S","L220","L864","1","M-151","anchor_pair_only_not_semantic"
"p385_merge_only","M","S","L368","L125","1","M-13","anchor_pair_only_not_semantic"
"p385_merge_only","M","S","L001","L371","1","M-1","anchor_pair_only_not_semantic"
"p385_merge_only","M","W","L368","L920","1","M-59","anchor_pair_only_not_semantic"
"p385_merge_only","D","D","L390","L820","1","M-103","anchor_pair_only_not_semantic"
"p385_merge_only","I","W","L520","L031","1","M-135","anchor_pair_only_not_semantic"
"p385_merge_only","I","W","L740","L031","1","M-155","anchor_pair_only_not_semantic"
"p385_merge_only","S","D","L236","L820","1","M-54","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L520","P385","1","M-75","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L156","P385","1","M-80","anchor_pair_only_not_semantic"
"p385_merge_only","I","T","L090","L692","1","M-26","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L880","1","M-145","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L832","1","M-150","anchor_pair_only_not_semantic"
"p385_merge_only","I","W","L740","L550","1","M-149","anchor_pair_only_not_semantic"
"p385_merge_only","S","D","L413","L820","1","M-108","anchor_pair_only_not_semantic"
"p385_merge_only","S","M","L527","L233","1","M-88","anchor_pair_only_not_semantic"
"p385_merge_only","S","M","L151","L741","1","M-160","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L872","L692","1","M-134","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L832","P385","1","M-77","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L595","L140","1","M-74","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L527","P385","1","M-42","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L407","L692","1","M-171","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L350","P385","1","M-21","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L226","L692","1","M-70","anchor_pair_only_not_semantic"
"p385_merge_only","S","T","L136","P385","1","M-142","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L932","L055","1","M-18","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L717","L521","1","M-3","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L706","L632","1","M-8","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L527","L388","1","M-133","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L405","L850","1","M-172","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L400","L104","1","M-87","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L400","L072","1","M-123","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L391","L005","1","M-40","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L269","L190","1","M-153","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L226","L693","1","M-57","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L154","L545","1","M-102","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L151","L563","1","M-119","anchor_pair_only_not_semantic"
"p385_merge_only","S","S","L151","L095","1","M-71","anchor_pair_only_not_semantic"
"p385_merge_only","S","M","L565","L176","1","M-127","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L790","1","M-131","anchor_pair_only_not_semantic"
"p385_merge_only","S","I","L226","L520","1","M-147","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L717","1","M-52","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L556","1","M-148","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L740","L621","1","M-180","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L156","L004","1","M-96","anchor_pair_only_not_semantic"
"p385_merge_only","I","S","L090","L545","1","M-136","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L798","1","M-121","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L705","1","M-128","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L503","1","M-29","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L235","1","M-89","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L740","L003","1","M-94","anchor_pair_only_not_semantic"
"p385_merge_only","I","M","L520","L705","1","M-122","anchor_pair_only_not_semantic"
