bigram,exact_cells,best_next,best_hit,best_share,sites,types
002-463,1,575,1,1,1,1
002-504,1,717,1,1,1,1
002-518,1,<END>,1,1,1,1
002-527,1,475,1,1,1,1
002-546,1,<END>,1,1,1,1
002-564,1,617,1,1,1,1
002-570,1,<END>,1,1,1,1
002-575,1,031,1,1,1,1
002-577,1,<END>,1,1,1,1
002-590,1,455,1,1,1,1
002-611,1,615,1,1,1,1
002-615,1,<END>,1,1,1,1
002-629,1,279,1,1,1,1
002-679,1,<END>,1,1,1,1
002-693,1,<END>,1,1,1,1
002-702,1,503,1,1,1,1
002-717,1,820,1,1,1,1
002-727,1,317,1,1,1,1
002-762,1,463,1,1,1,1
002-764,1,<END>,1,1,1,1
002-768,1,<END>,1,1,1,1
002-790,1,290,1,1,1,1
002-803,1,<END>,1,1,1,1
002-808,1,<END>,1,1,1,1
002-818,1,<END>,1,1,1,1
002-825,1,<END>,1,1,1,1
002-862,1,032,1,1,1,1
002-863,1,<END>,1,1,1,1
002-892,1,740,1,1,1,1
002-905,1,<END>,1,1,1,1
002-933,1,<END>,1,1,1,1
002-944,1,920,1,1,1,1
003-013,1,817,1,1,1,1
003-070,1,002,1,1,1,1
003-233,1,805,1,1,1,1
003-240,1,741,1,1,1,1
003-263,1,104,1,1,1,1
003-368,1,817,1,1,1,1
003-388,1,<END>,1,1,1,1
003-408,1,<END>,1,1,1,1
003-421,1,<END>,1,1,1,1
003-435,1,<END>,1,1,1,1
003-480,1,368,1,1,1,1
003-494,1,<END>,1,1,1,1
003-545,1,<END>,1,1,1,1
003-615,1,503,1,1,1,1
003-617,1,033,1,1,1,1
003-645,1,<END>,1,1,1,1
003-700,1,<END>,1,1,1,1
003-742,1,060,1,1,1,1
003-790,1,<END>,1,1,1,1
003-853,1,<END>,1,1,1,1
003-861,1,031,1,1,1,1
003-877,1,<END>,1,1,1,1
003-904,1,<END>,1,1,1,1
004-004,1,<END>,1,1,1,1
004-151,1,803,1,1,1,1
004-155,1,390,1,1,1,1
004-260,1,<END>,1,1,1,1
004-328,1,001,1,1,1,1
004-455,1,371,1,1,1,1
004-491,1,<END>,1,1,1,1
004-492,1,015,1,1,1,1
004-740,1,482,1,1,1,1
004-741,1,617,1,1,1,1
004-745,1,905,1,1,1,1
004-817,1,<END>,1,1,1,1
004-821,1,001,1,1,1,1
005-004,1,151,1,1,1,1
005-033,1,<END>,1,1,1,1
005-408,1,<END>,1,1,1,1
005-825,1,776,1,1,1,1
005-877,1,<END>,1,1,1,1
005-956,1,<END>,1,1,1,1
006-503,1,236,1,1,1,1
006-740,1,090,1,1,1,1
007-004,1,<END>,1,1,1,1
012-031,1,455,1,1,1,1
013-002,1,817,1,1,1,1
013-220,1,455,1,1,1,1
013-240,1,<END>,1,1,1,1
013-269,1,632,1,1,1,1
013-302,1,840,1,1,1,1
013-480,1,850,1,1,1,1
013-547,1,<END>,1,1,1,1
013-740,1,176,1,1,1,1
013-745,1,031,1,1,1,1
014-002,1,820,1,1,1,1
014-817,1,<END>,1,1,1,1
014-820,1,<END>,1,1,1,1
015-001,1,031,1,1,1,1
015-002,1,861,1,1,1,1
015-013,1,031,1,1,1,1
015-600,1,251,1,1,1,1
016-001,1,740,1,1,1,1
016-031,1,908,1,1,1,1
016-060,1,550,1,1,1,1
016-220,1,382,1,1,1,1
016-382,1,741,1,1,1,1
016-435,1,255,1,1,1,1
016-503,1,<END>,1,1,1,1
016-853,1,<END>,1,1,1,1
017-003,1,<END>,1,1,1,1
017-031,1,741,1,1,1,1
017-233,1,550,1,1,1,1
017-495,1,235,1,1,1,1
017-645,1,002,1,1,1,1
017-740,1,240,1,1,1,1
017-900,1,<END>,1,1,1,1
018-001,1,220,1,1,1,1
018-125,1,381,1,1,1,1
018-796,1,<END>,1,1,1,1
019-002,1,817,1,1,1,1
026-060,1,257,1,1,1,1
029-002,1,281,1,1,1,1
031-005,1,<END>,1,1,1,1
031-012,1,031,1,1,1,1
031-031,1,550,1,1,1,1
031-046,1,<END>,1,1,1,1
031-071,1,<END>,1,1,1,1
031-090,1,032,1,1,1,1
031-091,1,<END>,1,1,1,1
031-093,1,001,1,1,1,1
031-104,1,<END>,1,1,1,1
031-133,1,<END>,1,1,1,1
031-165,1,<END>,1,1,1,1
031-226,1,<END>,1,1,1,1
031-240,1,<END>,1,1,1,1
031-250,1,<END>,1,1,1,1
031-311,1,745,1,1,1,1
031-319,1,001,1,1,1,1
031-350,1,550,1,1,1,1
031-371,1,<END>,1,1,1,1
031-376,1,<END>,1,1,1,1
031-416,1,140,1,1,1,1
031-455,1,033,1,1,1,1
031-500,1,<END>,1,1,1,1
031-502,1,<END>,1,1,1,1
031-545,1,<END>,1,1,1,1
031-550,1,003,1,1,1,1
031-592,1,031,1,1,1,1
031-625,1,140,1,1,1,1
031-692,1,<END>,1,1,1,1
031-697,1,<END>,1,1,1,1
031-752,1,033,1,1,1,1
031-790,1,495,1,1,1,1
031-817,1,<END>,1,1,1,1
031-840,1,140,1,1,1,1
031-893,1,<END>,1,1,1,1
031-904,1,001,1,1,1,1
031-908,1,545,1,1,1,1
031-950,1,001,1,1,1,1
032-013,1,480,1,1,1,1
032-014,1,<END>,1,1,1,1
032-015,1,<END>,1,1,1,1
032-055,1,001,1,1,1,1
032-063,1,<END>,1,1,1,1
032-091,1,<END>,1,1,1,1
032-142,1,<END>,1,1,1,1
032-154,1,806,1,1,1,1
032-190,1,<END>,1,1,1,1
032-257,1,840,1,1,1,1
032-388,1,002,1,1,1,1
032-390,1,<END>,1,1,1,1
032-480,1,<END>,1,1,1,1
032-521,1,<END>,1,1,1,1
032-530,1,740,1,1,1,1
032-545,1,<END>,1,1,1,1
032-595,1,090,1,1,1,1
032-645,1,003,1,1,1,1
032-690,1,368,1,1,1,1
032-692,1,<END>,1,1,1,1
032-716,1,<END>,1,1,1,1
032-740,1,335,1,1,1,1
032-776,1,625,1,1,1,1
032-850,1,031,1,1,1,1
032-901,1,620,1,1,1,1
032-923,1,382,1,1,1,1
033-002,1,861,1,1,1,1
033-003,1,<END>,1,1,1,1
033-034,1,<END>,1,1,1,1
033-060,1,413,1,1,1,1
033-095,1,<END>,1,1,1,1
033-137,1,002,1,1,1,1
033-151,1,706,1,1,1,1
033-155,1,<END>,1,1,1,1
033-171,1,<END>,1,1,1,1
033-255,1,<END>,1,1,1,1
033-400,1,740,1,1,1,1
033-426,1,<END>,1,1,1,1
033-495,1,<END>,1,1,1,1
033-503,1,<END>,1,1,1,1
033-590,1,<END>,1,1,1,1
033-615,1,<END>,1,1,1,1
033-702,1,<END>,1,1,1,1
033-720,1,<END>,1,1,1,1
033-817,1,<END>,1,1,1,1
033-820,1,<END>,1,1,1,1
033-832,1,236,1,1,1,1
033-853,1,<END>,1,1,1,1
033-900,1,645,1,1,1,1
034-001,1,<END>,1,1,1,1
034-002,1,374,1,1,1,1
034-032,1,032,1,1,1,1
034-033,1,033,1,1,1,1
034-400,1,525,1,1,1,1
034-690,1,368,1,1,1,1
034-698,1,<END>,1,1,1,1
034-705,1,<END>,1,1,1,1
035-002,1,861,1,1,1,1
036-220,1,415,1,1,1,1
036-269,1,140,1,1,1,1
036-460,1,513,1,1,1,1
041-705,1,002,1,1,1,1
042-002,1,820,1,1,1,1
042-741,1,060,1,1,1,1
045-740,1,806,1,1,1,1
046-031,1,033,1,1,1,1
048-232,1,<END>,1,1,1,1
050-705,1,<END>,1,1,1,1
055-033,1,706,1,1,1,1
055-060,1,190,1,1,1,1
055-099,1,121,1,1,1,1
055-232,1,233,1,1,1,1
055-373,1,<END>,1,1,1,1
055-806,1,<END>,1,1,1,1
055-831,1,031,1,1,1,1
055-906,1,<END>,1,1,1,1
055-920,1,140,1,1,1,1
056-031,1,<END>,1,1,1,1
060-001,1,820,1,1,1,1
060-013,1,<END>,1,1,1,1
060-065,1,405,1,1,1,1
060-130,1,035,1,1,1,1
060-146,1,<END>,1,1,1,1
060-190,1,<END>,1,1,1,1
060-193,1,<END>,1,1,1,1
060-257,1,<END>,1,1,1,1
060-390,1,803,1,1,1,1
060-407,1,140,1,1,1,1
060-413,1,346,1,1,1,1
060-415,1,056,1,1,1,1
060-540,1,<END>,1,1,1,1
060-572,1,<END>,1,1,1,1
060-573,1,<END>,1,1,1,1
060-575,1,717,1,1,1,1
060-740,1,500,1,1,1,1
060-795,1,<END>,1,1,1,1
060-825,1,002,1,1,1,1
060-840,1,416,1,1,1,1
060-880,1,<END>,1,1,1,1
060-922,1,<END>,1,1,1,1
061-156,1,002,1,1,1,1
061-299,1,350,1,1,1,1
061-435,1,093,1,1,1,1
061-527,1,555,1,1,1,1
061-877,1,<END>,1,1,1,1
062-002,1,817,1,1,1,1
062-820,1,500,1,1,1,1
063-051,1,<END>,1,1,1,1
063-520,1,095,1,1,1,1
063-615,1,262,1,1,1,1
063-845,1,240,1,1,1,1
064-001,1,856,1,1,1,1
064-002,1,<END>,1,1,1,1
064-003,1,<END>,1,1,1,1
064-004,1,013,1,1,1,1
064-031,1,400,1,1,1,1
064-104,1,<END>,1,1,1,1
064-840,1,140,1,1,1,1
065-123,1,<END>,1,1,1,1
065-132,1,082,1,1,1,1
065-215,1,<END>,1,1,1,1
065-244,1,<END>,1,1,1,1
065-374,1,<END>,1,1,1,1
065-393,1,<END>,1,1,1,1
065-405,1,720,1,1,1,1
065-440,1,455,1,1,1,1
065-599,1,798,1,1,1,1
065-798,1,550,1,1,1,1
065-826,1,<END>,1,1,1,1
065-864,1,<END>,1,1,1,1
066-033,1,<END>,1,1,1,1
066-556,1,<END>,1,1,1,1
066-740,1,760,1,1,1,1
066-828,1,<END>,1,1,1,1
066-942,1,090,1,1,1,1
067-002,1,374,1,1,1,1
067-100,1,<END>,1,1,1,1
067-741,1,647,1,1,1,1
067-900,1,002,1,1,1,1
070-002,1,233,1,1,1,1
070-033,1,705,1,1,1,1
070-219,1,002,1,1,1,1
070-220,1,032,1,1,1,1
070-233,1,798,1,1,1,1
070-253,1,060,1,1,1,1
070-495,1,240,1,1,1,1
070-503,1,240,1,1,1,1
070-590,1,495,1,1,1,1
070-615,1,417,1,1,1,1
071-032,1,<END>,1,1,1,1
072-170,1,740,1,1,1,1
072-233,1,740,1,1,1,1
074-220,1,415,1,1,1,1
081-220,1,<END>,1,1,1,1
081-272,1,<END>,1,1,1,1
081-518,1,001,1,1,1,1
082-350,1,<END>,1,1,1,1
083-235,1,240,1,1,1,1
090-017,1,<END>,1,1,1,1
090-032,1,001,1,1,1,1
090-055,1,060,1,1,1,1
090-095,1,741,1,1,1,1
090-100,1,415,1,1,1,1
090-160,1,<END>,1,1,1,1
090-175,1,<END>,1,1,1,1
090-326,1,700,1,1,1,1
090-351,1,741,1,1,1,1
090-370,1,<END>,1,1,1,1
090-390,1,<END>,1,1,1,1
090-585,1,017,1,1,1,1
090-703,1,<END>,1,1,1,1
090-803,1,564,1,1,1,1
090-820,1,<END>,1,1,1,1
090-850,1,032,1,1,1,1
091-220,1,055,1,1,1,1
092-625,1,900,1,1,1,1
092-850,1,<END>,1,1,1,1
093-001,1,091,1,1,1,1
093-002,1,252,1,1,1,1
093-033,1,<END>,1,1,1,1
093-340,1,924,1,1,1,1
093-368,1,072,1,1,1,1
093-740,1,100,1,1,1,1
093-808,1,<END>,1,1,1,1
094-220,1,032,1,1,1,1
095-031,1,740,1,1,1,1
095-033,1,706,1,1,1,1
095-717,1,747,1,1,1,1
095-741,1,374,1,1,1,1
095-760,1,744,1,1,1,1
095-909,1,005,1,1,1,1
097-002,1,817,1,1,1,1
097-031,1,<END>,1,1,1,1
097-232,1,416,1,1,1,1
097-520,1,033,1,1,1,1
097-741,1,140,1,1,1,1
098-368,1,824,1,1,1,1
098-921,1,861,1,1,1,1
099-004,1,740,1,1,1,1
099-121,1,055,1,1,1,1
100-013,1,861,1,1,1,1
100-175,1,630,1,1,1,1
100-320,1,001,1,1,1,1
100-390,1,231,1,1,1,1
100-405,1,590,1,1,1,1
100-407,1,590,1,1,1,1
100-440,1,<END>,1,1,1,1
100-456,1,001,1,1,1,1
100-585,1,741,1,1,1,1
100-692,1,491,1,1,1,1
100-717,1,<END>,1,1,1,1
100-798,1,220,1,1,1,1
100-806,1,472,1,1,1,1
101-031,1,<END>,1,1,1,1
101-853,1,<END>,1,1,1,1
101-908,1,545,1,1,1,1
101-923,1,240,1,1,1,1
103-002,1,861,1,1,1,1
103-740,1,803,1,1,1,1
103-741,1,066,1,1,1,1
104-013,1,817,1,1,1,1
104-033,1,615,1,1,1,1
104-717,1,235,1,1,1,1
104-745,1,055,1,1,1,1
104-892,1,390,1,1,1,1
105-031,1,060,1,1,1,1
105-104,1,<END>,1,1,1,1
106-741,1,500,1,1,1,1
111-002,1,001,1,1,1,1
111-033,1,<END>,1,1,1,1
111-165,1,<END>,1,1,1,1
111-166,1,<END>,1,1,1,1
111-391,1,060,1,1,1,1
111-575,1,<END>,1,1,1,1
111-606,1,002,1,1,1,1
111-833,1,528,1,1,1,1
116-032,1,<END>,1,1,1,1
121-055,1,831,1,1,1,1
122-003,1,<END>,1,1,1,1
125-001,1,055,1,1,1,1
125-031,1,<END>,1,1,1,1
125-033,1,<END>,1,1,1,1
125-195,1,<END>,1,1,1,1
125-220,1,235,1,1,1,1
125-308,1,809,1,1,1,1
125-350,1,<END>,1,1,1,1
125-381,1,<END>,1,1,1,1
125-435,1,255,1,1,1,1
125-700,1,033,1,1,1,1
125-717,1,<END>,1,1,1,1
125-740,1,803,1,1,1,1
125-741,1,900,1,1,1,1
125-745,1,<END>,1,1,1,1
125-812,1,033,1,1,1,1
127-381,1,292,1,1,1,1
128-702,1,032,1,1,1,1
128-857,1,003,1,1,1,1
129-817,1,310,1,1,1,1
130-190,1,<END>,1,1,1,1
130-511,1,<END>,1,1,1,1
130-746,1,<END>,1,1,1,1
132-002,1,861,1,1,1,1
132-082,1,<END>,1,1,1,1
134-368,1,590,1,1,1,1
136-031,1,<END>,1,1,1,1
136-033,1,<END>,1,1,1,1
137-003,1,001,1,1,1,1
137-413,1,<END>,1,1,1,1
138-001,1,595,1,1,1,1
139-002,1,820,1,1,1,1
140-005,1,<END>,1,1,1,1
140-013,1,547,1,1,1,1
140-060,1,692,1,1,1,1
140-165,1,740,1,1,1,1
140-176,1,803,1,1,1,1
140-232,1,240,1,1,1,1
140-236,1,220,1,1,1,1
140-545,1,<END>,1,1,1,1
140-640,1,<END>,1,1,1,1
140-706,1,<END>,1,1,1,1
140-717,1,002,1,1,1,1
140-803,1,002,1,1,1,1
140-820,1,<END>,1,1,1,1
140-861,1,455,1,1,1,1
140-893,1,861,1,1,1,1
140-902,1,<END>,1,1,1,1
142-013,1,820,1,1,1,1
142-033,1,<END>,1,1,1,1
142-060,1,820,1,1,1,1
142-062,1,002,1,1,1,1
142-066,1,<END>,1,1,1,1
142-067,1,002,1,1,1,1
142-220,1,<END>,1,1,1,1
142-240,1,<END>,1,1,1,1
142-368,1,817,1,1,1,1
142-384,1,032,1,1,1,1
142-480,1,<END>,1,1,1,1
142-741,1,060,1,1,1,1
142-746,1,140,1,1,1,1
142-880,1,<END>,1,1,1,1
143-033,1,<END>,1,1,1,1
143-067,1,<END>,1,1,1,1
143-096,1,<END>,1,1,1,1
150-002,1,055,1,1,1,1
150-243,1,<END>,1,1,1,1
150-617,1,055,1,1,1,1
151-017,1,003,1,1,1,1
151-031,1,090,1,1,1,1
151-032,1,388,1,1,1,1
151-062,1,820,1,1,1,1
151-100,1,220,1,1,1,1
151-176,1,002,1,1,1,1
151-216,1,<END>,1,1,1,1
151-219,1,<END>,1,1,1,1
151-231,1,<END>,1,1,1,1
151-233,1,803,1,1,1,1
151-240,1,235,1,1,1,1
151-279,1,142,1,1,1,1
151-336,1,630,1,1,1,1
151-337,1,484,1,1,1,1
151-350,1,002,1,1,1,1
151-382,1,031,1,1,1,1
151-400,1,142,1,1,1,1
151-590,1,390,1,1,1,1
151-690,1,032,1,1,1,1
151-706,1,031,1,1,1,1
151-717,1,<END>,1,1,1,1
151-760,1,220,1,1,1,1
151-790,1,031,1,1,1,1
151-803,1,<END>,1,1,1,1
151-840,1,416,1,1,1,1
151-892,1,032,1,1,1,1
152-240,1,<END>,1,1,1,1
153-031,1,700,1,1,1,1
153-118,1,<END>,1,1,1,1
153-220,1,032,1,1,1,1
153-790,1,<END>,1,1,1,1
153-803,1,595,1,1,1,1
154-004,1,<END>,1,1,1,1
154-005,1,<END>,1,1,1,1
154-017,1,060,1,1,1,1
154-031,1,001,1,1,1,1
154-070,1,<END>,1,1,1,1
154-101,1,<END>,1,1,1,1
154-160,1,363,1,1,1,1
154-435,1,255,1,1,1,1
154-615,1,503,1,1,1,1
154-690,1,<END>,1,1,1,1
154-798,1,463,1,1,1,1
154-896,1,<END>,1,1,1,1
154-900,1,004,1,1,1,1
155-002,1,679,1,1,1,1
155-005,1,<END>,1,1,1,1
155-390,1,<END>,1,1,1,1
156-004,1,<END>,1,1,1,1
156-019,1,<END>,1,1,1,1
156-118,1,<END>,1,1,1,1
156-230,1,<END>,1,1,1,1
156-260,1,002,1,1,1,1
156-389,1,<END>,1,1,1,1
156-460,1,510,1,1,1,1
156-590,1,706,1,1,1,1
156-803,1,<END>,1,1,1,1
156-843,1,<END>,1,1,1,1
156-920,1,<END>,1,1,1,1
157-031,1,002,1,1,1,1
157-142,1,<END>,1,1,1,1
158-032,1,<END>,1,1,1,1
158-221,1,<END>,1,1,1,1
158-460,1,503,1,1,1,1
158-592,1,<END>,1,1,1,1
158-690,1,<END>,1,1,1,1
158-805,1,480,1,1,1,1
158-838,1,470,1,1,1,1
158-900,1,415,1,1,1,1
158-999,1,792,1,1,1,1
159-057,1,<END>,1,1,1,1
159-097,1,520,1,1,1,1
159-243,1,001,1,1,1,1
160-090,1,055,1,1,1,1
160-363,1,<END>,1,1,1,1
161-233,1,220,1,1,1,1
161-803,1,<END>,1,1,1,1
161-924,1,146,1,1,1,1
165-012,1,<END>,1,1,1,1
165-032,1,840,1,1,1,1
165-060,1,550,1,1,1,1
165-309,1,<END>,1,1,1,1
165-741,1,031,1,1,1,1
167-704,1,<END>,1,1,1,1
168-002,1,817,1,1,1,1
170-740,1,840,1,1,1,1
171-142,1,<END>,1,1,1,1
171-158,1,<END>,1,1,1,1
171-360,1,064,1,1,1,1
171-745,1,<END>,1,1,1,1
172-032,1,<END>,1,1,1,1
173-520,1,235,1,1,1,1
175-132,1,<END>,1,1,1,1
175-176,1,220,1,1,1,1
175-220,1,255,1,1,1,1
175-415,1,033,1,1,1,1
175-480,1,<END>,1,1,1,1
175-630,1,705,1,1,1,1
176-032,1,002,1,1,1,1
176-101,1,<END>,1,1,1,1
176-103,1,<END>,1,1,1,1
176-140,1,<END>,1,1,1,1
176-175,1,<END>,1,1,1,1
176-236,1,798,1,1,1,1
176-390,1,090,1,1,1,1
176-405,1,019,1,1,1,1
176-421,1,003,1,1,1,1
176-518,1,220,1,1,1,1
176-519,1,<END>,1,1,1,1
176-690,1,435,1,1,1,1
176-700,1,033,1,1,1,1
176-742,1,060,1,1,1,1
176-745,1,440,1,1,1,1
176-791,1,<END>,1,1,1,1
176-792,1,102,1,1,1,1
176-803,1,002,1,1,1,1
176-838,1,001,1,1,1,1
176-840,1,013,1,1,1,1
177-231,1,<END>,1,1,1,1
177-519,1,<END>,1,1,1,1
179-100,1,001,1,1,1,1
190-002,1,798,1,1,1,1
190-751,1,<END>,1,1,1,1
190-920,1,140,1,1,1,1
191-002,1,817,1,1,1,1
192-368,1,740,1,1,1,1
192-440,1,<END>,1,1,1,1
193-384,1,032,1,1,1,1
194-740,1,760,1,1,1,1
200-705,1,380,1,1,1,1
200-740,1,100,1,1,1,1
202-001,1,820,1,1,1,1
203-892,1,193,1,1,1,1
204-255,1,<END>,1,1,1,1
204-630,1,233,1,1,1,1
204-705,1,621,1,1,1,1
204-920,1,<END>,1,1,1,1
207-550,1,390,1,1,1,1
215-002,1,368,1,1,1,1
215-031,1,480,1,1,1,1
215-175,1,480,1,1,1,1
220-006,1,<END>,1,1,1,1
220-017,1,<END>,1,1,1,1
220-033,1,<END>,1,1,1,1
220-034,1,<END>,1,1,1,1
220-098,1,921,1,1,1,1
220-233,1,<END>,1,1,1,1
220-278,1,<END>,1,1,1,1
220-335,1,<END>,1,1,1,1
220-368,1,817,1,1,1,1
220-382,1,<END>,1,1,1,1
220-413,1,<END>,1,1,1,1
220-428,1,<END>,1,1,1,1
220-463,1,240,1,1,1,1
220-500,1,520,1,1,1,1
220-528,1,<END>,1,1,1,1
220-530,1,<END>,1,1,1,1
220-621,1,415,1,1,1,1
220-627,1,615,1,1,1,1
220-632,1,066,1,1,1,1
220-700,1,004,1,1,1,1
220-880,1,689,1,1,1,1
220-892,1,590,1,1,1,1
220-920,1,<END>,1,1,1,1
221-002,1,031,1,1,1,1
221-031,1,741,1,1,1,1
221-150,1,741,1,1,1,1
222-176,1,060,1,1,1,1
222-220,1,235,1,1,1,1
222-231,1,002,1,1,1,1
223-575,1,<END>,1,1,1,1
224-740,1,061,1,1,1,1
226-002,1,861,1,1,1,1
226-014,1,817,1,1,1,1
226-140,1,002,1,1,1,1
226-240,1,235,1,1,1,1
226-491,1,742,1,1,1,1
228-741,1,<END>,1,1,1,1
231-003,1,<END>,1,1,1,1
231-072,1,002,1,1,1,1
231-242,1,002,1,1,1,1
231-368,1,861,1,1,1,1
231-415,1,803,1,1,1,1
231-740,1,560,1,1,1,1
231-742,1,315,1,1,1,1
231-850,1,<END>,1,1,1,1
232-220,1,032,1,1,1,1
232-233,1,<END>,1,1,1,1
232-235,1,<END>,1,1,1,1
232-416,1,<END>,1,1,1,1
232-740,1,176,1,1,1,1
233-003,1,<END>,1,1,1,1
233-013,1,269,1,1,1,1
233-031,1,002,1,1,1,1
233-049,1,002,1,1,1,1
233-226,1,032,1,1,1,1
233-550,1,002,1,1,1,1
233-645,1,<END>,1,1,1,1
233-742,1,175,1,1,1,1
233-776,1,<END>,1,1,1,1
233-805,1,002,1,1,1,1
233-831,1,<END>,1,1,1,1
233-832,1,904,1,1,1,1
234-415,1,<END>,1,1,1,1
234-741,1,740,1,1,1,1
234-803,1,741,1,1,1,1
235-033,1,<END>,1,1,1,1
235-168,1,032,1,1,1,1
235-368,1,806,1,1,1,1
235-590,1,645,1,1,1,1
235-617,1,142,1,1,1,1
235-742,1,380,1,1,1,1
235-808,1,<END>,1,1,1,1
235-832,1,002,1,1,1,1
235-853,1,<END>,1,1,1,1
236-140,1,893,1,1,1,1
236-233,1,<END>,1,1,1,1
236-240,1,033,1,1,1,1
236-741,1,361,1,1,1,1
236-798,1,002,1,1,1,1
236-803,1,<END>,1,1,1,1
240-013,1,817,1,1,1,1
240-033,1,705,1,1,1,1
240-066,1,556,1,1,1,1
240-204,1,705,1,1,1,1
240-370,1,861,1,1,1,1
240-575,1,703,1,1,1,1
240-742,1,530,1,1,1,1
240-744,1,033,1,1,1,1
240-820,1,033,1,1,1,1
240-838,1,741,1,1,1,1
241-002,1,880,1,1,1,1
241-031,1,060,1,1,1,1
241-156,1,590,1,1,1,1
241-235,1,<END>,1,1,1,1
241-368,1,260,1,1,1,1
241-742,1,041,1,1,1,1
241-832,1,740,1,1,1,1
242-002,1,861,1,1,1,1
243-001,1,740,1,1,1,1
243-705,1,031,1,1,1,1
243-706,1,595,1,1,1,1
243-741,1,615,1,1,1,1
243-950,1,<END>,1,1,1,1
244-277,1,255,1,1,1,1
250-255,1,<END>,1,1,1,1
250-605,1,626,1,1,1,1
250-853,1,<END>,1,1,1,1
250-892,1,<END>,1,1,1,1
251-073,1,<END>,1,1,1,1
252-326,1,<END>,1,1,1,1
252-530,1,<END>,1,1,1,1
252-575,1,<END>,1,1,1,1
252-692,1,<END>,1,1,1,1
252-791,1,<END>,1,1,1,1
252-840,1,<END>,1,1,1,1
253-060,1,692,1,1,1,1
255-032,1,<END>,1,1,1,1
255-033,1,<END>,1,1,1,1
255-061,1,<END>,1,1,1,1
255-140,1,<END>,1,1,1,1
255-231,1,<END>,1,1,1,1
255-233,1,<END>,1,1,1,1
255-330,1,<END>,1,1,1,1
255-346,1,510,1,1,1,1
255-360,1,<END>,1,1,1,1
255-371,1,<END>,1,1,1,1
255-390,1,005,1,1,1,1
255-416,1,<END>,1,1,1,1
255-704,1,176,1,1,1,1
255-742,1,615,1,1,1,1
255-777,1,<END>,1,1,1,1
255-778,1,002,1,1,1,1
255-803,1,220,1,1,1,1
255-812,1,906,1,1,1,1
256-832,1,<END>,1,1,1,1
257-360,1,<END>,1,1,1,1
257-898,1,<END>,1,1,1,1
260-002,1,817,1,1,1,1
260-220,1,255,1,1,1,1
260-832,1,390,1,1,1,1
263-104,1,745,1,1,1,1
264-231,1,742,1,1,1,1
266-628,1,817,1,1,1,1
267-150,1,741,1,1,1,1
267-413,1,575,1,1,1,1
267-455,1,<END>,1,1,1,1
267-811,1,832,1,1,1,1
267-820,1,<END>,1,1,1,1
268-002,1,840,1,1,1,1
268-233,1,220,1,1,1,1
268-252,1,326,1,1,1,1
269-130,1,190,1,1,1,1
269-632,1,<END>,1,1,1,1
269-792,1,741,1,1,1,1
269-892,1,810,1,1,1,1
270-633,1,032,1,1,1,1
272-637,1,<END>,1,1,1,1
277-255,1,<END>,1,1,1,1
278-061,1,<END>,1,1,1,1
278-595,1,<END>,1,1,1,1
279-142,1,002,1,1,1,1
280-192,1,440,1,1,1,1
285-491,1,<END>,1,1,1,1
285-705,1,<END>,1,1,1,1
286-220,1,031,1,1,1,1
286-645,1,001,1,1,1,1
287-034,1,<END>,1,1,1,1
287-140,1,<END>,1,1,1,1
290-741,1,<END>,1,1,1,1
291-690,1,564,1,1,1,1
292-352,1,125,1,1,1,1
293-360,1,<END>,1,1,1,1
294-350,1,595,1,1,1,1
294-844,1,<END>,1,1,1,1
295-502,1,<END>,1,1,1,1
296-350,1,892,1,1,1,1
297-352,1,892,1,1,1,1
297-368,1,632,1,1,1,1
297-416,1,<END>,1,1,1,1
297-630,1,<END>,1,1,1,1
297-741,1,910,1,1,1,1
297-861,1,<END>,1,1,1,1
297-892,1,<END>,1,1,1,1
298-368,1,634,1,1,1,1
298-460,1,032,1,1,1,1
298-465,1,033,1,1,1,1
299-350,1,125,1,1,1,1
299-530,1,820,1,1,1,1
300-350,1,032,1,1,1,1
300-632,1,<END>,1,1,1,1
301-190,1,<END>,1,1,1,1
301-350,1,<END>,1,1,1,1
302-596,1,018,1,1,1,1
302-840,1,032,1,1,1,1
304-125,1,<END>,1,1,1,1
304-354,1,125,1,1,1,1
305-032,1,904,1,1,1,1
306-813,1,033,1,1,1,1
307-002,1,762,1,1,1,1
307-350,1,617,1,1,1,1
308-072,1,<END>,1,1,1,1
308-350,1,<END>,1,1,1,1
308-809,1,033,1,1,1,1
309-350,1,<END>,1,1,1,1
311-745,1,<END>,1,1,1,1
315-002,1,861,1,1,1,1
315-032,1,<END>,1,1,1,1
315-233,1,<END>,1,1,1,1
317-272,1,637,1,1,1,1
317-590,1,111,1,1,1,1
317-740,1,335,1,1,1,1
317-890,1,001,1,1,1,1
318-220,1,415,1,1,1,1
318-700,1,692,1,1,1,1
319-001,1,924,1,1,1,1
319-617,1,255,1,1,1,1
320-001,1,300,1,1,1,1
320-220,1,415,1,1,1,1
320-235,1,<END>,1,1,1,1
320-705,1,125,1,1,1,1
320-798,1,002,1,1,1,1
320-806,1,<END>,1,1,1,1
322-803,1,002,1,1,1,1
323-316,1,<END>,1,1,1,1
323-690,1,<END>,1,1,1,1
324-233,1,240,1,1,1,1
324-255,1,001,1,1,1,1
326-700,1,920,1,1,1,1
328-001,1,803,1,1,1,1
330-368,1,<END>,1,1,1,1
335-003,1,<END>,1,1,1,1
335-233,1,002,1,1,1,1
335-482,1,175,1,1,1,1
