bigram,exact_cells,best_next,best_hit,best_share,sites,types
840-799,3,<END>,3,1,1,1
845-806,3,<END>,3,1,1,1
850-595,3,391,3,1,1,3
861-603,3,<END>,3,1,1,2
892-617,3,<END>,3,1,1,2
900-850,3,407,3,1,1,1
231-235,4,<END>,3,0.75,3,2
526-555,4,235,3,0.75,3,2
740-017,4,503,3,0.75,3,2
032-171,4,<END>,3,0.75,2,2
167-705,4,<END>,3,0.75,2,2
171-061,4,<END>,3,0.75,2,1
231-806,4,002,3,0.75,2,3
255-220,4,032,3,0.75,2,1
400-350,4,031,3,0.75,2,1
415-803,4,<END>,3,0.75,2,3
436-255,4,<END>,3,0.75,2,2
460-495,4,<END>,3,0.75,2,2
480-850,4,595,3,0.75,2,3
717-220,4,415,3,0.75,2,2
740-443,4,388,3,0.75,2,2
790-740,4,100,3,0.75,2,3
840-032,4,<END>,3,0.75,2,3
597-032,4,905,3,0.75,1,1
798-060,4,692,3,0.75,1,2
235-220,5,032,3,0.6,4,3
790-032,5,<END>,3,0.6,4,4
840-416,5,<END>,3,0.6,4,2
482-235,5,<END>,3,0.6,3,2
555-235,5,<END>,3,0.6,3,3
705-240,5,<END>,3,0.6,3,2
760-605,5,<END>,3,0.6,3,4
032-220,5,<END>,3,0.6,2,3
151-061,5,<END>,3,0.6,2,1
220-416,5,<END>,3,0.6,2,2
384-031,5,<END>,3,0.6,2,5
482-240,5,002,3,0.6,2,2
740-590,5,<END>,3,0.6,2,2
740-792,5,<END>,3,0.6,2,4
798-463,5,350,3,0.6,2,3
798-803,5,002,3,0.6,2,2
231-060,5,692,3,0.6,1,1
740-892,5,617,3,0.6,1,3
002-405,6,501,3,0.5,2,2
017-503,6,<END>,3,0.5,2,2
055-240,6,235,3,0.5,2,2
140-003,6,<END>,3,0.5,2,2
151-097,6,<END>,3,0.5,2,3
460-510,6,<END>,3,0.5,2,1
705-220,6,415,3,0.5,2,3
740-336,6,176,3,0.5,2,3
460-503,6,002,3,0.5,1,2
415-240,7,002,3,0.42857142857142855,3,2
740-630,7,<END>,3,0.42857142857142855,3,3
740-817,7,491,3,0.42857142857142855,3,3
235-803,7,<END>,3,0.42857142857142855,2,3
240-031,7,<END>,3,0.42857142857142855,2,3
520-400,7,350,3,0.42857142857142855,2,3
705-002,7,861,3,0.42857142857142855,2,2
407-590,8,<END>,3,0.375,5,4
520-235,8,<END>,3,0.375,5,5
176-233,8,<END>,3,0.375,4,4
740-235,8,<END>,3,0.375,4,5
877-032,8,<END>,3,0.375,4,4
017-002,8,817,3,0.375,3,1
220-240,8,002,3,0.375,3,3
231-240,8,798,3,0.375,3,3
590-002,8,817,3,0.375,3,2
740-440,8,<END>,3,0.375,2,2
892-590,8,<END>,3,0.375,2,2
740-927,8,<END>,3,0.375,1,2
001-480,9,<END>,3,0.3333333333333333,5,6
740-861,9,<END>,3,0.3333333333333333,4,5
220-235,9,<END>,3,0.3333333333333333,3,5
520-231,9,002,3,0.3333333333333333,3,2
142-061,9,<END>,3,0.3333333333333333,2,2
235-060,9,550,3,0.3333333333333333,2,2
740-055,9,240,3,0.3333333333333333,2,2
740-773,9,240,3,0.3333333333333333,2,3
920-320,9,<END>,3,0.3333333333333333,2,4
400-520,10,233,3,0.3,2,3
220-002,11,861,3,0.2727272727272727,3,4
520-070,12,255,3,0.25,5,3
740-222,12,002,3,0.25,5,3
226-032,12,<END>,3,0.25,4,5
590-032,12,<END>,3,0.25,4,4
415-002,12,861,3,0.25,2,2
527-555,13,231,3,0.23076923076923078,3,2
233-240,14,<END>,3,0.21428571428571427,4,3
100-176,14,<END>,3,0.21428571428571427,3,5
520-240,15,<END>,3,0.2,3,4
001-740,16,923,3,0.1875,3,3
740-752,17,482,3,0.17647058823529413,2,4
527-550,19,<END>,3,0.15789473684210525,3,5
