checked_date,cisi,row_id,site,type,symbol,cult,governed_by_002,governed_head,prev_before_002,prev_before_125,next_after_125,next2_after_125,tail_from_125,text
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,true,390,235,390,632,032,125-632-032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,true,405,235,405,820,<END>,125-820,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,true,390,484,390,632,032,125-632-032-900-563,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-191,2716.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,false,,,090,<END>,<END>,125,+090-125+
2026-05-31,M-251,2774.1,Mohenjo-daro,SEAL:S,Gaur,Trough,false,,,002,350,<END>,125-350,+390-003-002-125-350+
2026-05-31,M-314,2832.1,Mohenjo-daro,SEAL:S,None,None,false,,,390,308,809,125-308-809-033-740-760-706-466-520-231-240-235-002-820,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2026-05-31,M-320,2838.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,false,,,390,<END>,<END>,125,+740-176-741-390-125+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,None,None,true,906,236,906,<END>,<END>,125,+740-729-407-845-236-002-906-125+
2026-05-31,M-356,2852.1,Mohenjo-daro,SEAL:R,None,None,false,,,420,032,820,125-032-820-920-140,+400-595-420-125-032-820-920-140+
2026-05-31,M-624,3075.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,false,,,190,575,<END>,125-575,+190-125-575+
2026-05-31,M-626,3077.1,Mohenjo-daro,SEAL:S,Bull1:J,S,false,,,374,740,803,125-740-803-060-692-740-690-435-255-060-692,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,true,390,235,390,195,<END>,125-195,+740-760-235-002-390-125-195+
2026-05-31,M-761,3184.1,Mohenjo-daro,SEAL:S,Bull1,-,true,741,<START>,455,<END>,<END>,125,]002-741-455-125+
2026-05-31,M-837,3249.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,false,,,741,575,<END>,125-575,+740-142-061-031-741-125-575+
2026-05-31,M-848,3260.1,Mohenjo-daro,SEAL:S,Bull1,-,false,,,406,176,<END>,125-176,+406-125-176+
2026-05-31,M-878,3286.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,false,,,390,<END>,<END>,125,+740-900-005-741-390-125+
2026-05-31,M-901,3306.1,Mohenjo-daro,SEAL:S,Bull1,-,false,,,090,002,861,125-002-861,+090-125-002-861+
2026-05-31,M-1188,3539.1,Mohenjo-daro,SEAL:S,None,None,false,,,000,632,032,125-632-032-240-002-244-632,]000/000-125-632-032/240-002-244-632+
2026-05-31,M-1424,3709.1,Mohenjo-daro,TAB:B,Gaur,Trough,false,,,384,<END>,<END>,125,+875-700-384-125+
2026-05-31,-,3769.1,Ganweriwala,TAG,-,-,false,,,350,176,<END>,125-176,+740-400-061-299-350-125-176+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,true,390,004,390,820,<END>,125-820,+390-004-002-390-125-820+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,None,None,true,407,<START>,407,590,831,125-590-831,+002-407-125-590-831+
2026-05-31,H-1178,4031.2,Harappa,TAB:I,None,None,false,,,700,<END>,<END>,125,+700-125+
2026-05-31,-,4155.1,Gonur Depe,SEAL:S,Elep,None,false,,,590,220,235,125-220-235-002-285,+740-390-590-125-220-235-002-285+
2026-05-31,-,4163.1,Dholavira,SEAL:S,Bull1:W,SAF,false,,,400,000,<END>,125-000,+400-125-000+
2026-05-31,-,4215.1,Dholavira,SEAL:S,Bull1:U,SAN,false,,,267,000,<END>,125-000,]267-125-000[
2026-05-31,-,4218.1,Dholavira,SEAL:S,Bull1,-,false,,,350,812,033,125-812-033,]000-350-125-812-033+
2026-05-31,-,4280.1,Dholavira,SEAL:R,None,None,false,,,000,001,742,125-001-742,]000-125-001-742+
2026-05-31,-,5219.1,Gola Dhoro (Bagasra),SEAL:S,Bull1:I,SAN,false,,,352,741,900,125-741-900-322,+292-352-125-741-900-322+
2026-05-31,Ns-60,5361.1,Nausharo,SEAL:R,None,None,true,297,798,350,413,<END>,125-413,+407-063-740-176-236-798-002-297-350-125-413+
