scope,frame_kind,y_after_002,rows,terminal_rows,continuing_rows,terminal_rate,continuation_classes,next1_counts,sites,types,symbols,example_cisi
all_002_strict_dedup,,365,3,0,3,0/3,multi_token_continuation:2;one_token_continuation:1,287:1;460:1;550:1,Chanhu-daro;Dholavira;Mohenjo-daro,SEAL:S;TAB:C,Bull1;Bull1:J;Othr,C-1;M-1532;-
all_002_strict_dedup,,374,3,0,3,0/3,multi_token_continuation:2;one_token_continuation:1,309:1;228:1;840:1,Mohenjo-daro,SEAL:S,Bull1:J;Gaur;None,M-66;M-315;M-1089
all_002_strict_dedup,,705,3,0,3,0/3,one_token_continuation:2;multi_token_continuation:1,590:1;127:1;530:1,Dholavira;Mohenjo-daro;Tell Umma,SEAL:S;TAG:L,Bull1;Gaur,M-248;-;-
all_002_strict_dedup,,880,3,3,0,3/3,terminal:3,<END>:3,Mohenjo-daro;Nausharo,SEAL:R;SEAL:S,Bull1:J;Bull1:S;None,M-225;M-1318;Ns-55
all_002_strict_dedup,,920,3,0,3,0/3,one_token_continuation:3,317:2;491:1,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S;TAB:B,Bull1:W;None,C-3;H-2016;M-44
all_002_strict_dedup,,003,2,2,0,2/2,terminal:2,<END>:2,Dholavira;Harappa,POT:T:g;SEAL:R,None,-;-
all_002_strict_dedup,,055,2,0,2,0/2,one_token_continuation:1;multi_token_continuation:1,373:1;031:1,Mohenjo-daro;Susa,SEAL:CY;SEAL:S,Bull1:W;Gaur,M-43;-
all_002_strict_dedup,,112,2,2,0,2/2,terminal:2,<END>:2,Mohenjo-daro,SEAL:S,Bull1:W;Gaur,M-33;M-239
all_002_strict_dedup,,125,2,0,2,0/2,one_token_continuation:2,590:1;350:1,Harappa;Mohenjo-daro,SEAL:S,Gaur;None,H-611;M-251
all_002_strict_dedup,,190,2,0,2,0/2,continues_with_later_032:1;one_token_continuation:1,125:1;751:1,Mohenjo-daro,SEAL:S,Bull1;Bull1:L,M-1692;M-639
all_002_strict_dedup,,252,2,0,2,0/2,one_token_continuation:2,575:1;840:1,Kalibangan;Mohenjo-daro,SEAL:S,Bull1;Bull1:J,K-24;M-143
all_002_strict_dedup,,285,2,1,1,1/2,one_token_continuation:1;terminal:1,491:1;<END>:1,Gonur Depe;Kalibangan,SEAL:S,Elep;Gaur,K-28;-
all_002_strict_dedup,,301,2,0,2,0/2,one_token_continuation:2,190:1;350:1,Mohenjo-daro,SEAL:S,Bull1;Gaur,M-115;M-242
all_002_strict_dedup,,388,2,0,2,0/2,multi_token_continuation:1;one_token_continuation:1,385:1;031:1,Mohenjo-daro,SEAL:R;SEAL:S,Bull1;None,M-359;M-948
all_002_strict_dedup,,455,2,0,2,0/2,continues_with_later_032:1;one_token_continuation:1,420:1;511:1,Harappa;Mohenjo-daro,SEAL:S,Bull1:S;Rhin,H-1671;M-1907
all_002_strict_dedup,,502,2,0,2,0/2,one_token_continuation:2,031:2,Mohenjo-daro,SEAL:R,None,M-358;M-1284
all_002_strict_dedup,,540,2,1,1,1/2,one_token_continuation:1;terminal:1,590:1;<END>:1,Lothal;Mohenjo-daro,SEAL:R,None,L-112;M-393
all_002_strict_dedup,,550,2,1,1,1/2,terminal:1;one_token_continuation:1,<END>:1;615:1,Lothal;Mohenjo-daro,SEAL:S;TAG,Bull1;Bull1:J,L-145;M-849
all_002_strict_dedup,,610,2,0,2,0/2,continues_with_later_032:2,125:2,Harappa;Mohenjo-daro,SEAL:S,Bull1:J;Bull1:W,H-74;M-1665
all_002_strict_dedup,,617,2,1,1,1/2,terminal:1;one_token_continuation:1,<END>:1;070:1,Lothal;Mohenjo-daro,SEAL:S;TAG,-;Bull1:S,L-134;M-81
all_002_strict_dedup,,690,2,0,2,0/2,one_token_continuation:2,921:2,Harappa,SEAL:S,Bull1:W,H-1657;H-8
all_002_strict_dedup,,741,2,0,2,0/2,multi_token_continuation:2,060:2,Kalibangan;Mohenjo-daro,SEAL:S,Bull1:W;Zebu,K-4;M-1114
all_002_strict_dedup,,798,2,0,2,0/2,one_token_continuation:1;multi_token_continuation:1,055:1;435:1,Lothal;Mohenjo-daro,SEAL:S,Bull1;Bull1:I,L-47;M-1772
all_002_strict_dedup,,812,2,0,2,0/2,one_token_continuation:2,095:1;031:1,Lothal;Mohenjo-daro,SEAL:S,Bull1:W,L-1;M-756
all_002_strict_dedup,,814,2,0,2,0/2,one_token_continuation:2,560:1;084:1,Mohenjo-daro,SEAL:S,Bull1:S;Bull1:W,M-17;M-92
all_002_strict_dedup,,840,2,0,2,0/2,one_token_continuation:2,032:1;016:1,Mohenjo-daro,SEAL:S;TAB:B,Bull1:J;Scene,M-1791;M-490
all_002_strict_dedup,,850,2,0,2,0/2,one_token_continuation:2,493:1;491:1,Mohenjo-daro,SEAL:S,Bull1:L,M-325;M-325
all_002_strict_dedup,,906,2,0,2,0/2,one_token_continuation:2,140:1;125:1,Mohenjo-daro,SEAL:R;SEAL:S,Bull1:W;None,M-24;M-354
all_002_strict_dedup,,940,2,0,2,0/2,one_token_continuation:2,705:1;260:1,Harappa;Mohenjo-daro,SEAL:S,Bull1:J;Bull1:S,H-468;M-107
all_002_strict_dedup,,001,1,0,1,0/1,one_token_continuation:1,250:1,Nausharo,SEAL:S,Bull1:I,Ns-56
all_002_strict_dedup,,002,1,1,0,1/1,terminal:1,<END>:1,Harappa,POT:T:g,None,-
all_002_strict_dedup,,004,1,0,1,0/1,multi_token_continuation:1,328:1,Ur,SEAL:C,Gaur,-
all_002_strict_dedup,,033,1,0,1,0/1,one_token_continuation:1,705:1,Mohenjo-daro,SEAL:S,Elep,M-1155
all_002_strict_dedup,,056,1,0,1,0/1,one_token_continuation:1,091:1,Kalibangan,TAG,Bull1,K-69
all_002_strict_dedup,,069,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Gaur,M-1883
all_002_strict_dedup,,093,1,0,1,0/1,one_token_continuation:1,033:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1765
all_002_strict_dedup,,107,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-35
all_002_strict_dedup,,111,1,0,1,0/1,one_token_continuation:1,165:1,Mohenjo-daro,SEAL:S,Bull1:S,M-95
all_002_strict_dedup,,130,1,0,1,0/1,multi_token_continuation:1,035:1,Mohenjo-daro,SEAL:S,Bull1:W,M-699
all_002_strict_dedup,,142,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1686
all_002_strict_dedup,,144,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:J,M-130
all_002_strict_dedup,,156,1,0,1,0/1,one_token_continuation:1,920:1,Mohenjo-daro,SEAL:S,Bull1:J,M-1810
all_002_strict_dedup,,168,1,0,1,0/1,one_token_continuation:1,032:1,Mohenjo-daro,SEAL:S,Elep,M-1159
all_002_strict_dedup,,172,1,0,1,0/1,one_token_continuation:1,032:1,Harappa,SEAL:S,Bull1:J,H-455
all_002_strict_dedup,,207,1,0,1,0/1,multi_token_continuation:1,550:1,Mohenjo-daro,SEAL:S,Bull1:I,M-82
all_002_strict_dedup,,221,1,1,0,1/1,terminal:1,<END>:1,Lothal,SEAL:R,None,L-82
all_002_strict_dedup,,233,1,0,1,0/1,one_token_continuation:1,235:1,Harappa,SEAL:R,None,H-141
all_002_strict_dedup,,257,1,0,1,0/1,one_token_continuation:1,898:1,Mohenjo-daro,SEAL:S,Bull1:J,M-154
all_002_strict_dedup,,267,1,0,1,0/1,one_token_continuation:1,455:1,Mohenjo-daro,SEAL:S,Bull1:W,M-10
all_002_strict_dedup,,269,1,0,1,0/1,multi_token_continuation:1,892:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1766
all_002_strict_dedup,,278,1,0,1,0/1,one_token_continuation:1,595:1,Salut,SEAL:S,Gaur,-
all_002_strict_dedup,,281,1,1,0,1/1,terminal:1,<END>:1,Lakhanjo-daro,SEAL:S,Bull1:S,-
all_002_strict_dedup,,286,1,0,1,0/1,multi_token_continuation:1,220:1,Mohenjo-daro,SEAL:S,Bull1:S,M-1688
all_002_strict_dedup,,287,1,0,1,0/1,one_token_continuation:1,140:1,Mohenjo-daro,SEAL:S,Bull1:S,M-109
all_002_strict_dedup,,291,1,0,1,0/1,multi_token_continuation:1,690:1,Mohenjo-daro,SEAL:S,Bull1:W,M-628
all_002_strict_dedup,,293,1,0,1,0/1,one_token_continuation:1,360:1,Harappa,SEAL:R,None,H-1706
all_002_strict_dedup,,295,1,0,1,0/1,one_token_continuation:1,502:1,Mohenjo-daro,SEAL:S,Bull1:J,M-181
all_002_strict_dedup,,299,1,0,1,0/1,multi_token_continuation:1,530:1,Mohenjo-daro,SEAL:S,Bull1:W,M-623
all_002_strict_dedup,,300,1,0,1,0/1,continues_with_later_032:1,350:1,Mohenjo-daro,SEAL:S,Bull1:W,M-49
all_002_strict_dedup,,305,1,0,1,0/1,continues_with_later_032:1,032:1,Harappa,SEAL:S,Bull1,H-272
all_002_strict_dedup,,308,1,0,1,0/1,one_token_continuation:1,072:1,Banawali,SEAL:S,Htgr,B-17
all_002_strict_dedup,,315,1,0,1,0/1,one_token_continuation:1,850:1,Mohenjo-daro,SEAL:S,Bull1,M-1002
all_002_strict_dedup,,320,1,0,1,0/1,multi_token_continuation:1,705:1,Mohenjo-daro,SEAL:S,Bull1:S,M-1668
all_002_strict_dedup,,326,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,TAB:C,None,M-509
all_002_strict_dedup,,360,1,0,1,0/1,one_token_continuation:1,832:1,Kalibangan,TAG:L,Bull1,K-89
all_002_strict_dedup,,370,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,POT:T:s,None,M-1371
all_002_strict_dedup,,392,1,0,1,0/1,multi_token_continuation:1,590:1,Lohumjo-daro,SEAL:S,Bull1:S,Lh-1
all_002_strict_dedup,,400,1,0,1,0/1,one_token_continuation:1,703:1,Mohenjo-daro,SEAL:S,Rhin,M-1135
all_002_strict_dedup,,407,1,0,1,0/1,multi_token_continuation:1,125:1,Mohenjo-daro,TAB:C,None,M-2055
all_002_strict_dedup,,413,1,0,1,0/1,multi_token_continuation:1,368:1,Mohenjo-daro,SEAL:S,Zebu,M-1894
all_002_strict_dedup,,416,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:J,H-457
all_002_strict_dedup,,435,1,0,1,0/1,multi_token_continuation:1,255:1,Harappa,SEAL:S,Bull1:W,H-598
all_002_strict_dedup,,456,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Elep,M-1150
all_002_strict_dedup,,457,1,1,0,1/1,terminal:1,<END>:1,Dholavira,MISC,-,-
all_002_strict_dedup,,504,1,0,1,0/1,one_token_continuation:1,717:1,Mohenjo-daro,SEAL:S,Bull1:W,M-52
all_002_strict_dedup,,518,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Tigr,M-1916
all_002_strict_dedup,,527,1,0,1,0/1,multi_token_continuation:1,475:1,Mohenjo-daro,SEAL:S,Bull1:J,M-40
all_002_strict_dedup,,564,1,0,1,0/1,multi_token_continuation:1,617:1,Mohenjo-daro,SEAL:S,Bull1:W,M-4
all_002_strict_dedup,,570,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,TAB:B,Bull1,M-2012
all_002_strict_dedup,,575,1,0,1,0/1,one_token_continuation:1,031:1,Lothal,SEAL:S,Bull1,L-4
all_002_strict_dedup,,577,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1,M-957
all_002_strict_dedup,,590,1,0,1,0/1,one_token_continuation:1,455:1,Mohenjo-daro,SEAL:S,Rhin,M-1909
all_002_strict_dedup,,611,1,0,1,0/1,multi_token_continuation:1,615:1,Harappa,SEAL:S,Bull1:W,H-3
all_002_strict_dedup,,615,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Elep,H-92
all_002_strict_dedup,,629,1,0,1,0/1,one_token_continuation:1,279:1,Dholavira,SEAL:S,Gaur,-
all_002_strict_dedup,,679,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Buff,M-267
all_002_strict_dedup,,693,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-57
all_002_strict_dedup,,702,1,0,1,0/1,one_token_continuation:1,503:1,Harappa,SEAL:S,Bull1:W,H-408
all_002_strict_dedup,,717,1,0,1,0/1,one_token_continuation:1,820:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1667
all_002_strict_dedup,,727,1,0,1,0/1,one_token_continuation:1,317:1,Mohenjo-daro,SEAL:S,T-M-T,M-308
all_002_strict_dedup,,762,1,0,1,0/1,multi_token_continuation:1,463:1,Kalibangan,SEAL:S,Bull1:X,K-18
all_002_strict_dedup,,764,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1,M-713
all_002_strict_dedup,,768,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:S,M-1759
all_002_strict_dedup,,790,1,0,1,0/1,multi_token_continuation:1,290:1,Mohenjo-daro,BNGL,None,M-1631
all_002_strict_dedup,,803,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:S,M-177
all_002_strict_dedup,,808,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-833
all_002_strict_dedup,,818,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Goat:6,M-272
all_002_strict_dedup,,825,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:L,H-612
all_002_strict_dedup,,862,1,0,1,0/1,one_token_continuation:1,032:1,Harappa,SEAL:S,Bull1:W,H-1033
all_002_strict_dedup,,863,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:W,H-405
all_002_strict_dedup,,892,1,0,1,0/1,one_token_continuation:1,740:1,Desalpur,TAG,None,Dlp-3
all_002_strict_dedup,,905,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,IMPL,None,M-2128
all_002_strict_dedup,,933,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:W,H-1049
all_002_strict_dedup,,944,1,0,1,0/1,multi_token_continuation:1,920:1,Mohenjo-daro,SEAL:S,Elep,M-280
after_032_strict_dedup,,861,9,7,2,7/9,terminal:7;multi_token_continuation:1;one_token_continuation:1,<END>:7;255:1;603:1,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,Bull;Bull1;Bull1:J;Bull1:S;Bull1:W;Gaur,C-60;H-444;H-597;M-1763;M-21;M-91;M-240;M-723;M-1044
after_032_strict_dedup,,820,7,6,1,6/7,terminal:6;multi_token_continuation:1,<END>:6;001:1,Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,Bull1:I;Bull1:J;Bull1:T;Bull1:W;None,M-1737;M-1677;M-1728;M-174;M-221;M-375;K-145
after_032_strict_dedup,,817,4,4,0,4/4,terminal:4,<END>:4,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:R;SEAL:S;TAG:P,Bull1;Bull1:W;None,C-10;H-140;M-722;M-1385
after_032_strict_dedup,,390,2,0,2,0/2,one_token_continuation:1;continues_with_later_032:1,692:1;590:1,Mohenjo-daro;Unknown,SEAL:S,Bull1:J;Bull1:T,M-70;-
after_032_strict_dedup,,142,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1686
after_032_strict_dedup,,144,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:J,M-130
after_032_strict_dedup,,168,1,0,1,0/1,one_token_continuation:1,032:1,Mohenjo-daro,SEAL:S,Elep,M-1159
after_032_strict_dedup,,252,1,0,1,0/1,one_token_continuation:1,840:1,Mohenjo-daro,SEAL:S,Bull1:J,M-143
after_032_strict_dedup,,300,1,0,1,0/1,continues_with_later_032:1,350:1,Mohenjo-daro,SEAL:S,Bull1:W,M-49
after_032_strict_dedup,,368,1,0,1,0/1,multi_token_continuation:1,906:1,Mohenjo-daro,SEAL:S,Bull1:S,M-36
after_032_strict_dedup,,690,1,0,1,0/1,one_token_continuation:1,921:1,Harappa,SEAL:S,Bull1:W,H-1657
after_032_strict_dedup,,717,1,0,1,0/1,one_token_continuation:1,820:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1667
after_032_strict_dedup,,892,1,0,1,0/1,one_token_continuation:1,740:1,Desalpur,TAG,None,Dlp-3
after_032_strict_dedup,,900,1,0,1,0/1,one_token_continuation:1,285:1,Mohenjo-daro,SEAL:R,None,M-1358
after_032_by_frame_strict_dedup,non240_a_220_032,861,5,4,1,4/5,terminal:4;multi_token_continuation:1,<END>:4;255:1,Harappa;Mohenjo-daro,SEAL:S,Bull;Bull1;Bull1:S;Bull1:W,H-444;M-1763;M-91;M-723;M-1044
after_032_by_frame_strict_dedup,non240_a_220_032,820,4,4,0,4/4,terminal:4,<END>:4,Kalibangan;Mohenjo-daro,SEAL:R;SEAL:S,Bull1:I;Bull1:J;Bull1:T;None,M-174;M-221;M-375;K-145
after_032_by_frame_strict_dedup,outside_032,861,3,3,0,3/3,terminal:3,<END>:3,Chanhu-daro;Harappa;Mohenjo-daro,SEAL:S,Bull1:J;Bull1:W,C-60;H-597;M-21
after_032_by_frame_strict_dedup,outside_032,390,2,0,2,0/2,one_token_continuation:1;continues_with_later_032:1,692:1;590:1,Mohenjo-daro;Unknown,SEAL:S,Bull1:J;Bull1:T,M-70;-
after_032_by_frame_strict_dedup,outside_032,817,2,2,0,2/2,terminal:2,<END>:2,Harappa;Mohenjo-daro,SEAL:R;TAG:P,Bull1;None,H-140;M-1385
after_032_by_frame_strict_dedup,outside_032,820,2,1,1,1/2,terminal:1;multi_token_continuation:1,<END>:1;001:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1737;M-1677
after_032_by_frame_strict_dedup,non240_a_220_032,142,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1686
after_032_by_frame_strict_dedup,non240_a_220_032,144,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:J,M-130
after_032_by_frame_strict_dedup,non240_a_220_032,168,1,0,1,0/1,one_token_continuation:1,032:1,Mohenjo-daro,SEAL:S,Elep,M-1159
after_032_by_frame_strict_dedup,non240_a_220_032,368,1,0,1,0/1,multi_token_continuation:1,906:1,Mohenjo-daro,SEAL:S,Bull1:S,M-36
after_032_by_frame_strict_dedup,non240_a_220_032,690,1,0,1,0/1,one_token_continuation:1,921:1,Harappa,SEAL:S,Bull1:W,H-1657
after_032_by_frame_strict_dedup,non240_a_220_032,717,1,0,1,0/1,one_token_continuation:1,820:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1667
after_032_by_frame_strict_dedup,non240_a_220_032,817,1,1,0,1/1,terminal:1,<END>:1,Chanhu-daro,SEAL:S,Bull1:W,C-10
after_032_by_frame_strict_dedup,outside_032,252,1,0,1,0/1,one_token_continuation:1,840:1,Mohenjo-daro,SEAL:S,Bull1:J,M-143
after_032_by_frame_strict_dedup,outside_032,892,1,0,1,0/1,one_token_continuation:1,740:1,Desalpur,TAG,None,Dlp-3
after_032_by_frame_strict_dedup,outside_032,900,1,0,1,0/1,one_token_continuation:1,285:1,Mohenjo-daro,SEAL:R,None,M-1358
after_032_by_frame_strict_dedup,target_240_220_032,300,1,0,1,0/1,continues_with_later_032:1,350:1,Mohenjo-daro,SEAL:S,Bull1:W,M-49
after_032_by_frame_strict_dedup,target_240_220_032,817,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1,M-722
after_032_by_frame_strict_dedup,target_240_220_032,820,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1728
after_032_by_frame_strict_dedup,target_240_220_032,861,1,0,1,0/1,one_token_continuation:1,603:1,Mohenjo-daro,SEAL:S,Gaur,M-240
