checked_date,x,rows,open_rate,loo_covered,loo_accuracy,heads,scopes,tails,head_counts,scope_counts,tail_counts,objects,class_decision
2026-05-31,491,4,0/4,4,1.000000,3,4,1,920:2;285:1;850:1,Harappa|TAB:B|rectangular|Clay:1;Harappa|TAB:B|twisted rectangular|Faience:1;Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:4,H-2016;H-811;K-28;M-325,portable_terminal_class
2026-05-31,530,4,4/4,4,1.000000,4,4,4,296:1;299:1;390:1;705:1,Chanhu-daro|SEAL:S|square|Steatite:1;Dholavira|SEAL:S|-|-:1;Harappa|TAB:B|plano-convex|Faience:1;Mohenjo-daro|SEAL:S|square|-:1,000:1;741:1;820:1;904:1,C-57;H-773;M-623;-,portable_open_class
2026-05-31,550,4,2/4,4,0.000000,4,4,3,207:1;257:1;365:1;368:1,Banawali|SEAL:S|square|Steatite:1;Baror|SEAL:S|square|Steatite:1;Dholavira|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:2;390:1;821:1,B-1;-;M-82;-,bad_x_predictor
2026-05-31,741,4,0/4,4,1.000000,2,3,1,298:2;820:2,Mohenjo-daro|SEAL:S|square|Steatite:2;Chanhu-daro|SEAL:S|square|Steatite:1;Unknown|SEAL:S|sqaure|-:1,<END>:4,C-5;M-160;M-1119;-,portable_terminal_class
2026-05-31,003,3,2/3,3,0.666667,2,3,2,900:2;906:1,Chanhu-daro|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|SEAL:S|square|Steatite:1,590:2;<END>:1,C-71;M-958;M-979,weak_or_unresolved_x_class
2026-05-31,035,3,2/3,3,0.666667,1,2,2,130:3,Mohenjo-daro|SEAL:S|square|Steatite:2;Lothal|SEAL:S|square|Steatite:1,171:2;<END>:1,L-12;M-699;M-1112,weak_or_unresolved_x_class
2026-05-31,065,3,3/3,3,1.000000,1,3,3,220:3,Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|SEAL:S|square|Steatite:1,132 082:1;215:1;440 455:1,K-25;M-46;M-140,head_template_not_portable_class
2026-05-31,090,3,2/3,3,0.666667,2,3,3,000:2;817:1,Mohenjo-daro|SEAL:S|square|-:1;Mohenjo-daro|SEAL:S|square|Steatite:1;Unknown|SEAL:C|circular|-:1,<END>:1;370:1;725 000:1,M-644;M-902;-,weak_or_unresolved_x_class
2026-05-31,095,3,0/3,3,1.000000,2,3,1,390:2;812:1,Harappa|TAB:B|rectangular|Clay:1;Lothal|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:3,H-1993;L-1;M-71,portable_terminal_class
2026-05-31,140,3,0/3,3,1.000000,3,1,1,287:1;390:1;906:1,Mohenjo-daro|SEAL:S|square|Steatite:3,<END>:3,M-24;M-109;M-708,scope_local_class_not_portable
2026-05-31,165,3,0/3,3,1.000000,3,1,1,031:1;111:1;368:1,Mohenjo-daro|SEAL:S|square|Steatite:3,<END>:3,M-95;M-211;M-311,scope_local_class_not_portable
2026-05-31,260,3,0/3,3,1.000000,2,3,1,368:2;940:1,Harappa|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:3,H-600;M-1789;M-107,portable_terminal_class
2026-05-31,460,3,3/3,3,1.000000,2,2,2,365:2;298:1,Mohenjo-daro|TAB:C|rectangular|Copper:2;Mohenjo-daro|SEAL:S|square|Steatite:1,495:2;032:1,M-577;M-683;M-1532,portable_open_class
2026-05-31,603,3,0/3,3,1.000000,1,2,1,861:3,Mohenjo-daro|SEAL:S|square|Steatite:2;Mohenjo-daro|SEAL:R|rectangular|Steatite:1,<END>:3,M-240;M-714;M-1273,head_template_not_portable_class
2026-05-31,615,3,1/3,3,0.000000,3,2,2,550:1;611:1;900:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Harappa|SEAL:S|square|Steatite:1,<END>:2;703:1,H-3;M-849;M-937,bad_x_predictor
2026-05-31,632,3,1/3,3,0.000000,3,2,2,244:1;460:1;595:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Harappa|SEAL:S|square|Steatite:1,<END>:2;354 850:1,H-385;M-845;M-1188,bad_x_predictor
2026-05-31,692,3,1/3,3,0.000000,3,2,2,252:1;390:1;455:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Lothal|SEAL:S|square|Steatite:1,<END>:2;416:1,L-5;M-1901;M-70,bad_x_predictor
2026-05-31,820,3,0/3,3,1.000000,3,3,1,031:1;060:1;717:1,Kalibangan|POT:T:g|-|Clay:1;Mohenjo-daro|SEAL:C|circular|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,<END>:3,M-1667;M-1369;K-429,portable_terminal_class
2026-05-31,840,3,1/3,3,0.000000,3,2,2,252:1;368:1;374:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Lothal|TAG|-|Clay:1,<END>:2;900:1,L-213;M-143;M-1089,bad_x_predictor
2026-05-31,861,3,2/3,3,0.666667,3,3,3,000:1;003:1;368:1,Harappa|POT:T:g|-|Clay:1;Harappa|SEAL:S|square|Steatite:1;Kalibangan|SEAL:S|square|Steatite:1,<END>:1;031:1;590 032 368:1,-;H-486;K-10,weak_or_unresolved_x_class
2026-05-31,892,3,1/3,3,0.000000,2,2,2,031:2;269:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Harappa|SEAL:S|square|Steatite:1,<END>:2;810 033:1,H-44;M-1766;M-1745,bad_x_predictor
2026-05-31,906,3,2/3,3,0.666667,3,2,3,368:1;595:1;820:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Mohenjo-daro|SEAL:S|square|Faience:1,<END>:1;000:1;329:1,M-36;M-809;M-1178,weak_or_unresolved_x_class
