partition_class,y_after_002,rows,terminal_rows,terminal_rate,source_index_rows,source_grade_4_rows,source_grade_3_rows,source_grade_2_rows,source_grade_1_rows,source_grade_0_rows,best_cisis
other_y_after_002,360,1,0,0,1,0,0,0,1,0,K-89:source_hint_only
other_y_after_002,370,1,1,1,1,0,0,0,1,0,M-1371:source_hint_only
other_y_after_002,392,1,0,0,1,0,0,0,1,0,Lh-1:source_hint_only
other_y_after_002,400,1,0,0,1,0,0,0,1,0,M-1135:source_hint_only
other_y_after_002,407,1,0,0,1,0,0,0,1,0,M-2055:source_hint_only
other_y_after_002,413,1,0,0,1,0,0,0,1,0,M-1894:source_hint_only
other_y_after_002,416,1,1,1,1,0,0,0,1,0,H-457:source_hint_only
other_y_after_002,435,1,0,0,1,0,0,0,1,0,H-598:source_hint_only
other_y_after_002,456,1,1,1,1,0,0,0,1,0,M-1150:source_hint_only
other_y_after_002,457,1,1,1,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,504,1,0,0,1,0,0,0,1,0,M-52:source_hint_only
other_y_after_002,518,1,1,1,1,0,0,0,1,0,M-1916:source_hint_only
other_y_after_002,527,1,0,0,1,0,0,0,1,0,M-40:source_hint_only
other_y_after_002,564,1,0,0,1,0,0,0,1,0,M-4:source_hint_only
other_y_after_002,570,1,1,1,1,0,0,0,1,0,M-2012:source_hint_only
other_y_after_002,575,1,0,0,1,0,0,0,1,0,L-4:source_hint_only
other_y_after_002,577,1,1,1,1,0,0,0,1,0,M-957:source_hint_only
other_y_after_002,590,1,0,0,1,0,0,0,1,0,M-1909:source_hint_only
other_y_after_002,611,1,0,0,1,0,0,0,1,0,H-3:source_hint_only
other_y_after_002,615,1,1,1,1,0,0,0,1,0,H-92:source_hint_only
other_y_after_002,629,1,0,0,1,0,0,0,1,0,NA:source_hint_only
other_y_after_002,679,1,1,1,1,0,0,0,1,0,M-267:source_hint_only
other_y_after_002,693,1,1,1,1,0,0,0,1,0,M-57:source_hint_only
other_y_after_002,702,1,0,0,1,0,0,0,1,0,H-408:source_hint_only
other_y_after_002,717,1,0,0,1,0,0,0,1,0,M-1667:source_hint_only
other_y_after_002,727,1,0,0,1,0,0,0,1,0,M-308:source_hint_only
other_y_after_002,762,1,0,0,0,0,0,0,0,1,K-18:source_dark_or_unindexed
other_y_after_002,764,1,1,1,1,0,0,0,1,0,M-713:source_hint_only
other_y_after_002,768,1,1,1,1,0,0,0,1,0,M-1759:source_hint_only
other_y_after_002,790,1,0,0,0,0,0,0,0,1,M-1631:source_dark_or_unindexed
other_y_after_002,803,1,1,1,1,0,0,0,1,0,M-177:source_hint_only
other_y_after_002,808,1,1,1,1,0,0,0,1,0,M-833:source_hint_only
other_y_after_002,818,1,1,1,1,0,0,0,1,0,M-272:source_hint_only
other_y_after_002,825,1,1,1,1,0,0,0,1,0,H-612:source_hint_only
other_y_after_002,862,1,0,0,1,0,0,0,1,0,H-1033:source_hint_only
other_y_after_002,863,1,1,1,1,0,0,0,1,0,H-405:source_hint_only
other_y_after_002,892,1,0,0,0,0,0,0,0,1,Dlp-3:source_dark_or_unindexed
other_y_after_002,905,1,1,1,1,0,0,0,1,0,M-2128:source_hint_only
other_y_after_002,933,1,1,1,1,0,0,0,1,0,H-1049:source_hint_only
other_y_after_002,944,1,0,0,1,0,0,0,1,0,M-280:source_hint_only
posthoc_branch_pole,390,14,0,0,14,1,0,1,12,0,M-70:source_visible_order_window_candidate;M-38:local_image_or_public_route_candidate;M-119:source_hint_only;NA:source_hint_only;NA:source_hint_only;M-1825:source_hint_only;M-735:source_hint_only;Sktd-1:source_hint_only;H-68:source_hint_only;H-773:source_hint_only
posthoc_branch_pole,368,11,0,0,11,0,0,5,6,0,H-600:local_image_or_public_route_candidate;M-12:local_image_or_public_route_candidate;B-1:local_image_or_public_route_candidate;K-10:local_image_or_public_route_candidate;M-311:local_image_or_public_route_candidate;?-3:source_hint_only;Blk-2:source_hint_only;M-1789:source_hint_only;M-253:source_hint_only;M-36:source_hint_only
posthoc_branch_pole,031,9,0,0,9,0,0,4,5,0,M-318:local_image_or_public_route_candidate;M-678:local_image_or_public_route_candidate;M-739:local_image_or_public_route_candidate;H-389:local_image_or_public_route_candidate;NA:source_hint_only;H-44:source_hint_only;M-1745:source_hint_only;M-1823:source_hint_only;M-211:source_hint_only
posthoc_branch_pole,220,9,0,0,9,0,0,3,6,0,M-1427:local_image_or_public_route_candidate;M-29:local_image_or_public_route_candidate;M-655:local_image_or_public_route_candidate;H-268:source_hint_only;H-82:source_hint_only;K-25:source_hint_only;M-140:source_hint_only;M-147:source_hint_only;M-46:source_hint_only
posthoc_closure_pole,817,103,100,0.970874,102,0,2,0,100,1,C-10:row_level_source_visible_candidate;M-722:row_level_source_visible_candidate;M-1385:source_hint_only;H-140:source_hint_only;M-32:source_hint_only;M-75:source_hint_only;H-1864:source_hint_only;NA:source_hint_only;NA:source_hint_only;NA:source_hint_only
posthoc_closure_pole,820,71,66,0.929577,71,0,1,1,69,0,M-375:row_level_source_visible_candidate;M-381:local_image_or_public_route_candidate;M-174:source_hint_only;M-221:source_hint_only;M-1677:source_hint_only;K-145:source_hint_only;M-1728:source_hint_only;M-1737:source_hint_only;NA:source_hint_only;NA:source_hint_only
