checked_date,x,x_occurrences,x_terminal,x_terminal_rate,global_occurrences,global_terminal,global_terminal_rate,terminal_delta,classification,heads,sites,types,next1,sample_objects
2026-05-31,575,6,5,0.833,81,26,0.321,0.512,constructional_terminal_boost,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,SEAL:S:4;SEAL:R:2,<END>:5;794:1,H-131;K-24;M-318;M-665;-:4203.1;-:5579.1
2026-05-31,317,5,4,0.800,13,4,0.308,0.492,constructional_terminal_boost,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,SEAL:S:3;SEAL:CY:1;TAG:1,<END>:4;688:1,C-3;L-190;M-44;M-308;-:5468.1
2026-05-31,705,5,4,0.800,219,59,0.269,0.531,constructional_terminal_boost,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,SEAL:S:5,<END>:4;125:1,H-468;M-1668;M-1155;M-1825;-:4237.1
2026-05-31,491,4,4,1.000,18,14,0.778,0.222,constructional_terminal_boost,920:2;285:1;850:1,Harappa:2;Kalibangan:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:2,<END>:4,H-2016;H-811;K-28;M-325
2026-05-31,530,4,0,0.000,19,6,0.316,-0.316,constructional_anti_terminal_or_payload,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,SEAL:S:3;TAB:B:1,000:1;741:1;820:1;904:1,C-57;H-773;M-623;-:4182.1
2026-05-31,550,4,2,0.500,124,54,0.435,0.065,mixed,207:1;257:1;365:1;368:1,Banawali:1;Baror:1;Dholavira:1;Mohenjo-daro:1,SEAL:S:4,<END>:2;390:1;821:1,B-1;-:216.1;M-82;-:4196.1
2026-05-31,741,4,4,1.000,225,26,0.116,0.884,constructional_terminal_boost,298:2;820:2,Mohenjo-daro:2;Chanhu-daro:1;Unknown:1,SEAL:S:4,<END>:4,C-5;M-160;M-1119;-:5572.1
2026-05-31,003,3,1,0.333,259,146,0.564,-0.230,constructional_anti_terminal_or_payload,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,SEAL:S:3,590:2;<END>:1,C-71;M-958;M-979
2026-05-31,035,3,1,0.333,37,12,0.324,0.009,open_or_payload_transfer,130:3,Mohenjo-daro:2;Lothal:1,SEAL:S:3,171:2;<END>:1,L-12;M-699;M-1112
2026-05-31,065,3,0,0.000,15,1,0.067,-0.067,open_or_payload_transfer,220:3,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,132:1;215:1;440:1,K-25;M-46;M-140
2026-05-31,090,3,1,0.333,195,26,0.133,0.200,mixed,000:2;817:1,Mohenjo-daro:2;Unknown:1,SEAL:S:2;SEAL:C:1,<END>:1;370:1;725:1,M-644;M-902;-:5226.1
2026-05-31,095,3,3,1.000,30,8,0.267,0.733,constructional_terminal_boost,390:2;812:1,Harappa:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAB:B:1,<END>:3,H-1993;L-1;M-71
2026-05-31,140,3,3,1.000,110,46,0.418,0.582,constructional_terminal_boost,287:1;390:1;906:1,Mohenjo-daro:3,SEAL:S:3,<END>:3,M-24;M-109;M-708
2026-05-31,165,3,3,1.000,31,6,0.194,0.806,constructional_terminal_boost,031:1;111:1;368:1,Mohenjo-daro:3,SEAL:S:3,<END>:3,M-95;M-211;M-311
2026-05-31,260,3,3,1.000,8,5,0.625,0.375,constructional_terminal_boost,368:2;940:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,<END>:3,H-600;M-1789;M-107
2026-05-31,460,3,0,0.000,39,3,0.077,-0.077,open_or_payload_transfer,365:2;298:1,Mohenjo-daro:3,TAB:C:2;SEAL:S:1,495:2;032:1,M-577;M-683;M-1532
2026-05-31,603,3,3,1.000,7,3,0.429,0.571,constructional_terminal_boost,861:3,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,<END>:3,M-240;M-714;M-1273
2026-05-31,615,3,2,0.667,73,10,0.137,0.530,constructional_terminal_boost,550:1;611:1;900:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,<END>:2;703:1,H-3;M-849;M-937
2026-05-31,632,3,2,0.667,32,16,0.500,0.167,mixed,244:1;460:1;595:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,<END>:2;354:1,H-385;M-845;M-1188
2026-05-31,692,3,2,0.667,77,59,0.766,-0.100,global_edge_transfer,252:1;390:1;455:1,Mohenjo-daro:2;Lothal:1,SEAL:S:3,<END>:2;416:1,L-5;M-1901;M-70
2026-05-31,820,3,3,1.000,244,185,0.758,0.242,constructional_terminal_boost,031:1;060:1;717:1,Mohenjo-daro:2;Kalibangan:1,POT:T:g:1;SEAL:C:1;SEAL:S:1,<END>:3,M-1667;M-1369;K-429
2026-05-31,840,3,2,0.667,132,37,0.280,0.386,constructional_terminal_boost,252:1;368:1;374:1,Mohenjo-daro:2;Lothal:1,SEAL:S:2;TAG:1,<END>:2;900:1,L-213;M-143;M-1089
2026-05-31,861,3,1,0.333,272,173,0.636,-0.303,constructional_anti_terminal_or_payload,000:1;003:1;368:1,Harappa:2;Kalibangan:1,SEAL:S:2;POT:T:g:1,<END>:1;031:1;590:1,-:543.1;H-486;K-10
2026-05-31,892,3,2,0.667,90,20,0.222,0.444,constructional_terminal_boost,031:2;269:1,Mohenjo-daro:2;Harappa:1,SEAL:S:3,<END>:2;810:1,H-44;M-1766;M-1745
2026-05-31,906,3,1,0.333,16,5,0.313,0.021,open_or_payload_transfer,368:1;595:1;820:1,Mohenjo-daro:3,SEAL:S:3,<END>:1;000:1;329:1,M-36;M-809;M-1178
2026-05-31,016,2,2,1.000,49,20,0.408,0.592,underpowered,840:2,Mohenjo-daro:2,TAB:B:2,<END>:2,M-490;M-491
2026-05-31,033,2,2,1.000,523,241,0.461,0.539,underpowered,093:1;820:1,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,<END>:2,K-23;M-1765
2026-05-31,060,2,0,0.000,222,3,0.014,-0.014,underpowered,741:2,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,920:2,K-4;M-1114
2026-05-31,072,2,2,1.000,15,5,0.333,0.667,underpowered,308:1;390:1,Banawali:1;Harappa:1,SEAL:S:2,<END>:2,B-17;H-68
2026-05-31,096,2,2,1.000,4,4,1.000,0.000,underpowered,861:2,Mohenjo-daro:2,ROD:2,<END>:2,M-2090;M-2089
2026-05-31,190,2,1,0.500,11,6,0.545,-0.045,underpowered,297:1;301:1,Mohenjo-daro:2,SEAL:S:2,<END>:1;920:1,M-53;M-115
2026-05-31,216,2,2,1.000,4,4,1.000,0.000,underpowered,000:1;861:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,<END>:2,H-446;M-636
2026-05-31,255,2,0,0.000,136,49,0.360,-0.360,underpowered,435:1;861:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,416:1;777:1,H-598;M-91
2026-05-31,346,2,2,1.000,6,4,0.667,0.333,underpowered,390:1;904:1,Mohenjo-daro:2,SEAL:R:1;SEAL:S:1,<END>:2,M-213;M-1319
2026-05-31,360,2,1,0.500,12,6,0.500,0.000,underpowered,293:1;861:1,Harappa:1;Mohenjo-daro:1,SEAL:R:2,<END>:1;520:1,H-1706;M-355
2026-05-31,390,2,1,0.500,290,26,0.090,0.410,underpowered,595:1;861:1,Dholavira:1;Kalibangan:1,TAG:1;TAG:L:1,<END>:1;000:1,K-89;-:4348.1
2026-05-31,480,2,1,0.500,42,17,0.405,0.095,underpowered,031:2,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,<END>:1;625:1,H-389;M-1386
2026-05-31,502,2,2,1.000,4,2,0.500,0.500,underpowered,031:1;295:1,Mohenjo-daro:2,SEAL:S:2,<END>:2,M-181;M-678
2026-05-31,511,2,2,1.000,12,6,0.500,0.500,underpowered,455:1;460:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,<END>:2,H-426;M-1907
2026-05-31,533,2,0,0.000,2,0,0.000,0.000,underpowered,861:2,Mohenjo-daro:2,SEAL:R:2,717:2,M-376;M-391
2026-05-31,690,2,0,0.000,119,18,0.151,-0.151,underpowered,291:1;817:1,Mohenjo-daro:2,SEAL:S:2,544:1;564:1,M-628;M-855
2026-05-31,698,2,2,1.000,10,10,1.000,0.000,underpowered,861:2,Mohenjo-daro:2,SEAL:S:2,<END>:2,M-329;M-330
2026-05-31,700,2,2,1.000,578,128,0.221,0.779,underpowered,111:1;820:1,Mohenjo-daro:2,SEAL:S:2,<END>:2,M-86;M-721
2026-05-31,832,2,2,1.000,45,9,0.200,0.800,underpowered,360:1;861:1,Kalibangan:1;Mohenjo-daro:1,SEAL:S:1;TAG:L:1,<END>:2,K-89;M-1681
2026-05-31,920,2,1,0.500,153,86,0.562,-0.062,underpowered,156:1;944:1,Mohenjo-daro:2,SEAL:S:2,<END>:1;140:1,M-1810;M-280
2026-05-31,921,2,2,1.000,16,5,0.313,0.688,underpowered,690:2,Harappa:2,SEAL:S:2,<END>:2,H-1657;H-8
2026-05-31,001,1,0,0.000,213,15,0.070,-0.070,underpowered,820:1,Mohenjo-daro:1,SEAL:S:1,440:1,M-1677
2026-05-31,004,1,1,1.000,99,40,0.404,0.596,underpowered,354:1,Mohenjo-daro:1,SEAL:R:1,<END>:1,M-413
2026-05-31,036,1,0,0.000,8,4,0.500,-0.500,underpowered,861:1,Mohenjo-daro:1,SEAL:S:1,460:1,M-20
2026-05-31,055,1,1,1.000,62,15,0.242,0.758,underpowered,798:1,Lothal:1,SEAL:S:1,<END>:1,L-47
2026-05-31,070,1,1,1.000,38,4,0.105,0.895,underpowered,617:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-81
2026-05-31,084,1,1,1.000,1,1,1.000,0.000,underpowered,814:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-92
2026-05-31,104,1,1,1.000,26,17,0.654,0.346,underpowered,031:1,Dholavira:1,SEAL:R:1,<END>:1,-:4164.1
2026-05-31,119,1,1,1.000,1,1,1.000,0.000,underpowered,368:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-99
2026-05-31,127,1,1,1.000,4,2,0.500,0.500,underpowered,705:1,Tell Umma:1,TAG:L:1,<END>:1,-:3884.1
2026-05-31,192,1,0,0.000,4,0,0.000,0.000,underpowered,817:1,Mohenjo-daro:1,SEAL:S:1,000:1,M-1662
2026-05-31,202,1,0,0.000,5,0,0.000,0.000,underpowered,368:1,Mohenjo-daro:1,SEAL:S:1,892:1,M-12
2026-05-31,215,1,1,1.000,11,6,0.545,0.455,underpowered,000:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1783
2026-05-31,220,1,0,0.000,477,87,0.182,-0.182,underpowered,286:1,Mohenjo-daro:1,SEAL:S:1,031:1,M-1688
2026-05-31,228,1,0,0.000,1,0,0.000,0.000,underpowered,374:1,Mohenjo-daro:1,SEAL:S:1,741:1,M-315
2026-05-31,231,1,1,1.000,95,28,0.295,0.705,underpowered,226:1,Dholavira:1,TAB:I:1,<END>:1,-:4200.1
2026-05-31,235,1,1,1.000,250,100,0.400,0.600,underpowered,233:1,Harappa:1,SEAL:R:1,<END>:1,H-141
2026-05-31,244,1,0,0.000,5,1,0.200,-0.200,underpowered,861:1,Harappa:1,SEAL:R:1,165:1,H-129
2026-05-31,250,1,1,1.000,9,3,0.333,0.667,underpowered,001:1,Nausharo:1,SEAL:S:1,<END>:1,Ns-56
2026-05-31,279,1,1,1.000,5,4,0.800,0.200,underpowered,629:1,Dholavira:1,SEAL:S:1,<END>:1,-:4209.1
2026-05-31,285,1,1,1.000,5,3,0.600,0.400,underpowered,900:1,Mohenjo-daro:1,SEAL:R:1,<END>:1,M-1358
2026-05-31,287,1,0,0.000,2,0,0.000,0.000,underpowered,365:1,Chanhu-daro:1,SEAL:S:1,034:1,C-1
2026-05-31,290,1,0,0.000,1,0,0.000,0.000,underpowered,790:1,Mohenjo-daro:1,BNGL:1,741:1,M-1631
2026-05-31,309,1,0,0.000,2,1,0.500,-0.500,underpowered,374:1,Mohenjo-daro:1,SEAL:S:1,350:1,M-66
2026-05-31,310,1,0,0.000,3,0,0.000,0.000,underpowered,374:1,Nausharo:1,SEAL:S:1,350:1,Ns-9
2026-05-31,321,1,1,1.000,15,1,0.067,0.933,underpowered,405:1,Harappa:1,SEAL:S:1,<END>:1,H-22
2026-05-31,328,1,0,0.000,2,0,0.000,0.000,underpowered,004:1,Ur:1,SEAL:C:1,001:1,-:3898.1
2026-05-31,342,1,0,0.000,1,0,0.000,0.000,underpowered,595:1,Mohenjo-daro:1,SEAL:R:1,632:1,M-1341
2026-05-31,368,1,0,0.000,120,8,0.067,-0.067,underpowered,413:1,Mohenjo-daro:1,SEAL:S:1,031:1,M-1894
2026-05-31,372,1,0,0.000,1,0,0.000,0.000,underpowered,405:1,Mohenjo-daro:1,SEAL:S:1,374:1,M-34
2026-05-31,373,1,1,1.000,2,1,0.500,0.500,underpowered,055:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-43
2026-05-31,374,1,0,0.000,16,3,0.188,-0.188,underpowered,365:1,Harappa:1,SEAL:S:1,000:1,H-31
2026-05-31,376,1,1,1.000,1,1,1.000,0.000,underpowered,031:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1823
2026-05-31,385,1,0,0.000,1,0,0.000,0.000,underpowered,388:1,Mohenjo-daro:1,SEAL:R:1,705:1,M-359
2026-05-31,392,1,1,1.000,6,1,0.167,0.833,underpowered,861:1,Lothal:1,SEAL:S:1,<END>:1,L-46
2026-05-31,420,1,0,0.000,6,0,0.000,0.000,underpowered,455:1,Harappa:1,SEAL:S:1,032:1,H-1671
2026-05-31,435,1,0,0.000,75,5,0.067,-0.067,underpowered,798:1,Mohenjo-daro:1,SEAL:S:1,255:1,M-1772
2026-05-31,463,1,0,0.000,28,3,0.107,-0.107,underpowered,762:1,Kalibangan:1,SEAL:S:1,140:1,K-18
2026-05-31,475,1,0,0.000,2,1,0.500,-0.500,underpowered,527:1,Mohenjo-daro:1,SEAL:S:1,005:1,M-40
2026-05-31,493,1,1,1.000,1,1,1.000,0.000,underpowered,850:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-325
2026-05-31,500,1,1,1.000,24,3,0.125,0.875,underpowered,031:1,Chanhu-daro:1,SEAL:S:1,<END>:1,C-6
2026-05-31,503,1,1,1.000,82,59,0.720,0.280,underpowered,702:1,Harappa:1,SEAL:S:1,<END>:1,H-408
2026-05-31,504,1,0,0.000,9,0,0.000,0.000,underpowered,595:1,Mohenjo-daro:1,SEAL:S:1,803:1,M-1676
2026-05-31,518,1,1,1.000,7,4,0.571,0.429,underpowered,368:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-253
2026-05-31,560,1,1,1.000,3,1,0.333,0.667,underpowered,814:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-17
2026-05-31,595,1,1,1.000,49,4,0.082,0.918,underpowered,278:1,Salut:1,SEAL:S:1,<END>:1,-:4173.1
2026-05-31,617,1,0,0.000,77,17,0.221,-0.221,underpowered,564:1,Mohenjo-daro:1,SEAL:S:1,033:1,M-4
2026-05-31,626,1,1,1.000,8,1,0.125,0.875,underpowered,861:1,Lothal:1,SEAL:S:1,<END>:1,L-39
2026-05-31,627,1,0,0.000,2,0,0.000,0.000,underpowered,220:1,Mohenjo-daro:1,TAG:O:1,615:1,M-1427
2026-05-31,630,1,1,1.000,40,21,0.525,0.475,underpowered,900:1,Dholavira:1,TAB:B:1,<END>:1,-:4302.1
2026-05-31,633,1,0,0.000,1,0,0.000,0.000,underpowered,270:1,Mohenjo-daro:1,SEAL:S:1,032:1,M-1169
2026-05-31,634,1,1,1.000,5,4,0.800,0.200,underpowered,368:1,Bala-kot:1,SEAL:S:1,<END>:1,Blk-2
2026-05-31,683,1,1,1.000,3,3,1.000,0.000,underpowered,861:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1674
2026-05-31,703,1,1,1.000,12,5,0.417,0.583,underpowered,400:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1135
2026-05-31,707,1,1,1.000,1,1,1.000,0.000,underpowered,390:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-232
2026-05-31,717,1,1,1.000,55,16,0.291,0.709,underpowered,504:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-52
2026-05-31,740,1,1,1.000,1928,72,0.037,0.963,underpowered,892:1,Desalpur:1,TAG:1,<END>:1,Dlp-3
2026-05-31,747,1,1,1.000,7,4,0.571,0.429,underpowered,717:1,Harappa:1,SEAL:R:1,<END>:1,H-639
2026-05-31,751,1,1,1.000,1,1,1.000,0.000,underpowered,190:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-639
2026-05-31,791,1,0,0.000,6,3,0.500,-0.500,underpowered,861:1,Kalibangan:1,SEAL:S:1,440:1,K-40
2026-05-31,803,1,1,1.000,134,49,0.366,0.634,underpowered,861:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1698
2026-05-31,808,1,1,1.000,8,6,0.750,0.250,underpowered,817:1,Harappa:1,SEAL:S:1,<END>:1,H-456
2026-05-31,812,1,0,0.000,9,0,0.000,0.000,underpowered,595:1,Harappa:1,SEAL:R:1,125:1,H-130
2026-05-31,817,1,1,1.000,221,188,0.851,0.149,underpowered,002:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-658
2026-05-31,831,1,0,0.000,18,10,0.556,-0.556,underpowered,861:1,Harappa:1,SEAL:1,165:1,H-688
2026-05-31,834,1,1,1.000,2,2,1.000,0.000,underpowered,065:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1082
2026-05-31,850,1,1,1.000,57,16,0.281,0.719,underpowered,315:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-1002
2026-05-31,880,1,0,0.000,11,8,0.727,-0.727,underpowered,220:1,Mohenjo-daro:1,SEAL:S:1,689:1,M-655
2026-05-31,898,1,1,1.000,4,2,0.500,0.500,underpowered,257:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-154
2026-05-31,901,1,1,1.000,2,1,0.500,0.500,underpowered,861:1,Mohenjo-daro:1,SEAL:S:1,<END>:1,M-677
