x_sign,frame,prefix,id,cisi,site,type,symbol,shape,material,class,condition,dir,text_length,text,occurrence_index_0based,next2_after_x,exact_740_x_240_060_692,register_key,source_key,formula_key
176,740_X_240,740,746.1,H-2200,Harappa,TAB:I,Fish,prism,Steatite,MT,Fair,R/L,4,+400-740-176-240+,2,240,false,Harappa|TAB:I|Fish|prism,Harappa|TAB:I|Fish|prism|Steatite,+400-740-176-240+
176,740_X_240,740,753.2,H-2201,Harappa,TAB:I,Fish,prism,Steatite,MT,Poor,L/R,4,+400-740-176-240+,2,240,false,Harappa|TAB:I|Fish|prism,Harappa|TAB:I|Fish|prism|Steatite,+400-740-176-240+
152,740_X_240,740,806.2,H-2189,Harappa,TAB:B,None,heart,Steatite,MT,Fair,R/L,4,+400-740-152-240+,2,240,false,Harappa|TAB:B|None|heart,Harappa|TAB:B|None|heart|Steatite,+400-740-152-240+
482,740_X_240,740,937.2,H-2011,Harappa,TAB:B,Bull1,elliptical,Clay,SP,Poor,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|Bull1|elliptical,Harappa|TAB:B|Bull1|elliptical|Clay,+740-482-240-002-861+
636,690_X_240,690,1058.1,H-1308,Harappa,TAB:I,None,rectangular,Steatite,MT,Poor,L/R,4,+740-690-636-240+,2,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+740-690-636-240+
772,740_X_240,740,1075.1,H-14,Harappa,SEAL:S,Bull1:W,square,Steatite,SP,Fine,R/L,6,+740-772-240-060-415-056+,1,240 060,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+740-772-240-060-415-056+
643,740_X_240,740,1110.1,H-51,Harappa,SEAL:S,Bull1:W,square,Steatite,SP,Fair,R/L,5,+740-643-240-002-861+,1,240 002,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+740-643-240-002-861+
100,740_X_240,740,1134.1,H-76,Harappa,SEAL:S,Gaur,square,Steatite,LP,Good,R/L,7,+740-100-240-235-741-175-132+,1,240 235,false,Harappa|SEAL:S|Gaur|square,Harappa|SEAL:S|Gaur|square|Steatite,+740-100-240-235-741-175-132+
630,740_X_240,740,1168.2,H-102,Harappa,SEAL:S,Bull1:W,square,-,LP,Good,R/L,5,+740-630-240-741-861+,1,240 741,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|-,+740-630-240-741-861+
642,740_X_240,740,1237.1,H-206,Harappa,TAB:B,None,rectangular,-,LC,Good,R/L,6,+740-642-240-204-705-621+,1,240 204,false,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-642-240-204-705-621+
642,740_X_240,740,1263.1,H-237,Harappa,TAB:B,None,fish,-,SP,Fair,L/R,5,+740-642-240-060-692+,1,240 060,true,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-060-692+
233,000_X_240,000,1271.1,H-246,Harappa,TAB:B,None,circular,-,??,Fair,R/L,5,+400-804-000-233-240+,3,240,false,Harappa|TAB:B|None|circular,Harappa|TAB:B|None|circular|-,+400-804-000-233-240+
100,740_X_240,740,1276.1,H-251,Harappa,TAB:B,Gaur,prism,Faience,MT,Fair,R/L,4,+400-740-100-240+,2,240,false,Harappa|TAB:B|Gaur|prism,Harappa|TAB:B|Gaur|prism|Faience,+400-740-100-240+
636,740_X_240,740,1320.1,H-298,Harappa,TAB:I,None,rectangular,-,MT,Fair,R/L,4,+400-740-636-240+,2,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+400-740-636-240+
636,740_X_240,740,1323.2,H-301,Harappa,TAB:I,None,rectangular,Steatite,LP,Fair,R/L,7,+400-740-636-240-031-032-171+,2,240 031,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240-031-032-171+
630,690_X_240,690,1343.1,H-321,Harappa,TAB:I,None,rectangular-round,Steatite,MT,Good,L/R,4,+740-690-630-240+,2,240,false,Harappa|TAB:I|None|rectangular-round,Harappa|TAB:I|None|rectangular-round|Steatite,+740-690-630-240+
100,740_X_240,740,1345.1,H-323,Harappa,TAB:I,None,rectangular-round,Steatite,MT,Good,R/L,3,+740-100-240+,1,240,false,Harappa|TAB:I|None|rectangular-round,Harappa|TAB:I|None|rectangular-round|Steatite,+740-100-240+
642,690_X_240,690,1369.1,H-350,Harappa,TAB:I,Fish,prism,Steatite,MT,Fair,R/L,4,+740-690-642-240+,2,240,false,Harappa|TAB:I|Fish|prism,Harappa|TAB:I|Fish|prism|Steatite,+740-690-642-240+
636,740_X_240,740,1379.2,H-360,Harappa,TAB:I,Bult,prism,Steatite,SP,Good,R/L,5,+740-636-240-060-692+,1,240 060,true,Harappa|TAB:I|Bult|prism,Harappa|TAB:I|Bult|prism|Steatite,+740-636-240-060-692+
055,740_X_240,740,1400.1,H-386,Harappa,SEAL:S,Bull1:W,square,Steatite,LP,Fair,R/L,9,+527-555-740-055-240-415-798-060-201+,3,240 415,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+527-555-740-055-240-415-798-060-201+
176,740_X_240,740,1413.1,H-408,Harappa,SEAL:S,Bull1:W,square,Steatite,SP,Fair,R/L,6,+740-176-240-002-702-503+,1,240 002,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+740-176-240-002-702-503+
440,740_X_240,740,1415.1,H-411,Harappa,SEAL:S,Bull1:J,square,Steatite,SP,Good,R/L,5,+740-440-240-001-820+,1,240 001,false,Harappa|SEAL:S|Bull1:J|square,Harappa|SEAL:S|Bull1:J|square|Steatite,+740-440-240-001-820+
100,740_X_240,740,1440.1,H-450,Harappa,SEAL:S,Bull1:J,square,Steatite,LP,Fair,R/L,7,+740-100-240-741-702-900-003+,1,240 741,false,Harappa|SEAL:S|Bull1:J|square,Harappa|SEAL:S|Bull1:J|square|Steatite,+740-100-240-741-702-900-003+
639,740_X_240,740,1541.2,H-598,Harappa,SEAL:S,Bull1:W,square,-,LP,Good,R/L,7,+740-639-240-002-435-255-777+,1,240 002,false,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|-,+740-639-240-002-435-255-777+
233,740_X_240,740,1574.1,H-659,Harappa,SEAL:R,None,cuboid-convex,-,LP,Fair,R/L,9,+407-845-140-740-233-240-798-365-263+,4,240 798,false,Harappa|SEAL:R|None|cuboid-convex,Harappa|SEAL:R|None|cuboid-convex|-,+407-845-140-740-233-240-798-365-263+
904,740_X_240,740,1602.1,H-697,Harappa,TAB:B,Bull2,rectangular,Clay,SP,Fair,R/L,5,+740-904-240-002-817+,1,240 002,false,Harappa|TAB:B|Bull2|rectangular,Harappa|TAB:B|Bull2|rectangular|Clay,+740-904-240-002-817+
233,740_X_240,740,1670.2,H-779,Harappa,TAB:B,None,rectangular,-,??,Poor,R/L,5,+000-000-740-233-240+,3,240,false,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+000-000-740-233-240+
904,740_X_240,740,1672.2,H-781,Harappa,TAB:B,None,rectangular,-,MT,Good,R/L,3,+740-904-240+,1,240,false,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-904-240+
482,740_X_240,740,1695.1,H-806,Harappa,TAB:B,None,twisted rectangular-rounded,Clay,SP,Fair,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|Clay,+740-482-240-002-861+
482,740_X_240,740,1696.1,H-807,Harappa,TAB:B,None,twisted rectangular-rounded,-,SP,Poor,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|-,+740-482-240-002-861+
482,740_X_240,740,1697.1,H-808,Harappa,TAB:B,None,twisted rectangular-rounded,-,SP,Poor,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|None|twisted rectangular-rounded,Harappa|TAB:B|None|twisted rectangular-rounded|-,+740-482-240-002-861+
642,740_X_240,740,1710.2,H-821,Harappa,TAB:B,None,fish,-,SP,Good,L/R,5,+740-642-240-001-692+,1,240 001,false,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-001-692+
642,740_X_240,740,1711.2,H-822,Harappa,TAB:B,None,fish,-,SP,Fair,L/R,5,+740-642-240-001-692+,1,240 001,false,Harappa|TAB:B|None|fish,Harappa|TAB:B|None|fish|-,+740-642-240-001-692+
636,740_X_240,740,1712.2,H-823,Harappa,TAB:B,None,rectangular,-,SP,Fair,R/L,5,+740-636-240-060-692+,1,240 060,true,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-636-240-060-692+
636,740_X_240,740,1776.1,H-894,Harappa,TAB:I,None,rectangular,Steatite,MT,Fair,R/L,4,+400-740-636-240+,2,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240+
760,740_X_240,740,1785.1,H-903,Harappa,TAB:I,None,rectangular,Steatite,MT,Poor,R/L,3,+740-760-240+,1,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+740-760-240+
636,740_X_240,740,1787.2,H-905,Harappa,TAB:I,None,rectangular,Steatite,LP,Poor,R/L,7,+400-740-636-240-031-032-171+,2,240 031,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+400-740-636-240-031-032-171+
636,740_X_240,740,1799.2,H-919,Harappa,TAB:I,None,rectangular,-,MT,Poor,R/L,3,+740-636-240+,1,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+740-636-240+
235,740_X_240,740,1834.1,H-954,Harappa,TAB:I,None,rectangular,Steatite,MT,Fair,R/L,4,+090-740-235-240+,2,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+090-740-235-240+
636,690_X_240,690,1842.1,H-965,Harappa,TAB:I,None,rectangular-round,Steatite,MT,Poor,L/R,4,+740-690-636-240+,2,240,false,Harappa|TAB:I|None|rectangular-round,Harappa|TAB:I|None|rectangular-round|Steatite,+740-690-636-240+
636,690_X_240,690,1843.1,H-966,Harappa,TAB:I,None,rectangular-rounded,-,MT,Fair,L/R,4,+740-690-636-240+,2,240,false,Harappa|TAB:I|None|rectangular-rounded,Harappa|TAB:I|None|rectangular-rounded|-,+740-690-636-240+
637,740_X_240,740,1859.1,H-983,Harappa,TAB:I,Bult,prism,Steatite,MT,Fair,R/L,4,+400-740-637-240+,2,240,false,Harappa|TAB:I|Bult|prism,Harappa|TAB:I|Bult|prism|Steatite,+400-740-637-240+
636,740_X_240,740,1864.2,H-988,Harappa,TAB:I,Bult,cuboid,Steatite,LP,Poor,R/L,7,+400-740-636-240-031-032-171+,2,240 031,false,Harappa|TAB:I|Bult|cuboid,Harappa|TAB:I|Bult|cuboid|Steatite,+400-740-636-240-031-032-171+
643,000_X_240,000,1970.1,-,Kish,SEAL:S,Bull1,square,-,??,Poor,-,3,+000-643-240+,1,240,false,Kish|SEAL:S|Bull1|square,Kish|SEAL:S|Bull1|square|-,+000-643-240+
798,740_X_240,740,2003.1,L-26,Lothal,SEAL:S,Bull1:W,square,Steatite,SP,Good,R/L,6,+740-798-240-060-111-166+,1,240 060,false,Lothal|SEAL:S|Bull1:W|square,Lothal|SEAL:S|Bull1:W|square|Steatite,+740-798-240-060-111-166+
806,740_X_240,740,2037.1,L-83,Lothal,SEAL:L,None,oval,Agate,SP,Poor,R/L,5,+740-806-240-002-820+,1,240 002,false,Lothal|SEAL:L|None|oval,Lothal|SEAL:L|None|oval|Agate,+740-806-240-002-820+
904,740_X_240,740,2060.1,L-111,Lothal,SEAL:R,None,rectangular,Shell,MT,Good,R/L,4,+740-904-240-235+,1,240 235,false,Lothal|SEAL:R|None|rectangular,Lothal|SEAL:R|None|rectangular|Shell,+740-904-240-235+
636,740_X_240,740,2282.1,M-1879,Mohenjo-daro,SEAL:S,Gaur,square,Steatite,CT,Fair,R/L,5,+740-636-240-066-556+,1,240 066,false,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+740-636-240-066-556+
923,740_X_240,740,2285.1,M-1760,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,SP,Fair,R/L,6,+740-923-240-235-060-820+,1,240 235,false,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-923-240-235-060-820+
455,740_X_240,740,2293.1,M-808,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,SP,Good,R/L,6,+740-455-240-235-060-820+,1,240 235,false,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-455-240-235-060-820+
772,740_X_240,740,2348.1,M-1988,Mohenjo-daro,SEAL,None,cuboid,Steatite,MT,Good,R/L,3,+740-772-240+,1,240,false,Mohenjo-daro|SEAL|None|cuboid,Mohenjo-daro|SEAL|None|cuboid|Steatite,+740-772-240+
100,740_X_240,740,2365.1,M-1982,Mohenjo-daro,SEAL:R,None,rectangular,Steatite,MT,Good,R/L,4,+740-100-240-031+,1,240 031,false,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+740-100-240-031+
637,740_X_240,740,2388.1,-,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,SP,Fair,R/L,5,+740-637-240-002-861+,1,240 002,false,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-637-240-002-861+
643,740_X_240,740,2434.1,M-1719,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,MT,Good,R/L,3,+740-643-240+,1,240,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-643-240+
233,740_X_240,740,2484.1,M-1720,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,MT,Good,R/L,4,+679-740-233-240+,2,240,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+679-740-233-240+
773,740_X_240,740,2534.1,M-5,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Fair,R/L,6,+740-773-240-235-060-692+,1,240 235,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-773-240-235-060-692+
055,740_X_240,740,2557.1,M-29,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,9,+740-055-240-235-806-002-220-455-503+,1,240 235,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-055-240-235-806-002-220-455-503+
636,740_X_240,740,2569.1,M-41,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,9,+740-636-240-233-235-002-405-125-820+,1,240 233,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-636-240-233-235-002-405-125-820+
798,740_X_240,740,2574.1,M-46,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,LP,Good,R/L,8,+740-798-240-235-002-220-065-215+,1,240 235,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-798-240-235-002-220-065-215+
765,740_X_240,740,2611.1,M-84,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Poor,R/L,6,+740-765-240-001-368-920+,1,240 001,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-765-240-001-368-920+
636,740_X_240,740,2752.1,M-228,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,MT,Fair,R/L,3,+740-636-240+,1,240,false,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-636-240+
482,740_X_240,740,2801.1,M-280,Mohenjo-daro,SEAL:S,Elep,square,Steatite,LP,Fair,R/L,7,+740-482-240-002-944-920-140+,1,240 002,false,Mohenjo-daro|SEAL:S|Elep|square,Mohenjo-daro|SEAL:S|Elep|square|Steatite,+740-482-240-002-944-920-140+
176,740_X_240,740,2809.1,M-289,Mohenjo-daro,SEAL:S,Tigr,square,Steatite,SP,Fine,R/L,5,+740-176-240-002-817+,1,240 002,false,Mohenjo-daro|SEAL:S|Tigr|square,Mohenjo-daro|SEAL:S|Tigr|square|Steatite,+740-176-240-002-817+
923,740_X_240,740,2901.1,M-405,Mohenjo-daro,SEAL:R,None,cuboid-convex,Steatite,MT,Good,R/L,5,+740-923-240-235-806+,1,240 235,false,Mohenjo-daro|SEAL:R|None|cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex|Steatite,+740-923-240-235-806+
000,000_X_240,000,2961.2,M-477,Mohenjo-daro,TAB:B,Mult,twisted rectangular,Clay,??,Poor,R/L,4,+840-000-000-240+,2,240,false,Mohenjo-daro|TAB:B|Mult|twisted rectangular,Mohenjo-daro|TAB:B|Mult|twisted rectangular|Clay,+840-000-000-240+
176,740_X_240,740,3080.1,M-629,Mohenjo-daro,SEAL:S,Bull1:W,square,-,LP,Fine,R/L,7,+679-740-176-240-798-002-861+,2,240 798,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|-,+679-740-176-240-798-002-861+
772,740_X_240,740,3132.1,M-705,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,MT,Fair,R/L,4,+740-772-240-803+,1,240 803,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-772-240-803+
773,740_X_240,740,3133.1,M-706,Mohenjo-daro,SEAL:S,Bull1:W,square,Steatite,SP,Poor,R/L,6,+740-773-240-002-861-031+,1,240 002,false,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W|square|Steatite,+740-773-240-002-861-031+
585,740_X_240,740,3146.1,M-722,Mohenjo-daro,SEAL:S,Bull1,square,Steatite,LP,Poor,R/L,7,+740-585-240-220-032-002-817+,1,240 220,false,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1|square|Steatite,+740-585-240-220-032-002-817+
642,000_X_240,000,3336.1,M-941,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,??,Good,R/L,6,+000-642-240-031-002-861+,1,240 031,false,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+000-642-240-031-002-861+
927,740_X_240,740,3346.1,M-951,Mohenjo-daro,SEAL:S,Bull1:S,square,Steatite,MT,Poor,R/L,4,+740-927-240-031+,1,240 031,false,Mohenjo-daro|SEAL:S|Bull1:S|square,Mohenjo-daro|SEAL:S|Bull1:S|square|Steatite,+740-927-240-031+
772,740_X_240,740,3353.1,M-958,Mohenjo-daro,SEAL:S,Bull1:J,square,Steatite,IT,Good,R/L,7,+740-772-240-002-900-003-590+,1,240 002,false,Mohenjo-daro|SEAL:S|Bull1:J|square,Mohenjo-daro|SEAL:S|Bull1:J|square|Steatite,+740-772-240-002-900-003-590+
455,740_X_240,740,3468.1,M-1096,Mohenjo-daro,SEAL:S,Gaur,square,Steatite,MT,Good,R/L,4,+740-455-240-235+,1,240 235,false,Mohenjo-daro|SEAL:S|Gaur|square,Mohenjo-daro|SEAL:S|Gaur|square|Steatite,+740-455-240-235+
923,740_X_240,740,3526.1,M-1166,Mohenjo-daro,SEAL:S,Tigr,square,Steatite,SP,Good,R/L,5,+740-923-240-002-817+,1,240 002,false,Mohenjo-daro|SEAL:S|Tigr|square,Mohenjo-daro|SEAL:S|Tigr|square|Steatite,+740-923-240-002-817+
000,740_X_240,740,3563.1,M-1231,Mohenjo-daro,SEAL:S,None,square,Steatite,??,Poor,L/R,3,+740-000-240+,1,240,false,Mohenjo-daro|SEAL:S|None|square,Mohenjo-daro|SEAL:S|None|square|Steatite,+740-000-240+
055,740_X_240,740,3572.1,M-1265,Mohenjo-daro,SEAL:R,None,rectangular,Steatite,MT,Good,R/L,6,+740-055-240-220-032-806+,1,240 220,false,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None|rectangular|Steatite,+740-055-240-220-032-806+
904,740_X_240,740,3959.1,H-1100,Harappa,TAB:B,Bull2,rectangular,-,SP,Fair,R/L,5,+740-904-240-002-817+,1,240 002,false,Harappa|TAB:B|Bull2|rectangular,Harappa|TAB:B|Bull2|rectangular|-,+740-904-240-002-817+
482,740_X_240,740,3970.1,H-1130,Harappa,TAB:B,None,rectangular-round,-,SP,Poor,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|None|rectangular-round,Harappa|TAB:B|None|rectangular-round|-,+740-482-240-002-861+
482,740_X_240,740,3971.1,H-1131,Harappa,TAB:B,None,twisted rectangular,-,SP,Poor,R/L,5,+740-482-240-002-861+,1,240 002,false,Harappa|TAB:B|None|twisted rectangular,Harappa|TAB:B|None|twisted rectangular|-,+740-482-240-002-861+
603,740_X_240,740,3975.1,H-1137,Harappa,TAB:B,None,rectangular,-,SP,Fair,R/L,5,+740-603-240-060-692+,1,240 060,true,Harappa|TAB:B|None|rectangular,Harappa|TAB:B|None|rectangular|-,+740-603-240-060-692+
636,740_X_240,740,4031.1,H-1178,Harappa,TAB:I,None,rectangular,-,MT,Fair,R/L,4,+400-740-636-240+,2,240,false,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+400-740-636-240+
