dataset,id,length,status,actual_loglik,reversed_loglik,actual_minus_reversed,actual_vs_reversed,shuffle_mean_loglik,actual_minus_shuffle_mean,actual_beats_shuffle_mean
clean,M-115,8,scored,-42.5879,-46.944609,4.356709,actual_higher,-46.615804,4.027904,True
clean,M-116,7,scored,-32.707176,-43.310289,10.603114,actual_higher,-41.117517,8.410341,True
clean,M-117,8,scored,-38.477333,-46.058033,7.5807,actual_higher,-45.681323,7.20399,True
clean,M-118,8,scored,-35.552312,-48.006025,12.453714,actual_higher,-46.074026,10.521715,True
clean,M-119,10,scored,-54.198232,-58.76258,4.564348,actual_higher,-57.623388,3.425156,True
clean,M-121,5,scored,-25.259347,-32.548274,7.288928,actual_higher,-30.502406,5.243059,True
clean,M-122,3,scored,-14.833016,-21.027421,6.194405,actual_higher,-18.88577,4.052754,True
clean,M-123,4,scored,-26.141661,-26.834809,0.693147,actual_higher,-26.397198,0.255537,True
clean,M-124,4,scored,-18.51084,-26.716058,8.205218,actual_higher,-24.377434,5.866595,True
clean,M-127,5,scored,-31.247135,-31.940282,0.693147,actual_higher,-30.566886,-0.680249,False
clean,M-128,6,scored,-31.39072,-37.804179,6.413459,actual_higher,-36.38396,4.99324,True
clean,M-129,6,scored,-31.254222,-36.937802,5.68358,actual_higher,-35.819465,4.565243,True
clean,M-130,6,scored,-30.260682,-37.416079,7.155396,actual_higher,-35.902397,5.641715,True
clean,M-131,6,scored,-29.96754,-37.990437,8.022897,actual_higher,-34.955652,4.988112,True
clean,M-132,3,scored,-17.556132,-21.650477,4.094345,actual_higher,-19.972264,2.416131,True
clean,M-133,8,scored,-45.632281,-47.424041,1.791759,actual_higher,-47.361001,1.72872,True
clean,M-134,3,scored,-19.739502,-20.992265,1.252763,actual_higher,-20.415332,0.67583,True
clean,M-135,4,scored,-20.121283,-25.622541,5.501258,actual_higher,-24.366319,4.245036,True
clean,M-136,7,scored,-35.097667,-43.127751,8.030084,actual_higher,-40.786007,5.68834,True
clean,M-137,1,scored,-11.045287,-11.045287,0,tie,,,
clean,M-138,3,scored,-16.019048,-21.921681,5.902633,actual_higher,-20.014002,3.994954,True
clean,M-139,5,scored,-32.171983,-32.171983,0,tie,-31.659054,-0.512929,False
clean,M-140,7,scored,-35.798756,-43.375365,7.57661,actual_higher,-41.710514,5.911759,True
clean,M-142,4,scored,-22.562105,-27.167275,4.60517,actual_higher,-25.150984,2.58888,True
clean,M-143,6,scored,-31.242658,-37.992589,6.749931,actual_higher,-36.37751,5.134852,True
clean,M-144,6,scored,-27.489381,-38.092495,10.603114,actual_higher,-36.070153,8.580772,True
clean,M-145,4,scored,-23.06332,-27.174194,4.110874,actual_higher,-25.849588,2.786268,True
clean,M-146,5,scored,-24.223795,-31.484552,7.260757,actual_higher,-30.53498,6.311185,True
clean,M-147,6,scored,-32.916198,-34.484814,1.568616,actual_higher,-35.732881,2.816683,True
clean,M-148,3,scored,-17.81863,-21.929504,4.110874,actual_higher,-19.901072,2.082442,True
clean,M-149,5,scored,-23.654238,-32.552603,8.898366,actual_higher,-30.849585,7.195347,True
clean,M-150,2,scored,-12.532772,-15.950499,3.417727,actual_higher,-14.275812,1.743041,True
clean,M-151,3,scored,-20.321064,-21.707358,1.386294,actual_higher,-21.208292,0.887228,True
clean,M-152,4,scored,-18.071922,-27.481113,9.409191,actual_higher,-25.159315,7.087393,True
clean,M-153,3,scored,-20.896149,-21.589296,0.693147,actual_higher,-21.318969,0.42282,True
clean,M-154,7,scored,-38.091715,-42.34021,4.248495,actual_higher,-41.72568,3.633966,True
clean,M-155,3,scored,-16.45009,-21.254111,4.804021,actual_higher,-19.915917,3.465827,True
clean,M-157,7,scored,-33.786119,-42.055876,8.269757,actual_higher,-40.773183,6.987064,True
clean,M-158,4,scored,-20.941533,-26.396855,5.455321,actual_higher,-25.109648,4.168114,True
clean,M-159,5,scored,-28.272914,-32.383788,4.110874,actual_higher,-31.669156,3.396242,True
clean,M-160,6,scored,-34.164441,-37.74796,3.583519,actual_higher,-36.378499,2.214058,True
clean,M-163,5,scored,-24.053935,-30.669554,6.615619,actual_higher,-29.70636,5.652425,True
clean,M-164,5,scored,-23.942785,-32.754139,8.811354,actual_higher,-30.520926,6.578141,True
clean,M-166,6,scored,-29.325991,-37.189258,7.863267,actual_higher,-35.50569,6.179699,True
clean,M-170,8,scored,-40.322441,-48.345337,8.022897,actual_higher,-46.856374,6.533934,True
clean,M-171,8,scored,-43.204446,-48.369232,5.164786,actual_higher,-46.920002,3.715556,True
clean,M-172,6,scored,-37.44605,-37.44605,0,tie,-37.217311,-0.228739,False
clean,M-173,5,scored,-27.63102,-32.435041,4.804021,actual_higher,-31.291618,3.660598,True
clean,M-174,6,scored,-24.239315,-36.469885,12.23057,actual_higher,-34.174896,9.935582,True
clean,M-177,4,scored,-22.262138,-24.672937,2.410799,actual_higher,-24.477411,2.215273,True
clean,M-178,2,scored,-12.795597,-15.766012,2.970414,actual_higher,-14.2511,1.455503,True
clean,M-179,2,scored,-11.834869,-15.786113,3.951244,actual_higher,-13.731466,1.896597,True
clean,M-180,2,scored,-12.527604,-16.638478,4.110874,actual_higher,-14.213062,1.685458,True
clean,M-181,5,scored,-29.70374,-31.64965,1.94591,actual_higher,-31.744336,2.040596,True
clean,M-183,4,scored,-22.616633,-26.354303,3.73767,actual_higher,-25.624551,3.007918,True
clean,M-184,4,scored,-22.314968,-27.166999,4.85203,actual_higher,-25.012634,2.697666,True
clean,M-182,2,scored,-11.43416,-16.643646,5.209486,actual_higher,-13.882618,2.448458,True
clean_edge_removed_740_002,M-1,5,scored,-30.110516,-32.189958,2.079442,actual_higher,-30.859543,0.749027,True
clean_edge_removed_740_002,M-3,3,scored,-21.618003,-20.924856,-0.693147,reversed_higher,-20.730097,-0.887906,False
clean_edge_removed_740_002,M-5,5,scored,-26.051899,-32.246304,6.194405,actual_higher,-30.975252,4.923353,True
clean_edge_removed_740_002,M-6,4,scored,-26.153479,-24.649402,-1.504077,reversed_higher,-25.992335,-0.161144,False
clean_edge_removed_740_002,M-8,3,scored,-21.588155,-21.588155,0,tie,-20.943121,-0.645033,False
clean_edge_removed_740_002,M-9,3,scored,-21.524567,-20.425955,-1.098612,reversed_higher,-21.118081,-0.406487,False
clean_edge_removed_740_002,M-12,7,scored,-36.812661,-42.005618,5.192957,actual_higher,-41.403585,4.590924,True
clean_edge_removed_740_002,M-13,3,scored,-20.876038,-21.569185,0.693147,actual_higher,-21.340446,0.464409,True
clean_edge_removed_740_002,M-14,3,scored,-18.498609,-20.896505,2.397895,actual_higher,-19.921424,1.422814,True
clean_edge_removed_740_002,M-15,3,scored,-17.267442,-21.649468,4.382027,actual_higher,-19.443881,2.176439,True
clean_edge_removed_740_002,M-16,4,scored,-26.108614,-24.604536,-1.504077,reversed_higher,-26.080346,-0.028268,False
clean_edge_removed_740_002,M-17,4,scored,-22.920519,-26.216355,3.295837,actual_higher,-25.443658,2.523139,True
clean_edge_removed_740_002,M-18,2,scored,-16.28614,-15.592993,-0.693147,reversed_higher,-15.91184,-0.374299,False
clean_edge_removed_740_002,M-21,6,scored,-34.477032,-36.08647,1.609438,actual_higher,-35.937283,1.460252,True
clean_edge_removed_740_002,M-24,5,scored,-26.605485,-32.240275,5.63479,actual_higher,-30.793169,4.187684,True
clean_edge_removed_740_002,M-26,4,scored,-21.273094,-26.907884,5.63479,actual_higher,-25.534705,4.261611,True
clean_edge_removed_740_002,M-29,7,scored,-39.524565,-42.163622,2.639057,actual_higher,-41.401693,1.877128,True
clean_edge_removed_740_002,M-30,6,scored,-34.046105,-37.37831,3.332205,actual_higher,-36.554035,2.50793,True
clean_edge_removed_740_002,M-31,5,scored,-28.051368,-31.111639,3.060271,actual_higher,-31.052424,3.001056,True
clean_edge_removed_740_002,M-32,3,scored,-15.082647,-20.370914,5.288267,actual_higher,-18.814322,3.731675,True
clean_edge_removed_740_002,M-33,5,scored,-31.496019,-31.090553,-0.405465,reversed_higher,-31.275363,-0.220655,False
clean_edge_removed_740_002,M-34,5,scored,-31.344428,-32.037575,0.693147,actual_higher,-31.559303,0.214876,True
clean_edge_removed_740_002,M-35,5,scored,-27.030349,-31.530159,4.49981,actual_higher,-31.046458,4.016109,True
clean_edge_removed_740_002,M-36,7,scored,-40.256594,-42.048353,1.791759,actual_higher,-41.683184,1.426591,True
clean_edge_removed_740_002,M-37,3,scored,-16.130785,-21.072428,4.941642,actual_higher,-19.476378,3.345593,True
clean_edge_removed_740_002,M-38,11,scored,-56.887294,-61.605793,4.718499,actual_higher,-61.232483,4.345189,True
clean_edge_removed_740_002,M-40,4,scored,-26.057582,-26.75073,0.693147,actual_higher,-26.244732,0.18715,True
clean_edge_removed_740_002,M-42,4,scored,-21.376416,-26.259218,4.882802,actual_higher,-25.098639,3.722223,True
clean_edge_removed_740_002,M-43,4,scored,-25.450803,-25.450803,0,tie,-25.67261,0.221807,True
clean_edge_removed_740_002,M-44,6,scored,-33.863661,-37.419009,3.555348,actual_higher,-36.12647,2.262809,True
clean_edge_removed_740_002,M-46,6,scored,-32.895805,-35.534862,2.639057,actual_higher,-35.998761,3.102956,True
clean_edge_removed_740_002,M-47,3,scored,-17.762306,-21.674329,3.912023,actual_higher,-20.191275,2.428968,True
clean_edge_removed_740_002,M-48,6,scored,-31.924204,-36.894017,4.969813,actual_higher,-35.490806,3.566602,True
clean_edge_removed_740_002,M-51,7,scored,-37.110445,-42.185619,5.075174,actual_higher,-40.803151,3.692706,True
clean_edge_removed_740_002,M-52,8,scored,-46.674177,-45.421414,-1.252763,reversed_higher,-46.287465,-0.386712,False
clean_edge_removed_740_002,M-53,7,scored,-36.920864,-42.806968,5.886104,actual_higher,-41.408041,4.487178,True
clean_edge_removed_740_002,M-54,6,scored,-33.513133,-36.439872,2.926739,actual_higher,-35.961154,2.448021,True
clean_edge_removed_740_002,M-56,7,scored,-39.280431,-42.05302,2.772589,actual_higher,-41.479136,2.198705,True
clean_edge_removed_740_002,M-57,5,scored,-30.38245,-31.481062,1.098612,actual_higher,-30.712889,0.330439,True
clean_edge_removed_740_002,M-58,3,scored,-18.527576,-20.925471,2.397895,actual_higher,-20.158707,1.631131,True
clean_edge_removed_740_002,M-59,5,scored,-29.428599,-31.508041,2.079442,actual_higher,-30.807285,1.378685,True
clean_edge_removed_740_002,M-63,4,scored,-24.362922,-26.847829,2.484907,actual_higher,-26.323643,1.960721,True
clean_edge_removed_740_002,M-64,6,scored,-31.994114,-36.935757,4.941642,actual_higher,-35.906354,3.912239,True
clean_edge_removed_740_002,M-65,6,scored,-33.304963,-36.860311,3.555348,actual_higher,-35.965485,2.660522,True
clean_edge_removed_740_002,M-66,6,scored,-32.970288,-36.083803,3.113515,actual_higher,-36.117133,3.146845,True
clean_edge_removed_740_002,M-69,4,scored,-23.406855,-26.269056,2.862201,actual_higher,-26.013671,2.606816,True
clean_edge_removed_740_002,M-70,4,scored,-23.310735,-27.048405,3.73767,actual_higher,-24.231248,0.920513,True
clean_edge_removed_740_002,M-71,5,scored,-31.013437,-32.112049,1.098612,actual_higher,-31.044078,0.030641,True
clean_edge_removed_740_002,M-74,4,scored,-25.162018,-26.771456,1.609438,actual_higher,-26.175252,1.013234,True
clean_edge_removed_740_002,M-75,4,scored,-19.719033,-25.672276,5.953243,actual_higher,-24.482588,4.763555,True
clean_edge_removed_740_002,M-77,4,scored,-23.325824,-26.321556,2.995732,actual_higher,-24.487727,1.161903,True
clean_edge_removed_740_002,M-78,3,scored,-20.24218,-21.628474,1.386294,actual_higher,-20.362735,0.120555,True
clean_edge_removed_740_002,M-80,5,scored,-26.476516,-31.582462,5.105945,actual_higher,-30.207374,3.730857,True
clean_edge_removed_740_002,M-82,4,scored,-26.891001,-23.946562,-2.944439,reversed_higher,-25.532892,-1.358109,False
clean_edge_removed_740_002,M-83,3,scored,-18.751273,-20.948497,2.197225,actual_higher,-20.413961,1.662688,True
clean_edge_removed_740_002,M-84,5,scored,-29.393448,-32.166037,2.772589,actual_higher,-31.275139,1.881691,True
clean_edge_removed_740_002,M-85,5,scored,-28.423942,-31.468464,3.044522,actual_higher,-31.132655,2.708713,True
clean_edge_removed_740_002,M-86,6,scored,-31.28481,-36.786069,5.501258,actual_higher,-35.592187,4.307377,True
clean_edge_removed_740_002,M-87,3,scored,-20.405121,-21.503733,1.098612,actual_higher,-21.119219,0.714098,True
clean_edge_removed_740_002,M-88,3,scored,-20.519801,-21.618413,1.098612,actual_higher,-20.774066,0.254265,True
clean_edge_removed_740_002,M-89,4,scored,-25.539976,-26.92627,1.386294,actual_higher,-25.915954,0.375978,True
clean_edge_removed_740_002,M-90,4,scored,-23.800469,-25.099752,1.299283,actual_higher,-25.081927,1.281458,True
clean_edge_removed_740_002,M-91,7,scored,-37.535999,-41.524984,3.988984,actual_higher,-40.287388,2.751389,True
clean_edge_removed_740_002,M-92,5,scored,-29.301116,-31.380557,2.079442,actual_higher,-31.006258,1.705142,True
clean_edge_removed_740_002,M-93,5,scored,-29.483124,-32.191174,2.70805,actual_higher,-31.291135,1.808011,True
clean_edge_removed_740_002,M-94,4,scored,-21.913299,-26.413109,4.49981,actual_higher,-25.004923,3.091624,True
clean_edge_removed_740_002,M-95,4,scored,-22.624539,-26.208058,3.583519,actual_higher,-25.436152,2.811614,True
clean_edge_removed_740_002,M-96,2,scored,-14.017923,-16.320509,2.302585,actual_higher,-15.123164,1.105241,True
clean_edge_removed_740_002,M-97,3,scored,-19.285621,-20.895059,1.609438,actual_higher,-20.569657,1.284036,True
clean_edge_removed_740_002,M-99,3,scored,-21.563935,-20.870788,-0.693147,reversed_higher,-21.058188,-0.505747,False
clean_edge_removed_740_002,M-100,4,scored,-22.560824,-26.94285,4.382027,actual_higher,-25.001683,2.44086,True
clean_edge_removed_740_002,M-101,4,scored,-21.667361,-25.569334,3.901973,actual_higher,-24.815631,3.14827,True
clean_edge_removed_740_002,M-102,4,scored,-25.455971,-26.842265,1.386294,actual_higher,-25.516384,0.060413,True
clean_edge_removed_740_002,M-103,3,scored,-16.766681,-19.944735,3.178054,actual_higher,-18.76702,2.000339,True
clean_edge_removed_740_002,M-104,4,scored,-23.151937,-26.329991,3.178054,actual_higher,-25.555615,2.403678,True
clean_edge_removed_740_002,M-107,4,scored,-26.103626,-26.796773,0.693147,actual_higher,-26.4502,0.346574,True
clean_edge_removed_740_002,M-108,7,scored,-39.378488,-41.745611,2.367124,actual_higher,-40.739907,1.361419,True
clean_edge_removed_740_002,M-109,5,scored,-29.171945,-32.167677,2.995732,actual_higher,-31.26402,2.092075,True
clean_edge_removed_740_002,M-112,7,scored,-39.984187,-42.692237,2.70805,actual_higher,-41.923125,1.938938,True
clean_edge_removed_740_002,M-113,5,scored,-29.546596,-30.527425,0.980829,actual_higher,-30.812814,1.266218,True
clean_edge_removed_740_002,M-114,4,scored,-23.429107,-26.137157,2.70805,actual_higher,-25.635255,2.206148,True
clean_edge_removed_740_002,M-115,7,scored,-38.451492,-42.035011,3.583519,actual_higher,-41.436277,2.984786,True
clean_edge_removed_740_002,M-116,5,scored,-27.954237,-31.450744,3.496508,actual_higher,-30.707149,2.752913,True
clean_edge_removed_740_002,M-117,7,scored,-34.664463,-40.453404,5.78894,actual_higher,-40.329304,5.66484,True
clean_edge_removed_740_002,M-118,6,scored,-31.888855,-37.523645,5.63479,actual_higher,-35.358849,3.469994,True
clean_edge_removed_740_002,M-119,9,scored,-49.968057,-53.146111,3.178054,actual_higher,-51.668856,1.700799,True
clean_edge_removed_740_002,M-121,4,scored,-23.743974,-25.31259,1.568616,actual_higher,-25.327705,1.583731,True
clean_edge_removed_740_002,M-122,3,scored,-14.797062,-20.991467,6.194405,actual_higher,-19.377355,4.580293,True
clean_edge_removed_740_002,M-123,4,scored,-25.688325,-26.786937,1.098612,actual_higher,-26.160728,0.472403,True
clean_edge_removed_740_002,M-124,3,scored,-17.230214,-20.002803,2.772589,actual_higher,-19.034502,1.804288,True
clean_edge_removed_740_002,M-127,4,scored,-26.314849,-26.314849,0,tie,-26.342575,0.027726,True
clean_edge_removed_740_002,M-128,5,scored,-30.091837,-32.171278,2.079442,actual_higher,-31.221667,1.12983,True
clean_edge_removed_740_002,M-129,6,scored,-31.188269,-36.871848,5.68358,actual_higher,-35.684962,4.496693,True
clean_edge_removed_740_002,M-130,4,scored,-25.177766,-26.276378,1.098612,actual_higher,-25.463926,0.28616,True
clean_edge_removed_740_002,M-131,5,scored,-27.162577,-31.662386,4.49981,actual_higher,-30.047031,2.884454,True
clean_edge_removed_740_002,M-132,3,scored,-17.519469,-21.613813,4.094345,actual_higher,-19.688081,2.168612,True
clean_edge_removed_740_002,M-133,8,scored,-45.545059,-46.643672,1.098612,actual_higher,-47.187068,1.642008,True
clean_edge_removed_740_002,M-134,3,scored,-19.703183,-20.955946,1.252763,actual_higher,-20.080531,0.377348,True
clean_edge_removed_740_002,M-135,4,scored,-20.075176,-25.576435,5.501258,actual_higher,-24.318673,4.243496,True
clean_edge_removed_740_002,M-136,6,scored,-31.822049,-37.485009,5.66296,actual_higher,-35.906448,4.084399,True
clean_edge_removed_740_002,M-137,1,scored,-11.028644,-11.028644,0,tie,,,
clean_edge_removed_740_002,M-138,2,scored,-14.523474,-16.315233,1.791759,actual_higher,-15.419353,0.89588,True
clean_edge_removed_740_002,M-139,5,scored,-32.114451,-32.114451,0,tie,-31.480018,-0.634433,False
clean_edge_removed_740_002,M-140,5,scored,-30.130136,-32.209578,2.079442,actual_higher,-31.323256,1.19312,True
clean_edge_removed_740_002,M-142,3,scored,-19.302491,-21.605076,2.302585,actual_higher,-20.2207,0.918209,True
clean_edge_removed_740_002,M-143,4,scored,-26.158595,-26.158595,0,tie,-25.765836,-0.392759,False
clean_edge_removed_740_002,M-144,4,scored,-22.747311,-26.243819,3.496508,actual_higher,-25.368195,2.620883,True
clean_edge_removed_740_002,M-145,3,scored,-20.458612,-21.557224,1.098612,actual_higher,-20.934163,0.475551,True
clean_edge_removed_740_002,M-146,4,scored,-23.401921,-25.16551,1.763589,actual_higher,-25.228915,1.826994,True
clean_edge_removed_740_002,M-147,5,scored,-30.509111,-28.899673,-1.609438,reversed_higher,-30.103512,-0.405599,False
clean_edge_removed_740_002,M-148,2,scored,-16.326962,-13.842055,-2.484907,reversed_higher,-14.910565,-1.416397,False
clean_edge_removed_740_002,M-149,4,scored,-22.138902,-26.926394,4.787492,actual_higher,-25.928371,3.789469,True
clean_edge_removed_740_002,M-150,1,scored,-10.354308,-10.354308,0,tie,,,
clean_edge_removed_740_002,M-151,3,scored,-20.284938,-21.671232,1.386294,actual_higher,-21.186029,0.901091,True
clean_edge_removed_740_002,M-152,2,scored,-13.349806,-16.345539,2.995732,actual_higher,-14.967502,1.617695,True
clean_edge_removed_740_002,M-153,3,scored,-20.165708,-21.552002,1.386294,actual_higher,-21.066799,0.901091,True
clean_edge_removed_740_002,M-154,6,scored,-33.196197,-36.751545,3.555348,actual_higher,-35.865467,2.66927,True
clean_edge_removed_740_002,M-155,2,scored,-15.647927,-14.95478,-0.693147,reversed_higher,-15.245902,-0.402025,False
clean_edge_removed_740_002,M-157,6,scored,-32.250738,-36.409621,4.158883,actual_higher,-35.541539,3.290802,True
clean_edge_removed_740_002,M-158,4,scored,-20.570787,-26.35153,5.780744,actual_higher,-24.90007,4.329283,True
clean_edge_removed_740_002,M-159,4,scored,-26.767374,-26.767374,0,tie,-26.614882,-0.152492,False
clean_edge_removed_740_002,M-160,5,scored,-31.066878,-32.16549,1.098612,actual_higher,-31.020192,-0.046686,False
clean_edge_removed_740_002,M-163,5,scored,-23.999279,-30.614897,6.615619,actual_higher,-29.769594,5.770315,True
clean_edge_removed_740_002,M-164,3,scored,-19.210361,-20.915109,1.704748,actual_higher,-20.266932,1.056571,True
clean_edge_removed_740_002,M-166,5,scored,-26.411137,-31.604093,5.192957,actual_higher,-30.721494,4.310357,True
