sign,object,site,type,symbol,context,role,prev,next,text
806,H-667,Harappa,SEAL:R,NA,rect_copper_register,internal,235,900,]000-235-806-900-003-140+
806,H-679,Harappa,SEAL:R,NA,rect_copper_register,boundary,565,<END>,+565-806+
806,H-695,Harappa,TAB:B,Bull1:S,tablet_account,boundary,368,<END>,+740-390-590-235-368-806+
806,H-725,Harappa,TAB:B,Phyt,tablet_account,internal,158,000,+000-158-806-000+
806,H-727,Harappa,TAB:B,Phyt,tablet_account,internal,158,000,+158-806-000+
806,L-19,Lothal,SEAL:S,Bull1:W,square_bull1w_icon,internal,798,000,+000-000-000-798-806-000[
806,L-82,Lothal,SEAL:R,NA,rect_copper_register,initial,<START>,231,+806-231-002-221+
806,L-83,Lothal,SEAL:L,NA,other,internal,740,240,+740-806-240-002-820+
806,M-1953,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,233,<END>,+407-845-233-806+
806,-:2217.1,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,706,<END>,]000-033-706-806[
806,M-1683,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,internal,155,467,+155-806-467-001-692+
806,M-1956,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,798,<END>,+740-900-790-220-415-798-806+
806,M-2050,Mohenjo-daro,TAB:C,Anth,rect_copper_register,boundary,845,<END>,+740-900-850-407-061-845-806+
806,M-1784,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,923,<END>,+740-923-806+
806,M-2091,Mohenjo-daro,ROD,NA,other,internal,000,467,]000-806-467+
806,M-1957,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,154,474,+154-806-474-013-820+
806,M-1985,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,415,742,+100-904-717-220-415-806-742+
806,M-1524,Mohenjo-daro,TAB:C,NA,rect_copper_register,boundary,235,<END>,+407-585-033-705-233-235-806+
806,M-10,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,235,002,+405-061-070-032-033-706-235-806-002-267-455+
806,M-29,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,235,002,+740-055-240-235-806-002-220-455-503+
806,M-30,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,235,<END>,+740-752-017-503-240-235-806+
806,M-166,Mohenjo-daro,SEAL:S,Bull1:I,square_other_icon,boundary,240,002,+390-844-240-806-002-861+
806,M-171,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,internal,233,060,+407-061-740-923-233-806-060-692+
806,M-173,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,320,<END>,+740-388-900-320-806+
806,M-357,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,100,472,+740-100-806-472-240-806-001-820+
806,M-357,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,240,001,+740-100-806-472-240-806-001-820+
806,M-358,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,240,002,+003-001-520-240-806-002-502-031+
806,M-369,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,415,742,+740-690-435-255-240-220-415-806-742-060-920+
806,M-370,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,798,<END>,+832-904-740-444-388-233-798-806+
806,M-371,Mohenjo-daro,SEAL:R,NA,rect_copper_register,internal,154,467,+617-142-384-032-154-806-467+
806,M-392,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,032,<END>,+740-405-590-220-032-806+
806,M-393,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,240,002,+679-740-575-017-240-806-002-540+
806,M-405,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,235,<END>,+740-923-240-235-806+
806,M-409,Mohenjo-daro,SEAL:R,NA,rect_copper_register,boundary,740,<END>,+045-740-806+
806,H-2584,Harappa,TAG:R,NA,other,initial,<START>,468,]806-468-520-095-033-705[
806,M-470,Mohenjo-daro,TAB:B,NA,tablet_account,internal,158,473,+400-158-806-473+
806,M-1449,Mohenjo-daro,TAB:C,Othr,rect_copper_register,boundary,233,<END>,+740-176-233-806+
806,M-1550,Mohenjo-daro,TAB:C,NA,rect_copper_register,boundary,233,<END>,+740-384-233-806+
806,-:4294.1,Dholavira,TAG,NA,other,initial,<START>,<END>,]806[
806,M-603,Mohenjo-daro,TAB:C,NA,rect_copper_register,boundary,845,<END>,+740-900-850-407-845-806+
806,M-678,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,236,002,+740-752-006-503-236-806-002-031-502+
806,M-686,Mohenjo-daro,SEAL,NA,other,boundary,235,<END>,+520-235-806+
806,M-753,Mohenjo-daro,SEAL:S,Bull1:W,square_bull1w_icon,boundary,706,<END>,+520-033-706-806+
