checked_date,control_type,label,x000_rows,x000_terminal,x000_rate,non000_rows,non000_terminal,non000_rate,gap,verdict,x000_sites,x000_heads,examples
2026-05-31,leave_one_site,leave_out_site:Nausharo,25,23/25,0.920,242,145/242,0.599,0.321,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,575:3;817:3;000:2;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_site,leave_out_site:Shikarpur,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;861:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:MISC,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;861:1;892:1,H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END> | H-909:820-000-<END>
2026-05-31,leave_one_type,leave_out_type:SEAL:S,12,10/12,0.833,56,32/56,0.571,0.262,survives,Harappa:3;Mohenjo-daro:2;Nausharo:2;Allahdino:1;Dholavira:1;Kalibangan:1;Shikarpur:1;Tepe Yahya:1,000:2;575:2;861:2;031:1;095:1;520:1;817:1;820:1;892:1,Ad-8:861-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-909:820-000-<END> | M-451:520-000-000 000 906 388 | TY-106:095-000-<END> | M-1995:000-000-<END> | -:4344.1:031-000-<END>
2026-05-31,leave_one_type,leave_out_type:POT:T:g,23,21/23,0.913,242,143/242,0.591,0.322,survives,Mohenjo-daro:9;Harappa:6;Kalibangan:3;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,817:3;000:2;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;575:1;700:1;703:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END> | H-909:820-000-<END> | K-44:000-000-<END>
2026-05-31,leave_one_type,leave_out_type:TAB:I,26,23/26,0.885,243,144/243,0.593,0.292,survives,Mohenjo-daro:9;Harappa:7;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;820:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:TAB:B,26,24/26,0.923,237,140/237,0.591,0.332,survives,Harappa:8;Mohenjo-daro:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:POT:T:s,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1,000:3;575:3;817:3;031:2;820:2;861:2;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:SEAL,26,23/26,0.885,244,146/244,0.598,0.286,survives,Harappa:8;Mohenjo-daro:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,575:3;817:3;000:2;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:TAG,25,22/25,0.880,240,142/240,0.592,0.288,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:2;Nausharo:2;Allahdino:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,000:3;575:3;817:2;820:2;861:2;031:1;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,leave_one_type,leave_out_type:POT:T:p,26,23/26,0.885,245,146/245,0.596,0.289,survives,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Tepe Yahya:1,000:3;575:3;817:3;031:2;820:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;861:1;892:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,collapse,collapse_by_x_and_head_all_terminal,18,15/18,0.833,213,130/213,0.610,0.223,survives,Mohenjo-daro:1:5;Harappa:1:3;Allahdino:1;Shikarpur:1:1;Dholavira:1;Mohenjo-daro:1:1;Harappa:1;Kalibangan:1;Mohenjo-daro:1:1;Harappa:1;Mohenjo-daro:1:1;Harappa:3:1;Kalibangan:1:1;Kalibangan:1;Mohenjo-daro:1;Nausharo:1:1;Nausharo:1:1;Rakhigarhi:1:1;Tepe Yahya:1:1,000:1;031:1;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;575:1;700:1;703:1;817:1;820:1;861:1;892:1,000|861:Ad-8;-:5541.1 | 000|297:H-1038 | 000|575:H-2338;-:617.1;H-78 | 000|452:H-461 | 000|220:H-593 | 000|817:H-609;M-692;K-155 | 000|820:H-909;M-1045 | 000|000:K-44;M-1995;Ns-67
2026-05-31,collapse,collapse_by_x_and_site_all_terminal,9,6/9,0.667,179,101/179,0.564,0.102,damages_x000_rule,Allahdino:1:1;Dholavira:1:1;Harappa:8:1;Kalibangan:3:1;Mohenjo-daro:9:1;Nausharo:2:1;Rakhigarhi:1:1;Shikarpur:1:1;Tepe Yahya:1:1,861:2;000:1;031:1;095:1;267:1;297:1;703:1;892:1,000|Allahdino:Ad-8 | 000|Harappa:H-1038;H-2338;-:617.1;H-78;H-461;H-593;H-609;H-909 | 000|Kalibangan:K-44;K-146;K-155 | 000|Mohenjo-daro:M-1787;M-1884;M-141;M-279;M-451;M-692;M-1027;M-1045;M-1995 | 000|Tepe Yahya:TY-106 | 000|Rakhigarhi:-:4148.1 | 000|Dholavira:-:4344.1 | 000|Nausharo:Ns-66;Ns-67
